time_s,SA_v_pu,RA_v_pu,SB_v_pu,RB_v_pu,SC_v_pu,RC_v_pu,SD_v_pu,RD_v_pu,SE_v_pu,RE_v_pu,SF_v_pu,RF_v_pu,output_fixed_1_pu,output_fixed_2_pu,output_fixed_3_pu,output_fixed_4_pu,output_fixed_5_pu,output_fixed_6_pu,output_fixed_7_pu,output_fixed_8_pu,output_fixed_9_pu,output_fixed_10_pu,output_fixed_11_pu,output_fixed_12_pu
0.00145,81.2300107124,85.4277431699,2.30363081875,2.30363081875,-87.7313739887,-87.7313739887,85.4277431699,85.4277431699,2.30363081875,2.30363081875,-87.7313739887,-87.7313739887,81.2300107124,2.30363081875,-87.7313739887,85.4277431699,2.30363081875,-87.7313739887,85.4277431699,2.30363081875,-87.7313739887,85.4277431699,2.30363081875,-87.7313739887
0.0015,79.9615307423,84.4327925502,4.18756537291,4.18756537291,-88.6203579231,-88.6203579231,84.4327925502,84.4327925502,4.18756537291,4.18756537291,-88.6203579231,-88.6203579231,79.9615307423,4.18756537291,-88.6203579231,84.4327925502,4.18756537291,-88.6203579231,84.4327925502,4.18756537291,-88.6203579231,84.4327925502,4.18756537291,-88.6203579231
0.00155,78.6646408211,83.4078433613,6.07001210503,6.07001210503,-89.4778554664,-89.4778554664,83.4078433613,83.4078433613,6.07001210503,6.07001210503,-89.4778554664,-89.4778554664,78.6646408211,6.07001210503,-89.4778554664,83.4078433613,6.07001210503,-89.4778554664,83.4078433613,6.07001210503,-89.4778554664,83.4078433613,6.07001210503,-89.4778554664
0.0016,77.3398017276,82.3532597628,7.95030219076,7.95030219076,-90.3035619536,-90.3035619536,82.3532597628,82.3532597628,7.95030219076,7.95030219076,-90.3035619536,-90.3035619536,77.3398017276,7.95030219076,-90.3035619536,82.3532597628,7.95030219076,-90.3035619536,82.3532597628,7.95030219076,-90.3035619536,82.3532597628,7.95030219076,-90.3035619536
0.00165,75.9874841709,81.2694164433,9.82776757197,9.82776757197,-91.0971840153,-91.0971840153,81.2694164433,81.2694164433,9.82776757197,9.82776757197,-91.0971840153,-91.0971840153,75.9874841709,9.82776757197,-91.0971840153,81.2694164433,9.82776757197,-91.0971840153,81.2694164433,9.82776757197,-91.0971840153,81.2694164433,9.82776757197,-91.0971840153
0.0017,74.6081686228,80.1566984871,11.7017411942,11.7017411942,-91.8584396813,-91.8584396813,80.1566984871,80.1566984871,11.7017411942,11.7017411942,-91.8584396813,-91.8584396813,74.6081686228,11.7017411942,-91.8584396813,80.1566984871,11.7017411942,-91.8584396813,80.1566984871,11.7017411942,-91.8584396813,80.1566984871,11.7017411942,-91.8584396813
0.00175,73.2023451477,79.0155012376,13.5715572434,13.5715572434,-92.587058481,-92.587058481,79.0155012376,79.0155012376,13.5715572434,13.5715572434,-92.587058481,-92.587058481,73.2023451477,13.5715572434,-92.587058481,79.0155012376,13.5715572434,-92.587058481,79.0155012376,13.5715572434,-92.587058481,79.0155012376,13.5715572434,-92.587058481
0.0018,71.7705132278,77.8462301567,15.436551383,15.436551383,-93.2827815397,-93.2827815397,77.8462301567,77.8462301567,15.436551383,15.436551383,-93.2827815397,-93.2827815397,71.7705132278,15.436551383,-93.2827815397,77.8462301567,15.436551383,-93.2827815397,77.8462301567,15.436551383,-93.2827815397,77.8462301567,15.436551383,-93.2827815397
0.00185,70.3131815864,76.6493006809,17.2960609894,17.2960609894,-93.9453616704,-93.9453616704,76.6493006809,76.6493006809,17.2960609894,17.2960609894,-93.9453616704,-93.9453616704,70.3131815864,17.2960609894,-93.9453616704,76.6493006809,17.2960609894,-93.9453616704,76.6493006809,17.2960609894,-93.9453616704,76.6493006809,17.2960609894,-93.9453616704
0.0019,68.8308680064,75.4251380736,19.1494253877,19.1494253877,-94.5745634613,-94.5745634613,75.4251380736,75.4251380736,19.1494253877,19.1494253877,-94.5745634613,-94.5745634613,68.8308680064,19.1494253877,-94.5745634613,75.4251380736,19.1494253877,-94.5745634613,75.4251380736,19.1494253877,-94.5745634613,75.4251380736,19.1494253877,-94.5745634613
0.00195,67.3240991467,74.1741772739,20.9959860863,20.9959860863,-95.1701633602,-95.1701633602,74.1741772739,74.1741772739,20.9959860863,20.9959860863,-95.1701633602,-95.1701633602,67.3240991467,20.9959860863,-95.1701633602,74.1741772739,20.9959860863,-95.1701633602,74.1741772739,20.9959860863,-95.1701633602,74.1741772739,20.9959860863,-95.1701633602
0.002,65.7934103552,72.8968627421,22.8350870111,22.8350870111,-95.7319497532,-95.7319497532,72.8968627421,72.8968627421,22.8350870111,22.8350870111,-95.7319497532,-95.7319497532,65.7934103552,22.8350870111,-95.7319497532,72.8968627421,22.8350870111,-95.7319497532,72.8968627421,22.8350870111,-95.7319497532,72.8968627421,22.8350870111,-95.7319497532
