time_s,BUSA2_v_pu,BUSAS2_v_pu,BUSB2_v_pu,BUSBS2_v_pu,BUSC2_v_pu,BUSCS2_v_pu,BUSMG_v_pu,BUSMGR_v_pu,BUSMS_v_pu,UM1TLA_v_pu,UM1TLB_v_pu,UM1TLC_v_pu,UM1MCC_v_pu,output_fixed_1_pu,output_fixed_2_pu,output_fixed_3_pu,branch_current_branch_fixed_1_pu,branch_current_branch_fixed_7_pu,branch_current_branch_fixed_9_pu,branch_current_branch_fixed_10_pu,torque_Nm_pu,mechanical_speed_rad_s_pu,mechanical_angle_rad_pu,phase_a_current_A_pu,phase_b_current_A_pu,phase_c_current_A_pu,shorted_rotor_axis_current_1_A_pu,shorted_rotor_axis_current_2_A_pu
0.0286,-1093.14801441,-636.021329766,-829.119572834,-2221.00639907,1922.26758724,2857.02772884,184.725133048,92.362566524,184.721167977,-1148.0074898,-662.092277414,1810.09976722,184.725133048,-636.021329766,-1093.14801441,184.725133048,356.103321671,203.083919358,-1.28478816152,-3965.07077019,-4166.86990101,184.725648031,6.06855169709,356.103321671,-73.0226335351,-283.080688136,104.774529547,-363.038547445
0.0288,-970.47492925,-413.370872054,-957.934705397,-2366.60883234,1928.40963465,2779.97970439,184.725130484,92.3625652418,184.721165413,-1037.33156764,-788.893269962,1826.2248376,184.725130484,-413.370872054,-970.47492925,184.725130484,345.960312189,203.083916539,-1.22829803824,-3965.07077019,-4166.92638836,184.725648031,6.10549682669,345.960312189,-45.0169059637,-300.943406225,104.230578069,-363.200670814
0.029,-842.109593209,-188.371558588,-1081.24574171,-2498.76372213,1923.35533492,2687.13528072,184.725128033,92.3625640163,184.721162962,-920.562163578,-911.143382996,1831.70554658,184.725128033,-188.371558588,-842.109593209,184.725128033,333.851211459,203.083913844,-1.17376184464,-3965.07077016,-4166.98092187,184.725648031,6.1424419563,333.851211459,-16.7549231183,-317.096288341,103.686582382,-363.361732398
0.0292,-709.125094491,37.6981196502,-1198.49003678,-2616.720138,1907.61513127,2579.02201835,184.72512569,92.3625628451,184.721160619,-798.747718327,-1028.30256386,1827.05028219,184.72512569,37.6981196502,-709.125094491,184.72512569,319.844945275,203.083911269,-1.12180963159,-3965.07077019,-4167.0328715,184.725648031,6.1793870859,319.844945275,11.6025628506,-331.447508126,103.142696205,-363.521629763
0.0294,-571.958126901,263.553589652,-1308.83174675,-2719.80782807,1880.78987366,2456.25423842,184.725123451,92.3625617256,184.72115838,-672.223181139,-1139.51509573,1811.73827687,184.725123451,263.553589652,-571.958126901,184.725123451,304.020972103,203.083908807,-1.07232058048,-3965.07077016,-4167.08235813,184.725648031,6.21633221551,304.020972103,39.8945731788,-343.915545281,102.598721886,-363.680431637
0.0296,-431.680864803,487.911495585,-1411.84439638,-2807.44102752,1843.52526118,2319.52953193,184.72512131,92.3625606551,184.721156239,-542.035385682,-1244.37361616,1786.40900184,184.72512131,487.911495585,-431.680864803,184.72512131,286.469340843,203.083906454,-1.02592432499,-3965.07077016,-4167.12875199,184.725648031,6.25327734512,286.469340843,67.9601924486,-354.429533291,102.054809916,-363.838036961
0.0298,-288.825114563,709.496991071,-1506.7121969,-2879.12178702,1795.53731146,2169.62479595,184.725119261,92.3625596304,184.72115419,-408.626974715,-1342.02419377,1750.65116848,184.725119261,709.496991071,-288.825114563,184.725119261,267.289642424,203.083904201,-0.982427060604,-3965.07077016,-4167.172247,184.725648031,6.29022247472,267.289642424,95.6400910609,-362.929733485,101.510762058,-363.994520724
0.03,-144.439192151,927.050983125,-1593.15547368,-2934.4428022,1737.59466583,2007.39181908,184.725117297,92.3625586483,184.721152226,-273.020972276,-1432.20246758,1705.22343986,184.725117297,927.050983125,-144.439192151,184.725117297,246.591005734,203.083902041,-0.942453742027,-3965.07077016,-4167.21221815,184.725648031,6.32716760433,246.591005734,122.77684183,-369.367847564,100.966726139,-364.149783464
0.0302,0.863313006615,1139.33728657,-1670.39591475,-2973.08972802,1669.53260175,1833.75244146,184.725115411,92.3625577054,184.72115034,-135.756257711,-1514.07444776,1649.83070547,184.725115411,1139.33728657,0.863313006615,184.725115411,224.490893164,203.083899968,-0.90573361516,-3965.07077016,-4167.24893618,184.725648031,6.36411273394,224.490893164,149.216381255,-373.707274419,100.422503976,-364.303906582
0.0304,146.080613042,1345.14964827,-1738.3082246,-2994.84296494,1592.22761156,1649.69331667,184.725113596,92.3625567979,184.721148525,2.18991543369,-1587.52615346,1585.33623802,184.725113596,1345.14964827,146.080613042,184.725113596,201.11503747,203.083897973,-0.872883498669,-3965.07077014,-4167.28178435,184.725648031,6.40105786354,201.11503747,174.808342766,-375.923380236,99.8782413076,-364.456792346
0.0306,290.532243755,1543.31860134,-1796.16787003,-2999.57890673,1505.63562628,1456.26030539,184.725111844,92.3625559222,184.721146774,140.195761691,-1651.76093852,1511.56517683,184.725111844,1543.31860134,290.532243755,184.725111844,176.596105831,203.083896047,-0.843553006649,-3965.07077016,-4167.31111289,184.725648031,6.43800299315,176.596105831,199.407426321,-376.003532152,99.3337406491,-364.608528623
0.0308,433.284845894,1732.71811027,-1844.00826673,-2987.27064282,1410.72342084,1254.55253255,184.725110149,92.3625550743,184.721145078,277.351041287,-1706.81945609,1429.4684148,184.725110149,1732.71811027,433.284845894,184.725110149,151.073581941,203.083894183,-0.818348228931,-3965.07077014,-4167.33631576,184.725648031,6.47494812275,151.073581941,222.873738168,-373.947320109,98.7891462344,-364.759019457
0.031,573.607211569,1912.27196925,-1881.17349715,-2957.98811121,1307.56628558,1045.71614197,184.7251085,92.3625542502,184.72114343,412.96594434,-1751.95868435,1338.99274001,184.7251085,1912.27196925,573.607211569,184.7251085,124.692325955,203.083892371,-0.796837866306,-3965.07077011,-4167.35782436,184.725648031,6.51189325236,124.692325955,245.074040121,-369.766366076,98.2442619184,-364.908359142
0.0312,710.655059421,2080.95991744,-1907.85664869,-2911.8977011,1197.20158927,830.937783665,184.725106892,92.3625534459,184.721141821,546.217305231,-1787.37491299,1241.15760776,184.725106892,2080.95991744,710.655059421,184.725106892,97.6024075031,203.083890602,-0.779615789652,-3965.07077016,-4167.37504467,184.725648031,6.54883838197,97.6024075031,265.88208583,-363.484493333,97.6992309993,-365.056453452
0.0314,843.663413287,2237.82343627,-1923.48348328,-2849.2613074,1079.82006999,611.437871123,184.725105314,92.3625526572,184.721140244,676.363371037,-1812.39356654,1136.03019551,184.725105314,2237.82343627,843.663413287,184.725105314,69.9575911331,203.083888868,-0.766168922186,-3965.07077014,-4167.38848979,184.725648031,6.58578351157,69.9575911331,285.179723533,-355.137314666,97.153859296,-365.203402984
0.0316,971.896008678,2381.97119594,-1928.40429639,-2770.43484257,956.508287712,388.463646629,184.72510376,92.3625518801,184.721138689,802.686483224,-1827.36426514,1024.67778191,184.72510376,2381.97119594,971.896008678,184.72510376,41.9151271579,203.083887159,-0.757078945637,-3965.07077014,-4167.39757803,184.725648031,6.62272864118,41.9151271579,302.857219199,-344.772346357,96.6082897176,-365.349115112
0.0318,1094.57152882,2512.58412013,-1922.13755646,-2675.86621433,827.566027641,163.282094205,184.72510222,92.3625511102,184.72113715,924.40985425,-1831.69394328,907.284089034,184.72510222,2512.58412013,1094.57152882,184.72510222,13.6341938228,203.083885467,-0.751751631498,-3965.07077019,-4167.40290361,184.725648031,6.65967377079,13.6341938228,318.814189569,-332.448383391,96.0623306409,-365.493696528
0.032,1211.07852892,2628.92004013,-1905.18490066,-2566.09278048,694.106371733,-62.8272596503,184.725100687,92.3625503437,184.721135617,1040.93772427,-1825.8799506,784.942226326,184.725100687,2628.92004013,1211.07852892,184.725100687,-14.7243461122,203.083883781,-0.75075724721,-3965.07077011,-4167.4038964,184.725648031,6.69661890039,-14.7243461122,332.959903171,-318.235557059,95.5161250974,-365.637055992
0.0322,1320.63683479,2730.31791205,-1877.16627991,-2441.73829557,556.529445118,-288.579616483,184.725099152,92.3625495762,184.721134082,1151.47562151,-1809.42178059,657.946159084,184.725099152,2730.31791205,1320.63683479,184.725099152,-42.9995142731,203.083882094,-0.753421723843,-3965.07077014,-4167.40123018,184.725648031,6.73356403,-42.9995142731,345.214023952,-302.214509679,94.9694845743,-365.779306008
0.0324,1422.77410501,2816.20157296,-1838.72549971,-2303.50936659,415.951394704,-512.69220637,184.725097608,92.3625488039,184.721132537,1255.56366122,-1782.95570177,527.392040549,184.725097608,2816.20157296,1422.77410501,184.725097608,-71.0304856953,203.083880396,-0.760305613279,-3965.07077014,-4167.39434459,184.725648031,6.7705091596,-71.0304856953,355.506882057,-284.476396362,94.4225526911,-365.920356437
0.0326,1516.72845434,2886.08301476,-1789.59035789,-2152.19143789,272.861903557,-733.891576869,184.725096046,92.3625480228,184.721130975,1352.40709099,-1746.08259365,393.675502671,184.725096046,2886.08301476,1516.72845434,184.725096046,-98.6581362904,203.083878678,-0.770658105612,-3965.07077014,-4167.38399036,184.725648031,6.80745428921,-98.6581362904,363.780012239,-265.121875948,93.8751445462,-366.060325239
0.0328,1602.17807777,2939.56515715,-1730.5345164,-1988.64432812,128.356438628,-950.920829032,184.725094458,92.3625472291,184.721129387,1441.69313695,-1699.56577883,257.87264188,184.725094458,2939.56515715,1602.17807777,184.725094458,-125.725328305,203.083876933,-0.785032510757,-3965.07077011,-4167.36961423,184.725648031,6.84439941882,-125.725328305,369.98638739,-244.261059085,93.3274047573,-366.19912303
0.033,1678.39580953,2976.34410394,-1661.39746894,-1813.79734459,-16.9983405885,-1162.54675936,184.725092838,92.3625464191,184.721127767,1522.64383915,-1643.11397296,120.470133812,184.725092838,2976.34410394,1678.39580953,184.725092838,-152.078404239,203.083875152,-0.802604585886,-3965.07077011,-4167.35204038,184.725648031,6.88134454842,-152.078404239,374.090740186,-222.012335947,92.7791524747,-366.336872809
0.0332,1745.21869112,2996.21086982,-1583.06752165,-1628.64400273,-162.151169468,-1367.56686709,184.725091178,92.3625455892,184.721126108,1595.10176048,-1577.60285676,-17.498903726,184.725091178,2996.21086982,1745.21869112,184.725091178,-177.567479324,203.083873327,-0.823923975229,-3965.07077011,-4167.33071911,184.725648031,6.91828967803,-177.567479324,376.069753593,-198.502274268,92.2305336606,-366.473485544
0.0334,1801.9696334,2999.05256785,-1495.49715218,-1434.23638076,-306.472481223,-1564.81618709,184.725089472,92.3625447361,184.721124402,1658.32210584,-1502.85295569,-155.469150148,184.725089472,2999.05256785,1801.9696334,184.725089472,-202.047850841,203.083871451,-0.848097503185,-3965.07077011,-4167.30654375,184.725648031,6.95523480764,-202.047850841,375.912158708,-173.864307867,91.6813718901,-366.609088807
0.0336,1848.64950485,2984.85305094,-1399.67150128,-1231.67914159,-448.978003578,-1753.17390936,184.725087713,92.3625438567,184.721122643,1712.30778389,-1419.83506787,-292.472716022,184.725087713,2984.85305094,1848.64950485,184.725087713,-225.380288218,203.083869518,-0.875675410032,-3965.07077011,-4167.2789639,184.725648031,6.99217993724,-225.380288218,373.618877865,-148.238589648,91.1318147466,-366.74359347
0.0338,1884.64524891,2953.69300359,-1295.65477071,-1022.12325583,-588.990478204,-1931.56974776,184.725085896,92.3625429478,184.721120825,1756.36248754,-1328.48298293,-427.879504611,184.725085896,2953.69300359,1884.64524891,184.725085896,-247.432328413,203.083867519,-0.905700296164,-3965.07077008,-4167.24893702,184.725648031,7.02912506685,-247.432328413,369.202896298,-121.770567885,90.5816905299,-366.877131174
0.034,1910.12307585,2905.74948339,-1184.50889104,-806.759461846,-725.614184812,-2098.99002154,184.725084014,92.3625420068,184.721118943,1790.65112389,-1229.84317481,-560.807949075,184.725084014,2905.74948339,1910.12307585,184.725084014,-268.078554524,203.08386545,-0.938728123903,-3965.07077011,-4167.21590711,184.725648031,7.06607019645,-268.078554524,362.689354965,-94.610800441,90.0311486458,-367.009612215
0.0342,1924.54622486,2841.29491498,-1066.40605094,-586.811499666,-858.140173914,-2254.48341532,184.725082062,92.362541031,184.721116991,1814.53982846,-1123.96164648,-690.578181984,184.725082062,2841.29491498,1924.54622486,184.725082062,-287.20175022,203.083863305,-0.973742872477,-3965.07077008,-4167.18089023,184.725648031,7.10301532606,-287.20175022,354.115198356,-66.9134481355,89.4800223419,-367.141171769
0.0344,1928.24423523,2760.6955421,-942.463104092,-363.529157489,-985.78113114,-2397.16638461,184.725080036,92.3625400182,184.721114966,1828.35373472,-1011.93930003,-816.414434692,184.725080036,2760.6955421,1928.24423523,184.725080036,-304.693158295,203.083861078,-1.01131144166,-3965.07077008,-4167.1433194,184.725648031,7.13996045567,-304.693158295,343.529215733,-38.8360574372,88.9284629702,-367.271719055
0.0346,1920.76696378,2664.40934644,-812.954137365,-138.181170122,-1107.81282641,-2526.22817632,184.725077933,92.3625389664,184.721112862,1831.5337233,-893.930865332,-937.602857969,184.725077933,2664.40934644,1920.76696378,184.725077933,-320.453470044,203.083858765,-1.05036535859,-3965.07077005,-4167.10426326,184.725648031,7.17690558527,-320.453470044,330.991472073,-10.5380020295,88.3763088695,-367.401392235
0.0348,1902.60175251,2552.98344538,-679.027695083,87.9519902167,-1223.57405743,-2640.9354356,184.725075747,92.3625378736,184.721110676,1824.55996208,-771.069056198,-1053.49090589,184.725075747,2552.98344538,1902.60175251,184.725075747,-334.393055953,203.083856362,-1.09148797393,-3965.07077011,-4167.06313814,184.725648031,7.21385071488,-334.393055953,316.573297983,17.8197579695,87.8237133825,-367.530098942
0.035,1873.39325547,2427.05098312,-541.051499389,313.585389803,-1332.34175608,-2740.63637293,184.725073477,92.3625367383,184.721108406,1806.95848534,-643.61153037,-1163.34695497,184.725073477,2427.05098312,1873.39325547,184.725073477,-346.432769332,203.083853866,-1.13356465101,-3965.07077008,-4167.02105898,184.725648031,7.25079584449,-346.432769332,300.356515309,46.0762540237,87.2705200033,-367.657979766
0.0352,1833.77766792,2287.32753303,-400.181676372,537.436934651,-1433.59599155,-2824.76446768,184.725071119,92.3625355594,184.721106048,1779.35596215,-512.699298895,-1266.65666326,184.725071119,2287.32753303,1833.77766792,184.725071119,-356.504142323,203.083851274,-1.17720153928,-3965.07077008,-4166.97741949,184.725648031,7.28774097409,-356.504142323,282.433377517,74.0707648066,86.7168840315,-367.784940248
0.0354,1783.50032945,2134.60703163,-256.869370504,758.234655629,-1526.63095894,-2892.84168726,184.725068671,92.3625343357,184.721103601,1741.37189979,-378.685008507,-1362.68689128,184.725068671,2134.60703163,1783.50032945,184.725068671,-364.549986942,203.083848583,-1.22124391794,-3965.07077002,-4166.93337447,184.725648031,7.3246861037,-364.549986942,262.905605806,101.644381136,86.1626541018,-367.911122864
