time_s,phase_a_grid_voltage_v,phase_a_grid_current_a,phase_b_grid_current_a,phase_c_grid_current_a,neutral_current_a,dc_link_voltage_v,active_power_w,reactive_power_var,positive_sequence_voltage_v,negative_sequence_voltage_v,zero_sequence_voltage_v,controller_frequency_hz,phase_a_duty,operating_mode,request_disposition
0.00058,341.975874961,5.43837890517,-3.76496052315,-1.67341838202,0,800.107518097,2689.22328973,1071.9034828,350.434899184,348.621729671,6.14606616875e-14,50,0.944257497943,0,0
0.0006,341.255191159,6.00785373962,-4.53099215221,-1.47686158741,0,800.094919359,2923.84778242,1418.68389761,350.434899184,348.621729671,6.14606616875e-14,50,0.944257497943,0,0
0.00062,340.324062204,4.18104384448,-1.58534216663,-2.59570167784,0,800.076339682,2186.2458877,74.0770720364,350.096957911,347.969389769,6.10793124474e-14,50,0.949739555805,0,0
0.00064,339.643939728,5.73797571555,-2.35407875869,-3.38389695686,0,800.062109421,2977.81833574,223.199918371,350.096957911,347.969389769,6.10793124474e-14,50,0.949739555805,0,0
0.00066,338.974238894,7.65387009245,-3.84941420088,-3.80445589157,0,800.048528421,3889.2480632,735.372074987,349.727506327,347.25826749,5.67165044155e-14,50,0.949869514766,0,0
0.00068,338.287272447,9.57395179239,-5.36148713886,-4.21246465353,0,800.031163106,4793.76549232,1265.36764432,349.727506327,347.25826749,5.67165044155e-14,50,0.949869514766,0,0
0.0007,337.473060709,10.1112871979,-6.20401489667,-3.90727230126,0,800.013155415,4986.29476337,1678.81655047,349.727506327,347.25826749,5.67165044155e-14,50,0.949869514766,0,0
0.00072,336.459248766,8.35075783561,-3.23601608672,-5.11474174889,0,799.9902942,4325.87370464,309.750688839,349.343065636,346.509935076,5.41870452277e-14,50,0.955340393112,0,0
0.00074,335.667184977,9.56905730752,-3.35741570612,-6.2116416014,0,799.970482652,4991.73976289,179.008348085,349.343065636,346.509935076,5.41870452277e-14,50,0.955340393112,0,0
0.00076,334.918348273,11.519479316,-4.9502236927,-6.56925562331,0,799.949522902,5888.09986408,774.74799237,348.930895704,345.706117118,4.84595581795e-14,50,0.954841675869,0,0
0.00078,334.15537192,13.4747697154,-6.55966650859,-6.91510320681,0,799.924733767,6776.69959591,1387.65945052,348.930895704,345.706117118,4.84595581795e-14,50,0.954841675869,0,0
0.0008,333.28738121,14.2874157301,-7.60630727729,-6.68110845286,0,799.899563014,7082.25598766,1884.37333421,348.930895704,345.706117118,4.84595581795e-14,50,0.954841675869,0,0
0.00082,332.196729381,12.4741379912,-4.73218179743,-7.7419561938,0,799.872683341,6417.60773058,582.791460849,348.507434899,344.869404801,4.34145798616e-14,50,0.960325413711,0,0
0.00084,331.315854744,13.4506526416,-4.39323593484,-9.05741670674,0,799.846508008,7004.8102923,261.032785797,348.507434899,344.869404801,4.34145798616e-14,50,0.960325413711,0,0
0.00086,330.503610437,15.4389858935,-6.08382983142,-9.35515606208,0,799.818172885,7883.34591616,938.749857807,348.060117819,343.980947255,3.89402208524e-14,50,0.959611443902,0,0
0.00088,329.68036508,17.4327069448,-7.79088684867,-9.64182009615,0,799.785956706,8753.33108002,1633.00244289,348.060117819,343.980947255,3.89402208524e-14,50,0.959611443902,0,0
0.0009,328.750584356,18.2259840196,-8.89654396616,-9.3294400534,0,799.755185943,9019.32541164,2182.67293663,348.060117819,343.980947255,3.89402208524e-14,50,0.959611443902,0,0
0.00092,327.614147239,16.5555206981,-5.92299794885,-10.6325227493,0,799.724939988,8487.66630919,806.621375959,347.604378173,343.062964487,3.78638889183e-14,50,0.964802936096,0,0
0.00094,326.648382215,17.1461053111,-4.83023439759,-12.3158709135,0,799.692921383,8972.61526275,149.719780222,347.604378173,343.062964487,3.78638889183e-14,50,0.964802936096,0,0
0.00096,325.788321478,19.1754772712,-6.61994482789,-12.5555324433,0,799.657677797,9832.42466145,908.82189912,347.130056282,342.097603565,3.78167627934e-14,50,0.963497952693,0,0
0.00098,324.920289895,21.2106001784,-8.4258907347,-12.7847094437,0,799.618493982,10682.9400671,1683.8713736,347.130056282,342.097603565,3.78167627934e-14,50,0.963497952693,0,0
0.001,323.958199595,22.1645343349,-9.7107872844,-12.4537470505,0,799.581890424,10991.7921417,2326.58634921,347.130056282,342.097603565,3.78167627934e-14,50,0.963497952693,0,0
0.00102,322.776487574,20.4553736171,-6.8670308609,-13.5883427562,0,799.547138105,10456.9138005,1036.9332808,346.651286287,341.1072102,3.42645794508e-14,50,0.958207335004,0,0
0.00104,321.744850728,20.7127247363,-5.12120536963,-15.5915193667,0,799.51127008,10875.103776,93.6294503122,346.651286287,341.1072102,3.42645794508e-14,50,0.958207335004,0,0
0.00106,320.851782107,22.7854016859,-7.01017527258,-15.7752264133,0,799.469462606,11714.1480409,932.626310269,346.158401948,340.073529449,3.52069986952e-14,50,0.951925300529,0,0
0.00108,319.953549733,24.8640453202,-8.91511448982,-15.9489308304,0,799.42365397,12543.2045677,1787.04323264,346.158401948,340.073529449,3.52069986952e-14,50,0.951925300529,0,0
0.0011,318.958336474,25.7905541832,-10.268257913,-15.5222962702,0,799.382162732,12802.332305,2486.5806284,346.158401948,340.073529449,3.52069986952e-14,50,0.951925300529,0,0
0.00112,317.731654636,23.871835567,-7.69969788601,-16.172137681,0,799.344206922,12137.6742053,1379.68447359,345.664618741,339.018764442,3.84720337499e-14,50,0.945744342193,0,0
0.00114,316.643872777,23.7467135433,-5.19735013957,-18.5493634037,0,799.304328346,12499.4219954,98.444736799,345.664618741,339.018764442,3.84720337499e-14,50,0.945744342193,0,0
0.00116,315.731346806,25.8651238717,-7.18570322712,-18.6794206446,0,799.256998885,13316.2852759,1014.75860445,345.160476948,337.924132667,3.91714052702e-14,50,0.940681920169,0,0
0.00118,314.816138372,27.9895906797,-9.18974583057,-18.7998448491,0,799.205702422,14122.5106297,1946.05285515,345.160476948,337.924132667,3.91714052702e-14,50,0.940681920169,0,0
0.0012,313.789260223,28.747603626,-10.5378200286,-18.2097835974,0,799.161217989,14264.22444,2673.67552178,345.160476948,337.924132667,3.91714052702e-14,50,0.940681920169,0,0
0.00122,312.535765641,26.6921223632,-8.19024760233,-18.5018747608,0,799.122160368,13514.9099966,1699.43792775,344.65872685,336.811968151,4.0552113501e-14,50,0.935128205702,0,0
0.00124,311.401151192,26.1510518529,-4.86057041834,-21.2904814346,0,799.084762042,13838.8779198,45.4073635378,344.65872685,336.811968151,4.0552113501e-14,50,0.935128205702,0,0
0.00126,310.475072907,28.2438564762,-6.80197656736,-21.4418799088,0,799.028897358,14620.4914861,965.5737794,344.15088924,335.663397402,3.89924168279e-14,50,0.930576648705,0,0
0.00128,309.554245273,30.416258196,-8.90590920009,-21.510348996,0,798.973562604,15403.4697275,1971.99909984,344.15088924,335.663397402,3.89924168279e-14,50,0.930576648705,0,0
0.0013,308.490732236,30.8083923636,-10.1659974279,-20.6423949357,0,798.931044336,15334.5241641,2693.80657861,344.15088924,335.663397402,3.89924168279e-14,50,0.930576648705,0,0
0.00132,307.219011977,28.5942508578,-8.10082004004,-20.4934308178,0,798.890991529,14471.5158344,1876.13723872,343.64830826,334.500303356,3.75482532417e-14,50,0.926299739239,0,0
0.00134,306.087994538,28.1457417769,-4.95709947953,-23.1886422974,0,798.851064839,14857.5569356,341.092839362,343.64830826,334.500303356,3.75482532417e-14,50,0.926299739239,0,0
0.00136,305.131994952,29.8894822578,-6.2010821865,-23.6884000713,0,798.794640574,15561.031024,946.559985873,343.143924773,333.304722082,3.62072441973e-14,50,0.922869493142,0,0
0.00138,304.214633899,32.1115569072,-8.40500397761,-23.7065529296,0,798.736750012,16319.5466391,2025.58195853,343.143924773,333.304722082,3.62072441973e-14,50,0.922869493142,0,0
0.0014,303.009308132,30.7125882155,-8.83213432405,-21.8804538914,0,798.687708223,15397.8966444,2440.85280717,343.143924773,333.304722082,3.62072441973e-14,50,0.922869493142,0,0
0.00142,301.683189049,27.7862221284,-6.67186273228,-21.1143593961,0,798.64359422,14187.8724054,1604.7830625,342.645210637,332.094828816,3.74705364753e-14,50,0.923138496656,0,0
0.00144,300.560273052,27.3932208242,-3.6312978229,-23.7619230013,0,798.603298595,14633.0884509,141.288085046,342.645210637,332.094828816,3.74705364753e-14,50,0.923138496656,0,0
0.00146,299.592657765,28.9303877239,-4.4543064501,-24.4760812739,0,798.549806975,15300.5216866,560.318823139,342.146793173,330.853871433,4.10940595508e-14,50,0.923851429135,0,0
0.00148,298.685604371,31.2073929016,-6.76031454396,-24.4470783576,0,798.494591231,16036.9738102,1705.82954396,342.146793173,330.853871433,4.10940595508e-14,50,0.923851429135,0,0
0.0015,297.592992812,31.1356085252,-7.93292649075,-23.2026820345,0,798.459371724,15693.4581293,2403.53281777,342.146793173,330.853871433,4.10940595508e-14,50,0.923851429135,0,0
