time_s,source_value,secondary_value,held_value
0.00377,92.6265098617,3.61620648852e-06,3.44593703268e-06
0.00378,92.7445370711,3.63034078349e-06,3.44593703268e-06
0.00379,92.8614753672,3.64454958431e-06,3.44593703268e-06
0.0038,92.977670594,3.65884930598e-06,3.51680632286e-06
0.00381,93.0927748588,3.67319487342e-06,3.51680632286e-06
0.00382,93.2071335194,3.68751336174e-06,3.51680632286e-06
0.00383,93.3203992052,3.70175723141e-06,3.51680632286e-06
0.00384,93.4329167886,3.71593821511e-06,3.51680632286e-06
0.00385,93.5443394203,3.73011762802e-06,3.5878923733e-06
0.00386,93.655011488,3.74436091396e-06,3.5878923733e-06
0.00387,93.7645866632,3.75869003052e-06,3.5878923733e-06
0.00388,93.8734088496,3.77306821684e-06,3.5878923733e-06
0.00389,93.981132239,3.78742757723e-06,3.5878923733e-06
0.0039,94.0881002516,3.8017187118e-06,3.65884930598e-06
0.00391,94.1939675987,3.81594605029e-06,3.65884930598e-06
0.00392,94.2990772183,3.83016356e-06,3.65884930598e-06
0.00393,94.4030843401,3.84443464301e-06,3.65884930598e-06
0.00394,94.5063314206,3.85878590733e-06,3.65884930598e-06
0.00395,94.6084742076,3.87318842003e-06,3.73011762802e-06
0.00396,94.7098546766,3.88757954949e-06,3.73011762802e-06
0.00397,94.8101290927,3.90190884543e-06,3.73011762802e-06
0.00398,94.9096389515,3.9161742653e-06,3.73011762802e-06
0.00399,95.0080410345,3.93042265923e-06,3.73011762802e-06
0.004,95.105676358,3.94471481474e-06,3.8017187118e-06
0.00401,95.2022022197,3.9590810421e-06,3.8017187118e-06
0.00402,95.2979591571,3.97349965102e-06,3.8017187118e-06
0.00403,95.3926049831,3.98791348742e-06,3.8017187118e-06
0.00404,95.4864797577,4.00227185958e-06,3.8017187118e-06
0.00405,95.5792418081,4.01656702926e-06,3.87318842003e-06
0.00406,95.6712307173,4.03083893216e-06,3.87318842003e-06
0.00407,95.7621053265,4.04514527052e-06,3.87318842003e-06
0.00408,95.8522047422,4.0595192613e-06,3.87318842003e-06
0.00409,95.9411883191,4.07394588186e-06,3.87318842003e-06
0.0041,96.029394688,4.08837350431e-06,3.94471481474e-06
0.00411,96.1164837161,4.10275185201e-06,3.94471481474e-06
0.00412,96.2027935595,4.11706829026e-06,3.94471481474e-06
0.00413,96.2879845972,4.13135617984e-06,3.94471481474e-06
0.00414,96.3723945112,4.1456697517e-06,3.94471481474e-06
0.00415,96.4556841917,4.16004431924e-06,4.01656702926e-06
0.00416,96.5381908475,4.17447091775e-06,4.01656702926e-06
0.00417,96.6195758791,4.18890347814e-06,4.01656702926e-06
0.00418,96.700176023,4.20329275201e-06,4.01656702926e-06
0.00419,96.7796531894,4.21762193325e-06,4.01656702926e-06
0.0042,96.8583436429,4.23191813719e-06,4.08837350431e-06
0.00421,96.9359098029,4.24623184657e-06,4.08837350431e-06
0.00422,97.012687463,4.2605997891e-06,4.08837350431e-06
0.00423,97.088339551,4.27501844849e-06,4.08837350431e-06
0.00424,97.1632013901,4.2894472187e-06,4.08837350431e-06
0.00425,97.2369364158,4.30383838027e-06,4.16004431924e-06
0.00426,97.309879482,4.31817168769e-06,4.16004431924e-06
0.00427,97.3816945311,4.3324684214e-06,4.16004431924e-06
0.00428,97.4527159482,4.34677509872e-06,4.16004431924e-06
0.00429,97.5226081822,4.36112919658e-06,4.16004431924e-06
0.0043,97.5917051498,4.37553204267e-06,4.23191813719e-06
0.00431,97.6596718058,4.38994838359e-06,4.23191813719e-06
0.00432,97.7268415997,4.40433246508e-06,4.23191813719e-06
0.00433,97.7928799912,4.41866125507e-06,4.23191813719e-06
0.00434,97.858119963,4.4329506078e-06,4.23191813719e-06
0.00435,97.9222274792,4.44724295798e-06,4.30383838027e-06
0.00436,97.9855350569,4.46157597202e-06,4.30383838027e-06
0.00437,98.0477091637,4.47595521906e-06,4.30383838027e-06
0.00438,98.1090818515,4.49035059558e-06,4.30383838027e-06
0.00439,98.1693200908,4.50471866428e-06,4.30383838027e-06
0.0044,98.2287554691,4.51903424917e-06,4.37553204267e-06
0.00441,98.2870554594,4.53330822713e-06,4.37553204267e-06
0.00442,98.3445511854,4.54757887721e-06,4.37553204267e-06
0.00443,98.4009106217,4.56188353337e-06,4.37553204267e-06
0.00444,98.456464429,4.57623143168e-06,4.37553204267e-06
0.00445,98.5108810827,4.59059740282e-06,4.44724295798e-06
0.00446,98.5644907816,4.60494060766e-06,4.44724295798e-06
0.00447,98.6169625012,4.61923429267e-06,4.44724295798e-06
0.00448,98.6686259785,4.63348480498e-06,4.44724295798e-06
0.00449,98.719150689,4.64772627838e-06,4.44724295798e-06
0.0045,98.7688659088,4.6619952783e-06,4.51903424917e-06
0.00451,98.8174416121,4.67630414234e-06,4.51903424917e-06
0.00452,98.865206615,4.69063235883e-06,4.51903424917e-06
0.00453,98.9118313901,4.70494190344e-06,4.51903424917e-06
0.00454,98.9576442939,4.71920498687e-06,4.51903424917e-06
0.00455,99.0023162966,4.73342388562e-06,4.59059740282e-06
0.00456,99.0461752961,4.74762863194e-06,4.59059740282e-06
0.00457,99.0888927594,4.76185463528e-06,4.59059740282e-06
0.00458,99.1307961266,4.77611680936e-06,4.59059740282e-06
0.00459,99.1715573607,4.79039901411e-06,4.59059740282e-06
0.0046,99.2115034447,4.80466618952e-06,4.6619952783e-06
0.00461,99.2503068371,4.81888998252e-06,4.6619952783e-06
0.00462,99.2882940642,4.83306905321e-06,4.6619952783e-06
0.00463,99.3251380795,4.84722944014e-06,4.6619952783e-06
0.00464,99.3611649535,4.86140507937e-06,4.6619952783e-06
0.00465,99.3960481338,4.87561295284e-06,4.73342388562e-06
0.00466,99.4301132359,4.88984097074e-06,4.73342388562e-06
0.00467,99.4630342007,4.9040571371e-06,4.73342388562e-06
0.00468,99.4951361893,4.91823297266e-06,4.73342388562e-06
0.00469,99.5260936355,4.93236396764e-06,4.73342388562e-06
0.0047,99.5562312467,4.94647229954e-06,4.80466618952e-06
0.00471,99.5852239489,4.96059016518e-06,4.80466618952e-06
0.00472,99.6133959963,4.97473615185e-06,4.80466618952e-06
0.00473,99.6404228064,4.98890189416e-06,4.80466618952e-06
0.00474,99.6666281813,5.00305850162e-06,4.80466618952e-06
0.00475,99.691688029,5.01717774437e-06,4.87561295284e-06
0.00476,99.7159257001,5.0312523788e-06,4.87561295284e-06
0.00477,99.7390175927,5.04530089945e-06,4.87561295284e-06
0.00478,99.7612866065,5.05935355499e-06,4.87561295284e-06
0.00479,99.7824096291,5.07343009996e-06,4.87561295284e-06
0.0048,99.8027091099,5.08752555202e-06,4.94647229954e-06
0.00481,99.8218624252,5.10161412941e-06,4.94647229954e-06
0.00482,99.8401915748,5.1156681878e-06,4.94647229954e-06
0.00483,99.8573744233,5.129678166e-06,4.94647229954e-06
0.00484,99.8737325216,5.14365907069e-06,4.94647229954e-06
0.00485,99.8889442216,5.15763904274e-06,5.01717774437e-06
0.00486,99.9033306261,5.17163861156e-06,5.01717774437e-06
0.00487,99.9165705737,5.1856558377e-06,5.01717774437e-06
0.00488,99.9289847198,5.1996680045e-06,5.01717774437e-06
0.00489,99.940252389,5.21364833529e-06,5.01717774437e-06
0.0049,99.9506937899,5.22758535135e-06,5.08752555202e-06
0.00491,99.9599887326,5.24149079559e-06,5.08752555202e-06
0.00492,99.9684569794,5.25539058726e-06,5.08752555202e-06
0.00493,99.9757788253,5.26930566806e-06,5.08752555202e-06
0.00494,99.9822735871,5.2832368003e-06,5.08752555202e-06
0.00495,99.9876220438,5.29716426024e-06,5.15763904274e-06
0.00496,99.9921430675,5.31106238062e-06,5.15763904274e-06
0.00497,99.9955179205,5.32491813844e-06,5.15763904274e-06
0.00498,99.9980650309,5.33874024673e-06,5.15763904274e-06
0.00499,99.9994661437,5.35255233283e-06,5.15763904274e-06
0.005,65.0127618901,5.34804738773e-06,5.22758535135e-06
0.00501,64.9869258166,5.2579800485e-06,5.22758535135e-06
0.00502,65.0114605273,5.03297350991e-06,5.22758535135e-06
0.00503,64.9843785085,4.79794603456e-06,5.22758535135e-06
0.00504,65.0075931534,4.80859971898e-06,5.22758535135e-06
0.00505,64.9792651987,5.13380755322e-06,5.29716426024e-06
0.00506,65.0011599203,5.49307883165e-06,5.29716426024e-06
0.00507,64.9715860898,5.54329546082e-06,5.29716426024e-06
0.00508,64.9921610813,5.26794342959e-06,5.29716426024e-06
0.00509,64.9613414858,4.96491036073e-06,5.29716426024e-06
0.0051,64.9805969907,4.88636765043e-06,5.34804738773e-06
0.00511,64.9485317919,5.01997028599e-06,5.34804738773e-06
0.00512,64.9664681045,5.21879454542e-06,5.34804738773e-06
0.00513,64.9331575146,5.39039787267e-06,5.34804738773e-06
0.00514,64.9497749795,5.48458596144e-06,5.34804738773e-06
0.00515,64.9152192615,5.42289717618e-06,5.13380755322e-06
0.00516,64.930518274,5.18825427639e-06,5.13380755322e-06
0.00517,64.8947177416,4.94887180243e-06,5.13380755322e-06
0.00518,64.9086987475,4.94659180547e-06,5.13380755322e-06
0.00519,64.8716537651,5.21945029733e-06,5.13380755322e-06
0.0052,64.8843172607,5.52560762278e-06,4.88636765043e-06
0.00521,64.8460282431,5.59831714071e-06,4.88636765043e-06
0.00522,64.8573747753,5.41801092493e-06,4.88636765043e-06
0.00523,64.8178421882,5.18223076602e-06,4.88636765043e-06
0.00524,64.8278723542,5.06918648095e-06,4.88636765043e-06
0.00525,64.7870967139,5.11156839951e-06,5.42289717618e-06
0.00526,64.7958111613,5.26075021094e-06,5.42289717618e-06
0.00527,64.7537930346,5.45434598284e-06,5.42289717618e-06
0.00528,64.7611924616,5.5933451278e-06,5.42289717618e-06
0.00529,64.7179324658,5.558746438e-06,5.42289717618e-06
0.0053,64.724017621,5.34075584927e-06,5.52560762278e-06
0.00531,64.6795164242,5.11312283126e-06,5.52560762278e-06
0.00532,64.6842881065,5.0908061993e-06,5.52560762278e-06
0.00533,64.638546427,5.30311564514e-06,5.52560762278e-06
