time_s,B26  A_v_pu,EQUL A_v_pu,B26  B_v_pu,EQUL B_v_pu,B26  C_v_pu,EQUL C_v_pu,FAULTA_v_pu,LINE A_v_pu,EQUR A_v_pu,LINE B_v_pu,EQUR B_v_pu,LINE C_v_pu,EQUR C_v_pu,B500 A_v_pu,B500 B_v_pu,B500 C_v_pu,SEND A_v_pu,REC  A_v_pu,SEND B_v_pu,REC  B_v_pu,SEND C_v_pu,REC  C_v_pu,X_saturated_transformer_internal_top_v_pu,Y_saturated_transformer_internal_top_v_pu,Z_saturated_transformer_internal_top_v_pu,output_fixed_1_pu,output_fixed_2_pu,output_fixed_3_pu,output_fixed_4_pu,output_fixed_5_pu,output_fixed_6_pu,output_fixed_7_pu,output_fixed_8_pu,output_fixed_9_pu,switch_current_switch_fixed_4_pu
0.0720612,-8891.31692809,-8423.08705713,20308.9151057,18828.2558836,-11417.5981776,-10405.1688265,-0.244069030239,-352426.997852,-317191.210445,382000.194316,340261.593325,-31469.6335091,-23070.3828797,-356147.132669,388804.725333,-34166.7592063,30039.9371972,-0.244069030239,534813.05757,521489.750115,422949.305451,411605.485158,-348286.615682,379349.702551,-31819.5469967,-356147.132669,388804.725333,-34166.7592063,30039.9371972,534813.05757,422949.305451,-0.244069030239,521489.750115,411605.485158,-24.4069030239
0.0721278,-9083.9451007,-8844.15210039,20135.3223395,18851.0506142,-11051.3772388,-10006.8985138,-0.206412507477,-344965.00519,-322357.503322,373769.830056,335891.25625,-28757.4636987,-13533.752928,-352340.92023,381959.211006,-28941.5090322,30097.0101594,-0.206412507477,539835.500986,520416.555399,420375.391542,412380.365153,-346496.351696,372782.325438,-25949.4750225,-352340.92023,381959.211006,-28941.5090322,30097.0101594,539835.500986,420375.391542,-0.206412507477,520416.555399,412380.365153,-20.6412507477
0.0721944,-9254.54487093,-9259.64215375,19909.3058051,18861.9624175,-10654.7609342,-9602.32026371,-0.146181276463,-337914.636574,-327320.595282,365327.453215,331309.187136,-26095.8451316,-3988.59185489,-347473.396931,373394.648739,-23810.4344036,29364.6499389,-0.146181276463,543666.575773,519305.482715,418143.706847,413087.337938,-343741.880532,364873.59733,-20077.2181527,-347473.396931,373394.648739,-23810.4344036,29364.6499389,543666.575773,418143.706847,-0.146181276463,519305.482715,413087.337938,-14.6181276463
0.072261,-9396.72966398,-9669.29530938,19622.9211618,18860.984415,-10226.1914978,-9191.68910566,-0.0602306512193,-331703.187443,-332077.357795,356363.007315,326518.274332,-23243.6697686,5559.08346253,-341448.231967,362747.286197,-19041.6789163,27557.7202697,-0.0602306512193,545188.329217,517600.283605,416839.835713,412917.391154,-339891.10404,355385.354887,-14365.3535228,-341448.231967,362747.286197,-19041.6789163,27557.7202697,545188.329217,416839.835713,-0.0602306512193,517600.283605,412917.391154,-6.02306512193
0.0723276,-9513.43536445,-10072.8533388,19285.0508883,18848.1172235,-9771.6155238,-8775.2638847,0.0461302024989,-326434.827321,-336624.792393,346927.853916,321521.537831,-19765.8014041,15103.2545623,-334384.019153,350418.915364,-14575.2399409,24702.3101487,0.0461302024989,544190.667319,515059.475124,416583.766896,411831.324796,-335071.67317,344604.014721,-8801.66486695,-334384.019153,350418.915364,-14575.2399409,24702.3101487,544190.667319,416583.766896,0.0461302024989,515059.475124,411831.324796,4.61302024989
0.0723942,-9614.66895688,-10470.0618555,18917.869648,18823.3689537,-9303.20069113,-8353.30709814,0.161115895582,-322098.974319,-340960.032562,337240.22667,316322.127371,-15278.9844551,24637.9051913,-326707.434091,337276.146113,-10248.0050006,21338.5620691,0.161115895582,541350.998307,512193.638192,417135.349565,410599.753524,-329684.095674,333162.691521,-3317.20379294,-326707.434091,337276.146113,-10248.0050006,21338.5620691,541350.998307,417135.349565,0.161115895582,512193.638192,410599.753524,16.1115895582
0.0724608,-9712.89834916,-10860.6704757,18546.740344,18786.7552059,-8833.84199485,-7926.0847302,0.272736986897,-318672.506445,-345080.345544,327460.854219,310923.320446,-9638.45339922,34157.0250978,-319025.309537,324189.108802,-5934.51045758,18333.1903569,0.272736986897,537753.27541,510075.838716,418008.512083,410048.454055,-324252.279861,321719.638513,2148.25188576,-319025.309537,324189.108802,-5934.51045758,18333.1903569,537753.27541,418008.512083,0.272736986897,510075.838716,410048.454055,27.2736986897
0.0725274,-9819.75682481,-11244.4329758,18190.7091364,18738.2990601,-8370.95231161,-7493.8660843,0.374072119988,-315922.848771,-348983.134063,317600.840571,305328.520243,-2900.40730714,43654.61382,-311832.415639,311770.57865,-1446.25770413,16342.0386099,0.374072119988,534385.600023,509806.290575,418634.54116,410349.682417,-319202.770854,310735.917309,7713.33141875,-311832.415639,311770.57865,-1446.25770413,16342.0386099,534385.600023,418634.54116,0.374072119988,509806.290575,410349.682417,37.4072119988
0.072594,-9945.70908367,-11621.1074475,17859.0344419,18678.0310608,-7913.32535824,-7056.92361331,0.463451126069,-313249.454048,-352665.937961,307504.27217,299541.253493,4830.72135478,53124.6844682,-305363.986913,300322.453731,3596.74179232,15344.1115529,0.463451126069,531770.672859,512016.414831,418721.159296,410926.40562,-314768.47235,300409.868601,13635.7793705,-305363.986913,300322.453731,3596.74179232,15344.1115529,531770.672859,418721.159296,0.463451126069,512016.414831,410926.40562,46.3451126069
0.0726606,-10100.8259737,-11990.4564509,17553.8883398,18605.9891987,-7453.0623661,-6615.53274779,0.539380481617,-309956.250962,-356126.43575,296872.432104,293565.168251,13434.7241322,62561.2674995,-299754.471046,289835.155102,9652.26821216,14689.5362522,0.539380481617,529809.433061,516539.435852,418480.183961,410918.558993,-311087.987301,290703.703217,20249.2288543,-299754.471046,289835.155102,9652.26821216,14689.5362522,529809.433061,418480.183961,0.539380481617,516539.435852,410918.558993,53.9380481617
