time_s,receiving_voltage_phase_1_minimum_v,receiving_voltage_phase_1_maximum_v,sending_current_phase_1_minimum_a,sending_current_phase_1_maximum_a,receiving_current_phase_1_minimum_a,receiving_current_phase_1_maximum_a,receiving_voltage_phase_2_minimum_v,receiving_voltage_phase_2_maximum_v,sending_current_phase_2_minimum_a,sending_current_phase_2_maximum_a,receiving_current_phase_2_minimum_a,receiving_current_phase_2_maximum_a,receiving_voltage_phase_3_minimum_v,receiving_voltage_phase_3_maximum_v,sending_current_phase_3_minimum_a,sending_current_phase_3_maximum_a,receiving_current_phase_3_minimum_a,receiving_current_phase_3_maximum_a,terminal_power_minimum_w,terminal_power_maximum_w,cumulative_supplied_energy_minimum_j,cumulative_supplied_energy_maximum_j,maximum_kcl_residual_a
0.00044,98438.1042493,98438.1080158,1968.71943984,1968.7198175,-1968.76216032,-1968.76208499,-35740.6804619,-35740.6775197,-714.483340372,-714.483290745,714.813550395,714.813609238,-62792.8946037,-62792.8923281,-1256.16632169,-1256.1661732,1255.85784656,1255.85789207,886835.029151,886878.550776,399.814170815,399.833440619,3.18323145621e-12
0.00045,98378.7987813,98378.802527,1967.53205659,1967.53243364,-1967.57605054,-1967.57597563,-35389.3571509,-35389.3542325,-707.45623838,-707.456189359,707.78708465,707.787143017,-63085.063321,-63085.0610716,-1262.00908762,-1262.00893771,1261.70122143,1261.70126642,885713.370705,885756.880508,408.676912814,408.696617775,3.18323145621e-12
0.00046,98318.0951328,98318.0988576,1966.31671035,1966.31708679,-1966.36197715,-1966.36190266,-35037.5308787,-35037.5279842,-700.419081869,-700.419033455,700.750559683,700.750617575,-63376.3354599,-63376.3332368,-1267.83391761,-1267.83376628,1267.52666474,1267.5267092,884583.888905,884627.386934,417.528399112,417.548539112,3.18323145621e-12
0.00047,98255.9941665,98255.9978704,1965.0734184,1965.07379423,-1965.11995741,-1965.11988333,-34685.2066457,-34685.203775,-693.371970853,-693.371923046,693.704075501,693.704132915,-63666.7068808,-63666.704684,-1273.64072887,-1273.64057613,1273.33409368,1273.33413762,883446.647959,883490.134262,426.368551796,426.389126718,3.18323145621e-12
0.00048,98192.496765,98192.5004479,1963.80219841,1963.80257361,-1963.85000896,-1963.8499353,-34332.3894592,-34332.3866124,-686.315005486,-686.314958287,686.647732247,686.647789184,-63956.1734569,-63956.1712864,-1279.42943888,-1279.42928473,1279.12342573,1279.12346914,882301.712518,882345.187145,435.197293599,435.218303325,3.18323145621e-12
0.00049,98127.6038309,98127.6074927,1962.50306844,1962.50344302,-1962.55214985,-1962.55207662,-33979.0843334,-33979.0815105,-679.248286064,-679.248239473,679.58163021,679.581686668,-64244.7310742,-64244.72893,-1285.19996536,-1285.1998098,1284.8945786,1284.89462148,881149.14767,881192.61067,444.014547899,444.035992314,3.18323145621e-12
0.0005,98061.3162862,98061.319927,1961.17604696,1961.17642091,-1961.22639854,-1961.22632572,-33625.2962896,-33625.2934907,-672.171913021,-672.171867039,672.505869813,672.505925791,-64532.3756316,-64532.3735138,-1290.95222631,-1290.95206934,1290.64747028,1290.64751263,879989.018937,880032.470362,452.820238733,452.84211772,3.18323145621e-12
0.00051,97993.6350733,97993.6386929,1959.82115282,1959.82152613,-1959.87277386,-1959.87270147,-33271.0303559,-33271.027581,-665.085986926,-665.085941554,665.420551619,665.420607117,-64819.1030412,-64819.1009498,-1296.68613996,-1296.68598159,1296.382019,1296.38206082,878821.392271,878864.83217,461.614290789,461.636604232,3.18323145621e-12
0.00052,97924.5611538,97924.5647523,1958.43840529,1958.43877796,-1958.49129505,-1958.49122308,-32916.2915672,-32916.2888163,-657.990608487,-657.990563726,658.325776327,658.325831344,-65104.9092278,-65104.9071628,-1302.40162484,-1302.40146507,1302.09814326,1302.09818456,877646.334049,877689.762476,470.39662942,470.419377206,3.18323145621e-12
0.00053,97854.0955096,97854.0990868,1957.02782401,1957.02819604,-1957.08198174,-1957.08191019,-32561.0849651,-32561.0822384,-650.885878546,-650.885834395,651.221644768,651.221699303,-65389.7901296,-65389.788091,-1308.09859971,-1308.09843854,1307.79576182,1307.79580259,876463.911073,876507.328079,479.167180646,479.190362658,3.18323145621e-12
