time_s,SWITCH_v_pu,CAP_v_pu,output_fixed_1_pu
0.00209,-0.662608885705,-0.662608885719,-0.662608885719
0.0021,-0.63433727312,-0.634337273135,-0.634337273135
0.00211,-0.60362401522,-0.603624015236,-0.603624015236
0.00212,-0.570599349941,-0.570599349958,-0.570599349958
0.00213,-0.535402326267,-0.535402326285,-0.535402326285
0.00214,-0.498180221667,-0.498180221686,-0.498180221686
0.00215,-0.459087928554,-0.459087928574,-0.459087928574
0.00216,-0.41828731229,-0.41828731231,-0.41828731231
0.00217,-0.375946543398,-0.375946543419,-0.375946543419
0.00218,-0.332239406725,-0.332239406747,-0.332239406747
0.00219,-0.287344590383,-0.287344590406,-0.287344590406
0.0022,-0.241444957375,-0.241444957398,-0.241444957398
0.00221,-0.194726802852,-0.194726802876,-0.194726802876
0.00222,-0.147379100031,-0.147379100055,-0.147379100055
0.00223,-0.0995927377986,-0.0995927378226,-0.0995927378226
0.00224,-0.0515597530789,-0.0515597531029,-0.0515597531029
0.00225,-0.0034725610436,-0.00347256106763,-0.00347256106763
0.00226,0.0444768137608,0.0444768137369,0.0444768137369
0.00227,0.092097502302,0.0920975022783,0.0920975022783
0.00228,0.139200548928,0.139200548904,0.139200548904
0.00229,0.185599659207,0.185599659184,0.185599659184
0.0023,0.231111934795,0.231111934773,0.231111934773
0.00231,0.275558592436,0.275558592414,0.275558592414
0.00232,0.318765664268,0.318765664247,0.318765664247
0.00233,0.360564676722,0.360564676702,0.360564676702
0.00234,0.400793305347,0.400793305328,0.400793305328
0.00235,0.439296003043,0.439296003025,0.439296003025
0.00236,0.475924599272,0.475924599254,0.475924599254
0.00237,0.510538867946,0.510538867929,0.510538867929
0.00238,0.54300706183,0.543007061814,0.543007061814
0.00239,0.573206411434,0.573206411419,0.573206411419
0.0024,0.601023586506,0.601023586492,0.601023586492
0.00241,0.626355118416,0.626355118404,0.626355118404
0.00242,0.64910778186,0.649107781849,0.649107781849
0.00243,0.669198934492,0.669198934483,0.669198934483
0.00244,0.686556813266,0.686556813258,0.686556813258
0.00245,0.701120786428,0.701120786421,0.701120786421
0.00246,0.712841560316,0.712841560311,0.712841560311
0.00247,0.721681340264,0.72168134026,0.72168134026
0.00248,0.72761394512,0.727613945118,0.727613945118
0.00249,0.730624875072,0.730624875071,0.730624875071
0.0025,0.730711332657,0.730711332658,0.730711332658
0.00251,0.727882197006,0.727882197008,0.727882197008
0.00252,0.722157951595,0.722157951598,0.722157951598
0.00253,0.713570565917,0.713570565922,0.713570565922
0.00254,0.702163331708,0.702163331714,0.702163331714
0.00255,0.687990654513,0.687990654521,0.687990654521
0.00256,0.67111780157,0.671117801579,0.671117801579
0.00257,0.651620607155,0.651620607165,0.651620607165
0.00258,0.629585136695,0.629585136706,0.629585136706
0.00259,0.605107311124,0.605107311137,0.605107311137
0.0026,0.578292493103,0.578292493117,0.578292493117
0.00261,0.549255036869,0.549255036884,0.549255036884
0.00262,0.518117803642,0.518117803658,0.518117803658
