time_s,phase_a_grid_voltage_v,phase_a_grid_current_a,phase_b_grid_current_a,phase_c_grid_current_a,neutral_current_a,dc_link_voltage_v,active_power_w,reactive_power_var,positive_sequence_voltage_v,negative_sequence_voltage_v,zero_sequence_voltage_v,controller_frequency_hz,phase_a_duty,operating_mode,request_disposition
0.00092,333.810303516,-23.1288171848,8.67138411866,11.7441242685,1.35814917652,800.001435544,-11072.3203237,-2001.03202888,346.593710644,342.040601987,19.0607877244,50.1072246723,0.940203213817,0,0
0.00094,332.883112243,-21.8328067787,8.12624397782,10.7022376089,8.93488788968,799.99154487,-10335.6387588,-2018.18730265,346.593710644,342.040601987,19.0607877244,50.1072246723,0.940203213817,0,0
0.00096,331.987676917,-20.0208186678,7.26906976409,9.27268057976,5.94434575892,799.989999457,-9318.63766024,-1970.76429744,346.018171208,340.972491549,19.0217391298,50.1081034593,0.927416129734,0,0
0.00098,331.124403832,-17.6951269759,6.09573357877,7.5413674899,1.45243303192,799.987537829,-8043.10760621,-1832.82947471,346.018171208,340.972491549,19.0217391298,50.1081034593,0.927416129734,0,0
0.001,330.294880691,-14.8430826516,4.65533062081,5.64820462057,-1.97094669962,799.978238175,-6542.44784424,-1582.47763278,346.018171208,340.972491549,19.0217391298,50.1081034593,0.927416129734,0,0
0.00102,329.492034029,-11.56054487,3.02364325289,3.74432151774,0.798326885901,799.955920347,-4890.40020193,-1215.09396475,345.459396042,339.896893922,18.9776216087,50.1085727592,0.90077665075,0,0
0.00104,328.696113486,-8.10223401787,1.32732044945,1.86618000551,7.92762319567,799.945433446,-3189.32987778,-785.928274547,345.459396042,339.896893922,18.9776216087,50.1085727592,0.90077665075,0,0
0.00106,327.890726416,-4.68062055093,-0.398623629693,-0.0209825285526,5.02748216336,799.942541841,-1503.75472705,-334.440324897,344.922476414,338.819898788,18.9309472212,50.1085357963,0.867413105218,0,0
0.00108,327.071064643,-1.36273744938,-2.12368213022,-1.81607831601,0.588968284245,799.939355647,118.396538251,145.327394531,344.922476414,338.819898788,18.9309472212,50.1085357963,0.867413105218,0,0
0.0011,326.23608654,1.83177995491,-3.78238923881,-3.38285181539,-2.54841550517,799.929624624,1634.01338425,659.48063552,344.922476414,338.819898788,18.9309472212,50.1085357963,0.867413105218,0,0
0.00112,325.377920984,4.79781156845,-5.29886333051,-4.58447996575,-1.05013362597,799.908897579,2971.25831799,1200.96262449,344.404362192,337.738803799,18.8820508185,50.1080296871,0.835875658945,0,0
0.00114,324.478254093,7.29944549154,-6.56510170156,-5.36718224248,4.07153175167,799.902393606,4034.09294951,1718.61871584,344.404362192,337.738803799,18.8820508185,50.1080296871,0.835875658945,0,0
0.00116,323.523841216,9.16453321035,-7.5026094869,-5.83518737751,3.15042344181,799.900458485,4788.30339031,2141.25647603,343.896647117,336.645565886,18.8337669453,50.1072000274,0.814419090328,0,0
0.00118,322.515600553,10.3987474014,-8.11678751304,-5.98340752499,-1.18825411342,799.898149309,5237.15600388,2467.5012641,343.896647117,336.645565886,18.8337669453,50.1072000274,0.814419090328,0,0
0.0012,321.461173307,11.0922819607,-8.40683131388,-5.75850926726,-2.83212998386,799.890686981,5399.3485595,2713.64394466,343.896647117,336.645565886,18.8337669453,50.1072000274,0.814419090328,0,0
0.00122,320.358781042,11.2174043455,-8.36490403903,-5.10254919333,-2.48481899355,799.873653385,5253.95093857,2881.75005414,343.388046756,335.528179014,18.7866159768,50.1062746171,0.808094987277,0,0
