time_s,BUS2_voltage,BUS1_voltage,output_fixed_1,output_fixed_2,switch_voltage_switch_fixed_1,switch_current_switch_fixed_1
0.0018,0.7784622999,0.778462301565,0.778462301565,0.7784622999,1.66495373044e-09,1.66495372892
0.00185,0.766493005104,0.766493006808,0.766493006808,0.766493005104,1.70357761231e-09,1.70357761183
0.0019,0.754251378993,0.754251380734,0.754251380734,0.754251378993,1.74159620059e-09,1.74159622173
0.00195,0.741741770958,0.741741772737,0.741741772737,0.741741770958,1.77899606157e-09,1.77899605077
0.002,0.728968625604,0.72896862742,0.72896862742,0.728968625604,1.81576387259e-09,1.81576381099
0.00205,0.715936481168,0.71593648302,0.71593648302,0.715936481168,1.85188642199e-09,1.85188643897
0.0021,0.70264996791,0.702649969797,0.702649969797,0.70264996791,1.88735116424e-09,1.88735110052
0.00215,0.689113806463,0.689113808385,0.689113808385,0.689113806463,1.92214522077e-09,1.9221451952
0.0022,0.675332806163,0.675332808119,0.675332808119,0.675332806163,1.95625637911e-09,1.95625636084
0.00225,0.661311863332,0.661311865322,0.661311865322,0.661311863332,1.98967242682e-09,1.98967247791
0.0023,0.647055959545,0.647055961567,0.647055961567,0.647055959545,2.02238170655e-09,2.02238167383
0.00235,0.632570159857,0.632570161911,0.632570161911,0.632570159857,2.05437244993e-09,2.05437232716
0.0024,0.617859611003,0.617859613088,0.617859613088,0.617859611003,2.08563299964e-09,2.08563307178
0.00245,0.602929539571,0.602929541687,0.602929541687,0.602929539571,2.11615280854e-09,2.1161528009
0.0025,0.587785250144,0.58778525229,0.58778525229,0.587785250144,2.14592066339e-09,2.145920671
0.00255,0.572432123418,0.572432125592,0.572432125592,0.572432123418,2.17492612808e-09,2.17492610571
0.0026,0.556875614283,0.556875616486,0.556875616486,0.556875614283,2.20315865551e-09,2.20315879952
0.00265,0.541121249894,0.541121252125,0.541121252125,0.541121249894,2.23060869775e-09,2.2306087215
0.0027,0.525174627702,0.525174629959,0.525174629959,0.525174627702,2.25726615177e-09,2.25726611882
0.00275,0.509041413465,0.509041415748,0.509041415748,0.509041413465,2.28312158068e-09,2.28312152024
0.0028,0.492727339238,0.492727341546,0.492727341546,0.492727339238,2.30816576963e-09,2.30816573944
0.00285,0.476238201333,0.476238203666,0.476238203666,0.476238201333,2.33238989233e-09,2.33238987835
0.0029,0.459579858263,0.459579860619,0.459579860619,0.459579858263,2.35578534458e-09,2.35578533024
0.00295,0.442758228658,0.442758231037,0.442758231037,0.442758228658,2.37834379968e-09,2.37834378281
0.003,0.425779289163,0.425779291563,0.425779291563,0.425779289163,2.40005726404e-09,2.40005722116
0.00305,0.408649072313,0.408649074734,0.408649074734,0.408649072313,2.42091791058e-09,2.42091793061
0.0031,0.391373664394,0.391373666835,0.391373666835,0.391373664394,2.44091852286e-09,2.44091849944
0.00315,0.373959203275,0.373959205735,0.373959205735,0.373959203275,2.46005182891e-09,2.46005182154
0.0032,0.356411876232,0.356411878711,0.356411878711,0.356411876232,2.47831111189e-09,2.47831109895
0.00325,0.338737917747,0.338737920243,0.338737920243,0.338737917747,2.49568987698e-09,2.49568984422
0.0033,0.320943607293,0.320943609805,0.320943609805,0.320943607293,2.51218190694e-09,2.51218188277
0.00335,0.303035267103,0.30303526963,0.30303526963,0.303035267103,2.52778137311e-09,2.52778135506
0.0034,0.285019259925,0.285019262467,0.285019262467,0.285019259925,2.54248272435e-09,2.54248271866
0.00345,0.266901986762,0.266901989318,0.266901989318,0.266901986762,2.55628074264e-09,2.55628075026
0.0035,0.248689884593,0.248689887162,0.248689887162,0.248689884593,2.56917054298e-09,2.56917054748
0.00355,0.230389424093,0.230389426674,0.230389426674,0.230389424093,2.58114751794e-09,2.58114753063
0.0036,0.212007107327,0.21200710992,0.21200710992,0.212007107327,2.59220744869e-09,2.59220744436
0.00365,0.193549465446,0.193549468048,0.193549468048,0.193549465446,2.60234633842e-09,2.60234635912
0.0037,0.175023056361,0.175023058973,0.175023058973,0.175023056361,2.61156068992e-09,2.6115606726
0.00375,0.156434462418,0.156434465038,0.156434465038,0.156434462418,2.61984711702e-09,2.61984711102
0.0038,0.137790288055,0.137790290682,0.137790290682,0.137790288055,2.62720273314e-09,2.62720273022
0.00385,0.119097157459,0.119097160092,0.119097160092,0.119097157459,2.63362491537e-09,2.63362491681
0.0039,0.10036171221,0.100361714849,0.100361714849,0.10036171221,2.63911137388e-09,2.63911138899
0.00395,0.0815906089219,0.0815906115656,0.0815906115656,0.0815906089219,2.64366019354e-09,2.64366019747
0.004,0.0627905168794,0.0627905195267,0.0627905195267,0.0627905168794,2.64726972288e-09,2.64726972606
0.00405,0.0439681156653,0.0439681183152,0.0439681183152,0.0439681156653,2.64993869209e-09,2.64993869232
0.0041,0.0251300927891,0.0251300954407,0.0251300954407,0.0251300927891,2.65166615054e-09,2.65166614799
0.00415,0.00628314131048,0.00628314396293,0.00628314396293,0.00628314131048,2.65245147894e-09,2.65245147929
0.0042,-0.0125660425383,-0.012566039886,-0.012566039886,-0.0125660425383,2.65229440841e-09,2.65229440721
0.00425,-0.031410761732,-0.0314107590808,-0.0314107590808,-0.031410761732,2.65119498577e-09,2.65119498755
0.0043,-0.0502443208315,-0.0502443181823,-0.0502443181823,-0.0502443208315,2.64915361176e-09,2.64915361093
0.00435,-0.0690600283632,-0.069060025717,-0.069060025717,-0.0690600283632,2.64617099066e-09,2.64617100265
0.0044,-0.0878511991956,-0.0878511965533,-0.0878511965533,-0.0878511991956,2.64224822577e-09,2.64224822241
0.00445,-0.106611156915,-0.106611154278,-0.106611154278,-0.106611156915,2.63738667017e-09,2.63738666396
0.0045,-0.125333236198,-0.125333233567,-0.125333233567,-0.125333236198,2.63158805858e-09,2.63158805457
0.00455,-0.14401078518,-0.144010782555,-0.144010782555,-0.14401078518,2.62485444491e-09,2.62485445449
0.0046,-0.162637167815,-0.162637165197,-0.162637165197,-0.162637167815,2.6171882439e-09,2.6171882561
0.00465,-0.181205766238,-0.18120576363,-0.18120576363,-0.181205766238,2.6085921756e-09,2.6085921832
0.0047,-0.199709983116,-0.199709980517,-0.199709980517,-0.199709983116,2.59906929312e-09,2.5990692899
0.00475,-0.218143243988,-0.218143241399,-0.218143241399,-0.218143243988,2.58862295488e-09,2.58862295966
0.0048,-0.236498999603,-0.236498997026,-0.236498997026,-0.236498999603,2.57725690789e-09,2.57725690401
0.00485,-0.254770728251,-0.254770725686,-0.254770725686,-0.254770728251,2.5649751767e-09,2.56497516125
0.0049,-0.272951938072,-0.27295193552,-0.27295193552,-0.272951938072,2.55178211894e-09,2.55178209503
0.00495,-0.291036169368,-0.291036166831,-0.291036166831,-0.291036169368,2.53768234204e-09,2.53768239277
0.005,-0.3090169969,-0.309016994377,-0.309016994377,-0.3090169969,2.52268106404e-09,2.52268106404
0.00505,-0.326888032164,-0.326888029657,-0.326888029657,-0.326888032164,2.50678344749e-09,2.50678343874
0.0051,-0.344642925667,-0.344642923177,-0.344642923177,-0.344642925667,2.48999515451e-09,2.48999516522
0.00515,-0.362275369179,-0.362275366707,-0.362275366707,-0.362275369179,2.47232223582e-09,2.47232220827
0.0052,-0.379779097978,-0.379779095524,-0.379779095524,-0.379779097978,2.45377085317e-09,2.45377084701
0.00525,-0.397147893072,-0.397147890637,-0.397147890637,-0.397147893072,2.43434766789e-09,2.43434767265
0.0053,-0.41437558341,-0.414375580996,-0.414375580996,-0.41437558341,2.41405961887e-09,2.41405958615
0.00535,-0.431456048076,-0.431456045683,-0.431456045683,-0.431456048076,2.39291375603e-09,2.39291379577
0.0054,-0.448383218463,-0.448383216092,-0.448383216092,-0.448383218463,2.37091779542e-09,2.37091781451
