time_s,load_voltage_v,series_current_a,nonlinear_device_power_w,stored_energy_j,energy_defect_j
0.000385,338.365528511,3.38369402482,0.0131082419494,0.0854683045541,4.56624023854e-05
0.00039,337.935312037,3.37939171249,0.0130417028378,0.086228168776,4.56648320324e-05
0.000395,337.485943526,3.37489787361,0.0129724724117,0.0869948422474,4.5667482817e-05
0.0004,337.018457407,3.37022285289,0.0129007436562,0.0877685918703,4.56703516589e-05
0.000405,336.533837402,3.36537648793,0.012826700397,0.0885496663545,4.56734346471e-05
0.00041,336.033018998,3.36036813397,0.0127505176006,0.0893382970752,4.56767271767e-05
0.000415,335.516891803,3.35520668743,0.0126723616786,0.0901346988989,4.56802240714e-05
0.00042,334.986301781,3.34990060829,0.0125923907926,0.0909390709767,4.568391969e-05
0.000425,334.442053383,3.34445794137,0.01251075516,0.0917515975079,4.56878080208e-05
0.00043,333.884911575,3.33888633664,0.0124275973569,0.0925724484725,4.56918827641e-05
0.000435,333.31560376,3.33319306841,0.0123430526185,0.0934017803333,4.56961374051e-05
0.00044,332.734821617,3.32738505372,0.012257249135,0.0942397367103,4.57005652763e-05
0.000445,332.143222837,3.32146886977,0.0121703083427,0.0950864490251,4.57051596134e-05
0.00045,331.541432787,3.31545077045,0.0120823452085,0.0959420371186,4.5709913602e-05
0.000455,330.930046085,3.30933670218,0.0119934685089,0.0968066098418,4.57148204198e-05
0.00046,330.309628101,3.30313231888,0.0119037811007,0.0976802656206,4.57198732711e-05
0.000465,329.680716386,3.29684299626,0.011813380185,0.098563092995,4.57250654176e-05
0.00047,329.043822024,3.29047384536,0.0117223575633,0.0994551711344,4.57303902036e-05
0.000475,328.399430931,3.28402972553,0.0116307998856,0.10035657033,4.57358410782e-05
0.00048,327.748005079,3.27751525665,0.0115387888899,0.101267352463,4.57414116131e-05
0.000485,327.089983663,3.27093483087,0.0114464016338,0.102187571454,4.57470955172e-05
0.00049,326.425784219,3.26429262366,0.0113537107181,0.103117273687,4.57528866493e-05
0.000495,325.755803673,3.25759260447,0.0112607845013,0.104056498416,4.57587790273e-05
0.0005,325.080419353,3.2508385467,0.0111676873067,0.105005278157,4.57647668361e-05
0.000505,324.399989943,3.24403403733,0.0110744796211,0.105963639049,4.57708444328e-05
0.00051,323.714856395,3.23718248599,0.0109812182849,0.106931601211,4.57770063512e-05
0.000515,323.025342789,3.23028713363,0.0108879566754,0.107909179072,4.57832473041e-05
0.00052,322.331757166,3.22335106074,0.0107947448816,0.108896381693,4.57895621846e-05
0.000525,321.6343923,3.21637719519,0.0107016298718,0.109893213063,4.57959460663e-05
0.00053,320.933526455,3.20936831969,0.0106086556537,0.110899672392,4.58023942031e-05
0.000535,320.229424081,3.20232707886,0.0105158634278,0.111915754379,4.58089020271e-05
0.00054,319.522336499,3.19525598599,0.0104232917331,0.112941449475,4.5815465147e-05
0.000545,318.812502535,3.18815742942,0.0103309765871,0.113976744129,4.58220793451e-05
0.00055,318.100149135,3.18103367869,0.0102389516188,0.115021621019,4.58287405745e-05
0.000555,317.385491941,3.17388689029,0.0101472481952,0.116076059277,4.58354449549e-05
0.00056,316.668735845,3.16671911321,0.0100558955426,0.117140034698,4.58421887696e-05
0.000565,315.950075514,3.1595322942,0.00996492086123,0.118213519943,4.58489684608e-05
0.00057,315.22969589,3.15232828271,0.00987434943513,0.119296484725,4.58557806254e-05
0.000575,314.507772661,3.1451088357,0.00978420473609,0.120388895993,4.58626220107e-05
0.00058,313.784472719,3.13787562214,0.00969450852282,0.121490718099,4.58694895096e-05
0.000585,313.059954585,3.13063022728,0.00960528093503,0.122601912965,4.58763801564e-05
0.00059,312.33436882,3.12337415679,0.00951654058292,0.123722440231,4.58832911214e-05
0.000595,311.607858413,3.11610884059,0.00942830463215,0.124852257405,4.58902197071e-05
