time_s,B26  A_v_pu,EQUL A_v_pu,B26  B_v_pu,EQUL B_v_pu,B26  C_v_pu,EQUL C_v_pu,FAULTA_v_pu,LINE A_v_pu,EQUR A_v_pu,LINE B_v_pu,EQUR B_v_pu,LINE C_v_pu,EQUR C_v_pu,B500 A_v_pu,B500 B_v_pu,B500 C_v_pu,SEND A_v_pu,REC  A_v_pu,SEND B_v_pu,REC  B_v_pu,SEND C_v_pu,REC  C_v_pu,X_saturated_transformer_internal_top_v_pu,Y_saturated_transformer_internal_top_v_pu,Z_saturated_transformer_internal_top_v_pu,output_fixed_1_pu,output_fixed_2_pu,output_fixed_3_pu,output_fixed_4_pu,output_fixed_5_pu,output_fixed_6_pu,output_fixed_7_pu,output_fixed_8_pu,output_fixed_9_pu,switch_current_switch_fixed_4_pu
0.0009324,13720.2940803,17709.6230919,-3806.84912113,-3230.17696156,-9913.44495922,-14479.4461303,1.67867569131,239266.670286,243728.191299,50022.7726931,130935.540021,-289289.442979,-374663.73132,178470.423157,31328.9977284,-209799.420886,178470.423157,1.67867569131,31328.9977284,-15394.4693599,-209799.420886,-91120.1939692,191128.765782,51254.4354003,-242383.201182,178470.423157,31328.9977284,-209799.420886,178470.423157,31328.9977284,-209799.420886,1.67867569131,-15394.4693599,-91120.1939692,167.867569131
0.0009657,14016.2052107,17626.6956978,-3804.92241877,-2996.62404308,-10211.282792,-14630.0716547,1.85241084866,245487.467838,240044.527942,53880.0182489,135407.173789,-299367.486087,-375451.701731,185613.701265,34177.591779,-219791.293044,185613.701265,1.85241084866,34177.591779,-16389.346909,-219791.293044,-101149.09063,196924.621953,54422.2476383,-251346.869592,185613.701265,34177.591779,-219791.293044,185613.701265,34177.591779,-219791.293044,1.85241084866,-16389.346909,-101149.09063,185.241084866
0.000999,14295.5899911,17540.9904082,-3791.58832246,-2762.59886885,-10504.0016686,-14778.3915393,2.02211998431,251301.490183,236323.034544,57854.3873278,139857.467938,-309155.877511,-376180.502482,194277.343519,37148.4461959,-231425.789715,194277.343519,2.02211998431,37148.4461959,-17228.8513947,-231425.789715,-111077.902825,202299.022812,57694.8876757,-259993.910487,194277.343519,37148.4461959,-231425.789715,194277.343519,37148.4461959,-231425.789715,2.02211998431,-17228.8513947,-111077.902825,202.211998431
0.0010323,14668.4689365,17452.5207299,-3822.00077577,-2528.13832028,-10846.4681608,-14924.3824096,2.18776481426,256665.488324,232564.297597,61940.4642029,144285.721119,-318605.952527,-376850.018716,203631.078898,40264.5733664,-243895.652264,203631.078898,2.18776481426,40264.5733664,-17914.1157682,-243895.652264,-120903.06842,209818.420169,61068.1237697,-270886.543939,203631.078898,40264.5733664,-243895.652264,203631.078898,40264.5733664,-243895.652264,2.18776481426,-17914.1157682,-120903.06842,218.776481426
0.0010656,14952.4518226,17361.3006053,-3803.9827201,-2293.27934739,-11148.4691025,-15068.0212579,2.34942595718,261383.710301,228768.909463,66131.1028357,148691.235456,-327514.813137,-377460.14492,212279.891731,43536.9653544,-255816.857086,212279.891731,2.34942595718,43536.9653544,-18447.6792935,-255816.857086,-130627.163537,215216.113349,64572.7054419,-279788.81879,212279.891731,43536.9653544,-255816.857086,212279.891731,43536.9653544,-255816.857086,2.34942595718,-18447.6792935,-130627.163537,234.942595718
0.0010989,15279.2119807,17267.3444104,-3804.30404332,-2058.05896301,-11474.9079374,-15209.2854473,2.50707748519,265487.605543,224937.46828,70417.8309979,153073.316661,-335905.436541,-378010.784941,220247.125529,46956.5799172,-267203.705446,220247.125529,2.50707748519,46956.5799172,-18830.8156148,-267203.705446,-140247.269364,221575.513827,68179.8613809,-289755.375208,220247.125529,46956.5799172,-267203.705446,220247.125529,46956.5799172,-267203.705446,2.50707748519,-18830.8156148,-140247.269364,250.707748519
0.0011322,15521.5485721,17170.6669522,-3758.92929492,-1822.51423691,-11762.6192772,-15348.1527153,2.67779611121,269006.633467,221070.577867,74792.5642914,157431.274133,-343799.197758,-378501.852,227560.011774,50514.6537853,-278074.665559,227560.011774,2.67779611121,50514.6537853,-19257.2916471,-278074.665559,-150653.163794,225924.798102,71903.3416411,-297828.139743,227560.011774,50514.6537853,-278074.665559,227560.011774,50514.6537853,-278074.665559,2.67779611121,-19257.2916471,-150653.163794,267.779611121
0.0011655,15805.3246234,17071.2834668,-3731.67490859,-1586.68228998,-12073.6497148,-15484.6011768,2.98588864964,271975.808978,217168.847631,79247.5827422,161764.421077,-351223.39172,-378933.268708,234246.872702,54202.7935862,-288449.666288,234246.872702,2.98588864964,54202.7935862,-21117.2002722,-288449.666288,-168342.220568,231211.193773,75715.8735358,-306927.067309,234246.872702,54202.7935862,-288449.666288,234246.872702,54202.7935862,-288449.666288,2.98588864964,-21117.2002722,-168342.220568,298.588864964
0.0011988,16009.3742451,16969.2096166,-3661.53483086,-1350.60028838,-12347.8394143,-15618.6093282,3.5755506042,274415.388188,213232.892468,83775.6118021,166072.074607,-358190.99999,-379304.967074,240339.836982,58012.962719,-298352.799701,240339.836982,3.5755506042,58012.962719,-25951.0278356,-298352.799701,-200923.389178,234603.724603,79630.8340293,-314234.558633,240339.836982,58012.962719,-298352.799701,240339.836982,58012.962719,-298352.799701,3.5755506042,-25951.0278356,-200923.389178,357.55506042
0.0012321,16253.0433985,16864.461488,-3609.0214836,-1114.30543767,-12644.0219149,-15750.1560504,4.13968289819,276344.56667,209263.332668,88369.6141371,170353.555853,-364714.180807,-379616.888521,245843.325042,61937.360235,-307780.685277,245843.325042,4.13968289819,61937.360235,-30136.3472502,-307780.685277,-232533.168054,238897.004761,83622.3611918,-322519.365953,245843.325042,61937.360235,-307780.685277,245843.325042,61937.360235,-307780.685277,4.13968289819,-30136.3472502,-232533.168054,413.968289819
