time_s,type_1_current_rms_A,type_2_current_rms_A,type_3_current_rms_A,type_4_current_rms_A,type_5_current_rms_A,type_6_current_rms_A,type_7_current_rms_A,type_8_current_rms_A,type_9_current_rms_A,type_10_current_rms_A,type_11_current_rms_A,type_12_current_rms_A
0.00258,0.00802857969024,0.00655530786679,0.00795954927921,0.00726604114633,0.0064989447722,0,0,0,0,0,0,0
0.00259,0.00805220776347,0.00657460010779,0.0079822022709,0.0072867204039,0.00651744086247,0,0,0,0,0,0,0
0.0026,0.00807578233117,0.00659384866172,0.00800479243597,0.00730734230888,0.00653588565501,0,0,0,0,0,0,0
0.00261,0.00809930345484,0.00661305357877,0.00802731979615,0.0073279068811,0.00655427916757,0,0,0,0,0,0,0
0.00262,0.00812277119596,0.00663221490916,0.00804978437342,0.00734841414062,0.0065726214181,0,0,0,0,0,0,0
0.00263,0.00814618561603,0.00665133270309,0.00807218618996,0.0073688641077,0.00659091242471,0,0,0,0,0,0,0
0.00264,0.00816954677657,0.0066704070108,0.00809452526821,0.00738925680283,0.00660915220573,0,0,0,0,0,0,0
0.00265,0.0081928547391,0.00668943788251,0.00811680163084,0.00740959224668,0.00662734077965,0,0,0,0,0,0,0
0.00266,0.00821610956513,0.00670842536846,0.00813901530075,0.00742987046017,0.00664547816518,0,0,0,0,0,0,0
0.00267,0.0082393113162,0.00672736951887,0.00816116630106,0.0074500914644,0.0066635643812,0,0,0,0,0,0,0
0.00268,0.00826246005381,0.00674627038399,0.00818325465513,0.00747025528071,0.00668159944678,0,0,0,0,0,0,0
0.00269,0.00828555583949,0.00676512801403,0.00820528038657,0.00749036193063,0.00669958338118,0,0,0,0,0,0,0
0.0027,0.00830859873475,0.00678394245922,0.00822724351918,0.00751041143591,0.00671751620387,0,0,0,0,0,0,0
0.00271,0.00833158880106,0.00680271376977,0.00824914407704,0.00753040381851,0.00673539793448,0,0,0,0,0,0,0
0.00272,0.00835452609994,0.00682144199587,0.00827098208442,0.0075503391006,0.00675322859284,0,0,0,0,0,0,0
0.00273,0.00837741069283,0.00684012718772,0.00829275756584,0.00757021730456,0.00677100819897,0,0,0,0,0,0,0
0.00274,0.00840024264118,0.00685876939549,0.00831447054605,0.00759003845297,0.00678873677307,0,0,0,0,0,0,0
0.00275,0.00842302200644,0.00687736866934,0.00833612105002,0.00760980256865,0.00680641433554,0,0,0,0,0,0,0
0.00276,0.00844574884999,0.00689592505939,0.00835770910296,0.0076295096746,0.00682404090696,0,0,0,0,0,0,0
0.00277,0.00846842323323,0.00691443861578,0.0083792347303,0.00764915979403,0.00684161650808,0,0,0,0,0,0,0
0.00278,0.0084910452175,0.00693290938859,0.0084006979577,0.00766875295037,0.00685914115987,0,0,0,0,0,0,0
0.00279,0.00851361486411,0.00695133742788,0.00842209881106,0.00768828916726,0.00687661488347,0,0,0,0,0,0,0
0.0028,0.00853613223436,0.0069697227837,0.0084434373165,0.00770776846854,0.0068940377002,0,0,0,0,0,0,0
0.00281,0.00855859738948,0.00698806550605,0.00846471350035,0.00772719087827,0.00691140963157,0,0,0,0,0,0,0
0.00282,0.0085810103907,0.00700636564491,0.0084859273892,0.0077465564207,0.00692873069928,0,0,0,0,0,0,0
0.00283,0.00860337129918,0.00702462325023,0.00850707900985,0.00776586512029,0.00694600092522,0,0,0,0,0,0,0
