time_s,node_BUSC2_voltage,node_BUSCS2_voltage,node_BUSFD_voltage,node_BUSMG_voltage,node_BUSMGR_voltage,node_BUSMS_voltage,output_fixed_1,output_fixed_2,output_fixed_3,output_fixed_4,branch_current_branch_fixed_4,branch_current_branch_fixed_6,branch_current_branch_fixed_7,torque_Nm,mechanical_speed_rad_s,mechanical_angle_rad,power_zero_axis_current_A,orthogonal_dummy_current_A,armature_current_A,separate_field_current_A
0.0007,1.00721072186,10,1,9.31103489677e-11,4.65551744839e-11,1.00009211026e-12,10,1.00721072186,1,9.31103489677e-11,1.02364059991e-10,2.0657843144e-05,-9.21102568575e-05,-0.000112768202366,0,0,0,0,-0.0860062780303,-0.0278024268813
0.00072,0.952987763184,10,1,9.73332773304e-11,4.86666386652e-11,1.00009633318e-12,10,0.952987763184,1,9.73332773304e-11,1.07006681322e-10,2.07268548097e-05,-9.63331809972e-05,-0.000117060142814,0,0,0,0,-0.086768592493,-0.0286070253317
0.00074,0.901807850263,10,1,1.0156882049e-10,5.07844102451e-11,1.00010056872e-12,10,0.901807850263,1,1.0156882049e-10,1.11663171163e-10,2.07814681559e-05,-0.000100568719921,-0.00012135029974,0,0,0,0,-0.0874881251184,-0.0294115523521
0.00076,0.85350020438,10,1,1.0581417732e-10,5.29070886601e-11,1.00010481407e-12,10,0.85350020438,1,1.0581417732e-10,1.1633045e-10,2.08230287787e-05,-0.000104814072506,-0.000125637217615,0,0,0,0,-0.0881672768654,-0.0302160079487
0.00078,0.807903631083,10,1,1.1006681144e-10,5.50334057199e-11,1.0001090667e-12,10,0.807903631083,1,1.1006681144e-10,1.21005729375e-10,2.0852785593e-05,-0.000109066702373,-0.000129919608972,0,0,0,0,-0.0888083139485,-0.0310203921279
0.0008,0.764865982313,10,1,1.14324431987e-10,5.71622159936e-11,1.00011332432e-12,10,0.764865982313,1,1.14324431987e-10,1.25686490751e-10,2.08718957719e-05,-0.000113324318663,-0.000134196340121,0,0,0,0,-0.0894133754002,-0.0318247048959
0.00082,0.72424364871,10,1,1.18584975408e-10,5.92924877038e-11,1.00011758486e-12,10,0.72424364871,1,1.18584975408e-10,1.30370465488e-10,2.08814297476e-05,-0.000117584857823,-0.000138466417941,0,0,0,0,-0.0899844802084,-0.0326289462593
0.00084,0.685901080412,10,1,1.22846588259e-10,6.14232941293e-11,1.00012184647e-12,10,0.685901080412,1,1.22846588259e-10,1.35055615939e-10,2.08823761921e-05,-0.000121846466412,-0.00014272897766,0,0,0,0,-0.0905235340531,-0.0334331162242
0.00086,0.649710334748,10,1,1.27107611025e-10,6.35538055125e-11,1.00012610748e-12,10,0.649710334748,1,1.27107611025e-10,1.39740117662e-10,2.08756469182e-05,-0.000126107484917,-0.000146983271576,0,0,0,0,-0.091032335666,-0.0342372147971
0.00088,0.615550649317,10,1,1.3136656292e-10,6.56832814601e-11,1.00013036643e-12,10,0.615550649317,1,1.3136656292e-10,1.444223427e-10,2.08620816558e-05,-0.000130366432554,-0.000151228658632,0,0,0,0,-0.0915125828321,-0.0350412419843
0.0009,0.583308039019,10,1,1.35622127647e-10,6.78110638237e-11,1.00013462199e-12,10,0.583308039019,1,1.35622127647e-10,1.4910084394e-10,2.0842452671e-05,-0.000134621993025,-0.000155464594797,0,0,0,0,-0.0919658780551,-0.035845197792
0.00092,0.552874915716,10,1,1.39873140084e-10,6.99365700419e-11,1.000138873e-12,10,0.552874915716,1,1.39873140084e-10,1.53774340461e-10,2.08174692046e-05,-0.000138873001211,-0.00015969062419,0,0,0,0,-0.0923937339044,-0.0366490822267
0.00094,0.524149729216,10,1,1.44118573851e-10,7.20592869256e-11,1.00014311843e-12,10,0.524149729216,1,1.44118573851e-10,1.58441703882e-10,2.07877817165e-05,-0.000143118430733,-0.000163906370891,0,0,0,0,-0.0927975780628,-0.0374528952947
0.00096,0.497036628427,10,1,1.48357529733e-10,7.41787648665e-11,1.00014735738e-12,10,0.497036628427,1,1.48357529733e-10,1.63101945617e-10,2.07539859252e-05,-0.000147357382376,-0.000168111531403,0,0,0,0,-0.0931787580898,-0.0382566370023
0.00098,0.471445141514,10,1,1.52589224893e-10,7.62946124463e-11,1.00015158907e-12,10,0.471445141514,1,1.52589224893e-10,1.67754205027e-10,2.071662664e-05,-0.000151589073304,-0.000172305867698,0,0,0,0,-0.093538545919,-0.0390603073559
0.001,0.44728987401,10,1,1.56812982854e-10,7.84064914272e-11,1.00015581283e-12,10,0.44728987401,1,1.56812982854e-10,1.72397738406e-10,2.06762013841e-05,-0.000155812827041,-0.000176489200823,0,0,0,0,-0.0938781421014,-0.0398639063617
0.00102,0.424490223869,10,1,1.61028224201e-10,8.05141121004e-11,1.00016002806e-12,10,0.424490223869,1,1.61028224201e-10,1.77031908752e-10,2.06331638118e-05,-0.000160028064173,-0.000180661405016,0,0,0,0,-0.0941986798122,-0.0406674340262
0.00104,0.402970112514,10,1,1.65234457949e-10,8.26172289746e-11,1.00016423429e-12,10,0.402970112514,1,1.65234457949e-10,1.81656176285e-10,2.05879269226e-05,-0.000164234293715,-0.000184822402294,0,0,0,0,-0.0945012286315,-0.0414708903556
0.00106,0.382657730966,10,1,1.69431273562e-10,8.47156367809e-11,1.00016843111e-12,10,0.382657730966,1,1.69431273562e-10,1.86270089668e-10,2.05408660807e-05,-0.000168431105131,-0.000188972157482,0,0,0,0,-0.0947867981135,-0.0422742753563
0.00108,0.363485300245,10,1,1.73618333554e-10,8.68091667771e-11,1.00017261816e-12,10,0.363485300245,1,1.73618333554e-10,1.90873277874e-10,2.04923218439e-05,-0.000172618160936,-0.000193110673653,0,0,0,0,-0.0950563411554,-0.0430775890347
0.0011,0.345388845187,10,1,1.77795366662e-10,8.88976833309e-11,1.00017679519e-12,10,0.345388845187,1,1.77795366662e-10,1.9546544268e-10,2.04426026119e-05,-0.000176795189867,-0.000197237987944,0,0,0,0,-0.0953107571767,-0.043880831397
0.00112,0.328307980981,10,1,1.81962161531e-10,9.09810807653e-11,1.00018096198e-12,10,0.328307980981,1,1.81962161531e-10,2.00046351727e-10,2.03919871009e-05,-0.000180961980569,-0.000201354167716,0,0,0,0,-0.0955508951208,-0.0446840024495
