time_s,node_BUSA2_voltage,node_BUSAS2_voltage,node_BUSB2_voltage,node_BUSBS2_voltage,node_BUSC2_voltage,node_BUSCS2_voltage,node_BUSMG_voltage,node_BUSMGR_voltage,node_BUSMS_voltage,output_fixed_1,output_fixed_2,output_fixed_3,branch_current_branch_fixed_1,branch_current_branch_fixed_7,branch_current_branch_fixed_9,branch_current_branch_fixed_10,torque_Nm,mechanical_speed_rad_s,mechanical_angle_rad,phase_a_current_A,phase_b_current_A,phase_c_current_A,shorted_rotor_axis_current_1_A,shorted_rotor_axis_current_2_A
0.002,3018.95437479,2186.90588226,-1031.4295852,685.052610332,-1987.52478959,-2871.9584926,3.3194637885e-05,1.65973189425e-05,3.3194638885e-05,2186.90588226,3018.95437479,3.3194637885e-05,-422.496159024,3.6493665221e-05,7.97513828901,9.99999996004e-07,-7.97517378268,1.93141516495e-07,0.0188495560953,-422.496159024,63.4354244511,359.060734573,-497.195565434,179.692682338
0.0022,-1857.00151723,2025.99842436,1285.81779646,903.116073588,571.183720768,-2929.11449795,5.31461081714e-05,2.65730540857e-05,5.31461091714e-05,2025.99842436,-1857.00151723,5.31461081714e-05,-453.004798014,5.84279993089e-05,11.5773025916,9.99999996004e-07,-11.5773600196,2.14601572821e-07,0.0188495561361,-453.004798014,50.0975061915,402.907291822,-533.71873417,216.626701521
0.0024,2979.71378441,1853.57883927,-937.187536102,1116.04785116,-2042.5262483,-2969.62669043,8.15204886556e-05,4.07602443278e-05,8.15204896556e-05,1853.57883927,2979.71378441,8.15204886556e-05,-480.572514401,8.96223490057e-05,16.2295902829,9.99999968899e-07,-16.2296789052,2.36061629146e-07,0.0188495561812,-480.572514401,33.392086058,447.180428343,-566.882168526,256.207024815
0.0026,-1902.93069,1670.62684946,1380.62219835,1322.63802222,522.30849164,-2993.26487168,0.000120625914204,6.0312957102e-05,0.000120625915204,1670.62684946,-1902.93069,0.000120625914204,-505.045754726,0.000132614241649,22.0937267546,9.99999996004e-07,-22.0938583688,2.57521685471e-07,0.0188495562305,-505.045754726,13.4395271151,491.606227611,-596.500105248,298.173055218
0.0028,2927.35961792,1478.18202464,-842.380914827,1521.71270019,-2084.97870309,-2999.89472483,0.000173102811972,8.65514059861e-05,0.000173102812972,1478.18202464,2927.35961792,0.000173102811972,-526.288522853,0.000190306521517,29.3336330583,9.99999996004e-07,-29.3338223648,2.78981741797e-07,0.0188495562842,-526.288522853,-9.6215710916,535.910093945,-622.406904749,342.250943144
0.003,-1961.40977538,1277.33787469,1474.87107125,1712.14070305,486.538704131,-2989.47857775,0.000241926023524,0.000120963011762,0.000241926024524,1277.33787469,-1961.40977538,0.000241926023524,-544.18315295,0.000265969682854,38.1131142625,9.99999996004e-07,-38.1133792322,3.00441798122e-07,0.0188495563421,-544.18315295,-35.6351583031,579.818311253,-644.457992499,388.155139965
0.0032,2863.09046949,1069.23563614,-749.246406367,1892.83998091,-2113.84406312,-2962.07561704,0.000330402191572,0.000165201095786,0.000330402192572,1069.23563614,2863.09046949,0.000330402191572,-558.630978303,0.000363238996891,48.5935304244,9.99999996004e-07,-48.5938926634,3.21901854448e-07,0.0188495564044,-558.630978303,-64.42861843,623.059596733,-662.53068071,435.59001797
0.0034,-2031.10125223,855.057787409,1566.341106,2062.7837644,464.76014623,-2917.84155181,0.000442162397913,0.000221081198957,0.000442162398913,855.057787409,-2031.10125223,0.000442162397913,-569.552892182,0.00048610641811,60.93147179,9.99999887584e-07,-60.9319568964,3.43361910773e-07,0.0188495564709,-569.552892182,-95.8137486444,665.366640826,-676.524865667,484.251547704
0.0036,2788.37518795,636.021329766,-659.981316801,2221.00639907,-2128.39387115,-2857.02772884,0.000581150083052,0.000290575041526,0.000581150084052,636.021329766,2788.37518795,0.000581150083052,-576.889797554,0.000638907303267,75.2764596462,9.99999996004e-07,-75.2770975535,3.64821967098e-07,0.0188495565417,-576.889797554,-129.587826986,706.477624539,-686.363596717,533.829022979
0.0038,-2110.41328962,413.370872054,1652.87347911,2366.60883234,457.539810505,-2779.97970439,0.000751604321514,0.000375802160757,0.000751604322514,413.370872054,-2110.41328962,0.000751604321514,-580.602943096,0.000826302024531,91.7686940461,9.99999996004e-07,-91.7695193482,3.86282023424e-07,0.0188495566168,-580.602943096,-165.534762554,746.13770565,-691.993513703,584.006823934
