time_s,node_BUSA2_voltage,node_BUSAS2_voltage,node_BUSB2_voltage,node_BUSBS2_voltage,node_BUSC2_voltage,node_BUSCS2_voltage,node_BUSMG_voltage,node_BUSMGR_voltage,node_BUSMS_voltage,node_UM1TLA_voltage,node_UM1TLB_voltage,node_UM1TLC_voltage,node_UM1MCC_voltage,output_fixed_1,output_fixed_2,output_fixed_3,branch_current_branch_fixed_1,branch_current_branch_fixed_7,branch_current_branch_fixed_9,branch_current_branch_fixed_10,torque_Nm,mechanical_speed_rad_s,mechanical_angle_rad,power_zero_axis_current_A,armature_axis_1_current_A,armature_axis_2_current_A,shorted_rotor_axis_current_1_A,shorted_rotor_axis_current_2_A
0.0346,2664.40934644,2664.40934644,1920.76696378,2664.40934644,-170.236743495,-1378.73958186,184.725267965,92.3626339827,184.72269228,2664.40934644,1831.5337233,-25.2140367045,184.725267965,2664.40934644,2664.40934644,184.725267965,6.1120413951e-15,203.084067684,-0.700243532658,-2575.68568497,-2778.06950884,184.725648031,7.17690558527,0,-320.453470044,-197.18213381,72.1589540269,-299.981980588
0.0348,2552.98344538,2552.98344538,1902.60175251,2552.98344538,-314.393988889,-1575.52388988,184.725266508,92.3626332542,184.722690823,2552.98344538,1824.55996209,-163.056330944,184.725266508,2552.98344538,2552.98344538,184.725266508,-2.98290875176e-15,203.084066082,-0.727658689022,-2575.68568497,-2778.04209209,184.725648031,7.21385071488,0,-334.393055953,-172.485436748,71.7077617012,-300.087069174
0.035,2427.05098312,2427.05098312,1873.39325547,2427.05098312,-456.851642706,-1763.35575688,184.725264995,92.3626324974,184.722689309,2427.05098312,1806.95848534,-300.0693873,184.725264995,2427.05098312,2427.05098312,184.725264995,6.11203513684e-15,203.084064418,-0.755709797144,-2575.685685,-2778.01403932,184.725648031,7.25079584449,0,-346.432769332,-146.808777302,71.2560811985,-300.19148343
0.0352,2287.32753303,2287.32753303,1833.77766792,2287.32753303,-596.642033051,-1941.16788471,184.725263423,92.3626317114,184.722687737,2287.32753303,1779.35596215,-435.297487274,184.725263423,2287.32753303,2287.32753303,184.725263423,1.56455395139e-15,203.08406269,-0.784801036119,-2575.685685,-2777.98494633,184.725648031,7.28774097409,0,-356.504142323,-120.298210537,70.8040393204,-300.295146229
0.0354,2134.60703163,2134.60703163,1783.50032945,2134.60703163,-733.09719489,-2107.9499094,184.725261791,92.3626308956,184.722686106,2134.60703163,1741.37189978,-568.113751899,184.725261791,2134.60703163,2134.60703163,184.725261791,6.11201978368e-15,203.084060896,-0.814162641764,-2575.685685,-2777.95558298,184.725648031,7.3246861037,0,-364.549986942,-93.1042114731,70.3515124778,-300.398173904
0.0356,1969.75726726,1969.75726726,1723.33408118,1969.75726726,-865.347853524,-2262.75414221,184.725260099,92.3626300495,184.722684413,1969.75726726,1693.76774515,-697.658314304,184.725260099,1969.75726726,1969.75726726,184.725260099,3.83827307895e-15,203.084059036,-0.844217687845,-2575.68568497,-2777.92552602,184.725648031,7.3616312333,0,-370.52455075,-65.3814629555,69.89862898,-300.500487212
0.0358,1793.71494917,1793.71494917,1653.12845073,1793.71494917,-992.703607275,-2404.70095461,184.725258346,92.3626291728,184.72268266,1793.71494917,1636.26256364,-823.263478147,184.725258346,1793.71494917,1793.71494917,184.725258346,1.56453092172e-15,203.084057108,-0.874174237251,-2575.68568495,-2777.89556758,184.725648031,7.39857636291,0,-374.393902677,-37.2873239265,69.445269362,-300.602203594
0.036,1607.48038494,1607.48038494,1573.77769669,1607.48038494,-1114.41286193,-2532.98377651,184.725256531,92.3626282653,184.722680845,1607.48038494,1569.73788773,-944.184244402,184.725256531,1607.48038494,1607.48038494,184.725256531,6.11199675405e-15,203.084055113,-0.904478311539,-2575.685685,-2777.86526142,184.725648031,7.43552149252,0,-376.136044014,-8.98159503847,68.9915632916,-300.703241312
0.0362,1412.1117965,1412.1117965,1485.23661269,1412.1117965,-1229.77873886,-2646.8736793,184.725254654,92.3626273272,184.722678969,1412.1117965,1494.01609953,-1059.7275785,184.725254654,1412.1117965,1412.1117965,184.725254654,1.56451556868e-15,203.08405305,-0.934319972992,-2575.68568503,-2777.83541772,184.725648031,7.47246662212,0,-375.741070857,19.3750531183,68.5373952969,-300.803718507
0.0364,1208.71930714,1208.71930714,1388.50292959,1208.71930714,-1338.18424986,-2745.72351786,184.725252717,92.3626263585,184.722677031,1208.71930714,1410.08144282,-1169.28010915,184.725252717,1208.71930714,1208.71930714,184.725252717,3.83824692035e-15,203.08405092,-0.964172154665,-2575.68568495,-2777.80556347,184.725648031,7.50941175173,0,-373.211237518,47.6213282064,68.0828961999,-300.903550587
