time_s,node_BUSA2_voltage,node_BUSAS2_voltage,node_BUSB2_voltage,node_BUSBS2_voltage,node_BUSC2_voltage,node_BUSCS2_voltage,node_BUSFD_voltage,node_BUSMG_voltage,node_BUSMGR_voltage,node_BUSMS_voltage,node_UM1TLA_voltage,node_UM1TLB_voltage,node_UM1TLC_voltage,node_UM1MCC_voltage,output_fixed_1,output_fixed_2,output_fixed_3,output_fixed_4,branch_current_branch_fixed_1,branch_current_branch_fixed_8,branch_current_branch_fixed_10,branch_current_branch_fixed_11,torque_Nm,mechanical_speed_rad_s,synchronous_torque_angle_rad,power_zero_axis_current_A,armature_axis_1_current_A,armature_axis_2_current_A,field_current_A,q_axis_damper_current_A
0.0288,-413.370872054,-413.370872054,-372.855782746,-413.370872054,2685.89540423,2971.38427709,-5.1151413191,188.50682154,94.2534107701,188.507028769,-413.370872054,-367.994857517,2651.63668506,188.50682154,-413.370872054,-413.370872054,-5.1151413191,188.50682154,2.8569251154e-16,207.241448483,78.4458740056,207.22906649,-78.4582556694,188.495559215,3.01980662698e-14,0,73.7906656019,4.53592553038,-226.982147672,-5.09473781919
0.029,-188.371558588,-188.371558588,-171.683418605,-188.371558588,2704.6273871,2994.08018528,-2.33095074633,188.506984482,94.2534922411,188.507191711,-188.371558588,-169.681734158,2669.89306588,188.506984482,-188.371558588,-188.371558588,-2.33095074633,188.506984482,-5.66958490106e-16,207.241627619,81.2372179627,207.22906649,-81.2497787231,188.495559215,3.01980662698e-14,0,74.3625497415,-1.21349450244,-226.343779472,-5.28556901048
0.0292,37.6981196498,37.6981196498,30.2126320791,37.6981196499,2708.48921914,2999.76313261,0.466484753541,188.507153106,94.2535765531,188.507360335,37.6981196498,29.3134801175,2673.53643377,188.507153106,37.6981196498,37.6981196498,0.466484753541,188.507153106,7.25304665064e-17,207.241813002,84.0143308938,207.229066518,-84.0270770666,188.495559215,3.19744231092e-14,0,74.4544274487,-7.02075338474,-225.757641789,-5.47514044113
0.0294,263.553589652,263.553589652,231.760451368,263.553589652,2697.47383341,2988.40082743,3.26126959399,188.50732737,94.2536636849,188.507534599,263.553589652,227.944386036,2662.56274824,188.50732737,263.553589652,263.553589652,3.26126959399,188.50732737,-1.4063228612e-16,207.242004584,86.7639831007,207.22906649,-86.7769208644,188.495559215,3.19744231092e-14,0,74.0614926742,-12.8427425962,-225.22362535,-5.66250471815
0.0296,487.911495585,487.911495585,431.890230553,487.911495585,2671.64748893,2960.05783262,6.03752325006,188.507507203,94.2537536017,188.507714433,487.911495585,425.166800551,2637.03847132,188.507507203,487.911495585,487.911495585,6.03752325006,188.507507203,-7.0906562503e-16,207.242202291,89.4729758799,207.22906649,-89.4861113577,188.495559215,3.19744231092e-14,0,73.1832013964,-18.6360844946,-224.741333413,-5.84671838537
0.0298,709.496991071,709.496991071,629.538680051,709.496991071,2631.14958212,2914.89519874,8.77947049466,188.507692511,94.2538462554,188.50789974,709.496991071,619.942820849,2597.10040041,188.507692511,709.496991071,709.496991071,8.77947049466,188.507692511,1.5646702738e-15,207.242406014,92.1282051504,207.229066518,-92.1415444275,188.495559215,3.37507799486e-14,0,71.8232606294,-24.3576011041,-224.31008459,-6.02684738951
0.03,927.050983125,927.050983125,823.653476765,927.050983125,2576.19231282,2853.16954889,11.4715310366,188.507883169,94.2539415844,188.508090398,927.050983125,811.244936127,2542.95540407,188.507883169,927.050983125,927.050983125,11.4715310366,188.507883169,1.56466714446e-15,207.242615621,94.7167258561,207.22906649,-94.730274713,188.495559215,3.37507799486e-14,0,69.9895606428,-29.9647753087,-223.92891726,-6.20197254046
0.0302,1139.33728657,1139.33728657,1013.19772054,1139.33728657,2507.06014549,2775.2316205,14.0984080508,188.508079029,94.2540395143,188.508286258,1139.33728657,998.060160286,2474.87999348,188.508079029,1139.33728657,1139.33728657,14.0984080508,188.508079029,1.56466401513e-15,207.242830946,97.2258158624,207.22906649,-97.239580022,188.495559215,3.5527136788e-14,0,67.6940522353,-35.4161970385,-223.596595565,-6.37119492281
0.0304,1345.14964827,1345.14964827,1197.15445037,1345.14964827,2424.10909847,2681.52427245,16.6451750982,188.508279915,94.2541399576,188.508487144,1345.14964827,1179.39424719,2393.21976566,188.508279915,1345.14964827,1345.14964827,16.6451750982,188.508279915,-7.09073594894e-16,207.243051798,99.6430411041,207.229066461,-99.6570260663,188.495559215,3.5527136788e-14,0,64.9525719494,-40.6719874402,-223.311616944,-6.53364123678
0.0306,1543.31860134,1543.31860134,1374.53118008,1543.31860134,2327.76579991,2572.57996858,19.0973609403,188.508485629,94.2542428144,188.508692858,1543.31860134,1354.27594811,2298.388648,188.508485629,1543.31860134,1543.31860134,19.0973609403,188.508485629,1.56466230395e-15,207.243277956,101.956320077,207.22906649,-101.970531219,188.495559215,3.5527136788e-14,0,61.7846190205,-45.6941945006,-223.07222116,-6.68846902592
