time_s,node_BUSC2_voltage,node_BUSCS2_voltage,node_BUSFD_voltage,node_BUSMG_voltage,node_BUSMGR_voltage,node_BUSMS_voltage,node_UM1TLA_voltage,node_UM1TLB_voltage,node_UM1MCC_voltage,output_fixed_1,output_fixed_2,output_fixed_3,output_fixed_4,branch_current_branch_fixed_4,branch_current_branch_fixed_6,branch_current_branch_fixed_7,torque_Nm,mechanical_speed_rad_s,mechanical_angle_rad,power_zero_axis_current_A,orthogonal_dummy_current_A,single_phase_stator_current_A,field_current_A
0.00118,-1.10617010115e+16,-27.3418544749,1657.3745378,116.370680003,58.1853400016,116.370883088,-1.20661667438e+16,-9.76257466362e-10,116.370680003,-27.3418544749,-1.10617010115e+16,1657.3745378,116.370680003,127.936103785,-2099755346.65,203.084485065,2099755421.8,116.370680003,1.00314681706,0,0,-2.69115324245e+13,0.0016573745378
0.0012,-2.107659787e+16,-51.6722776426,-1681.51034804,315.97823154,157.98911577,315.978434625,-2.29909676719e+16,-9.76228130745e-10,315.97823154,-51.6722776426,-2.107659787e+16,-1681.51034804,315.97823154,347.381521043,4055909351.72,203.084485179,-4055909496.01,315.97823154,1.00747030618,0,0,-5.1235161876e+13,-0.00168151034804
0.00122,-4.01094735745e+16,-97.9872638452,1705.5268369,-69.3645120194,-34.6822560097,-69.3643089349,-4.37520898529e+16,-9.76192047006e-10,-69.3645120194,-97.9872638452,-4.01094735745e+16,1705.5268369,-69.3645120194,-76.2582585965,-7832268238.6,203.084484838,7832268517.94,-69.3645120194,1.00993644337,0,0,-9.75433792117e+13,0.0017055268369
0.00124,-7.63788120258e+16,-186.157289076,-1729.42459428,674.348336357,337.174168179,674.348539442,-8.33157895392e+16,-9.76162763058e-10,674.348336357,-186.157289076,-7.63788120258e+16,-1729.42459428,674.348336357,741.368003911,15120654152.7,203.084485292,-15120654691,674.348336357,1.01598628162,0,0,-1.8570666081e+14,-0.00172942459428
0.00126,-1.4103281127e+17,-350.04608994,1753.20420714,-865.068660667,-432.534330333,-865.068457582,-1.53761683698e+17,-9.76126539332e-10,-865.068660667,-350.04608994,-1.4103281127e+17,1753.20420714,-865.068660667,-951.042942685,-30206940723.5,203.084484838,30206941877.7,-865.068660667,1.01407907837,0,0,-3.49588743659e+14,0.00175320420714
0.00128,-2.7255393097e+17,-662.47913969,-1776.86625956,1964.99176045,982.495880226,1964.99196354,-2.97316221469e+17,-9.76097306108e-10,1964.99176045,-662.47913969,-2.7255393097e+17,-1776.86625956,1964.99176045,2160.28117904,57941532850.5,203.084485292,-57941534807.7,1964.99176045,1.02507830937,0,0,-6.62015101393e+14,-0.00177686625956
0.0013,-5.73131662219e+17,-1310.92450797,1800.41133275,-1978.76421467,-989.382107336,-1978.76401159,-6.26182016037e+17,-9.76060943341e-10,-1978.76421467,-1310.92450797,-5.73131662219e+17,1800.41133275,-1978.76421467,-2175.4223996,-96590341406.7,203.084483474,96590343785.2,-1978.76421467,1.02494058483,0,0,-1.31045380404e+15,0.00180041133275
0.00132,-1.03558818271e+18,-2535.13940514,-1823.840005,7514.4937826,3757.2468913,7514.49398568,-1.12944281989e+18,-9.76031759907e-10,7514.4937826,-2535.13940514,-1.03558818271e+18,-1823.840005,7514.4937826,8261.31682344,189624269780,203.084486202,-189624277838,7514.4937826,1.08029788051,0,0,-2.53466206233e+15,-0.001823840005
0.00134,-2.07597603062e+18,-4902.99310858,1847.15285178,-11111.4675874,-5555.7337937,-11111.4673843,-2.26626304445e+18,-9.75995259034e-10,-11111.4675874,-4902.99310858,-2.07597603062e+18,1847.15285178,-11111.4675874,-12215.773513,-372158691206,203.084484383,372158703625,-11111.4675874,1.04432814246,0,0,-4.90250915403e+15,0.00184715285178
0.00136,-3.9423694782e+18,-9482.85758191,-1870.35044571,25423.1567669,12711.5783834,25423.15697,-4.30166541107e+18,-9.75966124464e-10,25423.1567669,-9482.85758191,-3.9423694782e+18,-1870.35044571,25423.1567669,27949.8205441,730198009878,203.084498935,-730198037625,25423.1567669,1.18744503425,0,0,-9.48236704314e+15,-0.00187035044571
0.00138,-7.69823318342e+18,-18341.1634592,1893.43335655,-46220.3734736,-23110.1867368,-46220.3732705,-8.40193316907e+18,-9.75929486414e-10,-46220.3734736,-18341.1634592,-7.69823318342e+18,1893.43335655,-46220.3734736,-50813.9550061,-1.43230460623e+12,203.084477107,1.43230465725e+12,-46220.3734736,0.979472867187,0,0,-1.8340666364e+16,0.00189343335655
0.0014,4.34447531701e+19,17490.3329759,-1916.40215128,1446835.42817,723417.714085,1446835.42837,4.84482335113e+19,-9.75900399791e-10,1446835.42817,17490.3329759,4.34447531701e+19,-1916.40215128,1446835.42817,1590628.21918,1.60642514623e+13,203.084433451,-1.60642530528e+13,1446835.42817,14.9856234142,0,0,1.74908365991e+16,-0.00191640215128
0.00142,-8.02345285568e+19,-19135.0759841,1939.25739406,2929344.96358,1464672.48179,2929344.96378,-8.96330571933e+19,-9.75863625481e-10,2929344.96358,-19135.0759841,-8.02345285568e+19,1939.25739406,2929344.96358,3220475.99338,-1.53565801534e+12,203.084200621,1.53565479507e+12,2929344.96358,58.7474273316,0,0,-1.91345658614e+16,0.00193925739406
0.00144,1.17528382958e+20,18247.4335214,-1961.99964626,4478805.38446,2239402.69223,4478805.38467,1.31412813512e+20,-9.75834585897e-10,4478805.38446,18247.4335214,1.17528382958e+20,-1961.99964626,4478805.38446,4923928.52294,1.672037014e+13,203.083269298,-1.67203750637e+13,4478805.38446,132.828930812,0,0,1.82479501145e+16,-0.00196199964626
0.00146,-1.55910651421e+20,-19963.353361,1984.62946648,6017123.8047,3008561.90235,6017123.8049,-1.74380375627e+20,-9.75797676237e-10,6017123.8047,-19963.353361,-1.55910651421e+20,1984.62946648,6017123.8047,6615131.71141,-1.64484962171e+12,203.084200621,1.64484300678e+12,6017123.8047,237.788222704,0,0,-1.99628303268e+16,0.00198462946648
0.00148,1.94818818611e+20,19037.3068234,-2007.14741054,7625159.04824,3812579.52412,7625159.04844,2.17968622809e+20,-9.75768682794e-10,7625159.04824,19037.3068234,1.94818818611e+20,-2007.14741054,7625159.04824,8382980.48399,1.74035950084e+13,203.084200621,-1.74036033912e+13,7625159.04824,374.211051233,0,0,1.90378362689e+16,-0.00200714741054
0.0015,-2.34862513274e+20,-20827.4831191,2029.55403155,9221426.17565,4610713.08783,9221426.17585,-2.62796091499e+20,-9.75731638684e-10,9221426.17565,-20827.4831191,-2.34862513274e+20,2029.55403155,9221426.17565,10137891.5739,-1.76017715978e+12,203.082337976,1.76016702209e+12,9221426.17565,542.676903472,0,0,-2.08269472923e+16,0.00202955403155
0.00152,2.75454870873e+20,19861.371491,-2051.84987985,10890291.432,5445145.716,10890291.4322,3.08271112413e+20,-9.75702690491e-10,10890291.432,19861.371491,2.75454870873e+20,-2051.84987985,10890291.432,11972615.9103,1.8115056672e+13,203.084200621,-1.81150686444e+13,10890291.432,743.794079548,0,0,1.98619136686e+16,-0.00205184987985
0.00154,-3.17231908722e+20,-21729.0171773,2074.03550308,12546730.609,6273365.3045,12546730.6092,-3.55038996145e+20,-9.75665512822e-10,12546730.609,-21729.0171773,-3.17231908722e+20,2074.03550308,12546730.609,13793679.2095,-1.88195273734e+12,203.082337976,1.88193894386e+12,12546730.609,978.164299958,0,0,-2.17284686798e+16,0.00207403550308
0.00156,3.59581359092e+20,20721.1075395,-2096.11144616,14278769.4384,7139384.71918,14278769.4386,4.02482462235e+20,-9.75636608999e-10,14278769.4384,20721.1075395,3.59581359092e+20,-2096.11144616,14278769.4384,15697855.5831,1.88559332651e+13,203.08047533,-1.88559489627e+13,14278769.4384,1246.41930043,0,0,2.07216623258e+16,-0.00209611144616
0.00158,-4.03166770132e+20,-22669.5746317,2118.07825132,15997690.8423,7998845.42114,15997690.8425,-4.51274754385e+20,-9.75599298654e-10,15997690.8423,-22669.5746317,-4.03166770132e+20,2118.07825132,15997690.8423,17587610.8644,-2.01050350668e+12,203.082337976,2.01048591927e+12,15997690.8423,1549.18390324,0,0,-2.26690135881e+16,0.00211807825132
0.0016,4.47349371311e+20,21618.0590482,-2139.93645811,17795338.695,8897669.34748,17795338.6952,5.00771872352e+20,-9.75570438329e-10,17795338.695,21618.0590482,4.47349371311e+20,-2139.93645811,17795338.695,19563916.7711,1.96274524631e+13,203.08047533,-1.96274720268e+13,17795338.695,1887.11419861,0,0,2.16186263172e+16,-0.00213993645811
0.00162,-4.92821433317e+20,-23650.844663,2161.68660342,19579142.7865,9789571.39323,19579142.7867,-5.51676202061e+20,-9.75532996182e-10,19579142.7865,-23650.844663,-4.92821433317e+20,2161.68660342,19579142.7865,21525003.0634,-2.14617236649e+12,203.08047533,2.14615084169e+12,19579142.7865,2260.85901343,0,0,-2.36502712009e+16,0.00216168660342
