time_s,node_BUSC2_voltage,node_BUSCS2_voltage,node_BUSMG_voltage,node_BUSMGR_voltage,node_BUSMS_voltage,output_fixed_1,output_fixed_2,output_fixed_3,branch_current_branch_fixed_3,branch_current_branch_fixed_5,branch_current_branch_fixed_6,torque_Nm,mechanical_speed_rad_s,mechanical_angle_rad,power_zero_axis_current_A,orthogonal_dummy_current_A,armature_current_A,compound_field_current_A,series_field_current_A
0.00046,20.6365840858,10,6.13768138197e-13,3.06884069098e-13,9.99999613769e-13,10,20.6365840858,6.13768138197e-13,6.7476708245e-13,-1.51752518079e-06,3.86231475572e-07,1.90375598159e-06,0,0,0,0,-0.0033731461272,0.00204126103897,0.00541440716618
0.00048,-4.13769051661,10,4.26525250547e-13,2.13262625273e-13,9.99999426526e-13,10,-4.13769051661,4.26525250547e-13,4.68915183099e-13,-3.1745511818e-07,5.73474175979e-07,8.90928825244e-07,0,0,0,0,-0.00594267085937,-0.00787065497725,-0.00192798411788
0.0005,26.4374496724,10,9.21367257416e-14,4.60683628708e-14,9.99999092138e-13,10,26.4374496724,9.21367257416e-14,1.01293673858e-13,-2.95955242491e-06,9.07862366396e-07,3.86741469001e-06,0,0,0,0,-0.00277149510695,0.00436212384675,0.0071336189537
0.00052,-11.2968215658,10,-3.59285541301e-13,-1.79642770651e-13,9.99998640716e-13,10,-11.2968215658,-3.59285541301e-13,-3.94992899408e-13,-1.46438579211e-06,1.35928418202e-06,2.82367036912e-06,0,0,0,0,-0.00668519771786,-0.0107349449251,-0.00404974720723
0.00054,35.272882353,10,-1.12060376478e-12,-5.60301882392e-13,9.99997879398e-13,10,35.272882353,-1.12060376478e-12,-1.23197423569e-12,-5.99653279802e-06,2.12060164418e-06,8.11713567418e-06,0,0,0,0,-0.00185510650806,0.00789708372355,0.00975219023161
0.00056,-22.20105982,10,-2.19104376829e-12,-1.09552188415e-12,9.99996808959e-13,10,-22.20105982,-2.19104376829e-12,-2.40879921756e-12,-4.49377923638e-06,3.19104057725e-06,7.68482222243e-06,0,0,0,0,-0.00781615756749,-0.0150976112607,-0.00728145369317
0.00058,48.7303344329,10,-3.93299543547e-12,-1.96649771774e-12,9.99995067009e-13,10,48.7303344329,-3.93299543547e-12,-4.3238736098e-12,-1.2577347102e-05,4.93299050248e-06,1.75103419283e-05,0,0,0,0,-0.000459333816209,0.0132812629558,0.013740596772
0.0006,-38.8095575674,10,-6.44978912163e-12,-3.22489456082e-12,9.99992550218e-13,10,-38.8095575674,-6.44978912163e-12,-7.09079718737e-12,-1.20872310224e-05,7.44978167185e-06,1.95370197851e-05,0,0,0,0,-0.00953874869922,-0.0217424893638,-0.0122037406646
0.00062,69.227691272,10,-1.04525431893e-11,-5.22627159464e-12,9.99988547468e-13,10,69.227691272,-1.04525431893e-11,-1.14913623453e-11,-2.71397588406e-05,1.14525317368e-05,3.85923020687e-05,0,0,0,0,0.00166659988665,0.0214820310026,0.019815431116
0.00064,-64.1063450181,10,-1.63410316026e-11,-8.17051580129e-12,9.99982658986e-13,10,-64.1063450181,-1.63410316026e-11,-1.79650743212e-11,-3.05674276097e-05,1.73410142616e-05,4.79084598363e-05,0,0,0,0,-0.0121624671346,-0.0318634570496,-0.019700989915
