time_s,LOAD_v_pu,SOURCE_v_pu,output_fixed_1_pu,SOURCE.LOAD_pu,LOAD.SOURCE_pu,VTHY1_pu,VTHY2_pu,ALPHA_pu,LAMDAR_pu,LAMDA1_pu,LAMDA2_pu,GRID1_pu,GRID2_pu
0.00465,0,-27.1808645441,-27.1808645441,-0,0,-27.1808645441,27.1808645441,90,0.4,0,0.00660245667605,0,0
0.0047,0,-29.9564970772,-29.9564970772,-0,0,-29.9564970772,29.9564970772,90,0.4,0,0.00803089071658,0,0
0.00475,0,-32.7214862095,-32.7214862095,-0,0,-32.7214862095,32.7214862095,90,0.4,0,0.00959784029874,0,0
0.0048,0,-35.4748495535,-35.4748495535,-0,0,-35.4748495535,35.4748495535,90,0.4,0,0.0113027486928,0,0
0.00485,0,-38.2156088525,-38.2156088525,-0,0,-38.2156088525,38.2156088525,90,0.4,0,0.013145010153,0,0
0.0049,0,-40.9427903276,-40.9427903276,-0,0,-40.9427903276,40.9427903276,90,0.4,0,0.0151239701325,0,0
0.00495,0,-43.6554250242,-43.6554250242,-0,0,-43.6554250242,43.6554250242,90,0.4,0,0.0172389255163,0,0
0.005,0,-46.3525491562,-46.3525491562,-0,0,-46.3525491562,46.3525491562,90,0.4,0,0.0194891248708,0,0
0.00505,0,-49.0332044482,-49.0332044482,-0,0,-49.0332044482,49.0332044482,90,0.4,0,0.0218737687109,0,0
0.0051,0,-51.6964384762,-51.6964384762,-0,0,-51.6964384762,51.6964384762,90,0.4,0,0.024392009784,0,0
0.00515,0,-54.3413050057,-54.3413050057,-0,0,-54.3413050057,54.3413050057,90,0.4,0,0.027042953371,0,0
0.0052,0,-56.9668643283,-56.9668643283,-0,0,-56.9668643283,56.9668643283,90,0.4,0,0.0298256576044,0,0
0.00525,0,-59.5721835952,-59.5721835952,-0,0,-59.5721835952,59.5721835952,90,0.4,0,0.0327391338025,0,0
0.0053,0,-62.156337149,-62.156337149,-0,0,-62.156337149,62.156337149,90,0.4,0,0.0357823468211,0,0
0.00535,0,-64.7184068521,-64.7184068521,-0,0,-64.7184068521,64.7184068521,90,0.4,0,0.0389542154211,0,0
0.0054,0,-67.2574824135,-67.2574824135,-0,0,-67.2574824135,67.2574824135,90,0.4,0,0.0422536126528,0,0
0.00545,0,-69.7726617116,-69.7726617116,-0,0,-69.7726617116,69.7726617116,90,0.4,0,0.0456793662559,0,0
0.0055,0,-72.2630511153,-72.2630511153,-0,0,-72.2630511153,72.2630511153,90,0.4,0,0.0492302590766,0,0
0.00555,0,-74.7277658009,-74.7277658009,-0,0,-74.7277658009,74.7277658009,90,0.4,0,0.0529050294995,0,0
0.0056,0,-77.1659300672,-77.1659300672,-0,0,-77.1659300672,77.1659300672,90,0.4,0,0.0567023718962,0,0
0.00565,0,-79.576677646,-79.576677646,-0,0,-79.576677646,79.576677646,90,0.4,0,0.060620937089,0,0
0.0057,0,-81.9591520101,-81.9591520101,-0,0,-81.9591520101,81.9591520101,90,0.4,0,0.0646593328304,0,0
0.00575,0,-84.3125066778,-84.3125066778,-0,0,-84.3125066778,84.3125066778,90,0.4,0,0.0688161242976,0,0
0.0058,0,-86.6359055133,-86.6359055133,-0,0,-86.6359055133,86.6359055133,90,0.4,0,0.0730898346024,0,0
0.00585,0,-88.9285230241,-88.9285230241,-0,0,-88.9285230241,88.9285230241,90,0.4,0,0.0774789453158,0,0
0.0059,0,-91.1895446542,-91.1895446542,-0,0,-91.1895446542,91.1895446542,90,0.4,0,0.0819818970078,0,0
0.00595,0,-93.4181670732,-93.4181670732,-0,0,-93.4181670732,93.4181670732,90,0.4,0,0.086597089801,0,0
0.006,0,-95.6135984623,-95.6135984623,-0,0,-95.6135984623,95.6135984623,90,0.4,0,0.0913228839393,0,0
0.00605,0,-97.7750587951,-97.7750587951,-0,0,-97.7750587951,97.7750587951,90,0.4,0,0.0961576003708,0,0
0.0061,0,-99.9017801151,-99.9017801151,-0,0,-99.9017801151,99.9017801151,90,0.4,0,0.101099521344,0,0
0.00615,0,-101.993006808,-101.993006808,-0,0,-101.993006808,101.993006808,90,0.4,0,0.106146891017,0,0
0.0062,0,-104.047995872,-104.047995872,-0,0,-104.047995872,104.047995872,90,0.4,0,0.111297916084,0,0
0.00625,0,-106.066017178,-106.066017178,-0,0,-106.066017178,106.066017178,90,0.4,0,0.11655076641,0,0
