time_s,S1_v_pu,R1_v_pu,S2_v_pu,R2_v_pu,S3_v_pu,R3_v_pu,S4_v_pu,R4_v_pu,output_fixed_1_pu,output_fixed_2_pu,output_fixed_3_pu,output_fixed_4_pu,output_fixed_5_pu,output_fixed_6_pu,output_fixed_7_pu,output_fixed_8_pu
0.00125,93.7418850632,89.1006524188,-5.2335956243,-5.2335956243,-83.8670567945,-83.8670567945,89.1006524188,89.1006524188,93.7418850632,-5.2335956243,-83.8670567945,89.1006524188,-5.2335956243,-83.8670567945,89.1006524188,89.1006524188
0.0013,92.8336671735,88.2291226435,-3.35040503011,-3.35040503011,-84.8787176134,-84.8787176134,88.2291226435,88.2291226435,92.8336671735,-3.35040503011,-84.8787176134,88.2291226435,-3.35040503011,-84.8787176134,88.2291226435,88.2291226435
0.00135,91.8924659239,87.326245481,-1.46602405297,-1.46602405297,-85.860221428,-85.860221428,87.326245481,87.326245481,91.8924659239,-1.46602405297,-85.860221428,87.326245481,-1.46602405297,-85.860221428,87.326245481,87.326245481
0.0014,90.9186157186,86.3923417193,0.418877795539,0.418877795539,-86.8112195148,-86.8112195148,86.3923417193,86.3923417193,90.9186157186,0.418877795539,-86.8112195148,86.3923417193,0.418877795539,-86.8112195148,86.3923417193,86.3923417193
0.00145,89.9124625622,85.4277431699,2.30363081875,2.30363081875,-87.7313739887,-87.7313739887,85.4277431699,85.4277431699,89.9124625622,2.30363081875,-87.7313739887,85.4277431699,2.30363081875,-87.7313739887,85.4277431699,85.4277431699
0.0015,88.8743639359,84.4327925502,4.18756537291,4.18756537291,-88.6203579231,-88.6203579231,84.4327925502,84.4327925502,88.8743639359,4.18756537291,-88.6203579231,84.4327925502,4.18756537291,-88.6203579231,84.4327925502,84.4327925502
0.00155,87.8046886713,83.4078433613,6.07001210503,6.07001210503,-89.4778554664,-89.4778554664,83.4078433613,83.4078433613,87.8046886713,6.07001210503,-89.4778554664,83.4078433613,6.07001210503,-89.4778554664,83.4078433613,83.4078433613
0.0016,86.7038168189,82.3532597628,7.95030219076,7.95030219076,-90.3035619536,-90.3035619536,82.3532597628,82.3532597628,86.7038168189,7.95030219076,-90.3035619536,82.3532597628,7.95030219076,-90.3035619536,82.3532597628,82.3532597628
0.00165,85.5721395132,81.2694164433,9.82776757197,9.82776757197,-91.0971840153,-91.0971840153,81.2694164433,81.2694164433,85.5721395132,9.82776757197,-91.0971840153,81.2694164433,9.82776757197,-91.0971840153,81.2694164433,81.2694164433
0.0017,84.4100588338,80.1566984871,11.7017411942,11.7017411942,-91.8584396813,-91.8584396813,80.1566984871,80.1566984871,84.4100588338,11.7017411942,-91.8584396813,80.1566984871,11.7017411942,-91.8584396813,80.1566984871,80.1566984871
0.00175,83.2179876625,79.0155012376,13.5715572434,13.5715572434,-92.587058481,-92.587058481,79.0155012376,79.0155012376,83.2179876625,13.5715572434,-92.587058481,79.0155012376,13.5715572434,-92.587058481,79.0155012376,79.0155012376
0.0018,81.9963495364,77.8462301567,15.436551383,15.436551383,-93.2827815397,-93.2827815397,77.8462301567,77.8462301567,81.9963495364,15.436551383,-93.2827815397,77.8462301567,15.436551383,-93.2827815397,77.8462301567,77.8462301567
0.00185,80.7455784977,76.6493006809,17.2960609894,17.2960609894,-93.9453616704,-93.9453616704,76.6493006809,76.6493006809,80.7455784977,17.2960609894,-93.9453616704,76.6493006809,17.2960609894,-93.9453616704,76.6493006809,76.6493006809
0.0019,79.4661189395,75.4251380736,19.1494253877,19.1494253877,-94.5745634613,-94.5745634613,75.4251380736,75.4251380736,79.4661189395,19.1494253877,-94.5745634613,75.4251380736,19.1494253877,-94.5745634613,75.4251380736,75.4251380736
0.00195,78.1584254476,74.1741772739,20.9959860863,20.9959860863,-95.1701633602,-95.1701633602,74.1741772739,74.1741772739,78.1584254476,20.9959860863,-95.1701633602,74.1741772739,20.9959860863,-95.1701633602,74.1741772739,74.1741772739
0.002,76.8229626392,72.8968627421,22.8350870111,22.8350870111,-95.7319497532,-95.7319497532,72.8968627421,72.8968627421,76.8229626392,22.8350870111,-95.7319497532,72.8968627421,22.8350870111,-95.7319497532,72.8968627421,72.8968627421
