time_s,node_1_voltage_v,node_2_voltage_v,node_3_voltage_v,node_4_voltage_v,node_5_voltage_v,node_6_voltage_v,node_7_voltage_v,node_8_voltage_v
0.00047,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3
0.00048,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3
0.00049,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3
0.0005,0.650000000002,0.742857142859,0.835714285715,0.928571428572,1.02142857143,1.11428571429,1.20714285714,1.3
0.00051,0.6505,0.743285714286,0.836071428571,0.928857142857,1.02164285714,1.11442857143,1.20721428571,1.3
0.00052,0.651,0.743714285714,0.836428571429,0.929142857143,1.02185714286,1.11457142857,1.20728571429,1.3
0.00053,0.6515,0.744142857143,0.836785714286,0.929428571429,1.02207142857,1.11471428571,1.20735714286,1.3
0.00054,0.652,0.744571428571,0.837142857143,0.929714285714,1.02228571429,1.11485714286,1.20742857143,1.3
0.00055,0.6525,0.745,0.8375,0.93,1.0225,1.115,1.2075,1.3
0.00056,0.653,0.745428571429,0.837857142857,0.930285714286,1.02271428571,1.11514285714,1.20757142857,1.3
0.00057,0.6535,0.745857142857,0.838214285714,0.930571428571,1.02292857143,1.11528571429,1.20764285714,1.3
0.00058,0.654,0.746285714286,0.838571428571,0.930857142857,1.02314285714,1.11542857143,1.20771428571,1.3
0.00059,0.6545,0.746714285714,0.838928571429,0.931142857143,1.02335714286,1.11557142857,1.20778571429,1.3
0.0006,0.655,0.747142857143,0.839285714286,0.931428571429,1.02357142857,1.11571428571,1.20785714286,1.3
0.00061,0.6555,0.747571428571,0.839642857143,0.931714285714,1.02378571429,1.11585714286,1.20792857143,1.3
0.00062,0.656,0.748,0.84,0.932,1.024,1.116,1.208,1.3
0.00063,0.6565,0.748428571429,0.840357142857,0.932285714286,1.02421428571,1.11614285714,1.20807142857,1.3
0.00064,0.657,0.748857142857,0.840714285714,0.932571428571,1.02442857143,1.11628571429,1.20814285714,1.3
0.00065,0.6575,0.749285714286,0.841071428571,0.932857142857,1.02464285714,1.11642857143,1.20821428571,1.3
0.00066,0.658,0.749714285714,0.841428571429,0.933142857143,1.02485714286,1.11657142857,1.20828571429,1.3
0.00067,0.6585,0.750142857143,0.841785714286,0.933428571429,1.02507142857,1.11671428571,1.20835714286,1.3
0.00068,0.659,0.750571428571,0.842142857143,0.933714285714,1.02528571429,1.11685714286,1.20842857143,1.3
0.00069,0.6595,0.751,0.8425,0.934,1.0255,1.117,1.2085,1.3
0.0007,0.66,0.751428571429,0.842857142857,0.934285714286,1.02571428571,1.11714285714,1.20857142857,1.3
0.00071,0.6605,0.751857142857,0.843214285714,0.934571428571,1.02592857143,1.11728571429,1.20864285714,1.3
0.00072,0.661,0.752285714286,0.843571428571,0.934857142857,1.02614285714,1.11742857143,1.20871428571,1.3
0.00073,0.6615,0.752714285714,0.843928571429,0.935142857143,1.02635714286,1.11757142857,1.20878571429,1.3
0.00074,0.662,0.753142857143,0.844285714286,0.935428571429,1.02657142857,1.11771428571,1.20885714286,1.3
0.00075,0.6625,0.753571428571,0.844642857143,0.935714285714,1.02678571429,1.11785714286,1.20892857143,1.3
0.00076,0.663,0.754,0.845,0.936,1.027,1.118,1.209,1.3
0.00077,0.6635,0.754428571429,0.845357142857,0.936285714286,1.02721428571,1.11814285714,1.20907142857,1.3
0.00078,0.664,0.754857142857,0.845714285714,0.936571428571,1.02742857143,1.11828571429,1.20914285714,1.3
0.00079,0.6645,0.755285714286,0.846071428571,0.936857142857,1.02764285714,1.11842857143,1.20921428571,1.3
0.0008,0.665,0.755714285714,0.846428571429,0.937142857143,1.02785714286,1.11857142857,1.20928571429,1.3
0.00081,0.6655,0.756142857143,0.846785714286,0.937428571429,1.02807142857,1.11871428571,1.20935714286,1.3
0.00082,0.666,0.756571428571,0.847142857143,0.937714285714,1.02828571429,1.11885714286,1.20942857143,1.3
0.00083,0.6665,0.757,0.8475,0.938,1.0285,1.119,1.2095,1.3
