category,family,application,fidelity,admitted,disposition,modulations
dc_ac,FlyingCapacitorBridge,StandaloneConversion,AverageValue,false,typed_unsupported_fidelity,CarrierSinusoidalPulseWidthModulation;PhaseShiftedCarrierPulseWidthModulation;SelectiveHarmonicElimination;NearestLevelModulation
dc_ac,FlyingCapacitorBridge,StandaloneConversion,SwitchingStateEquivalent,true,executable,CarrierSinusoidalPulseWidthModulation;PhaseShiftedCarrierPulseWidthModulation;SelectiveHarmonicElimination;NearestLevelModulation
dc_ac,FlyingCapacitorBridge,StandaloneConversion,SwitchingDetailed,true,executable,CarrierSinusoidalPulseWidthModulation;PhaseShiftedCarrierPulseWidthModulation;SelectiveHarmonicElimination;NearestLevelModulation
dc_ac,CascadedHBridge,StandaloneConversion,AverageValue,false,typed_unsupported_fidelity,CarrierSinusoidalPulseWidthModulation;PhaseShiftedCarrierPulseWidthModulation;SelectiveHarmonicElimination;NearestLevelModulation
dc_ac,CascadedHBridge,StandaloneConversion,SwitchingStateEquivalent,true,executable,CarrierSinusoidalPulseWidthModulation;PhaseShiftedCarrierPulseWidthModulation;SelectiveHarmonicElimination;NearestLevelModulation
dc_ac,CascadedHBridge,StandaloneConversion,SwitchingDetailed,true,executable,CarrierSinusoidalPulseWidthModulation;PhaseShiftedCarrierPulseWidthModulation;SelectiveHarmonicElimination;NearestLevelModulation
direct_ac_ac,ThreePhaseMatrixConverter,StandaloneConversion,AverageValue,false,typed_unsupported_fidelity,MatrixSpaceVectorModulation
direct_ac_ac,ThreePhaseMatrixConverter,StandaloneConversion,SwitchingStateEquivalent,true,executable,MatrixSpaceVectorModulation
direct_ac_ac,ThreePhaseMatrixConverter,StandaloneConversion,SwitchingDetailed,true,executable,MatrixSpaceVectorModulation
direct_ac_ac,LineCommutatedCycloconverter,StandaloneConversion,AverageValue,false,typed_unsupported_fidelity,CycloconverterFiringSynthesis
direct_ac_ac,LineCommutatedCycloconverter,StandaloneConversion,SwitchingStateEquivalent,true,executable,CycloconverterFiringSynthesis
direct_ac_ac,LineCommutatedCycloconverter,StandaloneConversion,SwitchingDetailed,true,executable,CycloconverterFiringSynthesis
application,ThreePhaseTwoLevelBridge,ShuntActiveHarmonicFilter,AverageValue,true,executable,CarrierSinusoidalPulseWidthModulation;SpaceVectorPulseWidthModulation;SelectiveHarmonicElimination
application,ThreePhaseTwoLevelBridge,ShuntActiveHarmonicFilter,SwitchingStateEquivalent,false,typed_unsupported_fidelity,CarrierSinusoidalPulseWidthModulation;SpaceVectorPulseWidthModulation;SelectiveHarmonicElimination
application,ThreePhaseTwoLevelBridge,ShuntActiveHarmonicFilter,SwitchingDetailed,false,typed_unsupported_fidelity,CarrierSinusoidalPulseWidthModulation;SpaceVectorPulseWidthModulation;SelectiveHarmonicElimination
application,ThreePhaseTwoLevelBridge,DynamicVoltageRestorer,AverageValue,true,executable,CarrierSinusoidalPulseWidthModulation;SpaceVectorPulseWidthModulation;SelectiveHarmonicElimination
application,ThreePhaseTwoLevelBridge,DynamicVoltageRestorer,SwitchingStateEquivalent,false,typed_unsupported_fidelity,CarrierSinusoidalPulseWidthModulation;SpaceVectorPulseWidthModulation;SelectiveHarmonicElimination
application,ThreePhaseTwoLevelBridge,DynamicVoltageRestorer,SwitchingDetailed,false,typed_unsupported_fidelity,CarrierSinusoidalPulseWidthModulation;SpaceVectorPulseWidthModulation;SelectiveHarmonicElimination
application,ThreePhaseTwoLevelBridge,DoubleConversionUninterruptiblePowerSupply,AverageValue,true,executable,CarrierSinusoidalPulseWidthModulation;SpaceVectorPulseWidthModulation;SelectiveHarmonicElimination
application,ThreePhaseTwoLevelBridge,DoubleConversionUninterruptiblePowerSupply,SwitchingStateEquivalent,false,typed_unsupported_fidelity,CarrierSinusoidalPulseWidthModulation;SpaceVectorPulseWidthModulation;SelectiveHarmonicElimination
application,ThreePhaseTwoLevelBridge,DoubleConversionUninterruptiblePowerSupply,SwitchingDetailed,false,typed_unsupported_fidelity,CarrierSinusoidalPulseWidthModulation;SpaceVectorPulseWidthModulation;SelectiveHarmonicElimination
application,ThreePhaseTwoLevelBridge,ConductiveElectricVehicleCharger,AverageValue,true,executable,CarrierSinusoidalPulseWidthModulation;SpaceVectorPulseWidthModulation;SelectiveHarmonicElimination
application,ThreePhaseTwoLevelBridge,ConductiveElectricVehicleCharger,SwitchingStateEquivalent,false,typed_unsupported_fidelity,CarrierSinusoidalPulseWidthModulation;SpaceVectorPulseWidthModulation;SelectiveHarmonicElimination
application,ThreePhaseTwoLevelBridge,ConductiveElectricVehicleCharger,SwitchingDetailed,false,typed_unsupported_fidelity,CarrierSinusoidalPulseWidthModulation;SpaceVectorPulseWidthModulation;SelectiveHarmonicElimination
application,ThreePhaseTwoLevelBridge,ThreeStageSolidStateTransformer,AverageValue,true,executable,CarrierSinusoidalPulseWidthModulation;SpaceVectorPulseWidthModulation;SelectiveHarmonicElimination
application,ThreePhaseTwoLevelBridge,ThreeStageSolidStateTransformer,SwitchingStateEquivalent,false,typed_unsupported_fidelity,CarrierSinusoidalPulseWidthModulation;SpaceVectorPulseWidthModulation;SelectiveHarmonicElimination
application,ThreePhaseTwoLevelBridge,ThreeStageSolidStateTransformer,SwitchingDetailed,false,typed_unsupported_fidelity,CarrierSinusoidalPulseWidthModulation;SpaceVectorPulseWidthModulation;SelectiveHarmonicElimination
