time_s,input_voltage_v,input_current_a,switch_node_voltage_v,output_voltage_v,inductor_current_a,load_current_a,requested_gate_state,applied_gate_state,controlled_valve_conducting_state,freewheel_diode_conducting_state,stored_energy_j,semiconductor_loss_w,kcl_residual_a,energy_residual_w,controlled_junction_temperature_k,freewheel_junction_temperature_k,freewheel_recovered_charge_c,controlled_turn_off_tail_current_a
0.00017125,120,0.000315997700007,-0.88118956349,70.0182254204,6.86209215438,8.75227817754,0,0,0,1,0.403018765221,6.07729410992,1.45519152284e-11,-5.78801329781e-10,298.176862004,298.154062042,2.8211676613e-05,0
0.0001715,120,0.000313501141136,-0.881135245556,70.0150654783,6.85013873076,8.75188318479,0,0,0,1,0.402862648686,6.06635650396,2.64912874623e-14,-1.60190870985e-10,298.176861929,298.1540658,2.81638730528e-05,0
0.00017175,120,0.000314373920851,-0.881080914181,70.0118862748,6.83818608352,8.75148578435,0,0,0,1,0.402706553642,6.0554182757,7.92649908384e-14,4.91143584136e-11,298.176861855,298.154069551,2.81160690191e-05,0
0.000172,120,0.000311901661121,-0.881026603125,70.0086878153,6.82623421585,8.75108597691,0,0,0,1,0.402550480167,6.04448618357,2.11923902906e-13,2.75875242789e-10,298.17686178,298.154073296,2.80682655915e-05,0
0.00017225,120,0.000312785766532,-0.880972278723,70.0054701049,6.81428313094,8.75068376312,0,0,0,1,0.402394428332,6.03355345489,1.32428248055e-14,8.38413539983e-10,298.176861705,298.154077033,2.80204620435e-05,0
0.0001725,120,0.000310337388143,-0.880917974607,70.0022331492,6.80233283199,8.75027914365,0,0,0,1,0.402238398213,6.02262682117,1.45519152284e-11,1.1270281583e-09,298.17686163,298.154080764,2.79726594324e-05,0
0.00017275,120,0.000311232454209,-0.880863657241,69.9989769532,6.79038332218,8.74987211915,0,0,0,1,0.402082389885,6.01169953803,1.45519152284e-11,5.63676709475e-10,298.176861555,298.154084488,2.79248570171e-05,0
0.000173,120,0.000308807548066,-0.880809360127,69.9957015225,6.77843460471,8.74946269031,0,0,0,1,0.40192640342,6.00077831016,7.99440808691e-14,3.13226007631e-10,298.17686148,298.154088205,2.78770558345e-05,0
0.00017325,120,0.000309713218449,-0.880755049858,69.9924068623,6.76648668276,8.74905085779,0,0,0,1,0.401770438894,5.98985642134,1.64125440669e-13,1.85235941169e-10,298.176861405,298.154091916,2.7829255131e-05,0
0.0001735,120,0.000307311383807,-0.880700759807,69.9890929779,6.75453955953,8.74863662224,0,0,0,1,0.40161449638,5.9789405495,2.02291796595e-13,5.03449278794e-10,298.17686133,298.154095619,2.7781455925e-05,0
0.00017375,120,0.000308227310342,-0.880646456696,69.9857598747,6.7425932382,8.74821998434,0,0,0,1,0.401458575952,5.96802400646,3.41847860783e-14,4.58129627984e-10,298.176861255,298.154099316,2.77336574525e-05,0
0.000174,120,0.000305848155335,-0.880592173769,69.9824075581,6.73064772195,8.74780094476,0,0,0,1,0.401302677685,5.95711344346,1.45519152284e-11,-2.28224557308e-11,298.17686118,298.154103006,2.76858607152e-05,0
0.00017425,120,0.000306773998027,-0.880537877877,69.9790360333,6.71870301397,8.74737950417,0,0,0,1,0.401146801653,5.94620220022,1.45519152284e-11,6.10514243327e-10,298.176861105,298.154106689,2.76380649397e-05,0
0.0001745,120,0.00030441713843,-0.880483602137,69.9756453058,6.70675911745,8.74695566323,0,0,0,1,0.400990947929,5.93529690138,5.20821992304e-14,3.96601154695e-10,298.17686103,298.154110365,2.75902711127e-05,0
0.00017475,120,0.000305352564922,-0.880429313525,69.9722353809,6.69481603556,8.74652942261,0,0,0,1,0.400835116588,5.92439091442,7.08986905643e-14,-7.70434063768e-10,298.176860955,298.154114035,2.75424784532e-05,0
0.000175,120,0.000303017625214,-0.880375045031,69.9688062639,6.6828737715,8.74610078298,0,0,0,1,0.400679307703,5.91349083747,1.45519152284e-11,-4.21104123793e-10,298.17686088,298.154117697,2.7494687934e-05,0
0.00017525,120,0.000303962311321,-0.88032076376,69.9653579602,6.67093232844,8.74566974502,0,0,0,1,0.400523521349,5.90259006562,1.81594106072e-13,2.66930574866e-10,298.176860805,298.154121353,2.74468987678e-05,0
0.0001755,120,0.000301648922729,-0.880266502574,69.9618904752,6.65899170955,8.7452363094,0,0,0,1,0.400367757599,5.89169517056,1.06581410364e-14,3.60497222351e-11,298.17686073,298.154125002,2.73991119147e-05,0
0.00017575,120,0.000302602551372,-0.880212228705,69.9584038142,6.64705191803,8.74480047678,0,0,0,1,0.400212016526,5.88079957487,8.31440493711e-14,-2.5099280293e-11,298.176860655,298.154128644,2.73513265821e-05,0
0.000176,120,0.000300310353829,-0.880157974888,69.9548979827,6.63511295705,8.74436224783,0,0,0,1,0.400056298206,5.86990982392,9.52806627e-14,5.85360752925e-10,298.17686058,298.15413228,2.73035437186e-05,0
0.00017625,120,0.000301272615744,-0.880103708482,69.9513729859,6.62317482978,8.74392162324,0,0,0,1,0.39990060271,5.85901936762,1.55217418779e-13,3.09756560679e-10,298.176860505,298.154135909,2.72557625271e-05,0
0.0001765,120,0.000299001255755,-0.880049462095,69.9478288294,6.61123753941,8.74347860367,0,0,0,1,0.399744930114,5.84813472507,8.90765868185e-14,7.77372957672e-11,298.17686043,298.15413953,2.72079839457e-05,0
0.00017675,120,0.000299971848783,-0.879995203211,69.9442655184,6.59930108911,8.7430331898,0,0,0,1,0.399589280491,5.8372493734,7.2379277051e-14,-4.20507812599e-10,298.176860355,298.154143145,2.7160207174e-05,0
0.000177,120,0.000297720981202,-0.879940964315,69.9406830584,6.58736548205,8.7425853823,0,0,0,1,0.399433653915,5.82636980557,1.45519152284e-11,-6.62664367823e-10,298.17686028,298.154146754,2.711243314e-05,0
0.00017725,120,0.000298699609935,-0.879886713014,69.9370814548,6.5754307214,8.74213518185,0,0,0,1,0.399278050458,5.81548952576,2.18852496889e-13,1.20942752341e-10,298.176860205,298.154150355,2.70646610408e-05,0
0.0001775,120,0.000296468896188,-0.87983248167,69.9334607129,6.56349681035,8.74168258911,0,0,0,1,0.399122470195,5.80461500086,1.46809539352e-13,5.20850723662e-10,298.17686013,298.15415395,2.70168917954e-05,0
0.00017775,120,0.000297455272502,-0.879778238013,69.9298208382,6.55156375205,8.74122760478,0,0,0,1,0.398966913199,5.79373976201,1.76991342589e-13,2.41506033921e-10,298.176860055,298.154157537,2.69691245987e-05,0
0.000178,120,0.000295244380943,-0.87972401428,69.9261618361,6.53963154969,8.74077022951,0,0,0,1,0.398811379544,5.78287025009,1.45519152284e-11,-2.81892564846e-12,298.17685998,298.154161118,2.69213603615e-05,0
0.00017825,120,0.000296238223285,-0.879669778328,69.922483712,6.52770020643,8.740310464,0,0,0,1,0.398655869302,5.77200002308,1.98389048245e-13,6.29270940911e-10,298.176859905,298.154164693,2.68735982772e-05,0
0.0001785,120,0.000294046829197,-0.879615562267,69.9187864713,6.51576972543,8.73984830891,0,0,0,1,0.398500382548,5.76113549595,1.45519152284e-11,7.6680198649e-10,298.17685983,298.15416826,2.68258392489e-05,0
0.00017875,120,0.000295047863119,-0.879561334079,69.9150701194,6.50384010988,8.73938376493,0,0,0,1,0.398344919355,5.75027025338,9.26482740353e-14,4.90384642615e-10,298.176859755,298.154171821,2.67780824689e-05,0
0.000179,120,0.000292875648356,-0.879507125752,69.9113346618,6.49191136293,8.73891683273,0,0,0,1,0.398189479797,5.73941068452,1.75607141675e-13,4.26308294221e-10,298.17685968,298.154175375,2.67303288332e-05,0
0.00017925,120,0.000293883605273,-0.879452905388,69.9075801039,6.47998348774,8.73844751299,0,0,0,1,0.398034063945,5.72855040062,1.74464717846e-13,2.43837068592e-10,298.176859605,298.154178922,2.66825775337e-05,0
0.0001795,120,0.000291730258795,-0.879398704853,69.9038064511,6.4680564875,8.73797580639,0,0,0,1,0.397878671875,5.7176957651,1.71454647355e-14,4.6338800852e-10,298.17685953,298.154182462,2.66348294594e-05,0
0.00017975,120,0.000292744876162,-0.879344492374,69.9000137089,6.45613036535,8.73750171361,0,0,0,1,0.397723303658,5.70684041568,1.72700937752e-13,1.36067372647e-10,298.176859455,298.154185996,2.65870838023e-05,0
0.00018,120,8.63853656689,118.222660756,69.8962063475,6.45470917566,8.73702579344,1,1,1,0,0.397675793332,9.64435004301,2.77395884041e-11,0.963622288558,298.179649232,298.156716891,0,0
