time_s,bus_v_pu,source_node_v_pu,source_v_pu,load_conductance_pu,inverter_p_pu,inverter_q_pu,id_pu,iq_pu,id_ref_pu,iq_ref_pu,p_ref_pu,q_ref_pu
0.108800000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000009,0.050000000,0.800000009,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.108820000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000009,0.050000000,0.800000009,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.108840000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000009,0.050000000,0.800000009,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.108860000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000009,0.050000000,0.800000009,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.108880000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000009,0.050000000,0.800000009,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.108900000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000009,0.050000000,0.800000009,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.108920000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000009,0.050000000,0.800000009,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.108940000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000009,0.050000000,0.800000009,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.108960000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000009,0.050000000,0.800000009,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.108980000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000009,0.050000000,0.800000009,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.109000000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000009,0.050000000,0.800000009,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.109020000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000009,0.050000000,0.800000009,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.109040000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000009,0.050000000,0.800000009,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.109060000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000008,0.050000000,0.800000008,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.109080000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000008,0.050000000,0.800000008,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.109100000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000008,0.050000000,0.800000008,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.109120000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000008,0.050000000,0.800000008,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.109140000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000008,0.050000000,0.800000008,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.109160000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000008,0.050000000,0.800000008,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.109180000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000008,0.050000000,0.800000008,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.109200000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000008,0.050000000,0.800000008,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.109220000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000008,0.050000000,0.800000008,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.109240000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000008,0.050000000,0.800000008,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.109260000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000008,0.050000000,0.800000008,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.109280000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000008,0.050000000,0.800000008,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.109300000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000008,0.050000000,0.800000008,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.109320000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000008,0.050000000,0.800000008,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.109340000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000008,0.050000000,0.800000008,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.109360000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000008,0.050000000,0.800000008,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.109380000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000008,0.050000000,0.800000008,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.109400000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000008,0.050000000,0.800000008,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
