time_s,phase_a_v_pu,phase_b_v_pu,phase_c_v_pu,v_ab_pu,v_bc_pu,v_ca_pu
0.00425,0.972369919425,-0.688354575005,-0.28401534442,1.66072449443,-0.404339230585,-1.25638526385
0.0043,0.975916760963,-0.676875969006,-0.299040791957,1.65279272997,-0.377835177049,-1.27495755292
0.00435,0.979222809643,-0.665230353989,-0.313992455653,1.64445316363,-0.351237898336,-1.2932152653
0.0044,0.982287249746,-0.653420603337,-0.32886664641,1.63570785308,-0.324553956927,-1.31115389616
0.00445,0.98510932517,-0.641449630928,-0.343659694242,1.6265589561,-0.297789936686,-1.32876901941
0.0045,0.987688339607,-0.629320390421,-0.358367949187,1.61700873003,-0.270952441234,-1.34605628879
0.00455,0.990023656727,-0.617035874524,-0.372987782203,1.60705953125,-0.244048092321,-1.36301143893
0.0046,0.992114700322,-0.604599114258,-0.387515586065,1.59671381458,-0.217083528193,-1.37963028639
0.00465,0.993960954461,-0.592013178207,-0.401947776254,1.58597413267,-0.190065401953,-1.39590873072
0.0047,0.995561963608,-0.579281171763,-0.416280791844,1.57484313537,-0.163000379919,-1.41184275545
0.00475,0.996917332736,-0.566406236358,-0.430511096378,1.56332356909,-0.135895139981,-1.42742842911
0.0048,0.99802672743,-0.55339154869,-0.44463517874,1.55141827612,-0.10875636995,-1.44266190617
0.00485,0.998889873963,-0.540240319937,-0.458649554026,1.5391301939,-0.0815907659117,-1.45753942799
0.0049,0.999506559366,-0.52695579497,-0.472550764397,1.52646235434,-0.0544050305732,-1.47205732376
0.00495,0.999876631482,-0.513541251545,-0.486335379937,1.51341788303,-0.0272058716075,-1.48621201142
0.005,0.999999999,-0.4999999995,-0.4999999995,1.4999999985,-1.66533453694e-16,-1.4999999985
0.00505,0.999876631482,-0.486335379937,-0.513541251545,1.48621201142,0.0272058716075,-1.51341788303
0.0051,0.999506559366,-0.472550764397,-0.52695579497,1.47205732376,0.0544050305732,-1.52646235434
0.00515,0.998889873963,-0.458649554026,-0.540240319937,1.45753942799,0.0815907659117,-1.5391301939
0.0052,0.99802672743,-0.44463517874,-0.55339154869,1.44266190617,0.10875636995,-1.55141827612
0.00525,0.996917332736,-0.430511096378,-0.566406236358,1.42742842911,0.135895139981,-1.56332356909
0.0053,0.995561963608,-0.416280791844,-0.579281171763,1.41184275545,0.163000379919,-1.57484313537
0.00535,0.993960954461,-0.401947776254,-0.592013178207,1.39590873072,0.190065401953,-1.58597413267
0.0054,0.992114700322,-0.387515586065,-0.604599114258,1.37963028639,0.217083528193,-1.59671381458
0.00545,0.990023656727,-0.372987782203,-0.617035874524,1.36301143893,0.244048092321,-1.60705953125
0.0055,0.987688339607,-0.358367949187,-0.629320390421,1.34605628879,0.270952441234,-1.61700873003
0.00555,0.98510932517,-0.343659694242,-0.641449630928,1.32876901941,0.297789936686,-1.6265589561
0.0056,0.982287249746,-0.32886664641,-0.653420603337,1.31115389616,0.324553956927,-1.63570785308
0.00565,0.979222809643,-0.313992455653,-0.665230353989,1.2932152653,0.351237898336,-1.64445316363
0.0057,0.975916760963,-0.299040791957,-0.676875969006,1.27495755292,0.377835177049,-1.65279272997
0.00575,0.972369919425,-0.28401534442,-0.688354575005,1.25638526385,0.404339230585,-1.66072449443
0.0058,0.96858316016,-0.268919820346,-0.699663339814,1.23750298051,0.430743519467,-1.66824649997
0.00585,0.964557417493,-0.253757944331,-0.710799473162,1.21831536182,0.457041528831,-1.67535689066
0.0059,0.960293684717,-0.23853345734,-0.721760227377,1.19882714206,0.483226770037,-1.68205391209
0.00595,0.955793013843,-0.223250115788,-0.732542898055,1.17904312963,0.509292782267,-1.6883359119
0.006,0.951056515344,-0.20791169061,-0.743144824734,1.15896820595,0.535233134124,-1.69420134008
0.00605,0.946085357881,-0.192521966333,-0.753563391548,1.13860732421,0.561041425215,-1.69964874943
0.0061,0.940880768013,-0.177084740142,-0.763796027871,1.11796550816,0.586711287728,-1.70467679588
0.00615,0.935444029894,-0.161603820942,-0.773840208953,1.09704785084,0.612236388011,-1.70928423885
0.0062,0.929776484958,-0.146083028416,-0.783693456542,1.07585951337,0.637610428126,-1.7134699415
0.00625,0.923879531587,-0.13052619209,-0.793353339498,1.05440572368,0.662827147408,-1.71723287109
0.0063,0.917754624766,-0.114937150378,-0.802817474388,1.03269177514,0.68788032401,-1.72057209915
0.00635,0.911403275724,-0.0993197496443,-0.81208352608,1.01072302537,0.712763776435,-1.7234868018
0.0064,0.904827051561,-0.0836778432486,-0.821149208313,0.98850489481,0.737471365064,-1.72597625987
0.00645,0.898027574863,-0.0680152905972,-0.830012284265,0.96604286546,0.761996993668,-1.72803985913
0.0065,0.891006523297,-0.0523359561906,-0.838670567107,0.943342479488,0.786334610916,-1.7296770904
0.00655,0.883765629205,-0.0366437086699,-0.847121920535,0.920409337875,0.810478211865,-1.73088754974
0.0066,0.876306679168,-0.0209424198624,-0.855364259305,0.89724909903,0.834421839443,-1.73167093847
0.00665,0.86863151357,-0.00523596382618,-0.863395549743,0.873867477396,0.858159585917,-1.73202706331
0.0067,0.860742026143,0.0104717841058,-0.871213810249,0.850270242037,0.881685594355,-1.73195583639
0.00675,0.852640163501,0.0261769482817,-0.878817111783,0.82646321522,0.904994060065,-1.73145727528
0.0068,0.844327924658,0.0418756536873,-0.886203578345,0.80245227097,0.928079232032,-1.730531503
0.00685,0.835807360532,0.057564026902,-0.893371387434,0.77824333363,0.950935414336,-1.72917874797
0.0069,0.827080573447,0.0732381970544,-0.900318770502,0.753842376393,0.973556967556,-1.72739934395
0.00695,0.818149716607,0.0888942967775,-0.907044013384,0.729255419829,0.995938310162,-1.72519372999
0.007,0.809016993566,0.104528463163,-0.913545456729,0.704488530403,1.01807391989,-1.72256245029
0.00705,0.799684657687,0.120136838715,-0.919821496402,0.679547818973,1.03995833512,-1.71950615409
0.0071,0.790155011586,0.135715572299,-0.925870583884,0.654439439287,1.06158615618,-1.71602559547
0.00715,0.780430406558,0.151260820096,-0.931691226654,0.629169586462,1.08295204675,-1.71212163321
0.0072,0.770513242005,0.166768746549,-0.937281988555,0.603744495456,1.1040507351,-1.70779523056
0.00725,0.76040596484,0.18223552531,-0.94264149015,0.57817043953,1.12487701546,-1.70304745499
0.0073,0.75011106888,0.197657340181,-0.947768409062,0.552453728699,1.14542574924,-1.69787947794
0.00735,0.739631094239,0.213030386062,-0.952661480301,0.526600708177,1.16569186636,-1.69229257454
0.0074,0.728968626692,0.228350869882,-0.957319496575,0.50061775681,1.18567036646,-1.68628812327
0.00745,0.718126297045,0.243615011542,-0.961741308587,0.474511285503,1.20535632013,-1.67986760563
0.0075,0.707106780479,0.258819044844,-0.965925825323,0.448287735636,1.22474487017,-1.6730326058
0.00755,0.695912795896,0.273959218418,-0.969872014315,0.421953577478,1.24383123273,-1.66578481021
0.0076,0.684547105244,0.289031796655,-0.9735789019,0.395515308589,1.26261069856,-1.65812600714
0.00765,0.673012512837,0.304033060621,-0.977045573458,0.368979452215,1.28107863408,-1.65005808629
0.0077,0.661311864662,0.318959308979,-0.980271173641,0.342352555683,1.29923048262,-1.6415830383
0.00775,0.649448047681,0.3338068589,-0.983254906581,0.315641188781,1.31706176548,-1.63270295426
0.0078,0.637423989111,0.348572046973,-0.985996036085,0.288851942138,1.33456808306,-1.6234200252
0.00785,0.62524265571,0.36325123011,-0.98849388582,0.261991425601,1.35174511593,-1.61373654153
0.0079,0.61290705304,0.377840786441,-0.990747839481,0.235066266599,1.36858862592,-1.60365489252
0.00795,0.600420224725,0.392337116211,-0.992757340937,0.208083108514,1.38509445715,-1.59317756566
0.008,0.587785251705,0.406736642669,-0.994521894374,0.181048609036,1.40125853704,-1.58230714608
0.00805,0.575005251468,0.421035812946,-0.996041064415,0.153969438522,1.41707687736,-1.57104631588
0.0081,0.56208337729,0.435231098937,-0.997314476227,0.126852278353,1.43254557516,-1.55939785352
0.00815,0.549022817449,0.449318998167,-0.998341815616,0.0997038192825,1.44766081378,-1.54736463306
0.0082,0.535826794443,0.463296034657,-0.9991228291,0.0725307597866,1.46241886376,-1.53494962354
0.00825,0.522498564193,0.477158759782,-0.999657323976,0.045339804411,1.47681608376,-1.52215588817
0.0083,0.509041415241,0.490903753124,-0.999945168366,0.0181376621171,1.49084892149,-1.50898658361
0.00835,0.495458667937,0.50452762331,-0.999986291247,-0.00906895537354,1.50451391456,-1.49544495918
0.0084,0.48175367362,0.518027008855,-0.999780682475,-0.0362733352351,1.51780769133,-1.4815343561
0.00845,0.467929813793,0.531398578987,-0.999328392779,-0.063468765194,1.53072697177,-1.46725820657
0.0085,0.453990499286,0.54463903447,-0.998629533756,-0.0906485351848,1.54326856823,-1.45262003304
0.00855,0.439939169416,0.557745108422,-0.997684277838,-0.117805939006,1.55542938626,-1.43762344725
0.0086,0.425779291139,0.570713567114,-0.996492858253,-0.144934275974,1.56720642537,-1.42227214939
0.00865,0.411514358194,0.583541210773,-0.995055568966,-0.172026852579,1.57859677974,-1.40656992716
0.0087,0.397147890238,0.596224874369,-0.993372764607,-0.199076984132,1.58959763898,-1.39052065484
0.00875,0.382683431982,0.6087614284,-0.991444860382,-0.226077996418,1.60020628878,-1.37412829236
0.0088,0.368124552317,0.621147779657,-0.989272331974,-0.253023227341,1.61042011163,-1.35739688429
0.00885,0.353474843426,0.633380871994,-0.98685571542,-0.279906028568,1.62023658741,-1.34033055885
0.0089,0.338737919907,0.645457687078,-0.984195606985,-0.306719767172,1.62965329406,-1.32293352689
0.00895,0.323917417874,0.657375245137,-0.981292663011,-0.333457827262,1.63866790815,-1.30521008089
0.009,0.309016994066,0.66913060569,-0.978147599756,-0.360113611624,1.64727820545,-1.28716459382
0.00905,0.294040324938,0.680720868278,-0.974761193216,-0.38668054334,1.65548206149,-1.26880151815
0.0091,0.27899110576,0.692143173178,-0.971134278939,-0.413152067418,1.66327745212,-1.2501253847
0.00915,0.263873049701,0.703394702107,-0.967267751809,-0.439521652406,1.67066245392,-1.23114080151
0.0092,0.248689886916,0.714472678918,-0.963162565834,-0.465782792002,1.67763524475,-1.21185245275
0.00925,0.233445363622,0.725374370287,-0.958819733909,-0.491929006664,1.6841941042,-1.19226509753
0.0093,0.218143241178,0.736097086384,-0.954240327562,-0.517953845205,1.69033741395,-1.17238356874
0.00935,0.202787295154,0.746638181539,-0.949425476692,-0.543850886385,1.69606365823,-1.15221277185
0.0094,0.187381314398,0.756995054895,-0.944376369293,-0.569613740496,1.70137142419,-1.13175768369
0.00945,0.171929100107,0.767165151048,-0.939094251156,-0.595236050941,1.7062594022,-1.11102335126
0.0095,0.156434464884,0.77714596068,-0.933580425564,-0.620711495796,1.71072638624,-1.09001489045
0.00955,0.140901231797,0.786935021174,-0.927836252971,-0.646033789378,1.71477127415,-1.06873748477
0.0096,0.125333233439,0.796529917228,-0.921863150667,-0.671196683789,1.71839306789,-1.04719638411
0.00965,0.109734310981,0.805928281443,-0.915662592424,-0.696193970461,1.72159087387,-1.02539690341
0.0097,0.0941083132244,0.815127794913,-0.909236108138,-0.721019481689,1.72436390305,-1.00334442136
0.00975,0.0784590956494,0.824126187798,-0.902585283447,-0.745667092149,1.72671147125,-0.981044379097
0.0098,0.0627905194665,0.832921239877,-0.895711759344,-0.770130720411,1.72863299922,-0.95850227881
0.00985,0.0471064506625,0.841510781104,-0.888617231766,-0.794404330441,1.73012801287,-0.935723682429
0.0099,0.0314107590467,0.849892692137,-0.881303451184,-0.81848193309,1.73119614332,-0.91271421023
0.00995,0.0157073172961,0.858064904866,-0.873772222162,-0.842357587569,1.73183712703,-0.889479539458
0.01,1.22464679792e-16,0.866025402918,-0.866025402918,-0.866025402918,1.73205080584,-0.866025402918
0.01005,-0.0157073172961,0.873772222162,-0.858064904866,-0.889479539458,1.73183712703,-0.842357587569
0.0101,-0.0314107590467,0.881303451184,-0.849892692137,-0.91271421023,1.73119614332,-0.81848193309
0.01015,-0.0471064506625,0.888617231766,-0.841510781104,-0.935723682429,1.73012801287,-0.794404330441
0.0102,-0.0627905194665,0.895711759344,-0.832921239877,-0.95850227881,1.72863299922,-0.770130720411
0.01025,-0.0784590956494,0.902585283447,-0.824126187798,-0.981044379097,1.72671147125,-0.745667092149
0.0103,-0.0941083132244,0.909236108138,-0.815127794913,-1.00334442136,1.72436390305,-0.721019481689
