time_s,phase_a_voltage_v,phase_b_voltage_v,phase_c_voltage_v,phase_a_current_a,phase_b_current_a,phase_c_current_a,zero_current_a,d_axis_current_a,q_axis_current_a,electromagnetic_torque_nm,shaft_mass_1_speed_rad_s,shaft_mass_2_speed_rad_s,shaft_mass_3_speed_rad_s,shaft_mass_4_speed_rad_s,shaft_mass_5_speed_rad_s,shaft_mass_6_speed_rad_s,shaft_mass_7_speed_rad_s,shaft_mass_8_speed_rad_s,shaft_coupling_1_torque_nm,shaft_coupling_2_torque_nm,shaft_coupling_3_torque_nm,shaft_coupling_4_torque_nm,shaft_coupling_5_torque_nm,shaft_coupling_6_torque_nm,shaft_coupling_7_torque_nm,terminal_power_w,rotor_port_power_w,magnetic_coenergy_j,kinetic_energy_j,elastic_energy_j,dissipated_energy_j,maximum_energy_residual_j,maximum_energy_quadrature_defect_j,event_count,control_sample_count
0.00529,184.58852542399504,-40.48210613416284,-271.8079329796755,95.82180574036272,-125.91589027533355,26.90329897551146,-1.8422009016802328,-147.22223152146734,-63.89552579497824,-171.53587386544993,188.24074282911894,188.48765189781798,188.49284332310685,188.4923713962444,188.4919356904342,188.4915724629306,188.49126573607003,188.49104792086214,-9.315842547482749,-0.11471161820094888,0.03361234807178981,0.03020556057451884,0.026492298324667818,0.023514646222731805,0.019372300896588257,15472.41617431372,0.0,170.72745560149892,372971.6734852937,0.0017621851177471962,37.892551282012484,9.36302390758259e-7,0.0010310660157613893,1,106
0.0053,184.25988630720536,-39.26279178567272,-272.52164868695075,96.09591100156356,-126.03062627796487,26.638072079159137,-1.9033178373499133,-147.52158245048207,-63.72981914180045,-171.46673091841328,188.23981421510598,188.48760185656502,188.49283763106163,188.4923653781185,188.49192884973533,188.4915649332309,188.49125762926613,188.49103965128796,-9.37033068001766,-0.11603059457544873,0.03372253796086744,0.030315065553843112,0.026587928161308394,0.023599012189645663,0.019432615694676247,15395.484553050814,0.0,171.0797207955418,372971.32524098177,0.0017835325950453127,38.046672562516854,9.36302390758259e-7,0.0010310660157613893,1,107
0.0053100000000000005,183.92851475186296,-38.043033123710885,-273.23160495607823,96.36990945527921,-126.14374946111853,26.37150311648133,-1.964340118944623,-147.81978881422503,-63.56345298963667,-171.39421127726686,188.23888631825224,188.48755154861334,188.49283193261653,188.49235935999494,188.49192200908726,188.49155740356915,188.49124952253715,188.4910313862544,-9.4250003941552,-0.11736036731381194,0.033832770958877045,0.03042476766237101,0.0266837303365004,0.02368352791021433,0.019492895523664622,15318.53703035903,0.0,171.43078821880255,372970.97713426733,0.001805085107501907,38.20109517915515,9.36302390758259e-7,0.0010310660157613893,1,107
0.00532,183.59441546749116,-36.82284748374803,-273.9377916970074,96.64379293072054,-126.2552555902886,26.103597224117294,-2.025267053438485,-148.1168486698801,-63.39643126951328,-171.31832083889904,188.23795915887234,188.4875009731107,188.49282622772313,188.49235334187304,188.4919151684901,188.49154987394536,188.49124141588342,188.49102312139357,-9.479851419721205,-0.11870099690427338,0.03394304535887738,0.030534666882857664,0.026779704854009267,0.02376819337214009,0.01955321662918319,15241.57691337689,0.0,171.78065193798625,372970.62916861556,0.0018268439429958928,38.35581817387353,9.36302390758259e-7,0.0010310660157613893,1,107
0.0053300000000000005,183.25759320238035,-35.602252207322906,-274.6401988732622,96.9175533259733,-126.36514064445197,25.834359681011954,-2.0860979491347944,-148.41276030638267,-63.228757907298146,-171.2390661342543,188.23703275724378,188.4874501292065,188.4928205163327,188.49234732375223,188.4919083279439,188.49154234435966,188.4912333093053,188.49101485670556,-9.53488348221436,-0.1200525440043041,0.03405335943257537,0.030644763201287617,0.026875851723056954,0.02385300856027328,0.019613579571307937,15164.607488462321,0.0,172.12930644683513,372970.28135036136,0.0018488103903380314,38.5108405826799,9.36302390758259e-7,0.0010310660157613893,1,107
0.00534,182.9180527435204,-34.38126464179618,-275.33881650208116,97.19118254212337,-126.4734006541929,25.563795812398602,-2.1468321156757195,-148.70752204479666,-63.060436824317776,-171.1564538241086,188.23610713360483,188.48739901605185,188.49281479839632,188.49234130563184,188.49190148744876,188.4915348148121,188.4912252028031,188.49100659219053,-9.590096302819404,-0.12141506942990432,0.034163711443802036,0.030755056601663,0.02697217093610771,0.02393797346869242,0.01967398433122991,15087.632028198279,0.0,172.47674629003248,372969.93368582724,0.001870985739201218,38.666161435909046,9.36302390758259e-7,0.0010310660157613893,1,107
0.005350000000000001,182.57579891653282,-33.15990214010368,-276.0336346545621,97.46467255115547,-126.58003185932101,25.291911079501567,-2.207468864051746,-149.00113243173521,-62.89147193649423,-171.0704911796905,188.2351823081523,188.48734763279955,188.49280907386475,188.49233528751122,188.49189464700478,188.49152728530277,188.49121709637714,188.49099833229388,-9.645489598411764,-0.12278863418090857,0.03427409965149231,0.03086554706072775,0.027068662513087816,0.024023088075031396,0.019734430883377563,15010.65378387696,0.0,172.8229664320753,372969.58618425485,0.001893371280049177,38.821779758483835,9.36302390758259e-7,0.0010310660157613893,1,108
0.00536,182.2308365856022,-31.938182060510485,-276.7246434558004,97.73801526285612,-126.6850303940359,25.018710897780124,-2.2680075066120295,-149.29358985201944,-62.72186715567186,-170.98118511458173,188.23425830104085,188.4872959786042,188.4928033426885,188.49232926938973,188.49188780661206,188.49151975583175,188.491208990028,188.49099007701548,-9.701063081583712,-0.12417329940301336,0.03438452228514244,0.030976234571468808,0.02716532644002001,0.024108352376675413,0.01979483858622544,14933.675999720697,0.0,173.167961521388,372969.2388519401,0.0019159683040644593,38.97769456996314,9.36302390758259e-7,0.0010310660157613893,1,108
0.005370000000000001,181.88317065340664,-30.71612176636263,-277.4118330850321,98.01120252253338,-126.78839228688084,24.744200639146086,-2.3284473570738413,-149.58489252866138,-62.551626389483374,-170.888542189234,188.23333513238495,188.48724405262215,188.49279760481778,188.49232325126673,188.49188096627066,188.4915122263991,188.49120088375605,188.49098182191017,-9.756816460649667,-0.12556912643628593,0.03449497758304165,0.031087119113294648,0.027262162730881556,0.024193766352553325,0.01985528504220202,14856.701912867384,0.0,173.5117258873966,372968.8916922332,0.0019387781030822799,39.1339048841585,9.36302390758259e-7,0.0010310660157613893,1,108
0.00538,181.53280606104872,-29.49373862584236,-278.09519377577095,98.2842262470156,-126.89011377599937,24.468385811204577,-2.3887877305323517,-149.87503890994128,-62.38075353976264,-170.79256957248612,188.23241282225817,188.48719185401146,188.49279186020263,188.49231723314153,188.49187412598067,188.4915046970049,188.4911927775616,188.49097356697806,-9.81274943964052,-0.12697617676449724,0.03460546374907558,0.031198200671369136,0.027359171377445257,0.02427932999773219,0.019915770824872503,14779.73473852518,0.0,173.85425427906435,372968.544711404,0.0019618019695157086,39.290409709180274,9.36302390758259e-7,0.0010310660157613893,1,108
0.005390000000000001,181.17974778798484,-28.27105001171972,-278.77471581594915,98.5570783579981,-126.99019115169753,24.191271966452668,-2.449027943470467,-150.16402747561244,-62.20925250314247,-170.69327455736638,188.23149139069102,188.4871393819321,188.49278610879273,188.49231121501347,188.4918672857422,188.49149716764921,188.49118467144498,188.49096531221923,-9.868861718339481,-0.1283945120413641,0.034715978993440366,0.031309479219771674,0.027456352399140016,0.024365043296187494,0.019976295897186525,14702.777676996058,0.0,174.19554149653982,372968.19791570865,0.001985041196283806,39.447208047699014,9.36302390758259e-7,0.0010310660157613893,1,108
0.0054,180.8240008519545,-27.04807330110633,-279.4503895480543,98.82975085045027,-127.08862090940443,23.91286478681608,-2.509167313768449,-150.45185692435442,-62.03712717021994,-170.59066502155005,188.23057085766897,188.48708663554586,188.49278035053754,188.4923051968819,188.49186044555532,188.49148963833215,188.49117656540656,188.49095706215596,-9.925152992268693,-0.1298241940951499,0.03482652150228471,0.03142095474573381,0.02755370579081262,0.02445090624230417,0.020036860243332733,14625.833906188649,0.0,174.53558275169772,372967.85131437227,0.002008497076735221,39.60429889720211,9.36302390758259e-7,0.0010310660157613893,1,109
0.005410000000000001,180.46557030890907,-25.82482587520818,-280.12220536926714,99.10223565841508,-127.18539944406807,23.633169912228894,-2.569205160713585,-150.73852579835068,-61.86438142684038,-170.4847484995678,188.22965124313166,188.48703361401633,188.49277458538626,188.49229917874607,188.49185360542015,188.49148210905375,188.49116845944692,188.49094881678806,-9.981622952721919,-0.13126528491452127,0.03493708944742657,0.03153262723407835,0.027651231554940203,0.024536918816830067,0.02009738183270482,14548.906595815473,0.0,174.87437294875352,372967.5049136217,0.0020321709045840342,39.7616812500424,9.36302390758259e-7,0.0010310660157613893,1,109
0.00542,180.1044612529401,-24.60132511907928,-280.79015373159774,99.37452465282789,-127.28052305015122,23.352192942793273,-2.6291408050101186,-151.02403248326058,-61.69101915397006,-170.3755321872404,188.22873256697486,188.48698031650898,188.49276881328777,188.49229316060533,188.49184676533676,188.4914745798141,188.49116035356644,188.49094057159357,-10.038271286784962,-0.13271784665297837,0.03504768099699351,0.0316444966666225,0.027748929689443536,0.0246230810089898,0.020157939603494768,14471.998907370962,0.0,175.21190668147813,372967.1587166871,0.0020560639738340034,39.91935409306466,9.36302390758259e-7,0.0010310660157613893,1,109
