time_s,source_a_v_pu,source_b_v_pu,source_c_v_pu,primary_a_v_pu,primary_b_v_pu,primary_c_v_pu,load_a_v_pu,load_b_v_pu,load_c_v_pu
0.0025,0.704207642594,-0.96196552939,0.257757886631,0.560800513896,-0.868002495391,0.273247594911,0.394920798385,-0.758184276566,0.290082719919
0.00255,0.715181979135,-0.957798169171,0.242616189866,0.570702106893,-0.865056908746,0.260025813883,0.403555507178,-0.756641214589,0.279091067355
0.0026,0.725979855225,-0.953394486586,0.227414631186,0.580467542393,-0.861889900546,0.246730494824,0.41210057923,-0.75489440239,0.268010502828
0.00265,0.736598606648,-0.948755568177,0.212156961349,0.590094010577,-0.858502882898,0.233365706476,0.420553051724,-0.752945617147,0.256845443396
0.0027,0.747035613387,-0.943882558527,0.196846944956,0.599578768777,-0.854897816007,0.219936015645,0.428910054817,-0.750797745347,0.245601358919
0.00275,0.757288300267,-0.938776659981,0.181488359525,0.608919142596,-0.851076020765,0.206445290314,0.437168813324,-0.748452237127,0.234282206815
0.0028,0.76735413759,-0.93343913234,0.166084994557,0.618112520433,-0.847039384732,0.192897917761,0.445326634271,-0.745911692257,0.22289304478
0.00285,0.777230641761,-0.927871292562,0.150640650602,0.627156355041,-0.842789179407,0.179297611993,0.453380909552,-0.743177324579,0.211437474843
0.0029,0.786915375902,-0.922074514425,0.135159138321,0.636048158487,-0.838327256603,0.165648621814,0.461329104433,-0.740251527435,0.19992023456
0.00295,0.796405950449,-0.9160502282,0.119644277544,0.644785504075,-0.833654870919,0.1519545432,0.469168761009,-0.737135349311,0.188344651676
0.003,0.805700023744,-0.909799920288,0.104099896333,0.653366021663,-0.828773867047,0.138219517938,0.476897487505,-0.733831039862,0.176715215138
0.00305,0.814795302615,-0.903325132859,0.0885298300293,0.661787399893,-0.823685507844,0.12444705141,0.484512962406,-0.730339537601,0.165035041364
0.0031,0.823689542936,-0.896627463471,0.072937920315,0.670047381799,-0.818391653003,0.110641202315,0.492012924412,-0.726662997457,0.153308426146
0.00315,0.832380550188,-0.889708564672,0.0573280142603,0.678143767285,-0.812893593025,0.0968054062195,0.499395177122,-0.722802291145,0.1415383233
0.0032,0.840866179994,-0.882570143598,0.041703963376,0.686074408982,-0.807193219606,0.0829436567556,0.506657579547,-0.718759517002,0.129728878315
0.00325,0.849144338653,-0.875213961547,0.0260696226626,0.693837214919,-0.80129186573,0.0690593352193,0.513798051241,-0.71453551353,0.117882919969
0.0033,0.857212983652,-0.867641833548,0.01042884966,0.701430144591,-0.795191468057,0.0551563835731,0.520814563288,-0.710132352106,0.106004476413
0.00335,0.865070124174,-0.859855627909,-0.00521449650516,0.708851211789,-0.788893413314,0.0412381402899,0.527705143795,-0.705550864061,0.0940962801933
0.0034,0.872713821587,-0.851857265759,-0.0208565560714,0.716098480834,-0.782399692904,0.0273085054267,0.534467869272,-0.700793116761,0.0821622673412
0.00345,0.880142189923,-0.843648720577,-0.0364934695945,0.723170069538,-0.775711755721,0.0133707828677,0.541100870429,-0.695859954477,0.0702050961184
0.0035,0.887353396344,-0.835232017696,-0.0521213789,0.730064145577,-0.768831655176,-0.000571162315287,0.547602323881,-0.690753458253,0.0582286295711
0.00355,0.894345661592,-0.826609233813,-0.0677364280352,0.73677892955,-0.761760908515,-0.0145140551101,0.553970458192,-0.685474500749,0.0462354682395
0.0036,0.90111726043,-0.81778249647,-0.0833347642203,0.743312691472,-0.754501636428,-0.0284540607386,0.560203545853,-0.68002519023,0.0342294165572
0.00365,0.907666522069,-0.808753983532,-0.0989125387993,0.749663753907,-0.747055428931,-0.0423879293165,0.566299909522,-0.67440643952,0.0222130296863
0.0037,0.913991830574,-0.799525922651,-0.114465908189,0.755830488556,-0.739424477679,-0.0563118534129,0.572257914237,-0.668620394387,0.0101900640832
0.00375,0.920091625272,-0.790100590712,-0.129991034829,0.76181131945,-0.731610448461,-0.0702226060705,0.578075973808,-0.662668016688,-0.00183696143162
0.0038,0.925964401129,-0.780480313275,-0.145484088127,0.767604719612,-0.723615606334,-0.084116405624,0.583752543228,-0.656551497405,-0.0138643306719
0.00385,0.931608709125,-0.770667464,-0.160941245402,0.773209214295,-0.715441694737,-0.0979900470488,0.589286125186,-0.650271854013,-0.0258895547137
0.0039,0.937023156612,-0.760664464059,-0.176358692834,0.778623377708,-0.707091053557,-0.11183977393,0.594675262643,-0.643831328373,-0.0379089522276
0.00395,0.942206407657,-0.750473781544,-0.191732626397,0.783845836279,-0.698565504868,-0.125662403123,0.599918545439,-0.637230998351,-0.0499200597714
0.004,0.947157183368,-0.740097930852,-0.207059252803,0.788875265435,-0.689867464008,-0.13945420378,0.605014603008,-0.630473160748,-0.0619192272552
0.00405,0.951874262218,-0.729539472071,-0.222334790437,0.793710392883,-0.680998831949,-0.153212015317,0.609962111056,-0.623558957158,-0.0739040138921
0.0041,0.956356480336,-0.718801010341,-0.237555470288,0.798349995425,-0.671962099456,-0.166932133416,0.614759784394,-0.616490742097,-0.0858707986199
0.00415,0.960602731803,-0.707885195218,-0.252717536882,0.802792902255,-0.662759246077,-0.180611421304,0.619406383668,-0.609269723084,-0.0978171617227
0.0042,0.96461196892,-0.696794720015,-0.267817249204,0.807037991802,-0.653392837456,-0.194246202656,0.623900708285,-0.601898314111,-0.109739510052
0.00425,0.968383202468,-0.685532321141,-0.282850881628,0.811084195027,-0.643864930922,-0.207833366201,0.628241603188,-0.594377789904,-0.121635444349
0.0043,0.97191550195,-0.674100777425,-0.29781472483,0.814930492291,-0.63417816602,-0.221369265457,0.632427951862,-0.586710624878,-0.133501399123
0.00435,0.975207995825,-0.662502909428,-0.312705086704,0.818575916647,-0.624334676684,-0.234850816682,0.636458683125,-0.578898161527,-0.14533499571
0.0044,0.97825987172,-0.650741578752,-0.327518293277,0.822019550728,-0.614337175036,-0.248274405381,0.640332764213,-0.57094293498,-0.157132696688
0.00445,0.981070376629,-0.638819687329,-0.342250689613,0.825260530022,-0.604187870113,-0.261636977629,0.644049207579,-0.562846355472,-0.16889214472
0.0045,0.983638817103,-0.626740176707,-0.356898640711,0.828298039781,-0.593889544997,-0.274934953285,0.647607064038,-0.554611018617,-0.180609831375
0.00455,0.985964559418,-0.614506027324,-0.371458532411,0.831131318274,-0.583444482069,-0.288165310717,0.651005429565,-0.546238401889,-0.192283421828
0.0046,0.988047029731,-0.602120257774,-0.385926772276,0.833759653708,-0.572855533517,-0.301324506676,0.654243438494,-0.537731160729,-0.203909437967
0.00465,0.989885714223,-0.589585924061,-0.400299790484,0.836182387461,-0.562125053082,-0.314409554443,0.657320270309,-0.529090838972,-0.21548556901
0.0047,0.991480159228,-0.576906118842,-0.414574040709,0.838398911006,-0.551255959996,-0.327416950315,0.660235142888,-0.520320150881,-0.227008368798
0.00475,0.992829971339,-0.564083970672,-0.428746000993,0.840408669128,-0.540250677195,-0.340343745208,0.662987319275,-0.511420705454,-0.23847555239
0.0048,0.993934817511,-0.551122643222,-0.442812174617,0.84221115684,-0.529112188724,-0.353186477707,0.665576100966,-0.50239527449,-0.249883707447
0.00485,0.994794425139,-0.538025334506,-0.456769090963,0.843805922585,-0.517842984384,-0.365942239154,0.668000834665,-0.493245530698,-0.261230576874
0.0049,0.995408582128,-0.52479527609,-0.47061330637,0.845192565145,-0.506446110656,-0.378607613217,0.670260905596,-0.483974301888,-0.272512784189
0.00495,0.995777136944,-0.511435732292,-0.484341404985,0.846370736816,-0.494924121742,-0.391179734501,0.672355744237,-0.474583322815,-0.283728102297
0.005,0.995899998651,-0.49794999938,-0.497949999607,0.84734014032,-0.483280124054,-0.403655234582,0.674284819662,-0.46507547558,-0.294873192742
0.00505,0.995777136936,-0.484341404756,-0.511435732517,0.848100531944,-0.471516733612,-0.416031294184,0.676047646248,-0.455452555138,-0.30594586069
0.0051,0.995408582113,-0.470613306139,-0.524795276313,0.848651718452,-0.459637114142,-0.428304595637,0.677643777037,-0.445717496,-0.316942807973
0.00515,0.994794425116,-0.45676909073,-0.538025334727,0.848993560191,-0.447643940797,-0.440472368643,0.679072810414,-0.435872151323,-0.327861874353
0.0052,0.993934817481,-0.442812174382,-0.55112264344,0.849125967998,-0.435540431901,-0.452531349124,0.680334383494,-0.425919506007,-0.338699804274
0.00525,0.992829971302,-0.428746000757,-0.564083970887,0.849048906276,-0.423329318962,-0.464478818613,0.681428178762,-0.415861469282,-0.349454474482
0.0053,0.991480159183,-0.414574040471,-0.576906119056,0.848762389889,-0.411013872104,-0.47631156945,0.682353917477,-0.4057010743,-0.360122674394
0.00535,0.989885714172,-0.400299790244,-0.589585924272,0.848266487211,-0.398596876329,-0.48802693783,0.683111366283,-0.39544028413,-0.370702320154
0.0054,0.988047029672,-0.385926772034,-0.602120257983,0.847561317011,-0.386081650682,-0.499621775306,0.683700330624,-0.385082177926,-0.381190248537
0.00545,0.985964559352,-0.371458532168,-0.614506027531,0.846647051463,-0.37347103073,-0.511093475539,0.684120661317,-0.374628770268,-0.391584417511
0.0055,0.98363881703,-0.356898640467,-0.626740176911,0.845523913029,-0.360768381493,-0.522438952059,0.684372247986,-0.364083183981,-0.401881713592
0.00555,0.981070376549,-0.342250689367,-0.63881968753,0.844192177436,-0.347976586104,-0.533655658754,0.684455025593,-0.353447482738,-0.412080138997
0.0056,0.978259871632,-0.32751829303,-0.650741578951,0.842652170542,-0.335099052549,-0.544740573855,0.684368967885,-0.342724830624,-0.422176632362
0.00565,0.97520799573,-0.312705086455,-0.662502909624,0.840904271279,-0.322138708473,-0.555691214194,0.684114093881,-0.331917337921,-0.432169242564
0.0057,0.971915501847,-0.29781472458,-0.674100777618,0.838948908516,-0.309099001766,-0.566504625371,0.683690461339,-0.321028207489,-0.442054962714
0.00575,0.968383202358,-0.282850881377,-0.685532321331,0.836786563963,-0.295982901475,-0.577178389831,0.683098173198,-0.310059593668,-0.451831890735
0.0058,0.964611968803,-0.267817248952,-0.696794720202,0.83441776902,-0.28279389228,-0.587709623165,0.682337371051,-0.299014735554,-0.46149707655
0.00585,0.960602731679,-0.252717536628,-0.707885195402,0.83184310765,-0.269534981475,-0.598095976033,0.681408241551,-0.287895828931,-0.47104866948
0.0059,0.956356480205,-0.237555470034,-0.718801010523,0.829063213216,-0.25620968737,-0.60833463658,0.680311009892,-0.276706146536,-0.480483778553
0.00595,0.95187426208,-0.222334790181,-0.729539472249,0.826078771316,-0.242821052309,-0.618423326231,0.67904594617,-0.265447922939,-0.489800606808
0.006,0.947157183223,-0.207059252547,-0.740097931028,0.822890516613,-0.229372625033,-0.628359308175,0.677613358877,-0.254124461871,-0.498996324634
0.00605,0.942206407504,-0.19173262614,-0.750473781716,0.819499235633,-0.215867479699,-0.638140377086,0.676013601213,-0.242738033981,-0.50806919106
0.0061,0.937023156453,-0.176358692576,-0.760664464228,0.815905763579,-0.202309192246,-0.647763873629,0.674247064595,-0.231291971307,-0.517016440043
0.00615,0.931608708959,-0.160941245144,-0.770667464166,0.812110987101,-0.188700865372,-0.657227668138,0.672314184923,-0.219788577829,-0.525836388829
0.0062,0.925964400956,-0.145484087868,-0.780480313438,0.808115841093,-0.175046098946,-0.66652918111,0.670215436092,-0.208231211167,-0.534526337102
0.00625,0.920091625092,-0.12999103457,-0.790100590872,0.803921311428,-0.16134802091,-0.675666360877,0.667951336222,-0.196622205849,-0.543084662494
0.0063,0.913991830388,-0.114465907929,-0.799525922807,0.799528431748,-0.147610251766,-0.684636710056,0.665522441174,-0.184964942314,-0.551508732522
0.00635,0.907666521875,-0.0989125385387,-0.808753983685,0.794938286158,-0.133835941375,-0.693438257241,0.662929350734,-0.173261782822,-0.559796987315
0.0064,0.901117260231,-0.0833347639593,-0.817782496619,0.790152006008,-0.120028727555,-0.702068589372,0.660172702138,-0.161516127842,-0.567946864269
0.00645,0.894345661385,-0.0677364277739,-0.826609233959,0.785170772548,-0.106191778739,-0.710525817493,0.657253176215,-0.149730364524,-0.575956868067
0.0065,0.887353396131,-0.0521213786385,-0.835232017838,0.779995813703,-0.0923287467189,-0.718807614996,0.654171490914,-0.137907910546,-0.583824507965
0.00655,0.880142189703,-0.0364934693328,-0.843648720716,0.774628406692,-0.0784428151337,-0.726912177477,0.650928407404,-0.12605117508,-0.59154835519
0.0066,0.872713821361,-0.0208565558096,-0.851857265895,0.769069874788,-0.0645376463961,-0.734837266824,0.647524723611,-0.114163590174,-0.59912599278
0.00665,0.865070123941,-0.00521449624339,-0.859855628041,0.763321589909,-0.0506164359703,-0.742581165207,0.643961280271,-0.102247584134,-0.60655606043
0.0067,0.857212983413,0.0104288499218,-0.867641833676,0.757384969359,-0.0366828535207,-0.750141724971,0.640238954475,-0.0903066005153,-0.613836216812
0.00675,0.849144338408,0.0260696229243,-0.875213961672,0.751261478388,-0.0227401029449,-0.757517316794,0.636358665676,-0.0783430838511,-0.620965171945
0.0068,0.840866179743,0.0417039636374,-0.882570143719,0.744952626926,-0.0087918577809,-0.764705885349,0.632321369244,-0.0663604863302,-0.627940661917
