time_s,source_value,observed_value,transducer_value,held_value
0.00394,94.5061189267,94.5061189267,0.903339429426,0.884121633686
0.00395,94.6083458362,94.6083458362,0.904645696144,0.891183423595
0.00396,94.7096415049,94.7096415049,0.905943034777,0.891183423595
0.00397,94.8099999223,94.8099999223,0.907231432507,0.891183423595
0.00398,94.9094251086,94.9094251086,0.908510876608,0.891183423595
0.00399,95.0079110719,95.0079110719,0.909781354439,0.891183423595
0.004,95.1054618507,95.1054618507,0.91104285345,0.89802534113
0.00401,95.2020714718,95.2020714718,0.91229536118,0.89802534113
0.00402,95.2977439921,95.2977439921,0.913538865256,0.89802534113
0.00403,95.392473457,95.392473457,0.914773353396,0.89802534113
0.00404,95.4862639418,95.4862639418,0.915998813405,0.89802534113
0.00405,95.5791095106,95.5791095106,0.917215233178,0.904645696144
0.00406,95.6710142573,95.6710142573,0.918422600702,0.904645696144
0.00407,95.7619722646,95.7619722646,0.91962090405,0.904645696144
0.00408,95.8519876449,95.8519876449,0.920810131387,0.904645696144
0.00409,95.9410544998,95.9410544998,0.921990270967,0.904645696144
0.0041,96.0291769603,96.0291769603,0.923161311135,0.91104285345
0.00411,96.1163491465,96.1163491465,0.924323240324,0.91104285345
0.00412,96.2025752082,96.2025752082,0.92547604706,0.91104285345
0.00413,96.2878492843,96.2878492843,0.926619719957,0.91104285345
0.00414,96.3721755432,96.3721755432,0.927754247719,0.91104285345
0.00415,96.4555481427,96.4555481427,0.928879619143,0.917215233178
0.00416,96.5379712697,96.5379712697,0.929995823116,0.917215233178
0.00417,96.6194391011,96.6194391011,0.931102848612,0.917215233178
0.00418,96.6999558425,96.6999558425,0.932200684702,0.917215233178
0.00419,96.7795156895,96.7795156895,0.933289320542,0.917215233178
0.0042,96.8581228666,96.8581228666,0.934368745382,0.923161311135
0.00421,96.9357715883,96.9357715883,0.935438948564,0.923161311135
0.00422,97.0124660978,97.0124660978,0.936499919519,0.923161311135
0.00423,97.0882006288,97.0882006288,0.93755164777,0.923161311135
0.00424,97.1629794431,97.1629794431,0.938594122932,0.923161311135
0.00425,97.2367967933,97.2367967933,0.93962733471,0.928879619143
0.00426,97.3096569603,97.3096569603,0.940651272903,0.928879619143
0.00427,97.3815542156,97.3815542156,0.9416659274,0.928879619143
0.00428,97.4524928589,97.4524928589,0.942671288181,0.928879619143
0.00429,97.5224671808,97.5224671808,0.94366734532,0.928879619143
0.0043,97.5914815,97.5914815,0.944654088981,0.934368745382
0.00431,97.659530126,97.659530126,0.945631509422,0.934368745382
0.00432,97.7266173965,97.7266173965,0.946599596991,0.934368745382
