time_s,receiving_voltage_phase_1_v,sending_current_phase_1_a,receiving_current_phase_1_a,receiving_voltage_phase_2_v,sending_current_phase_2_a,receiving_current_phase_2_a,receiving_voltage_phase_3_v,sending_current_phase_3_a,receiving_current_phase_3_a
0.00029,99147.7131362,1983.45901379,1161.1644184,-41179.0414506,-822.856198172,-1982.95426272,-58058.2209202,-1162.40799905,823.580829012
0.0003,99110.3144263,1982.70594906,1167.27283227,-40836.2063335,-815.994961253,-1982.20628853,-58363.6416136,-1168.51564021,816.72412667
0.00031,99071.5071395,1981.9247057,1173.36465661,-40492.7908435,-809.122127239,-1981.43014279,-58668.2328304,-1174.60667417,809.85581687
0.00032,99031.2918273,1981.11529479,1179.43980484,-40148.7998614,-802.237793808,-1980.62583655,-58971.9902418,-1180.68101437,802.975997227
0.00033,98989.6690612,1980.27772786,1185.49819061,-39804.2382759,-795.342058803,-1979.79338122,-59274.9095307,-1186.73857449,796.084765518
0.00034,98946.6394328,1979.41201679,1191.53972784,-39459.1109841,-788.435020227,-1978.93278866,-59576.9863919,-1192.77926842,789.182219681
0.00035,98902.2035537,1978.5181739,1197.56433065,-39113.4228909,-781.516776244,-1978.04407107,-59878.2165323,-1198.80301031,782.268457819
0.00036,98856.3620553,1977.59621188,1203.57191341,-38767.1789095,-774.587425177,-1977.12724111,-60178.5956706,-1204.80971457,775.34357819
0.00037,98809.1155892,1976.64614385,1209.56239076,-38420.3839606,-767.647065509,-1976.18231178,-60478.119538,-1210.79929581,768.407679213
0.00038,98760.4648268,1975.6679833,1215.53567755,-38073.0429731,-760.695795876,-1975.20929654,-60776.7838773,-1216.77166891,761.460859462
0.00039,98710.4104597,1974.66174413,1221.49168888,-37725.1608833,-753.733715073,-1974.20820919,-61074.5844441,-1222.72674899,754.503217666
0.0004,98658.9531991,1973.62744065,1227.43034012,-37376.7426355,-746.760922045,-1973.17906398,-61371.5170058,-1228.66445142,747.53485271
0.00041,98606.0937764,1972.56508755,1233.35154685,-37027.7931814,-739.777515891,-1972.12187553,-61667.5773424,-1234.58469181,740.555863628
0.00042,98551.8329428,1971.47469994,1239.25522492,-36678.3174805,-732.783595862,-1971.03665886,-61962.7612462,-1240.48738601,733.566349609
0.00043,98496.1714695,1970.35629331,1245.14129044,-36328.3204994,-725.779261355,-1969.92342939,-62257.064522,-1246.37245015,726.566409988
0.00044,98439.1101477,1969.20988355,1251.00965974,-35977.8072125,-718.764611919,-1968.78220295,-62550.4829872,-1252.23980057,719.55614425
0.00045,98380.6497882,1968.03548697,1256.86024943,-35626.7826013,-711.739747246,-1967.61299576,-62843.0124715,-1258.0893539,712.535652027
0.00046,98320.7912218,1966.83312024,1262.69297635,-35275.2516547,-704.704767177,-1966.41582444,-63134.6488175,-1263.92102699,705.505033095
0.00047,98259.5352994,1965.60280046,1268.50775761,-34923.2193687,-697.659771692,-1965.19070599,-63425.3878804,-1269.73473696,698.464387374
0.00048,98196.8828915,1964.34454511,1274.30451056,-34570.6907464,-690.604860918,-1963.93765783,-63715.2255282,-1275.53040119,691.413814929
0.00049,98132.8348886,1963.05837208,1280.08315283,-34217.6707981,-683.540135121,-1962.65669777,-64004.1576415,-1281.30793732,684.353415963
0.0005,98067.3922008,1961.74429965,1285.84360228,-33864.164541,-676.465694705,-1961.34784402,-64292.1801141,-1287.06726322,677.28329082
0.00051,98000.5557583,1960.40234648,1291.58577705,-33510.1769991,-669.381640214,-1960.01111517,-64579.2888526,-1292.80829704,670.203539982
0.00052,97932.326511,1959.03253166,1297.30959553,-33155.7132034,-662.288072328,-1958.64653022,-64865.4797763,-1298.5309572,663.114264068
0.00053,97862.7054286,1957.63487465,1303.01497636,-32800.7781917,-655.185091863,-1957.25410857,-65150.7488181,-1304.23516236,656.015563833
0.00054,97791.6935005,1956.20939532,1308.70183847,-32445.3770083,-648.072799767,-1955.83387001,-65435.0919234,-1309.92083145,648.907540165
0.00055,97719.291736,1954.75611392,1314.37010103,-32089.5147042,-640.951297123,-1954.38583472,-65718.5050513,-1315.58788367,641.790294084
0.00056,97645.501164,1953.27505111,1320.01968348,-31733.1963371,-633.820685142,-1952.91002328,-66000.9841738,-1321.23623847,634.663926743
0.00057,97570.3228334,1951.76622793,1325.65050552,-31376.4269711,-626.681065165,-1951.40645667,-66282.5252761,-1326.86581558,627.528539422
0.00058,97493.7578124,1950.22966584,1331.26248714,-31019.2116766,-619.532538664,-1949.87515625,-66563.1243571,-1332.47653498,620.384233532
0.00059,97415.8071894,1948.66538667,1336.85554858,-30661.5555304,-612.375207234,-1948.31614379,-66842.7774288,-1338.06831695,613.231110608
0.0006,97336.4720721,1947.07341265,1342.42961033,-30303.4636157,-605.209172597,-1946.72944144,-67121.4805166,-1343.64108201,606.069272313
0.00061,97255.7535881,1945.45376641,1347.98459319,-29944.9410216,-598.034536598,-1945.11507176,-67399.2296596,-1349.19475095,598.898820433
0.00062,97173.6528846,1943.80647096,1353.52041821,-29585.9928437,-590.851401204,-1943.47305769,-67676.0209103,-1354.72924484,591.719856874
0.00063,97090.1711283,1942.13154972,1359.0370067,-29226.6241833,-583.659868504,-1941.80342257,-67951.850335,-1360.24448504,584.532483666
