time_s,maximum_receiving_voltage_difference_v,maximum_terminal_current_difference_a,maximum_terminal_power_difference_w,maximum_cumulative_energy_difference_j,coarse_maximum_kcl_residual_a,refined_maximum_kcl_residual_a
0.00028,0.000914298616408,1.82859731694e-05,0.177174217999,0.00012185855087,2.72848410532e-12,3.41060513165e-12
0.00029,0.00091579171567,1.83158357459e-05,0.176914945245,0.000126101711942,2.72848410532e-12,3.41060513165e-12
0.0003,0.000917271900107,1.83454382068e-05,0.17664661631,0.000130334767334,2.72848410532e-12,3.41060513165e-12
0.00031,0.000918738965993,1.83747800975e-05,0.176369663328,0.000134557461536,2.72848410532e-12,3.41060513165e-12
0.00032,0.000920193000638,1.84038594853e-05,0.176083657891,0.000138769546879,2.72848410532e-12,3.41060513165e-12
0.00033,0.000921633967664,1.84326800081e-05,0.17578965053,0.000142970767229,2.72848410532e-12,3.41060513165e-12
0.00034,0.000923061801586,1.8461235527e-05,0.175487399101,0.000147160864628,2.72848410532e-12,3.41060513165e-12
0.00035,0.000924476567889,1.84895314987e-05,0.175175443292,0.000151339590786,2.72848410532e-12,3.41060513165e-12
0.00036,0.000925878252019,1.85175642855e-05,0.174856327474,0.000155506691954,2.72848410532e-12,3.41060513165e-12
0.00037,0.000927266781218,1.85453349104e-05,0.174528069794,0.000159661915859,2.72848410532e-12,3.41060513165e-12
0.00038,0.000928642039071,1.85728400766e-05,0.174191609025,0.000163805011368,2.72848410532e-12,3.41060513165e-12
0.00039,0.000930004156544,1.86000825124e-05,0.173846494406,0.000167935732236,2.72848410532e-12,3.41060513165e-12
0.0004,0.000931353017222,1.8627060058e-05,0.173492949456,0.000172053822382,2.72848410532e-12,3.41060513165e-12
0.00041,0.000932688679313,1.8653773509e-05,0.173131134361,0.000176159037892,2.72848410532e-12,3.41060513165e-12
0.00042,0.000934011099162,1.86802215012e-05,0.172760739923,0.000180251131496,2.72848410532e-12,3.41060513165e-12
0.00043,0.000935320160352,1.87064030115e-05,0.172382164747,0.000184329854562,2.72848410532e-12,3.41060513165e-12
0.00044,0.000936616022955,1.87323197451e-05,0.171994999051,0.000188394961242,2.72848410532e-12,3.41060513165e-12
0.00045,0.000937898519624,1.87579699968e-05,0.171599499881,0.000192446205119,2.72848410532e-12,3.41060513165e-12
0.00046,0.000939167708566,1.8783353994e-05,0.171195730567,0.000196483344325,2.72848410532e-12,3.41060513165e-12
0.00047,0.000940423560678,1.8808470827e-05,0.170784339309,0.000200506130227,2.72848410532e-12,3.41060513165e-12
0.00048,0.000941666061408,1.88333209508e-05,0.170363888144,0.000204514321126,2.72848410532e-12,3.41060513165e-12
0.00049,0.000942895087064,1.8857901523e-05,0.169935565442,0.000208507674415,2.95585778076e-12,3.41060513165e-12
0.0005,0.000944110797718,1.88822154996e-05,0.169499047101,0.000212485948737,2.95585778076e-12,3.41060513165e-12
