time_s,receiving_voltage_phase_1_minimum_v,receiving_voltage_phase_1_maximum_v,sending_current_phase_1_minimum_a,sending_current_phase_1_maximum_a,receiving_current_phase_1_minimum_a,receiving_current_phase_1_maximum_a,receiving_voltage_phase_2_minimum_v,receiving_voltage_phase_2_maximum_v,sending_current_phase_2_minimum_a,sending_current_phase_2_maximum_a,receiving_current_phase_2_minimum_a,receiving_current_phase_2_maximum_a,receiving_voltage_phase_3_minimum_v,receiving_voltage_phase_3_maximum_v,sending_current_phase_3_minimum_a,sending_current_phase_3_maximum_a,receiving_current_phase_3_minimum_a,receiving_current_phase_3_maximum_a,terminal_power_minimum_w,terminal_power_maximum_w,cumulative_supplied_energy_minimum_j,cumulative_supplied_energy_maximum_j,maximum_kcl_residual_a
0.00019,99444.1214871,99444.122112,1989.43767966,1989.43908628,1099.18706975,1099.18707038,-44574.404664,-44574.4043467,-890.809985524,-890.809357588,-1988.88244224,-1988.88242974,-54959.3535188,-54959.3534875,-1100.43817809,-1100.43740373,891.488086934,891.48809328,1108501.76908,1108709.79149,210.974841331,211.014389151,2.72848410532e-12
0.0002,99420.8344736,99420.8350689,1988.96692383,1988.96832952,1105.45656586,1105.45656725,-44237.6399013,-44237.6395478,-884.070050904,-884.069426971,-1988.41670138,-1988.41668947,-55272.8283626,-55272.828293,-1106.70708384,-1106.70630433,884.752790956,884.752798026,1108235.24423,1108443.25376,222.058526398,222.100154378,2.72848410532e-12
0.00021,99396.13447,99396.1350357,1988.46790039,1988.46930513,1111.71035099,1111.71035314,-43900.2464238,-43900.2460341,-877.317551692,-877.316931769,-1987.92270071,-1987.9226894,-55585.5176572,-55585.5175493,-1112.96026083,-1112.95947618,878.004920682,878.004928476,1107958.94651,1108166.9432,233.139497351,233.183205362,2.72848410532e-12
0.00022,99370.0218273,99370.0223634,1987.94061641,1987.94202018,1117.94833625,1117.94833917,-43562.2290266,-43562.2286008,-870.552583855,-870.551967953,-1987.40044727,-1987.40043655,-55897.4169585,-55897.4168124,-1119.19762019,-1119.19683041,871.244572015,871.244580532,1107672.89162,1107880.87551,244.217656542,244.263444456,2.72848410532e-12
0.00023,99342.4969166,99342.4974231,1987.3850794,1987.38648217,1124.17043299,1124.17043667,-43223.5925137,-43223.5920517,-863.775243539,-863.774631665,-1986.84994846,-1986.84993833,-56208.5218337,-56208.5216495,-1125.41907327,-1125.41827837,864.471841034,864.471850275,1107377.09584,1107585.06694,255.292906479,255.340774168,2.72848410532e-12
0.00024,99313.5601291,99313.560606,1986.80129724,1986.80269901,1130.37655278,1130.37655723,-42884.3416979,-42884.3411997,-856.985627065,-856.985019229,-1986.27121212,-1986.27120258,-56518.8278615,-56518.827639,-1131.62453166,-1131.62373165,857.686823995,857.686833959,1107071.57598,1107279.53433,266.365149838,266.415097175,2.72848410532e-12
0.00025,99283.2118762,99283.2123234,1986.18927825,1986.19067898,1136.56660742,1136.56661263,-42544.4814007,-42544.4808664,-850.183830928,-850.183227138,-1985.66424647,-1985.66423752,-56828.3306316,-56828.3303709,-1137.81390716,-1137.81310206,850.889617327,850.889628014,1106756.34939,1106964.29503,277.434289465,277.486316321,2.72848410532e-12
0.00026,99251.452589,99251.4530066,1985.5490311,1985.55043078,1142.74050893,1142.74051491,-42204.0164522,-42204.0158818,-843.369951798,-843.369352062,-1985.02906013,-1985.02905178,-57137.0257453,-57137.0254464,-1143.98711181,-1143.98630162,844.080317635,844.080329045,1106431.43401,1106639.36697,288.500228382,288.554334631,2.72848410532e-12
0.00027,99218.282719,99218.2831069,1984.88056491,1984.88196352,1148.89816957,1148.89817631,-41862.9516913,-41862.9510846,-836.544086513,-836.54349084,-1984.36566214,-1984.36565438,-57444.9088155,-57444.9084783,-1150.14405786,-1150.1432426,837.259021693,837.259033826,1106096.84831,1106304.76862,299.562869794,299.619055309,2.72848410532e-12
0.00028,99183.7027376,99183.7030958,1984.18388917,1984.18528669,1155.03950182,1155.03950933,-41521.2919651,-41521.2913223,-829.706332085,-829.705740484,-1983.67406192,-1983.67405475,-57751.9754663,-57751.975091,-1156.28465783,-1156.2838375,830.425826447,830.425839302,1105752.6113,1105960.519,310.622117092,310.680381747,2.72848410532e-12
