time_s,terminal_power_w,cumulative_supplied_energy_j,maximum_kcl_residual_a,fault_closed
0.00044,1098949.87553,487.030453457,2.72848410532e-12,0
0.00045,1098445.0035,498.017427852,2.72848410532e-12,0
0.00046,1097930.91517,508.999307445,2.72848410532e-12,0
0.00047,1097407.63975,519.97600022,2.72848410532e-12,0
0.00048,1096875.207,530.947414454,2.72848410532e-12,0
0.00049,1096333.64718,541.913458724,2.95585778076e-12,0
0.0005,1095782.99109,552.874041916,2.95585778076e-12,0
0.00051,1095223.27001,563.829073221,2.95585778076e-12,0
0.00052,1094654.51578,574.77846215,2.95585778076e-12,0
0.00053,1094076.76073,585.722118533,2.95585778076e-12,0
0.00054,1093490.0377,596.659952525,2.95585778076e-12,0
0.00055,1092894.38005,607.591874614,2.95585778076e-12,0
0.00056,1092289.82163,618.517795622,2.95585778076e-12,0
0.00057,1091676.39682,629.437626714,2.95585778076e-12,0
0.00058,1091054.14049,640.351279401,2.95585778076e-12,0
0.00059,1090423.08801,651.258665543,2.95585778076e-12,0
0.0006,1089783.27526,662.15969736,2.95585778076e-12,0
0.00061,1089134.73861,673.054287429,2.95585778076e-12,0
0.00062,1088477.51493,683.942348697,2.95585778076e-12,0
0.00063,1087811.64157,694.823794479,2.95585778076e-12,0
0.00064,1087137.15641,705.698538469,2.95585778076e-12,0
0.00065,1086454.09777,716.56649474,2.95585778076e-12,0
0.00066,1085762.50449,727.427577751,2.95585778076e-12,0
0.00067,1085062.41589,738.281702353,2.95585778076e-12,0
0.00068,1084353.87176,749.128783791,2.95585778076e-12,0
0.00069,1083636.91239,759.968737712,2.95585778076e-12,0
0.0007,1082911.57853,770.801480167,2.95585778076e-12,0
0.00071,1082177.91141,781.626927616,2.95585778076e-12,0
0.00072,1081435.95275,792.444996937,2.95585778076e-12,0
0.00073,1080685.74473,803.255605425,2.95585778076e-12,0
0.00074,1079927.32999,814.058670798,2.95585778076e-12,0
0.00075,175672880.27,1697.8227088,2.95585778076e-12,1
0.00076,250374948.505,3828.06185267,2.95585778076e-12,1
0.00077,260439191.699,6382.13255369,2.95585778076e-12,1
0.00078,274112673.16,9054.89187798,3.18323145621e-12,1
0.00079,329708828.384,12073.9993857,3.18323145621e-12,1
0.0008,316838557.423,15306.7363147,3.18323145621e-12,1
0.00081,368662499.7,18734.2416003,3.63797880709e-12,1
0.00082,383366128.554,22494.3847416,4.54747350886e-12,1
0.00083,396819502.824,26395.3128985,4.54747350886e-12,1
0.00084,446078888.649,30609.8048559,4.54747350886e-12,1
0.00085,442433535.215,35052.3669752,4.54747350886e-12,1
0.00086,488745211.227,39708.2607074,4.54747350886e-12,1
0.00087,506558566.741,44684.7795972,4.54747350886e-12,1
0.00088,525067697.93,49842.9109206,4.54747350886e-12,1
0.00089,566547379.921,55300.9863098,4.54747350886e-12,1
0.0009,574890049.877,61008.1734588,5.45696821064e-12,1
0.00091,612253998.574,66943.8937011,5.45696821064e-12,1
0.00092,635416807.206,73182.24773,7.27595761418e-12,1
0.00093,655511505.4,79636.889293,7.27595761418e-12,1
0.00094,691160095.626,86370.2472982,7.27595761418e-12,1
0.00095,707413585.481,93363.1157037,7.27595761418e-12,1
0.00096,738493547.472,100592.651368,7.27595761418e-12,1
0.00097,763745212.346,108103.845168,7.27595761418e-12,1
0.00098,785490071.768,115850.021588,7.27595761418e-12,1
0.00099,816189374.131,123858.418818,7.27595761418e-12,1
0.001,836859272.78,132123.662052,7.27595761418e-12,1
0.00101,864288425.572,140629.400544,7.27595761418e-12,1
0.00102,889471817.261,149398.201758,7.27595761418e-12,1
0.00103,912310992.603,158407.115807,7.27595761418e-12,1
0.00104,939613438.412,167666.737962,7.27595761418e-12,1
0.00105,961987131.571,177174.740812,7.27595761418e-12,1
0.00106,987437853.873,186921.86574,7.27595761418e-12,1
0.00107,1011749420.38,196917.802111,7.27595761418e-12,1
0.00108,1034838716.05,207150.742793,7.27595761418e-12,1
0.00109,1059996060.57,217624.916676,7.27595761418e-12,1
0.0011,1082590889.49,228337.851426,7.27595761418e-12,1
0.00111,1106715479.08,239284.383269,7.27595761418e-12,1
0.00112,1130067155.25,250468.296441,7.27595761418e-12,1
0.00113,1152760636.67,261882.435401,7.27595761418e-12,1
0.00114,1176441560.9,273528.446388,9.09494701773e-12,1
0.00115,1198627636.16,285403.792374,9.09494701773e-12,1
0.00116,1221599243.07,297504.92677,9.09494701773e-12,1
0.00117,1244038264.1,309833.114306,9.09494701773e-12,1
0.00118,1266015911.62,322383.385184,9.09494701773e-12,1
0.00119,1288484284.32,335155.886164,9.09494701773e-12,1
0.0012,1310014992.89,348148.38255,9.09494701773e-12,1
0.00121,1331889319.23,361357.904111,1.09139364213e-11,1
0.00122,1353414907.4,374784.425244,1.09139364213e-11,1
0.00123,1374556711.04,388424.283336,1.09139364213e-11,1
0.00124,1395908788.56,402276.610834,1.45519152284e-11,1
0.00125,-8291631956.44,367797.994994,1.45519152284e-11,0
0.00126,-8985783644.18,281410.916991,1.45519152284e-11,0
0.00127,-4747269730.29,212745.650119,1.45519152284e-11,0
0.00128,-2555547544.5,176231.563745,1.45519152284e-11,0
0.00129,-2729600031.8,149805.825864,1.45519152284e-11,0
0.0013,-1393172775.99,129191.961825,1.45519152284e-11,0
0.00131,-1252987203.54,115961.161927,1.45519152284e-11,0
0.00132,-1096009340.44,104216.179207,1.45519152284e-11,0
0.00133,-658058787.101,95445.8385694,1.45519152284e-11,0
0.00134,-746589771.091,88422.5957784,1.45519152284e-11,0
0.00135,-485033715.304,82264.4783464,1.45519152284e-11,0
0.00136,-446579442.444,77606.4125577,1.45519152284e-11,0
0.00137,-381820551.295,73464.412589,1.45519152284e-11,0
0.00138,-292210613.052,70094.2567673,1.45519152284e-11,0
0.00139,-274975301.544,67258.3271943,1.45519152284e-11,0
0.0014,-214112415.379,64812.8886097,1.45519152284e-11,0
0.00141,-191987147.987,62782.3907928,1.45519152284e-11,0
0.00142,-159751597.786,61023.697064,1.45519152284e-11,0
0.00143,-136647105.684,59541.7035466,1.45519152284e-11,0
0.00144,-120051464.623,58258.2106951,1.45519152284e-11,0
0.00145,-98277133.2765,57166.5677056,1.45519152284e-11,0
0.00146,-89949912.9042,56225.4324747,1.45519152284e-11,0
0.00147,-73403658.9977,55408.6646152,1.45519152284e-11,0
0.00148,-65293646.5125,54715.1780876,1.45519152284e-11,0
0.00149,-57083858.0855,54103.2905646,1.45519152284e-11,0
0.0015,-47351189.8938,53581.1153247,1.45519152284e-11,0
0.00151,-43536423.0619,53126.6772599,1.45519152284e-11,0
0.00152,-36197552.9527,52728.0073799,1.45519152284e-11,0
0.00153,-31991456.6812,52387.0623317,1.45519152284e-11,0
0.00154,-28373938.254,52085.235357,1.45519152284e-11,0
0.00155,-23870511.6937,51824.0131073,1.45519152284e-11,0
0.00156,-21627171.1691,51596.524693,1.45519152284e-11,0
0.00157,-18541599.5673,51395.6808393,1.45519152284e-11,0
0.00158,-16210775.7243,51221.9189628,1.45519152284e-11,0
0.00159,-14435537.1367,51068.6873985,1.45519152284e-11,0
0.0016,-12406216.2026,50934.4786318,1.45519152284e-11,0
0.00161,-11026103.2762,50817.3170344,1.45519152284e-11,0
0.00162,-9652382.46483,50713.9246057,1.45519152284e-11,0
