time_s,L_v_pu,R_v_pu,C_v_pu,XX0001_v_pu,branch_voltage_branch_fixed_2_pu,switch_voltage_switch_fixed_1_pu,switch_current_switch_fixed_1_pu,branch_current_branch_fixed_1_pu,branch_current_branch_fixed_2_pu
0.01239,11.999999999,2.23799473792,1.23803338168,12,0.999922713983,11.9995320347,0.0148564100755,0.999961356245,0.000841003841617
0.01242,11.999999999,2.27918713684,1.26819774651,12,1.02209954737,12.1318848301,0.0152183826074,1.01098939034,0.000871333843407
0.01245,11.999999999,2.32066288216,1.29869225117,12,1.04442397061,12.2636407696,0.0155843167704,1.02197063099,0.000902331372355
0.01248,11.999999999,2.36242024548,1.32951548706,12,1.06689223998,12.394863802,0.0159541954048,1.03290475843,0.000934000800023
0.01251,11.999999999,2.40445749081,1.36066603601,12,1.08950060112,12.5255112948,0.0163280020971,1.0437914548,0.000966346385503
0.01254,11.9999999989,2.44677287461,1.39214247035,12,1.11224528959,12.6555619318,0.0167057194744,1.05463040426,0.000999372275104
0.01257,11.9999999989,2.48936464587,1.42394335296,12,1.1351225314,12.7850796616,0.0170873303773,1.06542129292,0.00103308250206
0.0126,11.9999999989,2.5322310462,1.45606723732,12,1.15812854353,12.913957903,0.0174728174329,1.07616380887,0.00106748098623
0.01263,11.9999999989,2.57537030985,1.48851266762,12,1.18125953448,13.0422819211,0.0178621625224,1.08685764223,0.00110257153389
0.01266,11.9999999989,2.61878066383,1.52127817874,12,1.20451170479,13.1700303996,0.0182553489125,1.09750248509,0.00113835783742
