time_s,uninterrupted_voltage_v,restored_voltage_v,difference_v
0.00104,254.301111111,254.301111111,0
0.00105,252.95381565,252.95381565,0
0.00106,251.632633631,251.632633631,0
0.00107,250.335587849,250.335587849,0
0.00108,249.060886853,249.060886853,0
0.00109,247.806907275,247.806907275,0
0.0011,246.572177829,246.572177829,0
0.00111,245.355364845,245.355364845,0
0.00112,244.155259174,244.155259174,0
0.00113,242.970764339,242.970764339,0
0.00114,241.800885918,241.800885918,0
0.00115,240.644721447,240.644721447,0
0.00116,239.501452259,239.501452259,0
0.00117,238.370335124,238.370335124,0
0.00118,237.250695175,237.250695175,0
0.00119,236.141919413,236.141919413,0
0.0012,235.043450819,235.043450819,0
0.00121,233.954783045,233.954783045,0
0.00122,232.875455592,232.875455592,0
0.00123,231.805049459,231.805049459,0
0.00124,230.743183201,230.743183201,0
0.00125,229.689509367,229.689509367,0
0.00126,228.643711271,228.643711271,0
0.00127,227.605500075,227.605500075,0
0.00128,226.574612149,226.574612149,0
0.00129,225.550806679,225.550806679,0
0.0013,224.53386351,224.53386351,0
0.00131,223.523581187,223.523581187,0
0.00132,222.519775185,222.519775185,0
0.00133,221.522276309,221.522276309,0
0.00134,220.530929245,220.530929245,0
0.00135,219.545591251,219.545591251,0
0.00136,218.566130965,218.566130965,0
0.00137,217.59242734,217.59242734,0
0.00138,216.624368667,216.624368667,0
0.00139,215.661851699,215.661851699,0
0.0014,214.704780854,214.704780854,0
0.00141,213.7530675,213.7530675,0
0.00142,212.806629298,212.806629298,0
0.00143,211.865389618,211.865389618,0
0.00144,210.929277005,210.929277005,0
0.00145,209.998224694,209.998224694,0
0.00146,209.072170178,209.072170178,0
0.00147,208.151054811,208.151054811,0
0.00148,207.234823449,207.234823449,0
0.00149,206.323424129,206.323424129,0
0.0015,205.416807778,205.416807778,0
0.00151,204.514927944,204.514927944,0
0.00152,203.617740559,203.617740559,0
0.00153,202.725203722,202.725203722,0
0.00154,201.837277502,201.837277502,0
0.00155,200.953923762,200.953923762,0
0.00156,200.075105996,200.075105996,0
0.00157,199.200789186,199.200789186,0
0.00158,198.330939668,198.330939668,0
0.00159,197.465525014,197.465525014,0
0.0016,196.604513924,196.604513924,0
0.00161,195.747876129,195.747876129,0
0.00162,194.895582301,194.895582301,0
0.00163,194.047603976,194.047603976,0
0.00164,193.203913476,193.203913476,0
0.00165,192.364483851,192.364483851,0
0.00166,191.529288812,191.529288812,0
0.00167,190.698302682,190.698302682,0
0.00168,189.871500346,189.871500346,0
0.00169,189.048857208,189.048857208,0
0.0017,188.230349148,188.230349148,0
0.00171,187.415952488,187.415952488,0
0.00172,186.605643959,186.605643959,0
0.00173,185.799400672,185.799400672,0
0.00174,184.99720009,184.99720009,0
0.00175,184.199020003,184.199020003,0
0.00176,183.404838506,183.404838506,0
0.00177,182.614633981,182.614633981,0
0.00178,181.828385077,181.828385077,0
0.00179,181.046070693,181.046070693,0
0.0018,180.267669966,180.267669966,0
0.00181,179.493162251,179.493162251,0
0.00182,178.722527118,178.722527118,0
0.00183,177.955744331,177.955744331,0
0.00184,177.192793846,177.192793846,0
0.00185,176.433655795,176.433655795,0
0.00186,175.678310484,175.678310484,0
0.00187,174.926738379,174.926738379,0
0.00188,174.178920104,174.178920104,0
0.00189,173.434836432,173.434836432,0
0.0019,172.69446828,172.69446828,0
0.00191,171.957796703,171.957796703,0
0.00192,171.224802891,171.224802891,0
0.00193,170.495468163,170.495468163,0
0.00194,169.769773962,169.769773962,0
0.00195,169.047701855,169.047701855,0
0.00196,168.329233525,168.329233525,0
0.00197,167.614350772,167.614350772,0
0.00198,166.903035506,166.903035506,0
0.00199,166.19526975,166.19526975,0
0.002,165.491035632,165.491035632,0
