time_s,phase_a_grid_voltage_v,phase_a_grid_current_a,phase_b_grid_current_a,phase_c_grid_current_a,neutral_current_a,dc_link_voltage_v,active_power_w,reactive_power_var,positive_sequence_voltage_v,negative_sequence_voltage_v,zero_sequence_voltage_v,controller_frequency_hz,phase_a_duty,operating_mode,request_disposition
0.02078,329.061190598,64.1256373084,-35.2077295349,-28.9179077735,0,777.523030586,31247.3633845,8935.74212239,315.963498268,13.4170932764,12.2463988519,50.5752398474,0.621129601537,0,0
0.0208,327.880536086,67.1851225369,-35.8532690616,-31.3318534753,0,777.064389343,32745.5703842,8939.89449844,315.963498268,13.4170932764,12.2463988519,50.5752398474,0.621129601537,0,0
0.02082,326.718654591,69.8433272782,-36.0491512342,-33.794176044,0,776.595483196,34077.0444432,8772.63195169,315.958623812,13.4056358697,12.2463988519,50.5765683469,0.606836921877,0,0
0.02084,325.516315648,72.8484133407,-36.7152939274,-36.1331194131,0,776.140576904,35530.0171543,8834.24925636,315.958623812,13.4056358697,12.2463988519,50.5765683469,0.606836921877,0,0
0.02086,324.520165695,73.1250571521,-39.033351866,-34.0917052861,0,775.696847057,35247.8405717,10308.0070392,315.953563426,13.3933936345,12.2463988519,50.577929137,0.573288644014,0,0
0.02088,323.420681664,74.5500176309,-38.8417381125,-35.7082795185,0,775.246038859,35941.3087965,10158.4757033,315.953563426,13.3933936345,12.2463988519,50.577929137,0.573288644014,0,0
0.0209,322.186612117,77.5216099783,-39.3721651437,-38.1494448346,0,774.795239482,37374.9868944,10186.0059051,315.953563426,13.3933936345,12.2463988519,50.577929137,0.573288644014,0,0
0.02092,322.198709463,64.7880409651,-31.8072799827,-32.9807609824,0,774.309065188,31399.6425186,8059.76713312,315.947976629,13.3804001476,12.2463988519,50.5793184056,0.537518464867,0,0
0.02094,323.869409743,31.2013998499,-14.0475611622,-17.1538386877,0,773.86138525,15394.3928749,3245.4998686,315.947976629,13.3804001476,12.2463988519,50.5793184056,0.537518464867,0,0
0.02096,324.24603466,13.6776213453,-7.15605629271,-6.52156505255,0,773.386967058,6602.98730088,2022.06095565,315.954414886,13.3722216025,12.2463988519,50.580501917,0.785095954358,0,0
0.02098,322.96262313,16.798579796,-8.15660860122,-8.64197119482,0,772.937326833,8176.45496425,2171.29662109,315.954414886,13.3722216025,12.2463988519,50.580501917,0.785095954358,0,0
0.021,321.674459278,19.8804779439,-8.67426518165,-11.2062127622,0,772.494035111,9796.90959381,2073.72880463,315.954414886,13.3722216025,12.2463988519,50.580501917,0.785095954358,0,0
0.02102,320.348795127,23.3398022852,-9.15709622351,-14.1827060617,0,772.040492948,11627.9257902,1924.75157234,315.961115852,13.3632802498,12.2463988519,50.5817007937,0.786359292981,0,0
0.02104,319.198438719,24.5234608273,-11.5287705415,-12.9946902858,0,771.554691301,11864.5220889,3151.42080728,315.961115852,13.3632802498,12.2463988519,50.5817007937,0.786359292981,0,0
