time_s,SRCE A_v_pu,BUS  A_v_pu,SRCE B_v_pu,BUS  B_v_pu,SRCE C_v_pu,BUS  C_v_pu,THEV A_v_pu,THEV B_v_pu,THEV C_v_pu,saturated_transformer_internal_node_10_v_pu,saturated_transformer_internal_node_11_v_pu,saturated_transformer_internal_node_12_v_pu,saturated_transformer_internal_node_13_v_pu,saturated_transformer_internal_node_14_v_pu,saturated_transformer_internal_node_15_v_pu,X_saturated_transformer_internal_top_v_pu,Y_saturated_transformer_internal_top_v_pu,Z_saturated_transformer_internal_top_v_pu,output_fixed_1_pu,output_fixed_2_pu,output_fixed_3_pu,switch_voltage_switch_fixed_1_pu,switch_voltage_switch_fixed_2_pu,switch_voltage_switch_fixed_3_pu,switch_current_switch_fixed_1_pu,switch_current_switch_fixed_2_pu,switch_current_switch_fixed_3_pu
0.0533,90622.3992596,88497.1669428,186384.300097,248618.255702,-276258.68733,-291374.752892,90406.9263902,185842.647692,-276249.574083,49.1650927455,88497.1669419,248618.24428,138.121246822,-291374.73466,-161.874852589,88497.1669419,248618.24428,-291374.73466,88497.1669428,248618.255702,-291374.752892,2125.23231681,-62233.955605,15116.065562,0,0,0
0.0534,80547.7471666,77949.7832221,193988.006584,255300.141811,-273657.411613,-289220.646388,80287.3610645,193689.207126,-273976.568191,43.305435127,77949.7832286,255300.130483,141.833405824,-289220.628157,-160.678126754,77949.7832286,255300.130483,-289220.628157,77949.7832221,255300.141811,-289220.646388,2597.96394449,-61312.1352271,15563.2347756,0,0,0
0.0535,70024.3453137,66781.1717417,200950.416396,261399.143329,-271048.887522,-287044.175799,70053.7030054,201260.523598,-271314.226604,37.1006509756,66781.1717561,261399.132,145.22174,-287044.157567,-159.468976426,66781.1717561,261399.132,-287044.157567,66781.1717417,261399.143329,-287044.175799,3243.173572,-60448.7269326,15995.2882762,0,0,0
0.0536,59435.2712541,55338.6748396,207888.233011,267409.665878,-268259.452255,-284704.366443,59720.4948011,208545.837854,-268266.332655,30.7437082566,55338.6748619,267409.654549,148.560919194,-284704.348211,-158.16908234,55338.6748619,267409.654549,-284704.348211,55338.6748396,267409.665878,-284704.366443,4096.59641456,-59521.4328672,16444.9141873,0,0,0
0.0537,49123.7338028,43908.7554418,215193.590436,273648.671043,-264963.055984,-281936.44794,49302.4205058,215534.797062,-264837.217568,24.3937530657,43908.7555183,273648.659714,152.027033174,-281936.429709,-156.631349838,43908.7555183,273648.659714,-281936.429709,43908.7554418,273648.671043,-281936.44794,5214.97836101,-58455.0806072,16973.3919562,0,0,0
0.0538,38976.96991,32324.6712292,222559.61652,279881.2967,-261097.920459,-278690.389122,38814.2847732,222217.46953,-261031.754303,17.9581507345,32324.6713221,279881.285395,155.489602997,-278690.370891,-154.827983828,32324.6713221,279881.285395,-278690.370891,32324.6712292,279881.2967,-278690.389122,6652.29868087,-57321.68018,17592.4686637,0,0,0
0.0539,28581.3931301,20323.1294576,229270.969588,285564.377946,-256870.032705,-275133.736428,28270.9918182,228584.358814,-256855.350633,11.2906275376,20323.1295676,285564.36664,158.646870356,-275133.718196,-152.852065665,20323.1295676,285564.36664,-275133.718196,20323.1294576,285564.377946,-275133.736428,8258.26367246,-56293.4083578,18263.7037229,0,0,0
0.054,17756.1476809,7838.25386825,234963.488387,290403.435892,-252403.306763,-271367.370047,17687.5242367,234626.417217,-252313.941454,4.3545855533,7838.25399595,290403.424587,161.335235882,-271367.351815,-150.759639897,7838.25399595,290403.424587,-271367.351815,7838.25386825,290403.435892,-271367.370047,9917.89381268,-55439.9475051,18964.0632836,0,0,0
0.0541,6805.70565902,-4800.38587949,240005.217594,294697.215289,-247550.152014,-267271.590397,7078.92171553,240335.058642,-247413.980358,-2.66688096325,-4800.38573384,294697.203984,163.72066888,-267271.572166,-148.484206759,-4800.38573384,294697.203984,-267271.572166,-4800.38587949,294697.215289,-267271.590397,11606.0915385,-54691.9976952,19721.4383827,0,0,0
0.0542,-3829.6867795,-17152.4187644,245076.398712,298998.137169,-242131.356761,-262701.023227,-3539.74034077,245702.170798,-242162.430457,-9.52912144513,-17152.4186012,298998.125863,166.110069924,-262701.004996,-145.945002775,-17152.4186012,298998.125863,-262701.004996,-17152.4187644,298998.137169,-262701.023227,13322.7319849,-53921.7384572,20569.6664659,0,0,0
0.0543,-14100.8612525,-29095.3753753,250429.515907,303511.086469,-236269.365644,-257755.407187,-14153.3722324,250720.126725,-236566.754492,-16.1640973307,-29095.3751952,303511.075163,168.61726398,-257755.388956,-143.197438309,-29095.3751952,303511.075163,-257755.388956,-29095.3753753,303511.086469,-257755.407187,14994.5141229,-53081.5705618,21486.0415432,0,0,0
0.0544,-24402.5133013,-40868.2107137,255653.49512,307901.824173,-230320.320096,-252724.37634,-24746.8914076,255381.795632,-230634.904225,-22.7045613982,-40868.2105168,307901.812868,171.056562704,-252724.358109,-140.402421172,-40868.2105168,307901.812868,-252724.358109,-40868.2107137,307901.824173,-252724.37634,16465.6974124,-52248.3290528,22404.0562443,0,0,0
0.0545,-35078.2100607,-52669.7506754,260164.006133,311695.358094,-224428.905908,-247725.773417,-35305.2438959,259680.553034,-224375.309138,-29.2609724787,-52669.7504617,311695.346788,173.164081549,-247725.755186,-137.625419548,-52669.7504617,311695.346788,-247725.755186,-52669.7506754,311695.358094,-247725.773417,17591.5406147,-51531.3519608,23296.8675099,0,0,0
0.0546,-45979.4259515,-64413.1771467,263821.89612,314778.420461,-218267.41502,-242493.637113,-45813.4257009,263610.290161,-217796.86446,-35.7850982744,-64413.1768939,314778.409155,174.876893975,-242493.618882,-134.718677156,-64413.1768939,314778.409155,-242493.618882,-64413.1771467,314778.420461,-242493.637113,18433.7511952,-50956.524341,24226.2220928,0,0,0
0.0547,-56621.3527442,-75736.0162176,266993.600433,317448.551976,-211355.66414,-236638.135535,-56256.5041211,267165.42264,-210908.918519,-42.0755644205,-75736.0159568,317448.540671,176.360300373,-236638.117304,-131.465620724,-75736.0159568,317448.540671,-236638.117304,-75736.0162176,317448.551976,-236638.135535,19114.6634733,-50454.9515439,25282.4713942,0,0,0
0.0548,-66749.4617126,-86392.3398535,270063.038638,320017.517606,-203644.350082,-230109.321564,-66619.6389706,270340.898436,-203721.259465,-47.995744214,-86392.3395853,320017.5063,177.7875035,-230109.303352,-127.838501862,-86392.3395853,320017.5063,-230109.303352,-86392.3398535,320017.517606,-230109.321564,19642.8781409,-49954.4789684,26464.9714819,0,0,0
0.0549,-76630.9170619,-96563.4114518,273019.979408,322476.853291,-195659.131368,-223296.582579,-76888.1036678,273132.205021,-196244.101354,-53.6463395425,-96563.4111764,322476.841985,179.153801103,-223296.564368,-124.053646871,-96563.4111764,322476.841985,-223296.564368,-96563.4114518,322476.853291,-223296.582579,19932.4943899,-49456.8738827,27637.4512107,0,0,0
0.055,-86713.6501593,-106600.955976,275577.34504,324593.176089,-187971.131016,-216666.75354,-87047.3061625,275535.375798,-188488.069636,-59.2227531827,-106600.955729,324593.164783,180.32953599,-216666.735329,-120.370408516,-106600.955729,324593.164783,-216666.735329,-106600.955976,324593.176089,-216666.75354,19887.3058169,-49015.8310488,28695.6225235,0,0,0
0.0551,-97067.6527829,-116584.966723,277584.050362,326243.615986,-180559.076188,-210204.300268,-97082.8096719,277546.995729,-180464.186057,-64.7694258171,-116584.966471,326243.60468,181.246447045,-210204.282058,-116.780156699,-116584.966471,326243.60468,-210204.282058,-116584.966723,326243.615986,-210204.300268,19517.3139406,-48659.5656243,29645.2240804,0,0,0
0.0552,-107289.092856,-126212.876259,279172.595135,327535.73489,-172807.515308,-203410.990171,-106980.353197,279164.206192,-172183.852996,-70.1182643951,-126212.875911,327535.723584,181.96429088,-203410.971961,-113.006095534,-126212.875911,327535.723584,-203410.971961,-126212.876259,327535.73489,-203410.990171,18923.7834024,-48363.1397542,30603.4748636,0,0,0
0.0553,-116979.073168,-135325.962989,280487.433976,328586.827319,-164176.633694,-195829.530277,-116725.871786,280384.709043,-163658.837257,-75.1810903557,-135325.96264,328586.816013,182.548231118,-195829.512104,-108.794173391,-135325.96264,328586.816013,-195829.512104,-135325.962989,328586.827319,-195829.530277,18346.8898211,-48099.3933435,31652.8965832,0,0,0
0.0554,-126204.108728,-143965.734169,281414.655144,329304.284529,-154799.650675,-187490.463858,-126305.516524,281206.769879,-154901.253356,-79.9809632326,-143965.733819,329304.273223,182.946818457,-187490.445687,-104.161358715,-143965.733819,329304.273223,-187490.445687,-143965.734169,329304.284529,-187490.463858,17761.6254406,-47889.629385,32690.813184,0,0,0
0.0555,-135389.318874,-152471.286286,281716.36491,329494.781891,-145342.331185,-178941.231212,-135705.674211,281629.220509,-145923.546297,-84.7062699639,-152471.285935,329494.770585,183.052650325,-178941.213042,-99.4117850234,-152471.285935,329494.770585,-178941.213042,-152471.286286,329494.781891,-178941.231212,17081.9674126,-47778.4169809,33598.9000272,0,0,0
