time_s,dc_link_voltage_v,active_power_w,reactive_power_var,phase_a_current_a,phase_b_current_a,phase_c_current_a,line_ab_voltage_v,line_bc_voltage_v,line_ca_voltage_v,blocked
0.02626,786.825001468,-0.27953797143,-9.15904454363e-09,9.7386926799e-05,-0.000570637824608,0.000473250441943,-334.012375703,521.944133276,-187.931757572,1
0.02628,786.86884266,-0.278313489682,-6.32884789055e-08,9.88487772019e-05,-0.000569987867252,0.000471137908822,-334.418322227,520.562888037,-186.14456581,1
0.0263,786.912537958,-0.27707412785,-1.00171607082e-07,0.000100307262984,-0.000569315109935,0.000469007365326,-334.81118646,519.161237631,-184.350051171,1
0.02632,786.956087847,-0.275820129159,-1.25296087682e-07,0.000101761686849,-0.00056862014506,0.000466858239966,-335.190915955,517.739192513,-182.548276558,1
0.02634,786.999492811,-0.274551674964,-1.42405589196e-07,0.000103211978486,-0.000567902961823,0.0004646905937,-335.557470155,516.296777762,-180.739307607,1
0.02636,787.042753333,-0.27326895426,-1.54053400005e-07,0.00010465807186,-0.00056716356193,0.000462504495717,-335.910816895,514.834028823,-178.923211929,1
0.02638,787.085869894,-0.271972083627,-1.61980487461e-07,0.000106100524828,-0.000566401335132,0.000460300641999,-336.25092998,513.350988566,-177.100058586,1
0.0264,787.128842971,-0.270661339041,-1.67373612095e-07,0.000107538655615,-0.000565616919398,0.00045807849108,-336.577787507,511.847705239,-175.269917732,1
0.02642,787.171673044,-0.269336924196,-1.71041532802e-07,0.000108972404861,-0.000564810336549,0.000455838125575,-336.891370705,510.324231062,-173.432860357,1
0.02644,787.214360587,-0.267999046166,-1.73535246725e-07,0.000110401714313,-0.000563981611958,0.000453579630537,-337.191663136,508.780621248,-171.588958112,1
0.02646,787.256906074,-0.266647914991,-1.75230033556e-07,0.000111826526544,-0.000563130773723,0.000451303092916,-337.478650133,507.21693332,-169.738283186,1
0.02648,787.29930998,-0.265283659735,-1.76381414547e-07,0.000113247405627,-0.00056225723122,0.000449009222074,-337.752318424,505.633226647,-167.880908224,1
0.0265,787.341572774,-0.263906577126,-1.77163319692e-07,0.000114663674362,-0.00056136163735,0.000446697486884,-338.012655856,504.029562117,-166.016906261,1
0.02652,787.383694927,-0.262516884647,-1.77694094761e-07,0.000116075276822,-0.000560444025623,0.000444367978192,-338.259651223,502.406001907,-164.146350685,1
0.02654,787.425676907,-0.261114715182,-1.78054246326e-07,0.000117482778285,-0.000559503809967,0.000442021408693,-338.493294126,500.76260933,-162.269315204,1
0.02656,787.467519179,-0.259700462995,-1.78298515556e-07,0.000118884881673,-0.000558542268122,0.00043965662932,-338.713574897,499.099448721,-160.385873824,1
0.02658,787.509222209,-0.258274177259,-1.78464109116e-07,0.000120282773682,-0.000557558195379,0.000437274975348,-338.920484531,497.416585364,-158.496100833,1
0.0266,787.55078646,-0.256836170464,-1.78576317077e-07,0.000121675778602,-0.000556552250686,0.000434875920184,-339.114014644,495.714085435,-156.600070791,1
0.02662,787.592212394,-0.255386670212,-1.78652312527e-07,0.000123063841822,-0.000555524473077,0.000432459558858,-339.29415745,493.992015967,-154.697858518,1
0.02664,787.633500472,-0.253925814024,-1.78703754055e-07,0.000124447529824,-0.000554474281641,0.000430026607999,-339.460905733,492.25044482,-152.789539088,1
0.02666,787.674651152,-0.252453923025,-1.78738556841e-07,0.000125826167536,-0.000553402338144,0.00042757654318,-339.61425284,490.489440662,-150.875187822,1
0.02668,787.715664891,-0.25097132417,-1.78762089183e-07,0.000127199080088,-0.000552309305249,0.000425108840661,-339.754192668,488.709072955,-148.954880286,1
0.0267,787.756542144,-0.249477970311,-1.78777991484e-07,0.000128568076339,-0.000551193362979,0.000422625460906,-339.880719659,486.909411943,-147.028692284,1
0.02672,787.797283368,-0.247974379694,-1.78788731122e-07,0.000129931240062,-0.000550056417526,0.000420124639763,-339.993828794,485.090528645,-145.096699851,1
0.02674,787.837889013,-0.246460599407,-1.78795976826e-07,0.000131289759638,-0.000548897271544,0.000417607718152,-340.093515591,483.252494848,-143.158979257,1
0.02676,787.878359531,-0.24493706201,-1.78800865364e-07,0.000132642340129,-0.000547717212079,0.000415073554123,-340.179776104,481.395383101,-141.215606997,1
0.02678,787.918695372,-0.243403813723,-1.78804160009e-07,0.000133990170324,-0.000546515043514,0.000412523489905,-340.252606919,479.51926671,-139.26665979,1
0.0268,787.958896984,-0.24186109425,-1.78806377611e-07,0.000135333197459,-0.000545290812853,0.000409957626614,-340.312005156,477.624219733,-137.312214577,1
0.02682,787.998964813,-0.240309346695,-1.78807871155e-07,0.000136670127213,-0.00054404580972,0.000407374824243,-340.357968466,475.710316981,-135.352348515,1
0.02684,788.038899305,-0.238748615757,-1.78808874311e-07,0.000138002149002,-0.000542778841063,0.000404776426951,-340.390495033,473.777634007,-133.387138974,1
0.02686,788.078700904,-0.237179248414,-1.78809549251e-07,0.00013932858981,-0.000541490577328,0.000402161916888,-340.409583569,471.826247108,-131.416663539,1
0.02688,788.118370051,-0.235601493041,-1.78809999838e-07,0.000140649397713,-0.000540181068928,0.000399531397713,-340.415233321,469.85623332,-129.441,1
0.0269,788.157907188,-0.234015599334,-1.78810304886e-07,0.000141964521008,-0.000538850367119,0.000396884973711,-340.407444063,467.867670415,-127.460226352,1
0.02692,788.197312754,-0.232421712442,-1.78810505819e-07,0.000143274529088,-0.000537497903122,0.000394223370672,-340.386216105,465.860636897,-125.474420792,1
0.02694,788.236587187,-0.230820295275,-1.78810641273e-07,0.000144578128921,-0.000536124971643,0.000391545452357,-340.351550282,463.835212,-123.483661718,1
0.02696,788.275730922,-0.229211388644,-1.78810732929e-07,0.000145876511226,-0.000534730384701,0.000388852566666,-340.303447963,461.791475684,-121.48802772,1
0.02698,788.314744396,-0.227595244264,-1.78810793391e-07,0.00014716962518,-0.000533314196916,0.000386144820346,-340.241911048,459.729508631,-119.487597583,1
0.027,788.353628041,-0.319381786343,-0.000851087740602,0.000381792445355,-0.000648545779168,0.000266753005322,-515.169112261,457.649392245,57.5197200164,1
0.02702,788.392382289,-0.319568376383,-0.000586489673283,0.000385766241826,-0.00064843410441,0.00026266831288,-517.100173118,455.551208645,61.5489644732,1
0.02704,788.431007572,-0.319698665325,-0.000404173700788,0.000389520546589,-0.000648195824188,0.000258674257138,-518.858185388,453.435040663,65.4231447251,1
0.02706,788.469504318,-0.319789630663,-0.00027856004153,0.000393119113035,-0.000647861035452,0.000254740908233,-520.490074244,451.300971843,69.1891024011,1
0.02708,788.507872955,-0.319853133698,-0.000192018848257,0.000396605166757,-0.000647451434605,0.00025084673826,-522.028300681,449.149086433,72.8792142483,1
0.0271,788.546113909,-0.319897460258,-0.000132400146666,0.000400007343709,-0.000646983286583,0.000246975652189,-523.495315146,446.979469386,76.5158457599,1
0.02712,788.584227606,-0.319928397773,-9.13310146391e-05,0.00040334752537,-0.000646465754496,0.000243118658214,-524.906639933,444.792206355,80.114433578,1
0.02714,788.622214468,-0.319949988111,-6.30417498914e-05,0.000406638716175,-0.000645907288919,0.000239267478459,-526.273002547,442.587383689,83.6856188577,1
0.02716,788.660074918,-0.319965053727,-4.35567385237e-05,0.000409891979259,-0.000645311645186,0.000235418531677,-527.601812223,440.365088432,87.236723791,1
0.02718,788.697809377,-0.319975565319,-3.01367460839e-05,0.000413114073729,-0.000644682289951,0.000231568526677,-528.89818184,438.125408314,90.772773526,1
0.0272,788.735418263,-0.319982898713,-2.08945279581e-05,0.000416308397703,-0.000644022872708,0.000227713990804,-530.165635206,435.868431756,94.2972034496,1
0.02722,788.772901995,-0.31998801432,-1.45299118053e-05,0.000419479366288,-0.000643333826841,0.000223854668876,-531.406596564,433.594247859,97.8123487057,1
0.02724,788.810260989,-0.319991582491,-1.01472294288e-05,0.000422627896263,-0.000642617562539,0.000219988330266,-532.622729401,431.302946402,101.319782998,1
0.02726,788.847495661,-0.319994071068,-7.12950716131e-06,0.000425757306665,-0.000641873035188,0.000216116200501,-533.815170927,428.994617845,104.820553082,1
0.02728,788.884606423,-0.319995806527,-5.05177418908e-06,0.000428866705483,-0.000641102683258,0.000212236023369,-534.98469437,426.669353314,108.315341057,1
0.0273,788.921593689,-0.319997016666,-3.62132943667e-06,0.000431957348237,-0.000640306294366,0.000208348194849,-536.131821302,424.327244608,111.804576694,1
0.02732,788.958457869,-0.31999786042,-2.63658614991e-06,0.000435030258116,-0.00063948354063,0.000204453227746,-537.256899373,421.968384188,115.288515185,1
0.02734,788.995199372,-0.319998448662,-1.95871798827e-06,0.000438085055954,-0.000638635256298,0.000200550474061,-538.360156126,419.59286518,118.767290947,1
