time_s,phase_a_duty,phase_b_duty,phase_c_duty,phase_a_upper_gate,phase_a_lower_gate,phase_b_upper_gate,phase_b_lower_gate,phase_c_upper_gate,phase_c_lower_gate,upper_antiparallel_diode_count,lower_antiparallel_diode_count
0.00184,0.889257925287,0.60786419655,0.110742074713,1,0,1,0,0,1,0,0
0.00186,0.889257925287,0.60786419655,0.110742074713,1,0,0,1,0,1,0,1
0.00188,0.889257925287,0.60786419655,0.110742074713,1,0,0,1,0,1,0,1
0.0019,0.889257925287,0.60786419655,0.110742074713,0,0,0,0,0,0,2,1
0.00192,0.886843356353,0.630621837226,0.113156643647,1,0,1,0,0,1,0,0
0.00194,0.886843356353,0.630621837226,0.113156643647,1,0,1,0,0,1,0,0
0.00196,0.886843356353,0.630621837226,0.113156643647,1,0,1,0,0,1,0,0
0.00198,0.886843356353,0.630621837226,0.113156643647,1,0,0,1,0,1,0,1
0.002,0.886843356353,0.630621837226,0.113156643647,0,0,0,0,0,0,1,2
0.00202,0.883578585147,0.651792332383,0.116421414853,1,0,1,0,0,1,0,0
0.00204,0.883578585147,0.651792332383,0.116421414853,1,0,1,0,0,1,0,0
0.00206,0.883578585147,0.651792332383,0.116421414853,1,0,1,0,0,1,0,0
0.00208,0.883578585147,0.651792332383,0.116421414853,1,0,0,1,0,1,0,1
0.0021,0.883578585147,0.651792332383,0.116421414853,0,0,0,0,0,0,1,2
0.00212,0.879944689924,0.676282541791,0.120055310076,1,0,1,0,0,1,0,0
0.00214,0.879944689924,0.676282541791,0.120055310076,1,0,1,0,0,1,0,0
0.00216,0.879944689924,0.676282541791,0.120055310076,1,0,1,0,0,1,0,0
0.00218,0.879944689924,0.676282541791,0.120055310076,1,0,0,1,0,1,0,1
0.0022,0.879944689924,0.676282541791,0.120055310076,0,0,0,0,0,0,1,2
0.00222,0.877174247624,0.700156505135,0.122825752376,1,0,1,0,0,1,0,0
0.00224,0.877174247624,0.700156505135,0.122825752376,1,0,1,0,0,1,0,0
0.00226,0.877174247624,0.700156505135,0.122825752376,1,0,1,0,0,1,0,0
0.00228,0.877174247624,0.700156505135,0.122825752376,1,0,0,1,0,1,0,1
0.0023,0.877174247624,0.700156505135,0.122825752376,0,0,0,0,0,0,1,2
0.00232,0.873361751624,0.722277221146,0.126638248376,1,0,1,0,0,1,0,0
0.00234,0.873361751624,0.722277221146,0.126638248376,1,0,1,0,0,1,0,0
