time_s,S50_voltage,L50_voltage,S60_voltage,L60_voltage
0.0023,75.011106963,72.3313565658,21.497477386,29.0601870884
0.00235,73.9631094979,71.4641932679,19.2684359752,27.0818910759
0.0024,72.8968627421,70.5793972496,17.0325485808,25.0939729962
0.00245,71.8126297763,69.6771868212,14.7906096031,23.0971391472
0.0025,70.7106781186,68.7577845895,12.5434155921,21.0920989944
0.00255,69.5912796592,67.8214174034,10.2917649653,19.0795649192
0.0026,68.4547105929,66.8683162975,8.03645772348,17.0602519653
0.00265,67.301251351,65.898716435,5.77829516645,15.034877585
0.0027,66.1311865324,64.9128570504,3.51807960868,13.0041613843
0.00275,64.944804833,63.9109813896,1.25661409395,10.9688248668
0.0028,63.7423989749,62.8933366505,-1.00529788977,8.92959117813
0.00285,62.5242656336,61.8601739216,-3.26685269594,6.88718484814
0.0029,61.2907053653,60.8117481205,-5.5272468049,4.84233153415
0.00295,60.0420225326,59.7483179305,-7.78567710939,2.79575776279
0.003,58.7785252292,58.6701457371,-10.0413411999,0.748190671991
0.00305,57.5005252043,57.5774975631,-12.2934376496,-1.29964224741
0.0031,56.2083377852,56.4706430031,-14.5411662996,-3.34701341011
0.00315,54.9022817998,55.349855157,-16.7837285423,-5.39319539491
0.0032,53.5826794979,54.2154105624,-19.0203276063,-7.43746120306
0.00325,52.2498564716,53.0675891264,-21.2501688383,-9.47908451668
0.0033,50.904141575,51.9066740569,-23.4724599866,-11.5173399567
0.00335,49.5458668432,50.7329517922,-25.6864114817,-13.5515033407
0.0034,48.1753674102,49.5467119308,-27.891236717,-15.5808519401
0.00345,46.7929814261,48.3482471597,-30.0861523288,-17.6046647369
0.0035,45.3990499739,47.137853182,-32.2703784738,-19.6222226803
0.00355,43.9939169856,45.9158286444,-34.4431391071,-21.6328089413
0.0036,42.5779291565,44.6824750631,-36.603662257,-23.6357091683
0.00365,41.1514358605,43.4380967497,-38.7511803001,-25.6302117405
0.0037,39.7147890635,42.1830007359,-40.8849302333,-27.6156080204
0.00375,38.2683432365,40.9174966978,-43.0041539454,-29.5911926063
0.0038,36.8124552685,39.6418968798,-45.1080984865,-31.5562635823
0.00385,35.3474843779,38.3565160168,-47.1960163349,-33.5101227682
0.0039,33.8737920245,37.0616712574,-49.2671656634,-35.452075967
0.00395,32.3917418198,35.7576820853,-51.3208106026,-37.381433212
0.004,30.9016994375,34.4448702401,-53.3562215022,-39.2975090119
0.00405,29.4040325232,33.1235596386,-55.3726751903,-41.1996225938
0.0041,27.8991106039,31.7940762944,-57.3694552306,-43.0870981461
0.00415,26.3873049965,30.4567482376,-59.3458521766,-44.9592650575
0.0042,24.8689887165,29.111905434,-61.3011638239,-46.8154581562
0.00425,23.3445363856,27.7598797032,-63.2346954596,-48.6550179454
0.0043,21.8143241397,26.4010046376,-65.1457601091,-50.4772908385
0.00435,20.2787295356,25.0356155191,-67.0336787802,-52.2816293905
0.0044,18.7381314586,23.664049237,-68.8977807045,-54.0673925285
0.00445,17.1929100279,22.286644205,-70.7374035753,-55.8339457794
0.0045,15.643446504,20.9037402769,-72.5518937835,-57.5806614952
0.00455,14.0901231938,19.5156786637,-74.3406066492,-59.3069190762
0.0046,12.5333233564,18.1228018488,-76.1029066515,-61.0121051912
0.00465,10.9734311091,16.7254535038,-77.8381676533,-62.6956139958
0.0047,9.41083133185,15.3239784034,-79.5457731248,-64.3568473472
0.00475,7.84590957278,13.9187223406,-81.2251163619,-65.9952150173
0.0048,6.27905195293,12.5100320413,-82.8756007019,-67.6101349016
0.00485,4.71064507096,11.0982550788,-84.4966397356,-69.201033227
0.0049,3.14107590782,9.68373978794,-86.0876575156,-70.7673447548
0.00495,1.57073173118,8.26683517919,-87.6480887607,-72.308512982
0.005,-3.42197471812e-13,6.84789085255,-89.1773790573,-73.8239903388
0.00505,-1.57073173118,5.42725691132,-90.6749850557,-75.3132383833
0.0051,-3.14107590782,4.00528387565,-92.1403746637,-76.7757279929
0.00515,-4.71064507097,2.58232259612,-93.5730272353,-78.2109395519
0.0052,-6.27905195293,1.15872416713,-94.9724337558,-79.6183631364
0.00525,-7.84590957278,-0.265160159716,-96.3380970229,-80.9974986957
0.0053,-9.41083133185,-1.68897906226,-97.6695318229,-82.3478562294
0.00535,-10.9734311091,-3.11238123449,-98.9662651032,-83.6689559618
0.0054,-12.5333233564,-4.53501547322,-100.227836141,-84.9603285126
0.00545,-14.0901231938,-5.95653076474,-101.453796705,-86.2215150632
0.0055,-15.643446504,-7.37657637143,-102.643711219,-87.4520675201
0.00555,-17.1929100279,-8.79480191827,-103.797156911,-88.6515486738
0.0056,-18.7381314586,-10.2108574793,-104.913723968,-89.8195323544
0.00565,-20.2787295357,-11.6243936641,-105.993015677,-90.9556035828
0.0057,-21.8143241397,-13.0350617037,-107.034648573,-92.0593587184
0.00575,-23.3445363856,-14.4425135368,-108.038252568,-93.1304056021
0.0058,-24.8689887165,-15.8464018959,-109.003471087,-94.1683636962
0.00585,-26.3873049965,-17.2463803924,-109.929961191,-95.1728642191
0.0059,-27.8991106039,-18.6421036026,-110.817393703,-96.1435502765
0.00595,-29.4040325232,-20.0332271526,-111.665453323,-97.0800769883
0.006,-30.9016994375,-21.4194078037,-112.473838739,-97.982111611
0.00605,-32.3917418198,-22.8003035364,-113.242262736,-98.849333656
0.0061,-33.8737920245,-24.1755736353,-113.970452296,-99.6814350034
0.00615,-35.3474843779,-25.5448787732,-114.658148697,-100.478120012
0.0062,-36.8124552685,-26.9078810945,-115.305107604,-101.239105622
0.00625,-38.2683432365,-28.2642442987,-115.911099155,-101.964121461
0.0063,-39.7147890635,-29.6136337237,-116.475908044,-102.652909932
0.00635,-41.1514358605,-30.9557164276,-116.999333598,-103.305226314
0.0064,-42.5779291565,-32.2901612716,-117.481189846,-103.92083884
