time_s,node_BUSC2_voltage,node_BUSCS2_voltage,node_BUSFD_voltage,node_BUSFQ_voltage,node_BUSMG_voltage,node_BUSMGR_voltage,node_BUSMS_voltage,node_UM1TLA_voltage,node_UM1TLB_voltage,node_UM1TLC_voltage,node_UM1MCC_voltage,output_fixed_1,output_fixed_2,output_fixed_3,output_fixed_4,output_fixed_5,branch_current_branch_fixed_5,branch_current_branch_fixed_7,branch_current_branch_fixed_8,torque_Nm,mechanical_speed_rad_s,mechanical_angle_rad,power_zero_axis_current_A,orthogonal_dummy_current_A,single_phase_stator_current_A,d_axis_rotor_current_A,q_axis_rotor_current_A
0.00027,18194.1194337,-0.101611927602,6488.54746854,-1574.00536884,184.725648031,92.3628240155,184.725657267,20377.3494813,-9.77715828969e-10,3.07078666137e-10,184.725648031,-0.101611927602,18194.1194337,6488.54746854,-1574.00536884,184.725648031,9.23628240155,0,9.23628059013,7.84168078471e-07,184.725648031,0.835274088366,0,-0.0048777330286,0.00637315463972,0.00648854746854,-0.00157400536884
0.000272,-18326.0474742,-0.102361978358,-6488.9375321,1594.44254486,184.725648031,92.3628240155,184.725657267,-20525.0793473,-9.77725641087e-10,3.07067483499e-10,184.725648031,-0.102361978358,-18326.0474742,-6488.9375321,1594.44254486,184.725648031,9.23628240155,0,9.23628059013,-5.20219574598e-07,184.725648031,0.835643539662,0,0.000662636593678,-0.00679503323611,-0.0064889375321,0.00159444254486
0.000274,18457.3222924,-0.103111970923,6489.30873157,-1615.84192565,184.725648031,92.3628240155,184.725657267,20672.1370525,-9.77709497252e-10,3.07049922059e-10,184.725648031,-0.103111970923,18457.3222924,6489.30873157,-1615.84192565,184.725648031,9.23628240155,0,9.23628059013,7.96792493725e-07,184.725648031,0.836012990958,0,-0.00497148365872,0.00635737258739,0.00648930873157,-0.00161584192565
0.000276,-18589.0761037,-0.10386190487,-6489.66197927,1636.45307236,184.725648031,92.3628240155,184.725657267,-20819.6712572,-9.77719310412e-10,3.07038823128e-10,184.725648031,-0.10386190487,-18589.0761037,-6489.66197927,1636.45307236,184.725648031,9.23628240155,0,9.23628059013,-5.30465567866e-07,184.725648031,0.836382442254,0,0.000683342273482,-0.00679295532289,-0.00648966197927,0.00163645307236
0.000278,18720.1630971,-0.104611779772,6489.99814335,-1658.06683061,184.725648031,92.3628240155,184.725657267,20966.5191289,-9.77703164717e-10,3.07021177313e-10,184.725648031,-0.104611779772,18720.1630971,6489.99814335,-1658.06683061,184.725648031,9.23628240155,0,9.23628059013,8.0993247886e-07,184.725648031,0.83675189355,0,-0.00506730864751,0.00634110984869,0.00648999814335,-0.00165806683061
0.00028,-18851.7390058,-0.105361595204,-6490.31805002,1678.84770012,184.725648031,92.3628240155,184.725657267,-21113.8535513,-9.77712978778e-10,3.07010162862e-10,184.725648031,-0.105361595204,-18851.7390058,-6490.31805002,1678.84770012,184.725648031,9.23628240155,0,9.23628059013,-5.4129059198e-07,184.725648031,0.837121344846,0,0.000702561094958,-0.0067909849252,-0.00649031805002,0.00167884770012
0.000282,18982.6342026,-0.106111350739,6490.62248551,-1700.67372411,184.725648031,92.3628240155,184.725657267,21260.4871481,-9.77696831359e-10,3.06992431906e-10,184.725648031,-0.106111350739,18982.6342026,6490.62248551,-1700.67372411,184.725648031,9.23628240155,0,9.23628059013,8.23616522128e-07,184.725648031,0.837490796142,0,-0.00516528990466,0.00632434841391,0.00649062248551,-0.00170067372411
0.000284,-19114.0285291,-0.10686104595,-6490.91219802,1721.62000596,184.725648031,92.3628240155,184.725657267,-21407.6176596,-9.77706646193e-10,3.06981502695e-10,184.725648031,-0.10686104595,-19114.0285291,-6490.91219802,1721.62000596,184.725648031,9.23628240155,0,9.23628059013,-5.52723414514e-07,184.725648031,0.837860247438,0,0.00072019420914,-0.00678913909548,-0.00649091219802,0.00172162000596
0.000286,19244.7279332,-0.107610680412,6491.18789959,-1743.65625436,184.725648031,92.3628240155,184.725657267,21554.0325137,-9.7769049717e-10,3.06963685844e-10,184.725648031,-0.107610680412,19244.7279332,6491.18789959,-1743.65625436,184.725648031,9.23628240155,0,9.23628059013,8.37874782313e-07,184.725648031,0.838229698734,0,-0.00526551487572,0.00630706918852,0.00649118789959,-0.00174365625436
0.000288,-19375.9369937,-0.108360253699,-6491.4502678,1764.76357084,184.725648031,92.3628240155,184.725657267,-21700.9549804,-9.77700312663e-10,3.06952842619e-10,184.725648031,-0.108360253699,-19375.9369937,-6491.4502678,1764.76357084,184.725648031,9.23628240155,0,9.23628059013,-5.64794564478e-07,184.725648031,0.83859915003,0,0.000736137046594,-0.00678743609179,-0.0064914502678,0.00176476357084
0.00029,19506.4365852,-0.109109765384,6491.69994747,-1787.00807755,184.725648031,92.3628240155,184.725657267,21847.1465976,-9.77684162145e-10,3.06934939133e-10,184.725648031,-0.109109765384,19506.4365852,6491.69994747,-1787.00807755,184.725648031,9.23628240155,0,9.23628059013,8.52739217112e-07,184.725648031,0.838968601326,0,-0.00536807693806,0.00628925190868,0.00649169994747,-0.00178700807755
0.000292,-19637.4566923,-0.109859215042,-6491.93755225,1808.2719786,184.725648031,92.3628240155,184.725657267,-21993.8568815,-9.77693978193e-10,3.06924182629e-10,184.725648031,-0.109859215042,-19637.4566923,-6491.93755225,1808.2719786,184.725648031,9.23628240155,0,9.23628059013,-5.77536464257e-07,184.725648031,0.839338052623,0,0.000750278906684,-0.00678589546564,-0.00649193755225,0.0018082719786
0.000294,19767.7524276,-0.110608602245,6492.1636661,-1830.72285795,184.725648031,92.3628240155,184.725657267,22139.8207415,-9.77677826279e-10,3.06906191781e-10,184.725648031,-0.110608602245,19767.7524276,6492.1636661,-1830.72285795,184.725648031,9.23628240155,0,9.23628059013,8.68243720919e-07,184.725648031,0.839707503919,0,-0.00547307582796,0.00627087504979,0.0064921636661,-0.00183072285795
0.000296,-19898.5798925,-0.111357926569,-6492.37884473,1852.13881569,184.725648031,92.3628240155,184.725657267,-22286.3147022,-9.77687642787e-10,3.06895522719e-10,184.725648031,-0.111357926569,-19898.5798925,-6492.37884473,1852.13881569,184.725648031,9.23628240155,0,9.23628059013,-5.90983571333e-07,184.725648031,0.840076955215,0,0.000762502514449,-0.00678453815705,-0.00649237884473,0.00185213881569
0.000298,20028.667704,-0.112107187587,6492.58361698,-1874.79426808,184.725648031,92.3628240155,184.725657267,22432.0462584,-9.77671489567e-10,3.06877443792e-10,184.725648031,-0.112107187587,20028.667704,6492.58361698,-1874.79426808,184.725648031,9.23628240155,0,9.23628059013,8.84424272872e-07,184.725648031,0.840446406511,0,-0.00558061810153,0.00625191572732,0.00649258361698,-0.00187479426808
0.0003,-20159.2988379,-0.112856384873,-6492.77848613,1896.35767094,184.725648031,92.3628240155,184.725657267,-22578.3197551,-9.77681306451e-10,3.06866862881e-10,184.725648031,-0.112856384873,-20159.2988379,-6492.77848613,1896.35767094,184.725648031,9.23628240155,0,9.23628059013,-6.05172530724e-07,184.725648031,0.840815857807,0,0.00077268354228,-0.00678338659766,-0.00649277848613,0.00189635767094
