time_s,node_BUSC2_voltage,node_BUSCS2_voltage,node_BUSMG_voltage,node_BUSMGR_voltage,node_BUSMS_voltage,output_fixed_1,output_fixed_2,output_fixed_3,branch_current_branch_fixed_3,branch_current_branch_fixed_5,branch_current_branch_fixed_6,torque_Nm,mechanical_speed_rad_s,mechanical_angle_rad,power_zero_axis_current_A,orthogonal_dummy_current_A,armature_current_A,inactive_compound_field_current_A,series_field_current_A
0.00076,-740.186670364,10,-3.82056180323e-07,-1.91028090162e-07,6.17943201734e-13,10,-740.186670364,-3.82056180323e-07,-4.20026583469e-07,-0.528248741364,0.382056798266,0.910305959657,0,0,0,0,-4.39346119421,-0,4.39346119421
0.00078,-854.139194753,9.99999999999,-5.07492900166e-07,-2.53746450083e-07,4.92506607327e-13,9.99999999999,-854.139194753,-5.07492900166e-07,-5.57929749523e-07,-0.701031113097,0.507493392673,1.2085250637,0,0,0,0,-5.06221903628,-0,5.06221903628
0.0008,-985.349806505,9.99999999999,-6.73946300096e-07,-3.36973150048e-07,3.2605337385e-13,9.99999999999,-985.349806505,-6.73946300096e-07,-7.4092601154e-07,-0.93021220622,0.67394662615,1.6041595733,0,0,0,0,-5.83226012173,-0,5.83226012173
0.00082,-1136.43223955,9.99999999999,-8.94803047642e-07,-4.47401523821e-07,1.05196847161e-13,9.99999999999,-1136.43223955,-8.94803047642e-07,-9.83732462227e-07,-1.23418391972,0.894803152839,2.1289880563,0,0,0,0,-6.71892377783,-0,6.71892377783
0.00084,-1310.3960773,9.99999999999,-1.18781499849e-06,-5.93907499244e-07,-1.87814810673e-13,9.99999999999,-1310.3960773,-1.18781499849e-06,-1.30586521382e-06,-1.63733319857,1.18781481067,2.82514931511,0,0,0,0,-7.73987246991,-0,7.73987246991
0.00086,-1510.706704,9.99999999999,-1.57652203777e-06,-7.88261018884e-07,-5.76521461247e-13,9.99999999999,-1510.706704,-1.57652203777e-06,-1.7332036475e-06,-2.17199578638,1.57652146125,3.74851898083,0,0,0,0,-8.91544364021,-0,8.91544364021
0.00088,-1741.35433564,9.99999999999,-2.09213861137e-06,-1.04606930568e-06,-1.09213751923e-12,9.99999999999,-1741.35433564,-2.09213861137e-06,-2.30006443642e-06,-2.88104663491,2.09213751923,4.9731864542,0,0,0,0,-10.2690548326,-0,10.2690548326
0.0009,-2006.93350564,9.99999999999,-2.77605504599e-06,-1.388027523e-06,-1.77605326994e-12,9.99999999999,-2006.93350564,-2.77605504599e-06,-3.05195145777e-06,-3.82133442439,2.77605326994,6.59739074627,0,0,0,0,-11.8276701733,-0,11.8276701733
0.00092,-2312.73458859,9.99999999999,-3.68315399196e-06,-1.84157699598e-06,-2.68315130881e-12,9.99999999999,-2312.73458859,-3.68315399196e-06,-4.04920183813e-06,-5.06823524612,3.68315130881,8.75139060414,0,0,0,0,-13.6223375002,-0,13.6223375002
0.00094,-2664.84918529,9.99999999998,-4.88620760096e-06,-2.44310380048e-06,-3.88620371475e-12,9.99999999998,-2664.84918529,-4.88620760096e-06,-5.37182014177e-06,-6.72169012202,4.88620371475,11.6078992086,0,0,0,0,-15.68880684,-0,15.68880684
0.00096,-3070.29146828,9.99999999998,-6.48170759928e-06,-3.24085379964e-06,-5.48170211758e-12,9.99999999998,-3070.29146828,-6.48170759928e-06,-7.12588786201e-06,-8.9142098616,6.48170211758,15.3959191051,0,0,0,0,-18.0682425542,-0,18.0682425542
0.00098,-3537.13790512,9.99999999998,-8.59759516691e-06,-4.29879758346e-06,-7.59758756933e-12,9.99999999998,-3537.13790512,-8.59759516691e-06,-9.45206152915e-06,-11.8214883012,8.59758756933,20.4190853226,0,0,0,0,-20.8080433383,-0,20.8080433383
