time_s,SRCE A_v_pu,BUS  A_v_pu,SRCE B_v_pu,BUS  B_v_pu,SRCE C_v_pu,BUS  C_v_pu,BANK A_v_pu,BANK N_v_pu,BANK B_v_pu,BANK C_v_pu,output_fixed_1_pu,output_fixed_2_pu,output_fixed_3_pu,output_fixed_4_pu,output_fixed_5_pu,output_fixed_6_pu,output_fixed_7_pu,branch_voltage_branch_fixed_4_pu,branch_voltage_branch_fixed_5_pu,branch_voltage_branch_fixed_6_pu,switch_voltage_switch_fixed_1_pu,switch_voltage_switch_fixed_2_pu,switch_voltage_switch_fixed_3_pu
0.02295,-0.715936483022,-0.715936483022,0.962597230403,0.962597230403,-0.246660747381,-0.246660747381,-0.880907616931,-0.515099921102,0.850595117335,-1.5150387737,-0.880907616931,0.850595117335,-1.5150387737,-0.515099921102,-0.715936483022,0.962597230403,-0.246660747381,-0.36580769583,1.36569503844,-0.999938852599,0.164971133909,0.112002113069,1.26837802632
0.023,-0.728968627421,-0.728968627421,0.957319497532,0.957319497532,-0.228350870111,-0.228350870111,-0.880907616931,-0.515099921102,0.850595117335,-1.5150387737,-0.880907616931,0.850595117335,-1.5150387737,-0.515099921102,-0.728968627421,0.957319497532,-0.228350870111,-0.36580769583,1.36569503844,-0.999938852599,0.15193898951,0.106724380198,1.28668790359
0.02305,-0.741741772739,-0.741741772739,0.951701633602,0.951701633602,-0.209959860863,-0.209959860863,-0.880907616931,-0.515099921102,0.850595117335,-1.5150387737,-0.880907616931,0.850595117335,-1.5150387737,-0.515099921102,-0.741741772739,0.951701633602,-0.209959860863,-0.36580769583,1.36569503844,-0.999938852599,0.139165844192,0.101106516267,1.30507891284
0.0231,-0.754251380736,-0.754251380736,0.945745634613,0.945745634613,-0.191494253877,-0.191494253877,-0.880907616931,-0.515099921102,0.850595117335,-1.5150387737,-0.880907616931,0.850595117335,-1.5150387737,-0.515099921102,-0.754251380736,0.945745634613,-0.191494253877,-0.36580769583,1.36569503844,-0.999938852599,0.126656236195,0.0951505172786,1.32354451982
0.02315,-0.766493006809,-0.766493006809,0.939453616704,0.939453616704,-0.172960609894,-0.172960609894,-0.880907616931,-0.515099921102,0.850595117335,-1.5150387737,-0.880907616931,0.850595117335,-1.5150387737,-0.515099921102,-0.766493006809,0.939453616704,-0.172960609894,-0.36580769583,1.36569503844,-0.999938852599,0.114414610122,0.088858499369,1.34207816381
0.0232,-0.778462301567,-0.778462301567,0.932827815397,0.932827815397,-0.15436551383,-0.15436551383,-0.880907616931,-0.515099921102,0.850595117335,-1.5150387737,-0.880907616931,0.850595117335,-1.5150387737,-0.515099921102,-0.778462301567,0.932827815397,-0.15436551383,-0.36580769583,1.36569503844,-0.999938852599,0.102445315364,0.0822326980628,1.36067325987
0.02325,-0.790155012376,-0.790155012376,0.92587058481,0.92587058481,-0.135715572434,-0.135715572434,-0.880907616931,-0.515099921102,0.850595117335,-1.5150387737,-0.880907616931,0.850595117335,-1.5150387737,-0.515099921102,-0.790155012376,0.92587058481,-0.135715572434,-0.36580769583,1.36569503844,-0.999938852599,0.0907526045553,0.0752754674755,1.37932320127
0.0233,-0.801566984871,-0.801566984871,0.918584396813,0.918584396813,-0.117017411942,-0.117017411942,-0.880907616931,-0.515099921102,0.850595117335,-1.5150387737,-0.880907616931,0.850595117335,-1.5150387737,-0.515099921102,-0.801566984871,0.918584396813,-0.117017411942,-0.36580769583,1.36569503844,-0.999938852599,0.0793406320601,0.067989279478,1.39802136176
0.02335,-0.812694164433,-0.812694164433,0.910971840153,0.910971840153,-0.0982776757199,-0.0982776757199,-0.880907616931,-0.515099921102,0.850595117335,-1.5150387737,-0.880907616931,0.850595117335,-1.5150387737,-0.515099921102,-0.812694164433,0.910971840153,-0.0982776757199,-0.36580769583,1.36569503844,-0.999938852599,0.068213452498,0.0603767228184,1.41676109798
0.0234,-0.823532597628,-0.823532597628,0.903035619536,0.903035619536,-0.0795030219077,-0.0795030219077,-0.880907616931,-0.515099921102,0.850595117335,-1.5150387737,-0.880907616931,0.850595117335,-1.5150387737,-0.515099921102,-0.823532597628,0.903035619536,-0.0795030219077,-0.36580769583,1.36569503844,-0.999938852599,0.0573750193026,0.0524405022016,1.43553575179
