time_s,SRCE A_v_pu,BUS  A_v_pu,SRCE B_v_pu,BUS  B_v_pu,SRCE C_v_pu,BUS  C_v_pu,STP1 A_v_pu,CAP1 A_v_pu,STP1 B_v_pu,CAP1 B_v_pu,STP1 C_v_pu,CAP1 C_v_pu,STP2 A_v_pu,CAP2 A_v_pu,STP2 B_v_pu,CAP2 B_v_pu,STP2 C_v_pu,CAP2 C_v_pu,CAP1 S_v_pu,CAP2 8_v_pu,output_fixed_1_pu,output_fixed_2_pu,output_fixed_3_pu,output_fixed_4_pu,output_fixed_5_pu,output_fixed_6_pu,output_fixed_7_pu,output_fixed_8_pu,output_fixed_9_pu,switch_voltage_switch_fixed_1_pu,switch_voltage_switch_fixed_2_pu,switch_voltage_switch_fixed_3_pu,switch_voltage_switch_fixed_4_pu,switch_voltage_switch_fixed_5_pu,switch_voltage_switch_fixed_6_pu,switch_current_switch_fixed_1_pu,switch_current_switch_fixed_2_pu,switch_current_switch_fixed_3_pu,switch_current_switch_fixed_4_pu,switch_current_switch_fixed_5_pu,switch_current_switch_fixed_6_pu
0.0005,-0.65342060399,-0.65342060399,0.982287250729,0.982287250729,-0.328866646739,-0.328866646739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.65342060399,0.982287250729,-0.328866646739,0,0,0,0,0,0,-0.65342060399,0.982287250729,-0.328866646739,-0.65342060399,0.982287250729,-0.328866646739,-0,0,-0,-0,0,-0
0.00052,-0.659109585125,-0.272754019257,0.980846521435,0.409263311463,-0.32173693631,-0.136509292206,-0.272754019176,-0.00293281789209,0.409263311343,0.0100836896903,-0.136509292167,-0.0071508717982,0,0,0,0,0,0,-0.0071508717982,0,-0.272754019257,0.409263311463,-0.136509292206,-0.00293281789209,0.0100836896903,-0.0071508717982,0,0,0,-8.09463052143e-11,1.19753873484e-10,-3.88075127589e-11,-0.272754019257,0.409263311463,-0.136509292206,-0.0809463052143,0.119753873484,-0.0388075127589,-0,0,-0
0.00054,-0.664761096768,-0.0831069165916,0.979350032338,0.150686964122,-0.31458893557,-0.0675800475305,-0.0831069164301,-0.0214392131498,0.15068696389,0.0723999509991,-0.0675800474602,-0.0509607378493,0,0,0,0,0,0,-0.0509607378493,0,-0.0831069165916,0.150686964122,-0.0675800475305,-0.0214392131498,0.0723999509991,-0.0509607378493,0,0,0,-1.61448035496e-10,2.31688085384e-10,-7.02400637653e-11,-0.0831069165916,0.150686964122,-0.0675800475305,-0.161448035496,0.231688085384,-0.0702400637653,-0,0,-0
0.00056,-0.670374817639,-0.102861429868,0.977797868512,0.219200799502,-0.307423050873,-0.116339369634,-0.102861429661,-0.0481608696381,0.219200799217,0.15828311641,-0.116339369556,-0.110122246772,0,0,0,0,0,0,-0.110122246772,0,-0.102861429868,0.219200799502,-0.116339369634,-0.0481608696381,0.15828311641,-0.110122246772,0,0,0,-2.06753142384e-10,2.84779172466e-10,-7.80260300814e-11,-0.102861429868,0.219200799502,-0.116339369634,-0.206753142384,0.284779172466,-0.0780260300814,-0,0,-0
0.00058,-0.675950428606,-0.132088108417,0.976190118195,0.30728119468,-0.30023968959,-0.175193086264,-0.132088108168,-0.0811870822301,0.307281194353,0.258603821029,-0.175193086185,-0.177416738799,0,0,0,0,0,0,-0.177416738799,0,-0.132088108417,0.30728119468,-0.175193086264,-0.0811870822301,0.258603821029,-0.177416738799,0,0,0,-2.48628312383e-10,3.27400773159e-10,-7.87724052653e-11,-0.132088108417,0.30728119468,-0.175193086264,-0.248628312383,0.327400773159,-0.0787724052653,-0,0,-0
0.0006,-0.681487612701,-0.166747558335,0.974526872786,0.40571450132,-0.293039260085,-0.238966942985,-0.166747558048,-0.120050807761,0.40571450096,0.369471722825,-0.238966942912,-0.249420915064,0,0,0,0,0,0,-0.249420915064,0,-0.166747558335,0.40571450132,-0.238966942985,-0.120050807761,0.369471722825,-0.249420915064,0,0,0,-2.87269014132e-10,3.60130980592e-10,-7.28619109491e-11,-0.166747558335,0.40571450132,-0.238966942985,-0.287269014132,0.360130980592,-0.0728619109491,-0,0,-0
0.00062,-0.686986055145,-0.206336135835,0.972808226838,0.510932117087,-0.285822171693,-0.304595981252,-0.206336135513,-0.164258602835,0.510932116704,0.487063948369,-0.304595981191,-0.322805345535,0,0,0,0,0,0,-0.322805345535,0,-0.206336135835,0.510932117087,-0.304595981252,-0.164258602835,0.487063948369,-0.322805345535,0,0,0,-3.22336157765e-10,3.82926246267e-10,-6.05901440132e-11,-0.206336135835,0.510932117087,-0.304595981252,-0.322336157765,0.382926246267,-0.0605901440132,-0,0,-0
0.00064,-0.692445443357,-0.250371705609,0.971034278054,0.619526838097,-0.278588834697,-0.369155132488,-0.250371705256,-0.213270160307,0.619526837701,0.607641059989,-0.369155132445,-0.394370899682,0,0,0,0,0,0,-0.394370899682,0,-0.250371705609,0.619526838097,-0.369155132488,-0.213270160307,0.607641059989,-0.394370899682,0,0,0,-3.53526541375e-10,3.96002231007e-10,-4.24756896322e-11,-0.250371705609,0.619526838097,-0.369155132488,-0.353526541375,0.396002231007,-0.0424756896322,-0,0,-0
0.00066,-0.697865466979,-0.298335424574,0.969205127279,0.728245435394,-0.2713396603,-0.42991001082,-0.298335424193,-0.266504731847,0.728245434994,0.727652648648,-0.429910010801,-0.461147916802,0,0,0,0,0,0,-0.461147916802,0,-0.298335424574,0.728245435394,-0.42991001082,-0.266504731847,0.727652648648,-0.461147916802,0,0,0,-3.80585507553e-10,3.99823063546e-10,-1.92375559926e-11,-0.298335424574,0.728245435394,-0.42991001082,-0.380585507553,0.399823063546,-0.0192375559926,-0,0,-0
0.00068,-0.70324581789,-0.349677035447,0.9673208785,0.834074401175,-0.26407506061,-0.484397365728,-0.349677035044,-0.323348319834,0.83407440078,0.843831441152,-0.484397365736,-0.520483121318,0,0,0,0,0,0,-0.520483121318,0,-0.349677035447,0.834074401175,-0.484397365728,-0.323348319834,0.843831441152,-0.520483121318,0,0,0,-4.0330899731e-10,3.95069643666e-10,8.23940915495e-12,-0.349677035447,0.834074401175,-0.484397365728,-0.40330899731,0.395069643666,0.00823940915495,-0,0,-0
0.0007,-0.708586190225,-0.403821513759,0.965381638833,0.934314043273,-0.256795448608,-0.530492529515,-0.403821513337,-0.383161077739,0.93431404289,0.953271973246,-0.530492529553,-0.570110895506,0,0,0,0,0,0,-0.570110895506,0,-0.403821513759,0.934314043273,-0.530492529515,-0.383161077739,0.953271973246,-0.570110895506,0,0,0,-4.21544521512e-10,3.826018391e-10,3.89427379233e-11,-0.403821513759,0.934314043273,-0.530492529515,-0.421544521512,0.3826018391,0.0389427379233,-0,0,-0
0.00072,-0.713886280389,-0.460175855538,0.963387518521,1.02663756349,-0.249501238132,-0.566461707956,-0.460175855103,-0.445284825513,1.02663756313,1.05349237751,-0.566461708027,-0.608207551993,0,0,0,0,0,0,-0.608207551993,0,-0.460175855538,1.02663756349,-0.566461707956,-0.445284825513,1.05349237751,-0.608207551993,0,0,0,-4.35191604975e-10,3.63418628524e-10,7.17730319622e-11,-0.460175855538,1.02663756349,-0.566461707956,-0.435191604975,0.363418628524,0.0717730319622,-0,0,-0
0.00074,-0.719145787081,-0.518135908588,0.961338630927,1.1091342593,-0.242192843846,-0.590998350712,-0.518135908144,-0.509050595751,1.10913425896,1.1424785043,-0.590998350818,-0.633427908546,0,0,0,0,0,0,-0.633427908546,0,-0.518135908588,1.1091342593,-0.590998350712,-0.509050595751,1.1424785043,-0.633427908546,0,0,0,-4.44201786465e-10,3.38618022511e-10,1.05583763954e-10,-0.518135908588,1.1091342593,-0.590998350712,-0.444201786465,0.338618022511,0.105583763954,-0,0,-0
0.00076,-0.724364411304,-0.577093171902,0.959235092528,1.18033658661,-0.234870681223,-0.603243414713,-0.577093171453,-0.573786128085,1.18033658631,1.21871021023,-0.603243414852,-0.644924082145,0,0,0,0,0,0,-0.644924082145,0,-0.577093171902,1.18033658661,-0.603243414713,-0.573786128085,1.21871021023,-0.644924082145,0,0,0,-4.48578063583e-10,3.09354319938e-10,1.39223632623e-10,-0.577093171902,1.18033658661,-0.603243414713,-0.448578063583,0.309354319938,0.139223632623,-0,0,-0
0.00078,-0.729541856387,-0.636441490161,0.957077022906,1.23923135405,-0.227535166519,-0.602789863888,-0.636441489713,-0.638823231662,1.23923135377,1.28117022799,-0.602789864059,-0.642346996329,0,0,0,0,0,0,-0.642346996329,0,-0.636441490161,1.23923135405,-0.602789863888,-0.638823231662,1.28117022799,-0.642346996329,0,0,0,-4.48373116413e-10,2.7680036041e-10,1.71572978047e-10,-0.636441490161,1.23923135405,-0.602789863888,-0.448373116413,0.27680036041,0.171572978047,-0,0,-0
0.0008,-0.734677827999,-0.695583573074,0.954864544746,1.2852558063,-0.220186716748,-0.589672233229,-0.69558357263,-0.703504938813,1.28525580606,1.32933655843,-0.589672233431,-0.62583161962,0,0,0,0,0,0,-0.62583161962,0,-0.695583573074,1.2852558063,-0.589672233229,-0.703504938813,1.32933655843,-0.62583161962,0,0,0,-4.43689085472e-10,2.42108555426e-10,2.01580419024e-10,-0.695583573074,1.2852558063,-0.589672233229,-0.443689085472,0.242108555426,0.201580419024,-0,0,-0
0.00082,-0.739772034166,-0.753937272725,0.952597783824,1.31827978469,-0.212825749658,-0.564342511964,-0.75393727229,-0.767192376974,1.31827978448,1.36315978728,-0.564342512192,-0.595967410302,0,0,0,0,0,0,-0.595967410302,0,-0.753937272725,1.31827978469,-0.564342511964,-0.767192376974,1.36315978728,-0.595967410302,0,0,0,-4.34673408378e-10,2.06379802137e-10,2.28293495219e-10,-0.753937272725,1.31827978469,-0.564342511964,-0.434673408378,0.206379802137,0.228293495219,-0,0,-0
0.00084,-0.744824185291,-0.810941556288,0.950276869002,1.33857551598,-0.205452683711,-0.527633959692,-0.810941555866,-0.829271290631,1.33857551581,1.38302711414,-0.527633959943,-0.553755823509,0,0,0,0,0,0,-0.553755823509,0,-0.810941556288,1.33857551598,-0.527633959692,-0.829271290631,1.38302711414,-0.553755823509,0,0,0,-4.2151793167e-10,1.70632175056e-10,2.50885756614e-10,-0.810941556288,1.33857551598,-0.527633959692,-0.42151793167,0.170632175056,0.250885756614,-0,0,-0
0.00086,-0.749833994165,-0.866062116109,0.947901932221,1.34677686976,-0.198067938056,-0.480714753654,-0.866062115704,-0.889158150373,1.34677686963,1.38971518375,-0.480714753923,-0.500557033374,0,0,0,0,0,0,-0.500557033374,0,-0.866062116109,1.34677686976,-0.480714753654,-0.889158150373,1.38971518375,-0.500557033374,0,0,0,-4.04454358893e-10,1.35776945243e-10,2.68677191606e-10,-0.866062116109,1.34677686976,-0.480714753654,-0.404454358893,0.135776945243,0.268677191606,-0,0,-0
