time_s,receiving_voltage_phase_1_v,sending_current_phase_1_a,receiving_current_phase_1_a,receiving_voltage_phase_2_v,sending_current_phase_2_a,receiving_current_phase_2_a,receiving_voltage_phase_3_v,sending_current_phase_3_a,receiving_current_phase_3_a
0.00036,99037.3646014,1981.12981625,-1980.74729203,-38017.5077768,-759.704068776,760.350155537,-61067.6364036,-1222.44329587,1221.35272807
0.00037,98986.6246399,1980.11181804,-1979.7324928,-37668.6861392,-752.724086022,753.373722784,-61365.7963066,-1228.40693999,1227.31592613
0.00038,98934.4778594,1979.06567806,-1978.68955719,-37319.3291462,-745.733405393,746.386582924,-61663.0840658,-1234.35312572,1233.26168132
0.00039,98880.9250009,1977.99141118,-1977.61850002,-36969.4417629,-738.732126241,739.388835258,-61959.495456,-1240.28176857,1239.18990912
0.0004,98825.9668256,1976.88903266,-1976.51933651,-36619.028962,-731.720348071,732.38057924,-62255.0262647,-1246.19278426,1245.10052529
0.00041,98769.6041146,1975.75855817,-1975.39208229,-36268.0957236,-724.698170534,725.361914473,-62549.6722917,-1252.0860888,1250.99344583
0.00042,98711.8376688,1974.60000378,-1974.23675338,-35916.6470354,-717.665693433,718.332940707,-62843.4293494,-1257.96159842,1256.86858699
0.00043,98652.6683094,1973.41338595,-1973.05336619,-35564.687892,-710.623016714,711.29375784,-63136.2932628,-1263.81922963,1262.72586526
0.00044,98592.0968772,1972.19872155,-1971.84193754,-35212.2232958,-703.570240468,704.244465915,-63428.2598697,-1269.65889916,1268.56519739
0.00045,98530.124233,1970.95602784,-1970.60248466,-34859.2582558,-696.507464932,697.185165117,-63719.3250207,-1275.48052403,1274.38650041
0.00046,98466.7512577,1969.68532249,-1969.33502515,-34505.7977887,-689.434790484,690.115955774,-64009.4845791,-1281.2840215,1280.18969158
0.00047,98401.9788519,1968.38662354,-1968.03957704,-34151.8469178,-682.35231764,683.036938356,-64298.7344209,-1287.06930909,1285.97468842
0.00048,98335.8079361,1967.05994946,-1966.71615872,-33797.4106736,-675.26014706,675.948213472,-64587.0704355,-1292.83630457,1291.74140871
