time_s,receiving_voltage_phase_1_minimum_v,receiving_voltage_phase_1_maximum_v,sending_current_phase_1_minimum_a,sending_current_phase_1_maximum_a,receiving_current_phase_1_minimum_a,receiving_current_phase_1_maximum_a,receiving_voltage_phase_2_minimum_v,receiving_voltage_phase_2_maximum_v,sending_current_phase_2_minimum_a,sending_current_phase_2_maximum_a,receiving_current_phase_2_minimum_a,receiving_current_phase_2_maximum_a,receiving_voltage_phase_3_minimum_v,receiving_voltage_phase_3_maximum_v,sending_current_phase_3_minimum_a,sending_current_phase_3_maximum_a,receiving_current_phase_3_minimum_a,receiving_current_phase_3_maximum_a,terminal_power_minimum_w,terminal_power_maximum_w,cumulative_supplied_energy_minimum_j,cumulative_supplied_energy_maximum_j,maximum_kcl_residual_a
0.0005,98199.2743564,98199.2750388,1964.32275173,1964.32384032,-1963.98550078,-1963.98548713,-33087.1022212,-33087.1015194,-661.047462996,-661.047116008,661.742030388,661.742044424,-65160.984604,-65160.9838732,-1304.31579122,-1304.31509164,1303.21967746,1303.21969208,242435.54957,242599.754963,126.695755097,126.77785819,3.41060513165e-12
0.00051,98128.9136329,98128.9143086,1962.91226698,1962.91335466,-1962.57828617,-1962.57827266,-32731.2401081,-32731.2394132,-653.926800763,-653.926457535,654.624788264,654.624802163,-65446.5546013,-65446.5538774,-1310.02742292,-1310.02672009,1308.93107755,1308.93109203,241939.906774,242104.112139,129.117632378,129.201377525,3.41060513165e-12
0.00052,98057.1582804,98057.1589494,1961.47388491,1961.47497165,-1961.14317899,-1961.14316561,-32374.9128117,-32374.9121237,-646.796844783,-646.796505318,647.498242473,647.498256234,-65731.1944583,-65731.1937412,-1315.72043624,-1315.71973016,1314.62387482,1314.62388917,241441.267161,241605.472498,131.534538248,131.619925448,3.41060513165e-12
0.00053,97984.0093185,97984.0099808,1960.00762594,1960.00871175,-1959.68019962,-1959.68018637,-32018.1253961,-32018.124715,-639.657696388,-639.657360692,640.362494299,640.362507921,-66014.9001295,-66014.8994193,-1321.39475025,-1321.39404094,1320.29798839,1320.29800259,240939.659077,241103.864386,133.946442879,134.033472133,3.41060513165e-12
0.00054,97909.467787,97909.4684426,1958.51351093,1958.51459578,-1958.18936885,-1958.18935574,-31660.882932,-31660.8822578,-632.509457042,-632.509125119,633.217645157,633.21765864,-66297.6675829,-66297.6668795,-1327.05028433,-1327.04957178,1325.95333759,1325.95335166,240435.111039,240599.31632,136.35331673,136.441988036,3.41060513165e-12
0.00055,97833.5347453,97833.5353941,1956.99156111,1956.99264499,-1956.67070788,-1956.67069491,-31303.1904967,-31303.1898295,-625.352228335,-625.351900191,626.06379659,626.063809935,-66579.4927996,-66579.4921031,-1332.68695808,-1332.68624231,1331.58984206,1331.58985599,239927.651729,240091.856983,138.755130544,138.845443903,3.41060513165e-12
0.00056,97756.2112724,97756.2119146,1955.4417981,1955.442881,-1955.12423829,-1955.12422545,-30945.0531738,-30945.0525135,-618.18611199,-618.185787629,618.90105027,618.901063476,-66860.3717744,-66860.3710847,-1338.3046914,-1338.30397242,1337.20742169,1337.20743549,239417.309995,239581.515222,141.151855352,141.243810764,3.41060513165e-12
0.00057,97677.4984675,97677.4991028,1953.86424394,1953.86532583,-1953.54998206,-1953.54996935,-30586.4760532,-30586.4753999,-611.011209851,-611.010889278,611.729507997,611.729521064,-67140.3005153,-67140.2998325,-1343.90340444,-1343.90268227,1342.80599665,1342.80601031,238904.11485,239068.320049,143.543462476,143.63705994,3.41060513165e-12
0.00058,97597.397449,97597.3980777,1952.25892104,1952.26000192,-1951.94796155,-1951.94794898,-30227.4642311,-30227.4635847,-603.827623891,-603.82730711,604.549271693,604.549284621,-67419.2750439,-67419.274368,-1349.48301765,-1349.48229229,1348.38548736,1348.38550088,238388.095468,238552.300641,145.929923528,146.025163044,3.41060513165e-12
0.00059,97515.9093555,97515.9099774,1950.62585222,1950.62693207,-1950.31819955,-1950.31818711,-29868.0228097,-29868.0221703,-596.635456204,-596.635143219,597.360443407,597.360456195,-67697.2913954,-67697.2907264,-1355.04345171,-1355.04272318,1353.94581453,1353.94582791,237869.281184,238033.48633,148.311210411,148.408091979,3.41060513165e-12
