time_s,terminal_power_w,cumulative_supplied_energy_j,maximum_kcl_residual_a,fault_closed
0.00139,-108236875.851,181964.754544,4.36557456851e-11,0
0.0014,-81995570.7615,181013.592311,4.36557456851e-11,0
0.00141,-61108620.1979,180298.071356,4.36557456851e-11,0
0.00142,-47161914.9546,179756.718681,4.36557456851e-11,0
0.00143,-36091665.3999,179340.450779,4.36557456851e-11,0
0.00144,-28400122.5325,179017.991839,4.36557456851e-11,0
0.00145,-22284885.7646,178764.566798,4.36557456851e-11,0
0.00146,-17877142.5758,178563.756656,4.36557456851e-11,0
0.00147,-14360889.7976,178402.566494,4.36557456851e-11,0
0.00148,-11738353.1189,178272.07028,4.36557456851e-11,0
0.00149,-9635194.63769,178165.202541,4.36557456851e-11,0
0.0015,-8017669.38552,178076.938221,4.36557456851e-11,0
0.00151,-6710504.4337,178003.297352,4.36557456851e-11,0
0.00152,-5677985.14659,177941.354904,4.36557456851e-11,0
0.00153,-4835229.19734,177888.788832,4.36557456851e-11,0
0.00154,-4154201.36394,177843.841679,4.36557456851e-11,0
0.00155,-3591852.3438,177805.111411,4.36557456851e-11,0
0.00156,-3128497.34732,177771.509662,4.36557456851e-11,0
0.00157,-2741107.16736,177742.16164,4.36557456851e-11,0
0.00158,-2416516.82582,177716.37352,4.36557456851e-11,0
0.00159,-2141721.81232,177693.582326,4.36557456851e-11,0
0.0016,-1908078.88997,177673.333323,4.36557456851e-11,0
0.00161,-1707867.54927,177655.253591,4.36557456851e-11,0
0.00162,-1535423.74739,177639.037134,4.36557456851e-11,0
0.00163,-1385959.2603,177624.430219,4.36557456851e-11,0
0.00164,-1255733.49769,177611.221755,4.36557456851e-11,0
0.00165,-1141664.6234,177599.234765,4.36557456851e-11,0
0.00166,-1041249.36415,177588.320195,4.36557456851e-11,0
0.00167,-952441.120526,177578.351742,4.36557456851e-11,0
0.00168,-873537.235303,177569.221851,4.36557456851e-11,0
0.00169,-803141.930501,177560.838455,4.36557456851e-11,0
0.0017,-740076.521916,177553.122363,4.36557456851e-11,0
0.00171,-683366.927602,177546.005145,4.36557456851e-11,0
0.00172,-632182.396182,177539.427399,4.36557456851e-11,0
0.00173,-585829.211144,177533.337341,4.36557456851e-11,0
0.00174,-543711.414421,177527.689638,4.36557456851e-11,0
0.00175,-505325.889402,177522.444451,4.36557456851e-11,0
0.00176,-470237.797077,177517.566633,4.36557456851e-11,0
0.00177,-438076.160454,177513.025063,4.36557456851e-11,0
0.00178,-408518.564012,177508.792089,4.36557456851e-11,0
0.00179,-381287.263675,177504.84306,4.36557456851e-11,0
0.0018,-356139.571619,177501.155926,4.36557456851e-11,0
0.00181,-332864.585174,177497.710905,4.36557456851e-11,0
0.00182,-311277.03983,177494.490197,4.36557456851e-11,0
0.00183,-291214.664318,177491.477738,4.36557456851e-11,0
0.00184,-272534.162871,177488.658994,4.36557456851e-11,0
0.00185,-255109.134438,177486.020778,4.36557456851e-11,0
0.00186,-238827.381705,177483.551095,4.36557456851e-11,0
0.00187,-223589.302357,177481.239012,4.36557456851e-11,0
0.00188,-209306.041803,177479.074535,4.36557456851e-11,0
0.00189,-195898.261537,177477.048514,4.36557456851e-11,0
0.0019,-183294.841096,177475.152548,4.36557456851e-11,0
0.00191,-171431.939141,177473.378914,4.36557456851e-11,0
0.00192,-160252.061763,177471.720494,4.36557456851e-11,0
0.00193,-149703.346945,177470.170717,4.36557456851e-11,0
0.00194,-139738.883099,177468.723506,4.36557456851e-11,0
0.00195,-130316.162411,177467.373231,4.36557456851e-11,0
0.00196,-121396.574115,177466.114667,4.36557456851e-11,0
0.00197,-112944.985027,177464.942959,4.36557456851e-11,0
0.00198,-104929.357296,177463.853588,4.36557456851e-11,0
0.00199,-97320.4246958,177462.842339,4.36557456851e-11,0
0.002,-90091.4006136,177461.905279,4.36557456851e-11,0
