time_s,maximum_receiving_voltage_difference_v,maximum_terminal_current_difference_a,maximum_terminal_power_difference_w,maximum_cumulative_energy_difference_j,coarse_maximum_kcl_residual_a,refined_maximum_kcl_residual_a
0.00015,0.000172828025825,3.45656007994e-06,0.0873204171658,2.44538672831e-05,3.41060513165e-12,2.27373675443e-12
0.00016,0.00017319789913,3.46395722772e-06,0.0869934782386,2.60082230668e-05,3.41060513165e-12,2.27373675443e-12
0.00017,0.000173565218574,3.47130412592e-06,0.0866632387042,2.75524984374e-05,3.41060513165e-12,2.27373675443e-12
0.00018,0.000173930093297,3.47860134298e-06,0.0863292142749,2.90865883485e-05,3.41060513165e-12,2.27373675443e-12
0.00019,0.000174292508746,3.48584978838e-06,0.0859914645553,3.06103929901e-05,3.41060513165e-12,2.27373675443e-12
0.0002,0.000174652443093,3.49304878e-06,0.0856513604522,3.21238096603e-05,3.41060513165e-12,2.27373675443e-12
0.00021,0.000175009881787,3.50019763573e-06,0.0853071436286,3.36267367373e-05,3.41060513165e-12,2.27373675443e-12
0.00022,0.000175364861207,3.50729681031e-06,0.0849594920874,3.51190759389e-05,3.41060513165e-12,2.27373675443e-12
0.00023,0.000175717308593,3.51434721324e-06,0.0846088081598,3.66007268582e-05,3.41060513165e-12,2.27373675443e-12
0.00024,0.000176067303983,3.52134566128e-06,0.0842545554042,3.80715901542e-05,3.41060513165e-12,2.27373675443e-12
0.00025,0.000176414730959,3.52829488293e-06,0.083897292614,3.95315669834e-05,3.41060513165e-12,2.27373675443e-12
0.00026,0.000176759713213,3.53519396867e-06,0.0835366547108,4.09805588788e-05,3.41060513165e-12,2.27373675443e-12
0.00027,0.000177102141606,3.54204235009e-06,0.0831724107265,4.24184707128e-05,3.41060513165e-12,2.50111042988e-12
0.00028,0.00017744206707,3.54884195986e-06,0.0828052163124,4.38452065339e-05,3.41060513165e-12,2.50111042988e-12
0.00029,0.000177779453225,3.55558961473e-06,0.0824347287416,4.52606684718e-05,3.41060513165e-12,2.50111042988e-12
0.0003,0.000178114351002,3.56228713372e-06,0.0820610970259,4.66647604753e-05,3.41060513165e-12,2.50111042988e-12
0.00031,0.00017844667309,3.56893303888e-06,0.0816839188337,4.80573902166e-05,3.41060513165e-12,2.50111042988e-12
0.00032,0.000178776434041,3.5755291492e-06,0.0813040435314,4.94384638046e-05,3.41060513165e-12,2.50111042988e-12
0.00033,0.00017910375027,3.58207478257e-06,0.0809212177992,5.08078848043e-05,3.41060513165e-12,2.50111042988e-12
0.00034,0.000179428476258,3.58856925686e-06,0.0805347710848,5.21655617405e-05,3.41060513165e-12,2.50111042988e-12
0.00035,0.000179750619282,3.5950123447e-06,0.0801451951265,5.35114040332e-05,3.41060513165e-12,2.50111042988e-12
