time_s,SOURCE_v_pu,CAP_v_pu,output_fixed_1_pu,branch_current_branch_fixed_1_pu
0.00186,1,0.517276999863,0.517276999863,-0.0175938230761
0.00187,1,0.483142903227,0.483142903227,-0.016540273559
0.00188,1,0.451178573435,0.451178573435,-0.0154240562338
0.00189,1,0.421504695068,0.421504695068,-0.0142498221332
0.0019,1,0.394232433845,0.394232433845,-0.0130224390899
0.00191,1,0.369463023123,0.369463023123,-0.0117469716316
0.00192,1,0.347287391337,0.347287391337,-0.0104286601546
0.00193,1,0.32778583172,0.32778583172,-0.00907289946178
0.00194,1,0.311027715507,0.311027715507,-0.00768521675146
0.00195,1,0.297071249607,0.297071249607,-0.00627124914834
0.00196,1,0.285963279593,0.285963279593,-0.00483672086615
0.00197,1,0.277739138632,0.277739138632,-0.0033874200951
0.00198,1,0.27242254283,0.27242254283,-0.00192917570694
0.00199,1,0.270025533251,0.270025533251,-0.000467833871178
0.002,1,0.270548464704,0.270548464704,0.000990765323946
0.00201,1,0.273980041181,0.273980041181,0.00244081115249
0.00202,1,0.280297397674,0.280297397674,0.00387654534129
0.00203,1,0.289466227894,0.289466227894,0.00529228487826
0.00204,1,0.301440957221,0.301440957221,0.0066824444486
0.00205,1,0.31616496008,0.31616496008,0.00804155841038
0.00206,1,0.333570820714,0.333570820714,0.00936430222334
0.00207,1,0.353580636184,0.353580636184,0.0106455132472
0.00208,1,0.37610636026,0.37610636026,0.0118802108284
0.00209,1,0.401050186686,0.401050186686,0.0130636155975
0.0021,1,0.428304970186,0.428304970186,0.0141911679025
0.00211,1,0.457754683395,0.457754683395,0.0152585453073
0.00212,1,0.489274907792,0.489274907792,0.0162616790893
0.00213,1,0.522733356553,0.522733356553,0.0171967696717
0.00214,1,0.557990427158,0.557990427158,0.0180603009336
0.00215,1,0.594899781437,0.594899781437,0.018849053345
0.00216,1,0.633308950657,0.633308950657,0.0195601158754
0.00217,1,0.673059963168,0.673059963168,0.0201908966357
0.00218,1,0.713989992016,0.713989992016,0.0207391322119
0.00219,1,0.755932019888,0.755932019888,0.0212028956597
0.0022,1,0.798715518679,0.798715518679,0.0215806031312
0.00221,1,0.842167140922,0.842167140922,0.0218710191117
0.00222,1,0.886111420284,0.886111420284,0.0220732602504
0.00223,1,0.930371478308,0.930371478308,0.0221867977741
0.00224,1,0.97476973456,0.97476973456,0.0222114584782
0.00225,1,1.01912861734,1.01912861734,0.0221474242968
0.00226,1,1.06327127209,1.06327127209,0.0219952304559
0.00227,1,1.10702226477,1.10702226477,0.0217557622245
0.00228,1,1.15020827727,1.15020827727,0.0214302502781
0.00229,1,1.19265879225,1.19265879225,0.0210202646994
0.0023,1,1.23420676459,1.23420676459,0.0205277076435
0.00231,1,1.27468927694,1.27468927694,0.0199548047017
0.00232,1,1.31394817664,1.31394817664,0.0193040950018
0.00233,1,1.35183069173,1.35183069173,0.0185784200888
0.00234,1,1.38819002345,1.38819002345,0.0177809116342
0.00235,1,1.42288591311,1.42288591311,0.0169149780265
0.00236,1,1.45578518104,1.45578518104,0.0159842898998
0.00237,1,1.4867622356,1.4867622356,0.0149927646622
0.00238,1,1.51569955035,1.51569955035,0.0139445500879
0.00239,1,1.54248810748,1.54248810748,0.0128440070424
0.0024,1,1.56702780594,1.56702780594,0.0116956914118
0.00241,1,1.58922783266,1.58922783266,0.0105043353109
0.00242,1,1.60900699562,1.60900699562,0.00927482764807
0.00243,1,1.62629401739,1.62629401739,0.00801219412494
0.00244,1,1.64102778827,1.64102778827,0.00672157675414
0.00245,1,1.653157578,1.653157578,0.00540821297732
0.00246,1,1.66264320545,1.66264320545,0.00407741446831
0.00247,1,1.66945516562,1.66945516562,0.002734545707
0.00248,1,1.67357471374,1.67357471374,0.00138500241011
0.00249,1,1.67499390606,1.67499390606,3.4189905344e-05
0.0025,1,1.6737155975,1.6737155975,-0.00131249846455
0.00251,1,1.66975339621,1.66975339621,-0.0026497028218
0.00252,1,1.66313157536,1.66313157536,-0.00397211803242
0.00253,1,1.65388494262,1.65388494262,-0.00527451469939
0.00254,1,1.64205866814,1.64205866814,-0.00655175978756
0.00255,1,1.62770807155,1.62770807155,-0.00779883679898
0.00256,1,1.61089836933,1.61089836933,-0.00901086541969
0.00257,1,1.59170438335,1.59170438335,-0.0101831205611
0.00258,1,1.57021021207,1.57021021207,-0.0113110507223
0.00259,1,1.54650886574,1.54650886574,-0.0123902956015
0.0026,1,1.52070186725,1.52070186725,-0.0134167028892
0.00261,1,1.49289882019,1.49289882019,-0.0143863441789
0.00262,1,1.46321694607,1.46321694607,-0.015295529934
