time_s,T5-PH_v_pu,T5-GW_v_pu,T1GRND_v_pu,T2GRND_v_pu,T3GRND_v_pu,T4GRND_v_pu,T5GRND_v_pu,T1-GW_v_pu,T2-GW_v_pu,T2GRNO_v_pu,T3-GW_v_pu,T3GRNO_v_pu,T4-GW_v_pu,T4GRNO_v_pu,T1-PH_v_pu,T2-PH_v_pu,T3-PH_v_pu,T4-PH_v_pu,output_fixed_1_pu,output_fixed_2_pu,output_fixed_3_pu,output_fixed_4_pu,output_fixed_5_pu,output_fixed_6_pu,output_fixed_7_pu,output_fixed_8_pu,output_fixed_9_pu,output_fixed_10_pu,switch_voltage_switch_fixed_1_pu
3.366e-06,0,0,-38.0260646659,0,0,0,0,-44.0733874623,-35.5002326295,-36.368292069,-44.6531030275,-44.7496974891,-2.22974830137,-1.32213138064,-13.0355368731,-10.4998643874,-13.2069987022,-0.659490179311,-44.0733874623,-13.0355368731,-35.5002326295,-10.4998643874,-44.6531030275,-13.2069987022,-2.22974830137,-0.659490179311,0,0,-31.0378505892
3.3762e-06,0,0,-38.2025139953,0,0,0,0,-43.5479319737,-35.3478176265,-36.065915889,-44.4093687864,-44.572153413,-2.38655381517,-1.63574240824,-12.8801234867,-10.4547847712,-13.1349096963,-0.70586837202,-43.5479319737,-12.8801234867,-35.3478176265,-10.4547847712,-44.4093687864,-13.1349096963,-2.38655381517,-0.70586837202,0,0,-30.667808487
3.3864e-06,0,0,-38.3789633247,0,0,0,0,-43.0192511889,-35.1954026236,-35.763539709,-44.1647470468,-44.3946093369,-2.54335932897,-1.94935343585,-12.723756158,-10.409705155,-13.062558196,-0.752246564729,-43.0192511889,-12.723756158,-35.1954026236,-10.409705155,-44.1647470468,-13.062558196,-2.54335932897,-0.752246564729,0,0,-30.2954950309
3.3966e-06,0,0,-38.5554126541,0,0,0,0,-42.4905408123,-35.0429876206,-35.461163529,-43.9201717875,-44.2170652607,-2.70016484277,-2.26296446345,-12.567380077,-10.3646255388,-12.9902204431,-0.798624757438,-42.4905408123,-12.567380077,-35.0429876206,-10.3646255388,-43.9201717875,-12.9902204431,-2.70016484277,-0.798624757438,0,0,-29.9231607354
3.4068e-06,0,0,-38.7318619835,0,0,0,0,-41.9618300653,-34.8905726177,-35.1587809809,-43.6755988162,-44.0395211846,-2.85697035658,-2.57657549105,-12.4110038864,-10.3195459226,-12.917883367,-0.845002950147,-41.9618300653,-12.4110038864,-34.8905726177,-10.3195459226,-43.6755988162,-12.917883367,-2.85697035658,-0.845002950147,0,0,-29.5508261789
3.417e-06,0,0,-38.9083113129,0,0,0,0,-41.4331193113,-34.7381576147,-34.8563956023,-43.4310258934,-43.8619771085,-3.01377587038,-2.89018651865,-12.2546276937,-10.2744663064,-12.8455463052,-0.891381142856,-41.4331193113,-12.2546276937,-34.7381576147,-10.2744663064,-43.4310258934,-12.8455463052,-3.01377587038,-0.891381142856,0,0,-29.1784916176
3.4272e-06,0,0,-39.0847606423,0,0,0,0,-40.9044085573,-34.640552732,-34.5540099937,-43.1864529713,-43.6844330324,-3.30419295148,-3.20379754625,-12.0982515011,-10.2455978186,-12.7732092435,-0.977277480471,-40.9044085573,-12.0982515011,-34.640552732,-10.2455978186,-43.1864529713,-12.7732092435,-3.30419295148,-0.977277480471,0,0,-28.8061570562
3.4374e-06,0,0,-39.2612099717,0,0,0,0,-40.3756978032,-34.6011777619,-34.251624377,-42.9418800492,-43.5068889562,-3.73655808635,-3.51740857385,-11.9418753084,-10.2339519274,-12.7008721819,-1.10515763634,-40.3756978032,-11.9418753084,-34.6011777619,-10.2339519274,-42.9418800492,-12.7008721819,-3.73655808635,-1.10515763634,0,0,-28.4338224948
3.4476e-06,0,0,-39.437659301,0,0,0,0,-39.8469870491,-34.5825783091,-33.9492387601,-42.697307127,-43.3293448801,-4.21956805517,-3.83101960145,-11.7854991157,-10.2284507879,-12.6285351203,-1.24801695851,-39.8469870491,-11.7854991157,-34.5825783091,-10.2284507879,-42.697307127,-12.6285351203,-4.21956805517,-1.24801695851,0,0,-28.0614879335
3.4578e-06,0,0,-39.4675115041,0,0,0,0,-39.3182762951,-34.5665223562,-33.6468531433,-42.4527342049,-43.0822393998,-4.70877835719,-4.14463062906,-11.629122923,-10.2237019366,-12.5561980587,-1.39271014635,-39.3182762951,-11.629122923,-34.5665223562,-10.2237019366,-42.4527342049,-12.5561980587,-4.70877835719,-1.39271014635,0,0,-27.6891533721
3.468e-06,0,0,-39.3865692998,0,0,0,0,-38.789565541,-34.5504858502,-33.3444675264,-42.2081612828,-42.7825611662,-5.19803606525,-4.45824165666,-11.4727467303,-10.218958837,-12.4838609971,-1.53741735541,-38.789565541,-11.4727467303,-34.5504858502,-10.218958837,-42.2081612828,-12.4838609971,-5.19803606525,-1.53741735541,0,0,-27.3168188107
3.4782e-06,0,0,-39.2819849265,0,0,0,0,-38.260854787,-34.5344493827,-33.0420819095,-41.9635883607,-42.471552162,-5.68729386693,-4.77185268426,-11.3163705377,-10.2142157488,-12.4115239355,-1.68212459217,-38.260854787,-11.3163705377,-34.5344493827,-10.2142157488,-41.9635883607,-12.4115239355,-5.68729386693,-1.68212459217,0,0,-26.9444842493
3.4884e-06,0,0,-39.1763815324,0,0,0,0,-37.7321440329,-34.5184129151,-32.7396962926,-41.7190154386,-42.1599747561,-6.17655166861,-5.08546371186,-11.159994345,-10.2094726606,-12.3391868738,-1.82683182893,-37.7321440329,-11.159994345,-34.5184129151,-10.2094726606,-41.7190154386,-12.3391868738,-6.17655166861,-1.82683182893,0,0,-26.5721496879
3.4986e-06,0,0,-39.0707669225,0,0,0,0,-37.2034332788,-34.5023764475,-32.4373106758,-41.4744425164,-41.8483738785,-6.6658094703,-5.39907473946,-11.0036181523,-10.2047295724,-12.2668498122,-1.97153906569,-37.2034332788,-11.0036181523,-34.5023764475,-10.2047295724,-41.4744425164,-12.2668498122,-6.6658094703,-1.97153906569,0,0,-26.1998151265
3.5088e-06,0,0,-38.9651522199,0,0,0,0,-36.6747225248,-34.4863371996,-32.1349250589,-41.2298695943,-41.5367721303,-7.15506727198,-5.71268576706,-10.8472419596,-10.1999856619,-12.1945127506,-2.11624630245,-36.6747225248,-10.8472419596,-34.4863371996,-10.1999856619,-41.2298695943,-12.1945127506,-7.15506727198,-2.11624630245,0,0,-25.8274805651
3.519e-06,0,0,-38.8595375159,0,0,0,0,-36.1460117707,-34.4702967046,-31.832539442,-40.9852966722,-41.2251703625,-7.64432507367,-6.02629679466,-10.6908657669,-10.1952413825,-12.122175689,-2.26095353921,-36.1460117707,-10.6908657669,-34.4702967046,-10.1952413825,-40.9852966722,-12.122175689,-7.64432507367,-2.26095353921,0,0,-25.4551460038
3.5292e-06,0,0,-38.7539228119,0,0,0,0,-35.6173010166,-34.4542561043,-31.7593947276,-40.7407237501,-40.9135685943,-8.13358287535,-6.48052667376,-10.5344895743,-10.1904970719,-12.0498386274,-2.40566077597,-35.6173010166,-10.5344895743,-34.4542561043,-10.1904970719,-40.7407237501,-12.0498386274,-8.13358287535,-2.40566077597,0,0,-25.0828114424
3.5394e-06,0,0,-38.6483081079,0,0,0,0,-35.0885902626,-34.4382155,-31.9307150622,-40.4961508279,-40.6019668262,-8.62284067703,-7.08471406067,-10.3781133816,-10.1857527602,-11.9775015658,-2.55036801273,-35.0885902626,-10.3781133816,-34.4382155,-10.1857527602,-40.4961508279,-11.9775015658,-8.62284067703,-2.55036801273,0,0,-24.710476881
3.5496e-06,0,0,-38.5426934039,0,0,0,0,-34.5598795085,-34.4221748957,-32.1899065602,-40.2515779058,-40.2903650581,-9.11209847872,-7.74280257065,-10.2217371889,-10.1810084485,-11.9051645041,-2.69507524949,-34.5598795085,-10.2217371889,-34.4221748957,-10.1810084485,-40.2515779058,-11.9051645041,-9.11209847872,-2.69507524949,0,0,-24.3381423196
