time_s,terminal_voltage_v,corona_charge_c,corona_loss_j,leader_length_m
3.06e-06,50603.6653057,5.06036653057e-05,0.00214256652462,0
3.08e-06,50267.4666196,5.02674666196e-05,0.00214765407377,0
3.1e-06,49933.5005917,4.99335005917e-05,0.00215267424645,0
3.12e-06,49601.7524328,4.96017524328e-05,0.00215762793477,0
3.14e-06,49272.20745,4.927220745e-05,0.00216251601905,0
3.16e-06,48944.8510463,4.89448510463e-05,0.00216733936792,0
3.18e-06,48619.6687198,4.86196687198e-05,0.00217209883855,0
3.2e-06,48296.6460633,4.82966460633e-05,0.00217679527675,0
3.22e-06,47975.7687636,4.79757687636e-05,0.00218142951716,0
3.24e-06,47657.0226013,4.76570226013e-05,0.00218600238336,0
3.26e-06,47340.3934497,4.73403934497e-05,0.00219051468801,0
3.28e-06,47025.8672748,4.70258672748e-05,0.00219496723306,0
3.3e-06,46713.4301345,4.67134301345e-05,0.0021993608098,0
3.32e-06,46403.0681779,4.64030681779e-05,0.00220369619909,0
3.34e-06,46094.7676452,4.60947676452e-05,0.00220797417144,0
3.36e-06,45788.5148665,4.57885148665e-05,0.00221219548713,0
3.38e-06,45484.2962619,4.54842962619e-05,0.00221636089643,0
3.4e-06,45182.0983407,4.51820983407e-05,0.00222047113965,0
3.42e-06,44881.9077006,4.48819077006e-05,0.0022245269473,0
3.44e-06,44583.7110276,4.45837110276e-05,0.00222852904023,0
3.46e-06,44287.4950951,4.42874950951e-05,0.00223247812974,0
3.48e-06,43993.2467636,4.39932467636e-05,0.00223637491772,0
3.5e-06,43700.95298,4.370095298e-05,0.00224022009677,0
3.52e-06,43410.6007773,4.34106007773e-05,0.00224401435032,0
3.54e-06,43122.1772736,4.31221772736e-05,0.00224775835276,0
3.56e-06,42835.6696722,4.28356696722e-05,0.00225145276953,0
3.58e-06,42551.0652603,4.25510652603e-05,0.00225509825728,0
3.6e-06,42268.3514094,4.22683514094e-05,0.00225869546396,0
3.62e-06,41987.5155738,4.19875155738e-05,0.00226224502896,0
3.64e-06,41708.5452909,4.17085452909e-05,0.00226574758317,0
3.66e-06,41431.42818,4.143142818e-05,0.00226920374916,0
3.68e-06,41156.1519424,4.11561519424e-05,0.00227261414125,0
3.7e-06,40882.7043605,4.08827043605e-05,0.00227597936561,0
3.72e-06,40611.0732972,4.06110732972e-05,0.0022793000204,0
3.74e-06,40341.2466956,4.03412466956e-05,0.00228257669585,0
3.76e-06,40073.2125787,4.00732125787e-05,0.00228580997441,0
3.78e-06,39806.9590482,3.98069590482e-05,0.00228900043076,0
3.8e-06,39542.4742847,3.95424742847e-05,0.00229214863202,0
3.82e-06,39279.746547,3.9279746547e-05,0.00229525513778,0
3.84e-06,39018.7641711,3.90187641711e-05,0.00229832050023,0
3.86e-06,38759.5155706,3.87595155706e-05,0.00230134526423,0
3.88e-06,38501.9892353,3.85019892353e-05,0.00230432996746,0
3.9e-06,38246.1737315,3.82461737315e-05,0.00230727514044,0
3.92e-06,37992.0577008,3.79920577008e-05,0.00231018130669,0
3.94e-06,37739.6298601,3.77396298601e-05,0.0023130489828,0
3.96e-06,37488.879001,3.7488879001e-05,0.00231587867851,0
3.98e-06,37239.7939891,3.72397939891e-05,0.00231867089682,0
4e-06,36992.363764,3.6992363764e-05,0.00232142613405,0
4.02e-06,36746.5773381,3.67465773381e-05,0.00232414487997,0
4.04e-06,36502.4237968,3.65024237968e-05,0.00232682761786,0
4.06e-06,36259.8922977,3.62598922977e-05,0.00232947482459,0
4.08e-06,36018.9720703,3.60189720703e-05,0.00233208697073,0
4.1e-06,35779.6524153,3.57796524153e-05,0.00233466452061,0
4.12e-06,35541.9227042,3.55419227042e-05,0.00233720793241,0
4.14e-06,35305.7723791,3.53057723791e-05,0.00233971765824,0
4.16e-06,35071.1909518,3.50711909518e-05,0.00234219414424,0
4.18e-06,34838.1680038,3.48381680038e-05,0.00234463783062,0
4.2e-06,34606.6931855,3.46066931855e-05,0.00234704915178,0
4.22e-06,34376.7562159,3.43767562159e-05,0.00234942853637,0
4.24e-06,34148.3468822,3.41483468822e-05,0.00235177640733,0
4.26e-06,33921.4550392,3.39214550392e-05,0.00235409318203,0
4.28e-06,33696.070609,3.3696070609e-05,0.00235637927232,0
4.3e-06,33472.1835804,3.34721835804e-05,0.00235863508457,0
4.32e-06,33249.7840087,3.32497840087e-05,0.00236086101978,0
4.34e-06,33028.862015,3.3028862015e-05,0.00236305747364,0
4.36e-06,32809.4077859,3.28094077859e-05,0.00236522483661,0
4.38e-06,32591.4115732,3.25914115732e-05,0.00236736349395,0
4.4e-06,32374.8636932,3.23748636932e-05,0.00236947382586,0
4.42e-06,32159.7545265,3.21597545265e-05,0.00237155620747,0
4.44e-06,31946.0745174,3.19460745174e-05,0.00237361100896,0
4.46e-06,31733.8141736,3.17338141736e-05,0.0023756385956,0
4.48e-06,31522.9640659,3.15229640659e-05,0.00237763932783,0
4.5e-06,31313.5148273,3.13135148273e-05,0.0023796135613,0
4.52e-06,31105.4571533,3.11054571533e-05,0.00238156164698,0
4.54e-06,30898.7818009,3.08987818009e-05,0.00238348393116,0
4.56e-06,30693.4795885,3.06934795885e-05,0.00238538075556,0
4.58e-06,30489.5413954,3.04895413954e-05,0.00238725245739,0
4.6e-06,30286.9581612,3.02869581612e-05,0.00238909936936,0
4.62e-06,30085.7208861,3.00857208861e-05,0.00239092181979,0
4.64e-06,29885.8206294,2.98858206294e-05,0.00239272013267,0
4.66e-06,29687.2485102,2.96872485102e-05,0.00239449462767,0
4.68e-06,29489.9957064,2.94899957064e-05,0.00239624562024,0
4.7e-06,29294.0534542,2.92940534542e-05,0.00239797342165,0
