time_s,pole_a_current_a,pole_b_current_a,pole_c_current_a,pole_a_gap_state,pole_b_gap_state,pole_c_gap_state
7.7e-05,29.8966330853,29.8966330853,29.8966330853,1,1,1
7.8e-05,19.9169599484,19.9169599484,19.9169599484,1,1,1
7.9e-05,9.94953178249,9.94953178249,9.94953178249,1,1,1
8e-05,-2.84217094304e-23,-2.84217094304e-23,-2.84217094304e-23,2,2,2
8.1e-05,-2.84217094304e-23,-2.84217094304e-23,-2.84217094304e-23,2,2,2
8.2e-05,-2.84217094304e-23,-2.84217094304e-23,-2.84217094304e-23,2,2,2
8.3e-05,-2.84217094304e-23,-2.84217094304e-23,-2.84217094304e-23,2,2,2
8.4e-05,-2.84217094304e-23,-2.84217094304e-23,-2.84217094304e-23,2,2,2
8.5e-05,-2.84217094304e-23,-2.84217094304e-23,-2.84217094304e-23,2,2,2
8.6e-05,-2.84217094304e-23,-2.84217094304e-23,-2.84217094304e-23,2,2,2
8.7e-05,-2.84217094304e-23,-2.84217094304e-23,-2.84217094304e-23,2,2,2
8.8e-05,-2.84217094304e-23,-2.84217094304e-23,-2.84217094304e-23,2,2,2
8.9e-05,-2.84217094304e-23,-2.84217094304e-23,-2.84217094304e-23,2,2,2
9e-05,-2.84217094304e-23,-2.84217094304e-23,-2.84217094304e-23,2,2,2
9.1e-05,241.328540011,241.328540011,241.328540011,3,3,3
9.2e-05,439.130926633,439.130926633,439.130926633,3,3,3
9.3e-05,601.200717218,601.200717218,601.200717218,3,3,3
9.4e-05,733.927095447,733.927095447,733.927095447,3,3,3
9.5e-05,842.596610325,842.596610325,842.596610325,3,3,3
9.6e-05,931.562481362,931.562481362,931.562481362,3,3,3
9.7e-05,1004.396309,1004.396309,1004.396309,3,3,3
9.8e-05,1064.02375817,1064.02375817,1064.02375817,3,3,3
9.9e-05,1112.84005242,1112.84005242,1112.84005242,3,3,3
0.0001,1152.80585807,1152.80585807,1152.80585807,3,3,3
0.000101,1185.52611061,1185.52611061,1185.52611061,3,3,3
0.000102,1212.31459595,1212.31459595,1212.31459595,3,3,3
0.000103,1234.24680553,1234.24680553,1234.24680553,3,3,3
0.000104,1252.20318524,1252.20318524,1252.20318524,3,3,3
0.000105,1266.90452541,1266.90452541,1266.90452541,3,3,3
0.000106,1278.94092279,1278.94092279,1278.94092279,3,3,3
0.000107,1288.79548504,1288.79548504,1288.79548504,3,3,3
0.000108,1296.86373265,1296.86373265,1296.86373265,3,3,3
0.000109,1303.46948127,1303.46948127,1303.46948127,3,3,3
0.00011,1308.87784295,1308.87784295,1308.87784295,3,3,3
0.000111,1313.30586945,1313.30586945,1313.30586945,3,3,3
0.000112,1316.93126546,1316.93126546,1316.93126546,3,3,3
0.000113,1319.89952195,1319.89952195,1319.89952195,3,3,3
0.000114,1322.3297561,1322.3297561,1322.3297561,3,3,3
0.000115,1324.31949241,1324.31949241,1324.31949241,3,3,3
0.000116,1325.94857706,1325.94857706,1325.94857706,3,3,3
0.000117,1327.28238253,1327.28238253,1327.28238253,3,3,3
0.000118,1328.37443143,1328.37443143,1328.37443143,3,3,3
0.000119,1329.26854447,1329.26854447,1329.26854447,3,3,3
0.00012,1330.00059923,1330.00059923,1330.00059923,3,3,3
