sample_index,margin_v,failed
335,369958.758768,0
336,229887.968962,0
337,245930.796004,0
338,241165.34062,0
339,195730.79891,0
340,152124.535393,0
341,18968.3412844,0
342,312048.54885,0
343,389955.955802,0
344,123703.355627,0
345,208882.355281,0
346,395908.757846,0
347,2195.13719785,0
348,168113.060969,0
349,108031.40064,0
350,199206.707157,0
351,123930.599097,0
352,341540.876687,0
353,370227.239357,0
354,20538.8453915,0
355,234179.17458,0
356,170991.910306,0
357,236591.467692,0
358,232305.733903,0
359,187770.149052,0
360,251354.501046,0
361,235662.228781,0
362,16202.0618484,0
363,288957.602255,0
364,336553.019354,0
365,75682.7663881,0
366,47807.5628981,0
367,102753.506316,0
368,96873.4998986,0
369,93986.3556502,0
370,198031.103778,0
371,229594.486675,0
372,366981.134685,0
373,5657.43400989,0
374,94185.6733745,0
375,342701.628704,0
376,140557.63354,0
377,469225.839913,0
378,220916.92265,0
379,107393.633816,0
380,92205.8936297,0
381,106217.464361,0
382,96281.2376156,0
383,288026.902198,0
384,44418.1234698,0
385,122527.350946,0
386,176024.898255,0
387,312709.129066,0
388,209596.596548,0
389,275670.646687,0
390,298115.789127,0
391,372729.475999,0
392,308797.345512,0
393,226390.465553,0
394,296818.665652,0
395,41140.1324612,0
396,229054.01455,0
397,153849.731959,0
398,181526.133154,0
399,221133.691049,0
400,171374.334373,0
401,283224.488983,0
402,179070.605139,0
403,253160.531132,0
404,199284.470287,0
405,33523.4867469,0
406,329005.941686,0
407,305602.274913,0
408,298099.020489,0
409,182726.936315,0
410,227674.746473,0
411,284270.429268,0
412,232713.361799,0
413,203182.438746,0
414,262451.175213,0
415,31268.6676356,0
416,233545.668444,0
417,281114.01845,0
418,289468.349927,0
419,395349.584069,0
420,157828.668635,0
421,201369.265015,0
422,145908.881929,0
423,259921.18803,0
424,-27339.4866693,1
425,265355.47405,0
426,187892.390939,0
427,158228.43355,0
428,154356.053364,0
429,220863.714559,0
430,139229.862784,0
431,137418.726357,0
432,138292.047176,0
433,227572.107723,0
434,253616.109225,0
435,358923.080654,0
436,218123.646789,0
437,89388.2212702,0
438,181122.016457,0
439,90617.7949956,0
440,170290.812484,0
441,256637.732825,0
442,96790.7850932,0
443,11630.3133324,0
444,248798.723522,0
445,187409.50072,0
446,60773.2214126,0
447,116275.217772,0
448,130574.327916,0
449,170220.167963,0
450,7734.40333302,0
451,249535.237052,0
452,251288.642374,0
453,45425.2716029,0
454,166098.232811,0
455,128195.082652,0
456,298231.388522,0
457,38282.6758338,0
458,152025.837821,0
459,211528.913879,0
460,280046.305653,0
461,-34686.0682832,1
462,195580.920921,0
463,391199.51685,0
464,271995.818412,0
465,251571.202304,0
466,351261.383054,0
467,372643.769181,0
468,310602.592667,0
469,150306.676025,0
470,203927.318511,0
471,242327.968606,0
472,219324.877718,0
473,135513.947665,0
474,205166.601686,0
475,349012.353971,0
476,100295.890547,0
