time_s,lightning_current_a,tower_top_voltage_v,ground_potential_rise_v,insulator_stress_v,flashover_state
2.1e-05,20858.5635987,377845.287898,377826.380157,0.0188888519752,1
2.15e-05,20651.0174232,374131.351724,374112.629484,0.0187035370039,1
2.2e-05,20445.5363666,370452.059717,370433.521254,0.0185199436704,1
2.25e-05,20242.0998806,366806.497579,366788.141214,0.0183380264942,1
2.3e-05,20040.6876216,363193.979926,363175.804017,0.0181577514318,1
2.35e-05,19841.2794479,359614.003207,359596.006135,0.0179790935248,1
2.4e-05,19643.8554188,356066.204468,356048.384631,0.0178020348389,1
2.45e-05,19448.3957916,352550.326106,352532.681917,0.0176265627027,1
2.5e-05,19254.8810201,349066.186407,349048.716286,0.0174526682355,1
2.55e-05,19063.2917529,345613.65546,345596.357835,0.0172803451428,1
2.6e-05,18873.6088306,342192.635901,342175.509203,0.0171095887545,1
2.65e-05,18685.813285,338803.047866,338786.09053,0.0169403952721,1
2.7e-05,18499.8863363,335444.817565,335428.028031,0.0167727611979,1
2.75e-05,18315.8093916,332117.868902,332101.245612,0.0166066829162,1
2.8e-05,18133.5640432,328822.117542,328805.658943,0.0164421563961,1
2.85e-05,17953.1320662,325557.467011,325541.171555,0.0162791769969,1
2.9e-05,17774.4954174,322323.806354,322307.672497,0.0161177393507,1
2.95e-05,17597.636233,319121.008984,319105.035189,0.015957837305,1
3e-05,17422.5368269,315948.932473,315933.11721,0.0157994639122,1
3.05e-05,17249.1796889,312807.418954,312791.7607,0.0156426114496,1
3.1e-05,17077.5474833,309696.296003,309680.793244,0.0154872714635,1
3.15e-05,16907.6230467,306615.377781,306600.029013,0.0153334348264,1
3.2e-05,16739.3893865,303564.466372,303549.2701,0.0151810918034,1
3.25e-05,16572.8296792,300543.353158,300528.307895,0.0150302321217,1
3.3e-05,16407.9272686,297551.820217,297536.924492,0.0148808450401,1
3.35e-05,16244.6656644,294589.641674,294574.894021,0.0147329194165,1
3.4e-05,16083.0285404,291656.584953,291641.983923,0.014586443771,1
3.45e-05,15922.9997326,288752.411956,288737.956108,0.0144414063438,1
3.5e-05,15764.5632381,285876.88012,285862.568027,0.0142977951495,1
3.55e-05,15607.703213,283029.743354,283015.573601,0.0141555980231,1
3.6e-05,15452.4039712,280210.752881,280196.724064,0.0140148026625,1
3.65e-05,15298.6499827,277419.657971,277405.768699,0.0138753966647,1
3.7e-05,15146.425872,274656.206568,274642.455463,0.0137373675579,1
3.75e-05,14995.7164164,271920.14584,271906.531536,0.0136007028285,1
3.8e-05,14846.506545,269211.222637,269197.743781,0.0134653899444,1
3.85e-05,14698.7813367,266529.183894,266515.839146,0.013331416375,1
