time_s,source_current_a,terminal_voltage_v,arrester_current_a,absorbed_energy_j
0.000176,939.661653199,2488.32868472,939.65916487,4774.55937756
0.0001765,930.31186353,2476.89658277,930.309386633,4775.71478849
0.000177,921.055105823,2483.53520683,921.052622287,4776.85740236
0.0001775,911.890454394,2472.01855528,911.887982375,4777.98760052
0.000178,902.81699277,2478.75023791,902.81451402,4779.10527601
0.0001785,893.833813598,2467.14952829,893.831346448,4780.21080827
0.000179,884.940018552,2473.97372029,884.937544578,4781.30408631
0.0001795,876.134718245,2462.28950145,876.132255956,4782.38548768
0.00018,867.41703214,2469.20559538,867.414562935,4783.45489744
0.0001805,858.786088462,2457.43847497,858.783631023,4784.51269131
0.000181,850.241024108,2464.44580366,850.238559662,4785.5587505
0.0001815,841.780984565,2452.59644967,841.778531968,4786.59344892
0.000182,833.405123821,2459.69428467,833.402664127,4787.61666399
0.0001825,825.112604285,2447.76342691,825.110156522,4788.62876789
0.000183,816.902596697,2454.950977,816.900141746,4789.62963434
0.0001835,808.774280049,2442.93940863,808.77183711,4790.61963378
0.000184,800.726841503,2450.21581835,800.724391287,4791.59863634
0.0001845,792.759476309,2438.1243973,792.757038184,4792.56701075
0.000185,784.871387722,2445.48874543,784.868942234,4793.52462363
0.0001855,777.061786929,2433.31839592,777.059353611,4794.47184205
0.000186,769.329892962,2440.76969407,769.327452192,4795.40852918
0.0001865,761.674932625,2428.52140801,761.672504104,4796.33505045
0.000187,754.096140417,2436.05859915,754.093704358,4797.2512657
0.0001875,746.59275845,2423.73343759,746.590334717,4798.15753873
0.000188,739.164036382,2431.35539465,739.161605027,4799.05372611
0.0001885,731.809231333,2418.95448917,731.806812379,4799.94019006
0.000189,724.527607818,2426.66001362,724.525181158,4800.81678396
0.0001895,717.318437667,2414.18456769,717.316023482,4801.68386846
0.00019,710.180999957,2421.97238822,710.178577985,4802.54129385
0.0001905,703.114580939,2409.42367854,703.112171516,4803.38941921
0.000191,696.118473966,2417.29244973,696.116056673,4804.22809182
0.0001915,689.191979419,2404.67182754,689.189574748,4805.05766923
0.000192,682.334404645,2412.62012856,682.331992025,4805.87799579
0.0001925,675.54506388,2399.92902083,675.542663951,4806.68942753
0.000193,668.823278185,2407.95535423,668.82087023,4807.49180594
0.0001935,662.168375375,2395.19526497,662.165980179,4808.28548555
0.000194,655.579689954,2403.29805545,655.577286656,4809.07030509
0.0001945,649.056563048,2390.47056677,649.054172577,4809.84661756
0.000195,642.598342339,2398.6481601,642.595943691,4810.61425906
0.0001955,636.204382001,2385.75493336,636.201996246,4811.37358106
0.000196,629.87404263,2394.00559523,629.871648625,4812.12441707
0.0001965,623.606691189,2381.04837209,623.604310141,4812.86711707
0.000197,617.401700936,2389.37028714,617.399311566,4813.60151208
0.0001975,611.258451369,2376.35089053,611.256075018,4814.32795058
0.000198,605.176328155,2384.74216136,605.173943413,4815.04626116
0.0001985,599.154723079,2371.66249636,599.152351417,4815.75679082
0.000199,593.193033974,2380.12114271,593.190653853,4816.45936582
0.0001995,587.290664668,2366.98319741,587.288297684,4817.15433165
0.0002,581.447024917,2375.50715528,581.444649409,4817.84151235
