time_s,source_voltage_v,load_voltage_v,series_current_a,control_output_a,cubic_power_w
0.00031,0.644792439626,0.509866695971,0.0257584288186,0.0902376727812,0.0131333649952
0.00032,0.640925423595,0.517363407538,0.0261451304217,0.0902376727812,0.0135265337655
0.00033,1.89437099825,0.581315409143,0.0294586555049,0.21889575533,0.0171247703776
0.00034,1.83618373618,0.692276768228,0.0352773817115,0.21889575533,0.0244217118028
0.00035,1.78634941326,0.785807073056,0.0402608140033,0.21889575533,0.0316372324108
0.00036,1.74360623073,0.864829376862,0.0445351322572,0.21889575533,0.0385152906785
0.00037,1.70689563302,0.931765929975,0.0482061920281,0.21889575533,0.0449168873456
0.00038,1.6753279132,0.988610511465,0.0513629640098,0.21889575533,0.0507779661201
0.00039,1.64815335943,1.03700184369,0.0540804193865,0.21889575533,0.0560814946115
0.0004,1.62473844823,1.07828885623,0.0564219105064,0.21889575533,0.0608391173462
0.00041,1.60454633603,1.11358537548,0.0584411217266,0.21889575533,0.0650791784814
0.00042,1.58712089551,1.14381466025,0.0601836657787,0.21889575533,0.0688389593082
0.00043,2.6008882456,1.21170310789,0.0641432595843,0.324232084144,0.0777225869886
0.00044,2.54207678228,1.31046805615,0.0700244059164,0.324232084144,0.091764747104
0.00045,2.4911169532,1.39404292679,0.075120388824,0.324232084144,0.104721046698
0.00046,2.44687866378,1.46509190021,0.0795442177661,0.324232084144,0.116539589158
0.00047,2.40841396897,1.5257431299,0.0833906872476,0.324232084144,0.127232768166
0.00048,2.37492333907,1.57770810709,0.0867397502378,0.324232084144,0.136850007157
0.00049,2.34572902501,1.62237383102,0.0896591816433,0.324232084144,0.145460710009
0.0005,2.32025391918,1.66087313225,0.0922066922263,0.324232084144,0.153143617732
0.00051,2.29800465452,1.69413823315,0.0944316186924,0.324232084144,0.159980215645
0.00052,2.27855798189,1.7229416889,0.0963762859551,0.324232084144,0.166050720893
0.00053,3.10375296646,1.77738158492,0.100098879315,0.410474175961,0.177913904766
0.00054,3.05092215091,1.85309923006,0.10538196087,0.410474175961,0.195283230551
0.00055,3.00458335977,1.91805903346,0.110015839984,0.410474175961,0.211016875704
0.00056,2.9638791237,1.97402980009,0.114086263591,0.410474175961,0.225209684109
0.00057,2.92807940003,2.02243477761,0.117666235958,0.410474175961,0.237972287752
0.00058,2.89655930124,2.06443100847,0.120818245837,0.410474175961,0.249420933095
0.00059,2.86878147205,2.10096804796,0.123596028756,0.410474175961,0.259671307271
0.0006,2.84428198394,2.13283187087,0.126045977568,0.410474175961,0.268834878151
0.00061,2.82265892303,2.16067807741,0.128208283658,0.410474175961,0.277016827843
0.00062,2.80356306533,2.1850572969,0.130117869428,0.410474175961,0.28431500005
0.00063,3.47615040746,2.22735663412,0.133468187995,0.481083228741,0.297281253975
0.00064,3.42988177825,2.28480390532,0.138095050916,0.481083228741,0.315520111638
0.00065,3.38891518979,2.33475600285,0.142191709763,0.481083228741,0.331982947924
0.00066,3.35260516686,2.37833459296,0.145822712056,0.481083228741,0.346815200521
0.00067,3.32039343121,2.41646138396,0.14904388562,0.481083228741,0.360158794116
0.00068,3.29179515016,2.44990075662,0.151903713725,0.481083228741,0.372149023189
0.00069,3.26638779896,2.47929181914,0.154444448846,0.481083228741,0.382912858536
0.0007,3.24380204286,2.50517283207,0.156703024456,0.481083228741,0.39256815957
