time_s,node_BUSA2_voltage,node_BUSAS2_voltage,node_BUSB2_voltage,node_BUSBS2_voltage,node_BUSC2_voltage,node_BUSCS2_voltage,node_BUSFD_voltage,node_BUSMG_voltage,node_BUSMGR_voltage,node_BUSMS_voltage,node_UM1TLA_voltage,node_UM1TLB_voltage,node_UM1TLC_voltage,node_UM1MCC_voltage,output_fixed_1,output_fixed_2,output_fixed_3,output_fixed_4,branch_current_branch_fixed_1,branch_current_branch_fixed_8,branch_current_branch_fixed_10,branch_current_branch_fixed_11,torque_Nm,mechanical_speed_rad_s,synchronous_torque_angle_rad,phase_a_current_A,phase_b_current_A,phase_c_current_A,field_current_A,q_axis_damper_current_A
0.0546,-414.542396524,-487.911495585,2432.26987907,2807.44102752,-2017.72748255,-2319.52953193,-7.39442563691,188.551200997,94.2756004987,188.551408226,-405.736836342,2387.24896312,-1981.51212678,188.551200997,-487.911495585,-414.542396524,-7.39442563691,188.551200997,-105.691231835,207.290238563,133.884278506,207.229066461,-133.945450237,188.495559215,-3.19744231092e-14,-105.691231835,31.5115167304,74.179715105,-219.030903275,-7.01961050963
0.0548,-608.423680768,-709.496991071,2494.04310649,2879.12178702,-1885.61942572,-2169.62479595,-10.7526114624,188.551469703,94.2757348515,188.551676932,-596.293636172,2447.83337792,-1851.53974174,188.551469703,-709.496991071,-608.423680768,-10.7526114624,188.551469703,-103.946598104,207.290533974,129.447351158,207.229066433,-129.508818306,188.495559215,-2.84217094304e-14,-103.946598104,23.9089630202,80.0376350837,-218.330867331,-6.7642633951
0.055,-798.438522405,-927.050983125,2541.12929991,2934.4428022,-1742.69077751,-2007.39181908,-14.0496988046,188.551729469,94.2758647343,188.551936698,-783.003807325,2493.93148614,-1710.92767881,188.551729469,-927.050983125,-798.438522405,-14.0496988046,188.551729469,-101.649534798,207.290819557,125.122944146,207.229066433,-125.184696904,188.495559215,-3.19744231092e-14,-101.649534798,16.125001158,85.5245336395,-217.577722004,-6.51596589174
0.0552,-983.452981443,-1139.33728657,2573.28092372,2973.08972802,-1589.82794228,-1833.75244146,-17.2669529555,188.55198055,94.2759902752,188.55218778,-964.745679175,2525.30376888,-1560.5580897,188.55198055,-1139.33728657,-983.452981443,-17.2669529555,188.55198055,-98.8043666852,207.291095592,120.937237501,207.229066461,-120.999266279,188.495559215,-3.5527136788e-14,-98.8043666852,8.19375377328,90.6106129119,-216.772835969,-6.27619392055
0.0554,-1162.36950184,-1345.14964827,2590.34618038,2994.84296494,-1427.97667854,-1649.69331667,-20.3860928354,188.552223257,94.2761116287,188.552430486,-1140.43473926,2541.80656443,-1401.37182516,188.552223257,-1345.14964827,-1162.36950184,-20.3860928354,188.552223257,-95.4175279478,207.29136242,116.915538013,207.229066461,-116.977833631,188.495559215,-3.90798504668e-14,-95.4175279478,0.150689540139,95.2668384077,-215.917877948,-6.04637823103
0.0556,-1334.13429133,-1543.31860134,2592.26939444,2999.57890673,-1258.13510311,-1456.26030539,-23.3893948692,188.552457949,94.2762289744,188.552665178,-1309.03107616,2543.39234857,-1234.36127242,188.552457949,-1543.31860134,-1334.13429133,-23.3893948692,188.552457949,-91.4976964681,207.291620436,113.082116514,207.229066518,-113.144670214,188.495559215,-3.5527136788e-14,-91.4976964681,-7.96736561172,99.4650620799,-215.014806927,-5.82789613584
0.0558,-1497.74425815,-1732.71811027,2579.09058632,2987.27064282,-1081.34632817,-1254.55253255,-26.2597936957,188.552685033,94.2763425164,188.552892262,-1469.54635122,2530.10917301,-1060.56282179,188.552685033,-1732.71811027,-1497.74425815,-26.2597936957,188.552685033,-87.0559362932,207.291870089,109.460053891,207.229066461,-109.522857185,188.495559215,-3.90798504668e-14,-87.0559362932,-16.1222372099,103.178173503,-214.06586075,-5.62206353448
0.056,-1652.25344746,-1912.27196925,2550.94431069,2957.98811121,-898.69086323,-1045.71614197,-28.9809791361,188.552904962,94.2764524812,188.553112192,-1621.05023958,2502.09934592,-881.049106345,188.552904962,-1912.27196925,-1652.25344746,-28.9809791361,188.552904962,-82.1058433924,207.292111876,106.071096212,207.229066461,-106.134141278,188.495559215,-3.5527136788e-14,-82.1058433924,-24.2744353834,106.380278776,-213.07354314,-5.43012726343
0.0562,-1796.77891476,-2080.95991744,2508.05772762,2911.8977011,-711.278812861,-830.937783665,-31.537488872,188.553118235,94.2765591173,188.553325464,-1762.67627447,2459.5973194,-696.921044927,188.553118235,-2080.95991744,-1796.77891476,-31.537488872,188.553118235,-76.6636893782,207.292346344,102.93552205,207.229066461,-102.998801578,188.495559215,-3.90798504668e-14,-76.6636893782,-32.3832164658,109.046905844,-212.040609219,-5.25325782644
0.0564,-1930.50600361,-2237.82343627,2450.74800263,2849.2613074,-520.241999017,-611.437871124,-33.9147963051,188.553325385,94.2766626925,188.553532614,-1893.62706271,2402.92689093,-509.299828227,188.553325385,-2237.82343627,-1930.50600361,-33.9147963051,188.553325385,-70.7485576125,207.292574082,100.072020918,207.229066461,-100.135528189,188.495559215,-4.26325641456e-14,-70.7485576125,-40.4066764585,111.155234071,-210.970049623,-5.09254253854
