time_s,node_BUSA2_voltage,node_BUSAS2_voltage,node_BUSB2_voltage,node_BUSBS2_voltage,node_BUSC2_voltage,node_BUSCS2_voltage,node_BUSMG_voltage,node_BUSMGR_voltage,node_BUSMS_voltage,node_UM1TLA_voltage,node_UM1TLB_voltage,node_UM1TLC_voltage,node_UM1MCC_voltage,output_fixed_1,output_fixed_2,output_fixed_3,branch_current_branch_fixed_1,branch_current_branch_fixed_7,branch_current_branch_fixed_9,branch_current_branch_fixed_10,torque_Nm,mechanical_speed_rad_s,mechanical_angle_rad,phase_a_current_A,phase_b_current_A,phase_c_current_A,shorted_rotor_axis_current_1_A,shorted_rotor_axis_current_2_A
0.0046,193.872941318,-487.911495585,247.623621508,2807.44102752,-441.496562826,-2319.52953193,0.489969897828,0.244984948914,0.489920438934,275.695225859,-59.5566674308,-216.138558428,0.489969897828,-487.911495585,193.872941318,0.489969897828,-679.342696188,0.538665235079,-0.100636004412,-49.4588938362,-0.397067097551,184.725648031,1.63513614434,-679.342696188,183.351443599,495.991252589,-0.53780014539,-3.64800891232
0.0048,163.344654205,-709.496991072,274.555240847,2879.12178702,-437.899895052,-2169.62479595,0.489969765465,0.244984882732,0.489920306571,268.09361718,-37.994325181,-230.099291999,0.489969765465,-709.496991072,163.344654205,0.489969765465,-663.795092229,0.538665089561,-0.0290797519265,-49.4588938361,-0.397636522957,184.725648031,1.67208127395,-663.795092229,131.707289019,532.08780321,-0.543580633551,-3.65259942979
0.005,131.888321311,-927.050983125,299.926230801,2934.4428022,-431.814552112,-2007.39181908,0.489969778001,0.244984889001,0.489920319108,258.968771555,-16.216709562,-242.752061993,0.489969778001,-927.050983125,131.888321311,0.489969778001,-644.475974461,0.538665103344,0.0413656613673,-49.4588938361,-0.398197109855,184.725648031,1.70902640355,-644.475974461,79.3162468194,565.159727641,-0.548969257868,-3.65715027013
0.0052,99.6826829581,-1139.33728657,323.592432303,2973.08972802,-423.275115261,-1833.75244146,0.489969932767,0.244984966383,0.489920473873,248.372537242,5.65243910436,-254.024976347,0.489969932767,-1139.33728657,99.6826829581,0.489969932767,-621.49511575,0.53866527349,0.110304465692,-49.458893836,-0.398745708782,184.725648031,1.74597153316,-621.49511575,26.4760023559,595.019113394,-0.553972189358,-3.66163229271
0.0054,66.9107371902,-1345.14964827,345.419373227,2994.84296494,-412.330110417,-1649.69331667,0.4899702263,0.24498511315,0.489920767407,236.365123243,27.4888603793,-263.853983622,0.4899702263,-1345.14964827,66.9107371902,0.4899702263,-594.983095722,0.538665596197,0.177358413348,-49.4588938359,-0.399279309711,184.725648031,1.78291666277,-594.983095722,-26.5132064813,621.496302203,-0.558597684345,-3.66601733995
0.0056,33.7586999362,-1543.31860135,365.283032481,2999.57890673,-399.041732417,-1456.26030539,0.489970654388,0.244985327194,0.489921195494,223.014757177,49.1684797743,-272.183236951,0.489970654388,-1543.31860135,33.7586999362,0.489970654388,-565.090558781,0.53866606683,0.242167766322,-49.4588938359,-0.399795049899,184.725648031,1.81986179237,-565.090558781,-79.3502952774,644.440854058,-0.562855987978,-3.67027831184
0.0058,0.414946890304,-1732.71811027,383.070544715,2987.27064282,-383.485491605,-1254.55253255,0.489971212103,0.244985606051,0.489921753209,208.397297598,70.568113763,-278.96541136,0.489971212103,-1732.71811027,0.414946890304,0.489971212103,-531.987358118,0.538666679972,0.304392424645,-49.4588938358,-0.400290222876,184.725648031,1.85680692198,-531.987358118,-131.735043916,663.722402034,-0.566759234259,-3.67438925227
0.006,-32.9310568783,-1912.27196925,398.680841641,2957.98811121,-365.749784763,-1045.71614196,0.489971893843,0.244985946922,0.489922434949,192.595802945,91.5661697304,-284.161972675,0.489971893843,-1912.27196925,-32.9310568783,0.489971893843,-495.861590574,0.538667429467,0.363713115628,-49.4588938358,-0.4007622879,184.725648031,1.89375205158,-495.861590574,-183.369802487,679.231393062,-0.570321341501,-3.67832544131
0.0062,-66.0898335051,-2080.95991744,412.025226324,2911.8977011,-345.935392819,-830.937783665,0.48997269338,0.24498634669,0.489923234486,175.700059589,112.043336885,-287.743396474,0.48997269338,-2080.95991744,-66.0898335051,0.48997269338,-456.918527831,0.538668308465,0.419832578569,-49.4588938358,-0.401208879391,184.725648031,1.93069718119,-456.918527831,-233.9611826,690.879710431,-0.573557902585,-3.68206348894
0.0064,-98.8729689818,-2237.82343627,423.027877168,2849.2613074,-324.154908186,-611.437871123,0.489973603899,0.24498680195,0.489924145005,157.806071646,131.883264202,-289.689335848,0.489973603899,-2237.82343627,-98.8729689818,0.489973603899,-415.379450021,0.538669309476,0.472476702416,-49.4588938357,-0.401627815983,184.725648031,1.9676423108,-415.379450021,-283.221724467,698.601174488,-0.576486069795,-3.68558142686
