time_s,node_BUSA2_voltage,node_BUSAS2_voltage,node_BUSB2_voltage,node_BUSBS2_voltage,node_BUSC2_voltage,node_BUSCS2_voltage,node_BUSMG_voltage,node_BUSMGR_voltage,node_BUSMS_voltage,node_UM1TLA_voltage,node_UM1TLB_voltage,node_UM1TLC_voltage,node_UM1MCC_voltage,output_fixed_1,output_fixed_2,output_fixed_3,branch_current_branch_fixed_1,branch_current_branch_fixed_7,branch_current_branch_fixed_9,branch_current_branch_fixed_10,torque_Nm,mechanical_speed_rad_s,mechanical_angle_rad,phase_a_current_A,phase_b_current_A,phase_c_current_A,shorted_rotor_axis_current_1_A,shorted_rotor_axis_current_2_A
0.002,1801.49276636,2186.90588226,-304.754732987,685.052610332,-1496.73803338,-2871.9584926,184.725637324,92.3628186621,184.721672254,1755.24753789,-423.534850138,-1331.71268775,184.725637324,2186.90588226,1801.49276636,184.725637324,-362.119451921,203.084473751,-1.14352890849,-3965.07077079,-4167.01171525,184.725648031,1.15484945946,-362.119451921,269.662780074,92.4566718468,175.18227522,-334.787906156
0.0022,1744.49664283,2025.99842436,-160.535552267,903.116073588,-1583.96109056,-2929.11449795,184.72563485,92.362817425,184.721669779,1710.7208545,-288.176736902,-1422.5441176,184.72563485,2025.99842436,1744.49664283,184.72563485,-368.787869988,203.084471031,-1.28128418326,-3965.07077073,-4166.87395727,184.725648031,1.19179458907,-368.787869988,249.127671592,119.660198396,174.674067036,-335.039115328
0.0024,1677.65965046,1853.57883927,-15.2343449872,1116.04785116,-1662.42530548,-2969.62669043,184.725632094,92.3628160472,184.721667024,1656.55382814,-150.990934659,-1505.56289348,184.725632094,1853.57883927,1677.65965046,184.725632094,-373.361337542,203.084468002,-1.41912522912,-3965.07077073,-4166.73611318,184.725648031,1.22873971867,-373.361337542,227.177857066,146.183480476,174.164659357,-335.289976507
0.0026,1601.23484562,1670.62684946,129.971158398,1322.63802222,-1731.20600401,-2993.26487168,184.725629057,92.3628145283,184.721663986,1592.91231492,-13.1513125158,-1579.7610024,184.725629057,1670.62684946,1601.23484562,184.725629057,-375.813700293,203.084464662,-1.55797356367,-3965.07077073,-4166.59726153,184.725648031,1.26568484828,-375.813700293,203.937935351,171.875764943,173.653914681,-335.540463771
0.0028,1515.75078204,1478.18202464,274.630627202,1521.71270019,-1790.38140924,-2999.89472484,184.725625737,92.3628128685,184.721660666,1520.2635465,124.978623962,-1645.24217046,184.725625737,1478.18202464,1515.75078204,184.725625737,-376.131180813,203.084461012,-1.69529989362,-3965.0707707,-4166.45993153,184.725648031,1.30262997788,-376.131180813,179.540062505,196.591118308,173.142048431,-335.790720562
0.003,1421.63175089,1277.3378747,417.526396018,1712.14070305,-1839.15814691,-2989.47857775,184.725622138,92.3628110688,184.721657067,1438.95150778,262.170829701,-1701.12233748,184.725622138,1277.3378747,1421.63175089,184.725622138,-374.311804034,203.084457055,-1.83202907443,-3965.0707707,-4166.32319841,184.725648031,1.33957510749,-374.311804034,154.122765042,220.189038993,172.628930008,-336.040716738
0.0032,1319.44086682,1069.23563614,558.261378401,1892.83998091,-1877.70224522,-2962.07561705,184.725618262,92.3628091312,184.721653192,1349.4699389,398.110412134,-1747.58035103,184.725618262,1069.23563614,1319.44086682,184.725618262,-370.366068288,203.084452795,-1.96568664908,-3965.07077073,-4166.18953654,184.725648031,1.3765202371,-370.366068288,127.830553993,242.535514295,172.114783502,-336.290586205
0.0034,1209.76373404,855.05778741,695.603732329,2062.7837644,-1905.36746637,-2917.84155181,184.725614117,92.3628070583,184.721649046,1252.33281943,531.540918727,-1783.87373816,184.725614117,855.05778741,1209.76373404,184.725614117,-364.316221832,203.084448237,-2.09721744061,-3965.07077073,-4166.05800119,184.725648031,1.4134653667,-364.316221832,100.812739004,263.503482828,171.5994841,-336.540293605
0.0036,1093.18538207,636.021329766,829.220597063,2221.00639907,-1922.40597913,-2857.02772884,184.725609707,92.3628048535,184.721644636,1148.04934271,662.205422147,-1810.25476486,184.725609707,636.021329766,1093.18538207,184.725609707,-356.19680133,203.084443389,-2.22421884537,-3965.0707707,-4165.93099493,184.725648031,1.45041049631,-356.19680133,73.2229066272,282.973894703,171.083263313,-336.789962374
0.0038,970.439460276,413.370872054,957.891860881,2366.60883234,-1928.33132116,-2779.97970439,184.725605042,92.3628025209,184.721639971,1037.29184351,788.845281693,-1826.1371252,184.725605042,413.370872054,970.439460276,184.725605042,-346.053772674,203.084438261,-2.34767079353,-3965.07077076,-4165.80753784,184.725648031,1.48735562592,-346.053772674,45.2177604519,300.836012222,170.566000871,-337.03955113
0.004,842.119454102,188.371558588,1081.35856763,2498.76372213,-1923.47802173,-2687.13528072,184.725600131,92.3628000653,184.72163506,920.573208903,911.26974561,-1831.84295451,184.725600131,188.371558588,842.119454102,184.725600131,-333.944927838,203.084432861,-2.46525791287,-3965.0707707,-4165.68994536,184.725648031,1.52430075552,-333.944927838,16.956477018,316.98845082,170.047934354,-337.289172107
0.0042,709.090744794,-37.6981196503,1198.43784021,2616.720138,-1907.528585,-2579.02201835,184.725594984,92.3627974922,184.721629914,798.709247794,1028.24410128,-1826.95334907,184.725594984,-37.6981196503,709.090744794,184.725594984,-319.938906354,203.084427204,-2.57800877094,-3965.0707707,-4165.57718882,184.725648031,1.56124588513,-319.938906354,-11.400403061,331.339309415,169.52894671,-337.5387773
0.0044,571.941310478,-263.553589652,1308.95274552,2719.80782807,-1880.894056,-2456.25423842,184.725589615,92.3627948077,184.721624545,672.20434788,1139.65061192,-1811.8549598,184.725589615,-263.553589652,571.941310478,184.725589615,-304.115444654,203.084421301,-2.68370872736,-3965.0707707,-4165.471483,184.725648031,1.59819101473,-304.115444654,-39.6917257723,343.807170427,169.009280162,-337.788467212
0.0046,431.649269824,-487.911495585,1411.78220328,2807.44102752,-1843.4314731,-2319.52953193,184.725584037,92.3627920183,184.721618966,542.000000445,1244.30395745,-1786.3039579,184.725584037,-487.911495585,431.649269824,184.725584037,-286.564297319,203.084415168,-2.78344658017,-3965.07077068,-4165.37173894,184.725648031,1.63513614434,-286.564297319,-67.7567573916,354.321054711,168.48881949,-338.038186825
0.0048,288.782951914,-709.496991071,1506.837637,2879.12178702,-1795.62058892,-2169.62479595,184.725578263,92.3627891313,184.721613192,408.579753697,1342.16468423,-1750.74443793,184.725578263,-709.496991071,288.782951914,184.725578263,-267.385336286,203.08440882,-2.87511983514,-3965.0707707,-4165.28005933,184.725648031,1.67208127395,-267.385336286,-95.4360239413,362.821360227,167.967810093,-338.2880246
0.005,144.411956678,-927.050983125,1593.08286677,2934.4428022,-1737.49482344,-2007.39181908,184.725572308,92.3627861542,184.721607238,272.990469703,1432.12114538,-1705.11161508,184.725572308,-927.050983125,144.411956678,184.725572308,-246.687393385,203.084402274,-2.95988708735,-3965.07077068,-4165.19528554,184.725648031,1.70902640355,-246.687393385,-122.572246788,369.259640173,167.446137179,-338.537918333
0.0052,-0.929020780608,-1139.33728657,1670.52203601,2973.08972802,-1669.59301523,-1833.75244146,184.72556619,92.3627830952,184.72160112,135.682666172,1514.2157011,-1649.89836728,184.72556619,-1139.33728657,-0.929020780608,184.72556619,-224.588210053,203.084395548,-3.03576683998,-3965.0707707,-4165.11939905,184.725648031,1.74597153316,-224.588210053,-149.011251479,373.599461532,166.924047848,-338.787944347
0.0054,-146.101951649,-1345.14964827,1738.22502783,2994.84296494,-1592.12307618,-1649.69331667,184.725559925,92.3627799627,184.721594855,-2.21381349605,1587.43297061,-1585.21915711,184.725559925,-1345.14964827,-146.101951649,184.725559925,-201.213224628,203.08438866,-3.10399451852,-3965.07077065,-4165.0511645,184.725648031,1.78291666277,-201.213224628,-174.602784156,375.816008784,166.40142633,-339.038033287
0.0056,-290.619266041,-1543.31860134,1796.2909573,2999.57890673,-1505.67169125,-1456.26030539,184.725553531,92.3627767654,184.72158846,-140.29322546,1651.89879378,-1511.60556832,184.725553531,-1543.31860134,-290.619266041,184.725553531,-176.6953764,203.08438163,-3.16271653771,-3965.07077065,-4164.9924355,184.725648031,1.81986179237,-176.6953764,-199.201469217,375.896845617,165.878519974,-339.288249455
0.0058,-433.298853616,-1732.71811027,1843.91455421,2987.27064282,-1410.61570059,-1254.55253255,184.725547025,92.3627735123,184.721581954,-277.366728731,1706.71449558,-1429.34776685,184.725547025,-1732.71811027,-433.298853616,184.725547025,-151.173862611,203.084374477,-3.21324950457,-3965.07077068,-4164.94189537,184.725648031,1.85680692198,-151.173862611,-222.667487729,373.84135034,165.355210675,-339.538516592
0.006,-573.712936708,-1912.27196925,1881.28995223,2957.98811121,-1307.57701552,-1045.71614197,184.725540426,92.3627702128,184.721575355,-413.084355278,1752.08911156,-1339.00475629,184.725540426,-1912.27196925,-573.712936708,184.725540426,-124.793803752,203.084367222,-3.25387191772,-3965.07077065,-4164.90126563,184.725648031,1.89375205158,-124.793803752,-244.867562669,369.661366421,164.831744626,-339.788887297
0.0062,-710.66043979,-2080.95991744,1907.75274803,2911.8977011,-1197.09230824,-830.937783665,184.725533752,92.3627668761,184.721568681,-546.223330012,1787.25854176,-1241.03521175,184.725533752,-2080.95991744,-710.66043979,184.725533752,-97.7049961511,203.084359886,-3.28598403931,-3965.07077065,-4164.86914625,184.725648031,1.93069718119,-97.7049961511,-265.675483247,363.380479398,164.308000092,-340.039278846
0.0064,-843.784903941,-2237.82343627,1923.58989372,2849.2613074,-1079.80498978,-611.437871123,184.725527024,92.3627635118,184.721561953,-676.499439323,1812.51274375,-1136.01330443,184.725527024,-2237.82343627,-843.784903941,184.725527024,-70.0614482849,203.084352489,-3.30799791217,-3965.07077065,-4164.84712495,184.725648031,1.9676423108,-70.0614482849,-284.973096266,355.034544551,163.784220792,-340.289732645
0.0066,-971.891634495,-2381.97119594,1928.29078643,2770.43484257,-956.399151931,-388.463646629,184.725520259,92.3627601295,184.721555188,-802.681582879,1827.2371315,-1024.55554862,184.725520259,-2381.97119594,-971.891634495,184.725520259,-42.0201552655,203.084345052,-3.32139667869,-3965.07077065,-4164.83371877,184.725648031,2.0045874404,-42.0201552655,-302.65066334,344.670818606,163.260280158,-340.540160131
0.0068,-1094.70558307,-2512.58412013,1922.23075982,2675.86621433,-827.52517675,-163.282094205,184.725513477,92.3627567386,184.721548406,-924.559993737,1831.79832857,-907.238334836,184.725513477,-2512.58412013,-1094.70558307,184.725513477,-13.7405185198,203.084337596,-3.32472544909,-3965.07077062,-4164.83038247,184.725648031,2.04153257001,-13.7405185198,-318.607837189,332.348355708,162.736418224,-340.790592201
0.007,-1211.06347072,-2628.92004013,1905.06260347,2566.09278048,-693.999132748,62.8272596502,184.725506697,92.3627533487,184.721541627,-1040.9208578,1825.74297528,-784.82211748,184.725506697,-2628.92004013,-1211.06347072,184.725506697,14.6168316686,203.084330142,-3.31954756379,-3965.07077065,-4164.83555298,184.725648031,2.07847769962,14.6168316686,-332.753842142,318.137010474,162.212502506,-341.040935236
0.0072,-1320.78005169,-2730.31791205,1877.24342236,2441.73829557,-556.463370674,288.579616484,184.725499938,92.3627499691,184.721534867,-1151.63602314,1809.50817768,-657.872154546,184.725499938,-2730.31791205,-1320.78005169,184.725499938,42.8907184587,203.084322711,-3.30453780293,-3965.07077062,-4164.85055528,184.725648031,2.11542282922,42.8907184587,-345.008414882,302.117696423,161.688768267,-341.291210464
0.0074,-1422.74765558,-2816.20157296,1838.59546706,2303.50936659,-415.84781148,512.69220637,184.725493218,92.3627466089,184.721528147,-1255.53403654,1782.81006274,-527.276026197,184.725493218,-2816.20157296,-1422.74765558,184.725493218,70.920522425,203.084315323,-3.28133428097,-3965.07077065,-4164.87375138,184.725648031,2.15236795883,70.920522425,-355.301802299,284.381279874,161.165076165,-341.541320144
0.0076,-1516.87730255,-2886.08301476,1789.64894605,2152.19143789,-272.771643501,733.891576869,184.725486554,92.3627432772,184.721521484,-1352.57379964,1746.14820993,-393.57441029,184.725486554,-2886.08301476,-1516.87730255,184.725486554,98.5469492534,203.084307997,-3.24873641133,-3965.0707707,-4164.90634193,184.725648031,2.18931308843,98.5469492534,-363.575647335,265.028698082,160.641655757,-341.791276803
0.0078,-1602.13977213,-2939.56515715,1730.39801077,1988.64432812,-128.258238641,950.920829032,184.725479966,92.3627399828,184.721514895,-1441.65023328,1699.41289008,-257.762656799,184.725479966,-2939.56515715,-1602.13977213,184.725479966,125.613036066,203.084300754,-3.20844984055,-3965.07077062,-4164.94662128,184.725648031,2.22625821804,125.613036066,-369.782802069,244.169766003,160.118360055,-342.040979625
0.008,-1678.54669766,-2976.34410394,1661.43541392,1813.79734459,17.1112837447,1162.54675936,184.725473468,92.3627367339,184.721508397,-1522.81283249,1643.1564689,-120.343636407,184.725473468,-2976.34410394,-1678.54669766,184.725473468,151.964986401,203.08429361,-3.15939068794,-3965.07077062,-4164.99567325,184.725648031,2.26320334765,151.964986401,-373.888140878,221.923154477,159.595412137,-342.290433518
0.0082,-1745.16832141,-2996.21086982,1582.92599231,1628.64400273,162.242329097,1367.56686709,184.725467077,92.3627335386,184.721502006,-1595.04534504,1577.44434148,17.6010035556,184.725467077,-2996.21086982,-1745.16832141,184.725467077,177.45305653,203.084286584,-3.1033231616,-3965.07077059,-4165.05173379,184.725648031,2.30014847725,177.45305653,-375.868190533,198.415134003,159.072656756,-342.539535735
0.0084,-1802.11898066,-2999.05256785,1495.51280524,1434.23638076,306.606175418,1564.81618709,184.725460809,92.3627304046,184.721495738,-1658.48937339,1502.87048472,155.618888665,184.725460809,-2999.05256785,-1802.11898066,184.725460809,201.9324385,203.084279694,-3.03927084804,-3965.07077062,-4165.11577919,184.725648031,2.33709360686,201.9324385,-375.711854812,173.779416312,158.550309913,-342.788284721
0.0086,-1848.58712981,-2984.85305094,1399.52655579,1231.67914159,449.060574026,1753.17390936,184.725454678,92.3627273392,184.721489608,-1712.23792245,1419.67272653,292.565195916,184.725454678,-2984.85305094,-1848.58712981,184.725454678,225.264006387,203.084272953,-2.96904534101,-3965.07077065,-4165.18599791,184.725648031,2.37403873646,225.264006387,-373.419867293,148.155860907,158.028207666,-343.036577007
0.0088,-1884.78955464,-2953.69300359,1295.64694983,1022.12325583,589.142604817,1931.56974776,184.725448698,92.362724349,184.721483627,-1756.52410855,1328.47422117,428.049887382,184.725448698,-2953.69300359,-1884.78955464,184.725448698,247.315227508,203.084266379,-2.8917671144,-3965.07077062,-4165.26326959,184.725648031,2.41098386607,247.315227508,-369.005413786,121.690186278,157.506558526,-343.284405794
0.009,-1910.04902447,-2905.74948339,1184.36226274,806.759461846,725.686761727,2098.99002154,184.725442881,92.3627214403,184.72147781,-1790.56818492,1229.67894877,560.889236157,184.725442881,-2905.74948339,-1910.04902447,184.725442881,267.960751311,203.084259983,-2.80928277969,-3965.07077062,-4165.34574751,184.725648031,2.44792899568,267.960751311,-362.493417339,94.5326660275,156.985189604,-343.531668137
0.0092,-1924.68213561,-2841.29491498,1066.37405783,586.811499666,858.30807778,2254.48341532,184.725437238,92.3627186188,184.721472167,-1814.69204709,1123.92581187,690.766235223,184.725437238,-2841.29491498,-1924.68213561,184.725437238,287.08332865,203.084253779,-2.72079733014,-3965.07077062,-4165.43422677,184.725648031,2.48487412528,287.08332865,-353.921047333,66.8377186836,156.464301695,-343.77835323
0.0094,-1928.15910454,-2760.6955421,942.316616338,363.529157489,985.842488206,2397.16638461,184.725431779,92.3627158897,184.721466709,-1828.25838693,1011.77523144,816.483155486,184.725431779,-2760.6955421,-1928.15910454,184.725431779,304.574229162,203.084247779,-2.62817922235,-3965.07077059,-4165.52683888,184.725648031,2.52181925489,304.574229162,-343.336849905,38.7626207438,155.943712898,-344.024359916
0.0096,-1920.89133667,-2664.40934644,812.897764898,138.181170122,1107.99357177,2526.22817632,184.725426515,92.3627132576,184.721461444,-1831.67301951,893.867725885,937.805293626,184.725426515,-2664.40934644,-1920.89133667,184.725426515,320.334148726,203.084241991,-2.53070476651,-3965.07077065,-4165.62430753,184.725648031,2.5587643845,320.334148726,-330.801135231,10.4669865047,155.42361625,-344.269674618
0.0098,-1902.50639942,-2552.98344538,678.883222878,-87.9519902168,1223.62317654,2640.9354356,184.725421453,92.3627107265,184.721456382,-1824.45316519,770.907245069,1053.54592012,184.725421453,-2552.98344538,-1902.50639942,184.725421453,334.273444676,203.084236426,-2.43025016785,-3965.07077062,-4165.7247566,184.725648031,2.5957095141,334.273444676,-316.384969966,-17.8884747098,154.903820961,-344.51419921
0.01,-1873.50321655,-2427.05098312,540.971029257,-313.585389803,1332.5321873,2740.63637293,184.7254166,92.3627082998,184.721451529,-1807.08164032,643.52140159,1163.56023873,184.7254166,-2427.05098312,-1873.50321655,184.7254166,346.313012215,203.08423109,-2.32614931464,-3965.07077056,-4165.82885206,184.725648031,2.63265464371,346.313012215,-300.170437089,-46.1425751256,154.384512447,-344.757918554
