time_s,node_BUSC2_voltage,node_BUSCS2_voltage,node_BUSFD_voltage,node_BUSMG_voltage,node_BUSMGR_voltage,node_BUSMS_voltage,node_UM1TLA_voltage,node_UM1TLB_voltage,node_UM1MCC_voltage,output_fixed_1,output_fixed_2,output_fixed_3,output_fixed_4,branch_current_branch_fixed_4,branch_current_branch_fixed_6,branch_current_branch_fixed_7,torque_Nm,mechanical_speed_rad_s,mechanical_angle_rad,power_zero_axis_current_A,orthogonal_dummy_current_A,armature_current_A,separate_field_current_A
0.0002,20.0000000196,21,0.999999999991,46.6400933,23.32004665,46.6401445711,20.0000000196,0.999090909082,46.6400933,21,20.0000000196,0.999999999991,46.6400933,51.2753884125,0,51.2711010074,-0.00428727274943,46.6400933,0.402027100359,0,0,-0.0100000000517,-9.09090909094
0.00022,19.9999999695,21,0.999999999991,46.6400933,23.32004665,46.6401445711,19.9999999695,1.0009090909,46.6400933,21,19.9999999695,0.999999999991,46.6400933,51.2753884125,0,51.2711010074,-0.00428727274735,46.6400933,0.402959902225,0,0,-0.0100000000468,-9.09090909091
0.00024,20.0000000203,21,0.999999999991,46.6400933,23.32004665,46.6401445711,20.0000000203,0.999090909082,46.6400933,21,20.0000000203,0.999999999991,46.6400933,51.2753884125,0,51.2711010074,-0.00428727274539,46.6400933,0.403892704091,0,0,-0.0100000000423,-9.09090909091
0.00026,19.9999999701,21,0.999999999991,46.6400933,23.32004665,46.6401445711,19.9999999701,1.0009090909,46.6400933,21,19.9999999701,0.999999999991,46.6400933,51.2753884125,0,51.2711010074,-0.00428727274355,46.6400933,0.404825505957,0,0,-0.010000000038,-9.09090909094
0.00028,20.0000000209,21,0.999999999991,46.6400933,23.32004665,46.6401445711,20.0000000209,0.999090909082,46.6400933,21,20.0000000209,0.999999999991,46.6400933,51.2753884125,0,51.2711010074,-0.00428727274181,46.6400933,0.405758307823,0,0,-0.0100000000339,-9.09090909091
0.0003,19.9999999707,21,0.999999999991,46.6400933,23.32004665,46.6401445711,19.9999999707,1.0009090909,46.6400933,21,19.9999999707,0.999999999991,46.6400933,51.2753884125,0,51.2711010074,-0.00428727274017,46.6400933,0.406691109689,0,0,-0.0100000000301,-9.09090909094
0.00032,20.0000000214,21,0.999999999991,46.6400933,23.32004665,46.6401445711,20.0000000214,0.999090909082,46.6400933,21,20.0000000214,0.999999999991,46.6400933,51.2753884125,0,51.2711010074,-0.00428727273863,46.6400933,0.407623911555,0,0,-0.0100000000265,-9.09090909094
0.00034,19.9999999711,21,0.999999999991,46.6400933,23.32004665,46.6401445711,19.9999999711,1.0009090909,46.6400933,21,19.9999999711,0.999999999991,46.6400933,51.2753884125,0,51.2711010074,-0.00428727273718,46.6400933,0.408556713421,0,0,-0.0100000000231,-9.09090909091
0.00036,20.0000000219,21,0.999999999991,46.6400933,23.32004665,46.6401445711,20.0000000219,0.999090909082,46.6400933,21,20.0000000219,0.999999999991,46.6400933,51.2753884125,0,51.2711010074,-0.00428727273581,46.6400933,0.409489515287,0,0,-0.0100000000199,-9.09090909091
0.00038,19.9999999716,21,0.999999999991,46.6400933,23.32004665,46.6401445711,19.9999999716,1.0009090909,46.6400933,21,19.9999999716,0.999999999991,46.6400933,51.2753884125,0,51.2711010074,-0.00428727273452,46.6400933,0.410422317153,0,0,-0.0100000000169,-9.09090909088
