time_s,node_BUSC2_voltage,node_BUSCS2_voltage,node_BUSD2_voltage,node_BUSDS2_voltage,node_BUSMG_voltage,node_BUSMGR_voltage,node_BUSHG_voltage,node_BUSHR_voltage,node_BUSMS_voltage,node_BUSHS_voltage,output_fixed_1,output_fixed_2,output_fixed_3,output_fixed_4,output_fixed_5,output_fixed_6,branch_current_branch_fixed_5,branch_current_branch_fixed_7,branch_current_branch_fixed_8,branch_current_branch_fixed_10,branch_current_branch_fixed_11,branch_current_branch_fixed_12
0.00052,10,10,12,12,9.94575464451e-13,4.97287732225e-13,1.19664992046e-12,5.98324960231e-13,9.99999994575e-13,1.19999999665e-12,10,10,9.94575464451e-13,12,12,1.19664992046e-12,1.09342069531e-12,5.42343670419e-09,1.16860343795e-12,3.3489075849e-09,5.42453012489e-09,3.35007618834e-09
0.00054,10,10,12,12,9.95579804572e-13,4.97789902286e-13,1.19734041687e-12,5.98670208436e-13,9.9999999558e-13,1.19999999734e-12,10,10,9.95579804572e-13,12,12,1.19734041687e-12,1.09452485111e-12,4.41909648321e-09,1.16927775085e-12,2.65841119016e-09,4.42019100806e-09,2.65958046791e-09
0.00056,10,10,12,12,9.96398155765e-13,4.98199077882e-13,1.19788854289e-12,5.98944271446e-13,9.99999996398e-13,1.19999999789e-12,10,10,9.96398155765e-13,12,12,1.19788854289e-12,1.0954245336e-12,3.60074520881e-09,1.16981303017e-12,2.11028518309e-09,3.60184063335e-09,2.11145499612e-09
0.00058,10,10,12,12,9.97064960427e-13,4.98532480213e-13,1.19832365324e-12,5.9916182662e-13,9.99999997065e-13,1.19999999832e-12,10,10,9.97064960427e-13,12,12,1.19832365324e-12,1.09615760821e-12,2.93394048038e-09,1.17023794262e-12,1.67517484521e-09,2.93503663799e-09,1.67634508315e-09
0.0006,10,10,12,12,9.97608282733e-13,4.98804141367e-13,1.19866905012e-12,5.99334525058e-13,9.99999997608e-13,1.19999999867e-12,10,10,9.97608282733e-13,12,12,1.19866905012e-12,1.09675492825e-12,2.3906181202e-09,1.17057524425e-12,1.32977797717e-09,2.39171487513e-09,1.33094855241e-09
0.00062,10,10,12,12,9.98050989788e-13,4.99025494894e-13,1.19894323114e-12,5.99471615572e-13,9.99999998051e-13,1.19999999894e-12,10,10,9.98050989788e-13,12,12,1.19894323114e-12,1.09724163345e-12,1.94791102098e-09,1.17084299916e-12,1.05559695671e-09,1.94900826261e-09,1.05676779971e-09
0.00064,10,10,12,12,9.98411714048e-13,4.99205857024e-13,1.19916088e-12,5.99580440001e-13,9.99999998412e-13,1.19999999916e-12,10,10,9.98411714048e-13,12,12,1.19916088e-12,1.09763820806e-12,1.58718672531e-09,1.17105554688e-12,8.37948104232e-10,1.58828436351e-09,8.39119159779e-10
0.00066,10,10,12,12,9.98705637513e-13,4.99352818757e-13,1.19933365281e-12,5.99666826403e-13,9.99999998706e-13,1.19999999933e-12,10,10,9.98705637513e-13,12,12,1.19933365281e-12,1.09796134291e-12,1.29326323115e-09,1.17122427032e-12,6.65175302868e-10,1.29436119249e-09,6.66346527138e-10
0.00068,10,10,12,12,9.98945130702e-13,4.99472565351e-13,1.19947080235e-12,5.99735401177e-13,9.99999998945e-13,1.19999999947e-12,10,10,9.98945130702e-13,12,12,1.19947080235e-12,1.09822463797e-12,1.0537700186e-09,1.17135820542e-12,5.28025758768e-10,1.05486824324e-09,5.29197116973e-10
0.0007,10,10,12,12,9.99140273296e-13,4.99570136648e-13,1.19957967364e-12,5.99789836822e-13,9.9999999914e-13,1.19999999958e-12,10,10,9.99140273296e-13,12,12,1.19957967364e-12,1.09843917469e-12,8.58627404962e-10,1.17146452504e-12,4.19154470588e-10,8.59725844137e-10,4.20325935113e-10
