time_s,node_BUSC2_voltage,node_BUSCS2_voltage,node_BUSMG_voltage,node_BUSMGR_voltage,node_BUSMS_voltage,output_fixed_1,output_fixed_2,output_fixed_3,branch_current_branch_fixed_3,branch_current_branch_fixed_5,branch_current_branch_fixed_6,torque_Nm,mechanical_speed_rad_s,mechanical_angle_rad,power_zero_axis_current_A,orthogonal_dummy_current_A,armature_current_A,shunt_field_current_A,inactive_series_field_current_A
0.00078,9.57273948645,10,1.21474167957e-12,6.07370839783e-13,1.00000021474e-12,10,9.57273948645,1.21474167957e-12,1.33546798545e-12,4.85065393075e-10,-2.14741464824e-07,-2.15227865686e-07,0,0,0,0,-0.00427260513554,-0.00213924234467,-0
0.0008,9.57273948645,10,1.21483150649e-12,6.07415753245e-13,1.00000021483e-12,10,9.57273948645,1.21483150649e-12,1.33556673976e-12,3.95238460329e-10,-2.14831291658e-07,-2.15227865686e-07,0,0,0,0,-0.00427260513554,-0.00213924234467,-0
0.00082,9.57273948645,10,1.2149046988e-12,6.07452349398e-13,1.0000002149e-12,10,9.57273948645,1.2149046988e-12,1.33564720624e-12,3.22046146259e-10,-2.14904483892e-07,-2.15227865686e-07,0,0,0,0,-0.00427260513554,-0.00213924234467,-0
0.00084,9.57273948645,10,1.21496433697e-12,6.07482168486e-13,1.00000021496e-12,10,9.57273948645,1.21496433697e-12,1.33571277152e-12,2.6240796565e-10,-2.14964122007e-07,-2.15227865686e-07,0,0,0,0,-0.00427260513554,-0.00213924234467,-0
0.00086,9.57273948645,10,1.21501293104e-12,6.07506465519e-13,1.00000021501e-12,10,9.57273948645,1.21501293104e-12,1.33576619507e-12,2.13813893555e-10,-2.15012716026e-07,-2.15227865686e-07,0,0,0,0,-0.00427260513554,-0.00213924234467,-0
0.00088,9.57273948645,10,1.2150525262e-12,6.07526263102e-13,1.00000021505e-12,10,9.57273948645,1.2150525262e-12,1.33580972538e-12,1.74218724511e-10,-2.15052311151e-07,-2.15227865686e-07,0,0,0,0,-0.00427260513554,-0.00213924234467,-0
0.0009,9.57273948645,10,1.21508478893e-12,6.07542394465e-13,1.00000021508e-12,10,9.57273948645,1.21508478893e-12,1.33584519451e-12,1.41955994841e-10,-2.15084573846e-07,-2.15227865686e-07,0,0,0,0,-0.00427260513554,-0.00213924234467,-0
0.00092,9.57273948645,10,1.21511107708e-12,6.07555538539e-13,1.00000021511e-12,10,9.57273948645,1.21511107708e-12,1.33587409529e-12,1.15667845277e-10,-2.15110861966e-07,-2.15227865686e-07,0,0,0,0,-0.00427260513554,-0.00213924234467,-0
0.00094,9.57273948645,10,1.21513249705e-12,6.07566248524e-13,1.00000021513e-12,10,9.57273948645,1.21513249705e-12,1.33589764407e-12,9.42478719952e-11,-2.15132281916e-07,-2.15227865686e-07,0,0,0,0,-0.00427260513554,-0.00213924234467,-0
0.00096,9.57273948645,10,1.21514995036e-12,6.07574975179e-13,1.00000021515e-12,10,9.57273948645,1.21514995036e-12,1.33591683197e-12,7.67945607939e-11,-2.15149735208e-07,-2.15227865686e-07,0,0,0,0,-0.00427260513554,-0.00213924234467,-0
0.00098,9.57273948645,10,1.21516417157e-12,6.07582085786e-13,1.00000021516e-12,10,9.57273948645,1.21516417157e-12,1.33593246655e-12,6.257334455e-11,-2.15163956409e-07,-2.15227865686e-07,0,0,0,0,-0.00427260513554,-0.00213924234467,-0
