time_s,phase_a_input_v,phase_b_input_v,phase_c_input_v,phase_a_held_v
0.00353,87.7691812083,-81.7157151156,-6.0534660927,83.34
0.00354,87.9059839986,-81.545136687,-6.3608473116,83.34
0.00355,88.0419191922,-81.3737534407,-6.66816575149,84.14
0.00356,88.1769854477,-81.2015670684,-6.97541837929,84.14
0.00357,88.3111814319,-81.0285792694,-7.28260216252,84.14
0.00358,88.4445058204,-80.854791751,-7.58971406941,84.14
0.00359,88.5769572974,-80.6802062285,-7.89675106889,84.14
0.0036,88.7085345555,-80.5048244249,-8.20371013062,84.92
0.00361,88.8392362962,-80.3286480712,-8.51058822504,84.92
0.00362,88.9690612295,-80.1516789061,-8.8173823234,84.92
0.00363,89.0980080741,-79.9739186764,-9.12408939775,84.92
0.00364,89.2260755574,-79.7953691363,-9.43070642102,84.92
0.00365,89.3532624152,-79.6160320482,-9.73723036702,85.68
0.00366,89.4795673925,-79.435909182,-10.0436582105,85.68
0.00367,89.6049892426,-79.2550023154,-10.3499869271,85.68
0.00368,89.7295267275,-79.073313234,-10.6562134935,85.68
0.00369,89.8531786183,-78.8908437309,-10.9623348875,85.68
0.0037,89.9759436945,-78.707595607,-11.2683480875,86.4
0.00371,90.0978207445,-78.5235706709,-11.5742500736,86.4
0.00372,90.2188085653,-78.3387707388,-11.8800378264,86.4
0.00373,90.3389059629,-78.1531976348,-12.1857083281,86.4
0.00374,90.458111752,-77.9668531902,-12.4912585618,86.4
0.00375,90.576424756,-77.7797392442,-12.7966855118,87.12
0.00376,90.6938438073,-77.5918576437,-13.1019861636,87.12
0.00377,90.810367747,-77.4032102428,-13.4071575042,87.12
0.00378,90.925995425,-77.2137989035,-13.7121965215,87.12
0.00379,91.0407257001,-77.0236254951,-14.017100205,87.12
0.0038,91.15455744,-76.8326918947,-14.3218655453,87.8
0.00381,91.2674895213,-76.6409999866,-14.6264895347,87.8
0.00382,91.3795208292,-76.4485516628,-14.9309691664,87.8
0.00383,91.4906502582,-76.2553488226,-15.2353014356,87.8
0.00384,91.6008767114,-76.061393373,-15.5394833384,87.8
0.00385,91.710199101,-75.8666872281,-15.8435118729,88.48
0.00386,91.8186163479,-75.6712323096,-16.1473840383,88.48
0.00387,91.9261273821,-75.4750305466,-16.4510968355,88.48
0.00388,92.0327311425,-75.2780838755,-16.754647267,88.48
0.00389,92.1384265771,-75.0803942402,-17.0580323369,88.48
0.0039,92.2432126426,-74.8819635916,-17.3612490509,89.12
0.00391,92.3470883048,-74.6827938883,-17.6642944164,89.12
