time_s,terminal_voltage_v,drive,terminal,stored_recovery_charge_c,displacement_current_a,junction_temperature_k,cumulative_dissipated_energy_j
6.3e-05,-10.1781506593,-2,0.0356301318711,0,0.0356403100218,300.00789873,0.00158046983752
6.4e-05,-10.0853531556,-2,0.0170706311227,0,0.0170807164759,300.007898649,0.00158046993924
6.5e-05,-10.0408906492,-2,0.0081781298361,0,0.00818817072675,300.007898568,0.00158047004006
6.6e-05,-10.0195786871,-2,0.00391573742836,0,0.00392575700705,300.007898488,0.00158047014045
6.7e-05,-10.0093614059,-2,0.00187228117343,0,0.00188229053484,300.007898407,0.00158047024064
6.8e-05,-10.0044626388,-2,0.000892527755381,0,0.00090253221802,300.007898326,0.00158047034073
6.9e-05,-10.0021137785,-2,0.000422755694844,0,0.000432757808623,300.007898245,0.00158047044077
7e-05,-10.0009875213,-2,0.000197505145467,0,0.000207506132988,300.007898164,0.00158047054079
7.1e-05,-10.0004474887,-2,8.94979490149e-05,0,9.94983965036e-05,300.007898083,0.0015804706408
7.2e-05,-10.0001885451,-2,3.77090668944e-05,0,4.77092554395e-05,300.007898003,0.0015804707408
7.3e-05,-10.0000643822,-2,1.28764510674e-05,0,2.28765154496e-05,300.007897922,0.0015804708408
7.4e-05,-10.0000048463,-2,9.69257730846e-07,0,1.09692625771e-05,300.007897841,0.0015804709408
7.5e-05,-9.99997629887,-2,-4.74022575301e-06,0,5.25975054585e-06,300.00789776,0.0015804710408
7.6e-05,-9.99996261041,-2,-7.47791699976e-06,0,2.52204561065e-06,300.007897678,0.0015804711408
7.7e-05,-9.99995604681,-2,-8.79063736121e-06,0,1.2093186856e-06,300.007897597,0.0015804712408
7.8e-05,-9.99995289957,-2,-9.42008561821e-06,0,5.79867281358e-07,300.007897516,0.0015804713408
7.9e-05,-9.99995139047,-2,-9.72190551268e-06,0,2.78045877795e-07,300.007897435,0.0015804714408
8e-05,-9.99995066686,-2,-9.86662790458e-06,0,1.33322762281e-07,300.007897354,0.0015804715408
