time_s,source_value,observed_value,transducer_value,held_value
0.00475,83.1044328866,8.29365024335,8.14669284611,8.09651256408
0.00476,83.1245565081,8.29566675898,8.15126943536,8.09651256408
0.00477,83.1438597238,8.29760139973,8.15576557514,8.09651256408
0.00478,83.1623423431,8.29945414651,8.16018122106,8.09651256408
0.00479,83.1800041837,8.30122498102,8.16451632953,8.09651256408
0.0048,83.1968450712,8.30291388579,8.16877085777,8.1226047667
0.00481,83.2128648395,8.30452084415,8.17294476376,8.1226047667
0.00482,83.2280633304,8.30604584025,8.17703800631,8.1226047667
0.00483,83.2424403939,8.30748885903,8.18105054502,8.1226047667
0.00484,83.2559958881,8.30884988624,8.18498234028,8.1226047667
0.00485,83.2687296793,8.31012890846,8.18883335326,8.14669284611
0.00486,83.2806416417,8.31132591307,8.19260354597,8.14669284611
0.00487,83.2917316578,8.31244088824,8.19629288118,8.14669284611
0.00488,83.3019996181,8.31347382298,8.19990132248,8.14669284611
0.00489,83.3114454213,8.31442470708,8.20342883424,8.14669284611
0.0049,83.3200689742,8.31529353118,8.20687538164,8.16877085777
0.00491,83.3278701917,8.31608028668,8.21024093067,8.16877085777
0.00492,83.3348489967,8.31678496582,8.2135254481,8.16877085777
0.00493,83.3410053204,8.31740756166,8.2167289015,8.16877085777
0.00494,83.346339102,8.31794806804,8.21985125927,8.16877085777
0.00495,83.3508502889,8.31840647963,8.22289249057,8.18883335326
0.00496,83.3545388366,8.31878279191,8.22585256538,8.18883335326
0.00497,83.3574047086,8.31907700116,8.2287314545,8.18883335326
0.00498,83.3594478766,8.31928910448,8.23152912949,8.18883335326
0.00499,83.3606683206,8.31941909978,8.23424556274,8.18883335326
0.005,53.3539333609,5.82303331957,8.19827328343,8.20687538164
0.00501,54.7781549334,5.11076215235,8.11379162468,8.20687538164
0.00502,53.7592648262,5.61972606471,8.0287788356,8.20687538164
0.00503,54.4855332834,5.25578993933,7.9486383591,8.20687538164
0.00504,53.9636316617,5.5156181058,7.86936660015,8.20687538164
0.00505,54.332871901,5.32955460517,7.79368749631,8.22289249057
0.00506,54.0643021384,5.46207538319,7.71952111277,8.22289249057
0.00507,54.2506540653,5.36681461153,7.64822492871,8.22289249057
0.00508,54.1109597236,5.43425628989,7.57870371782,8.22289249057
0.00509,54.2033717411,5.3853241281,7.51161905381,8.22289249057
0.0051,54.1289822501,5.41947208684,7.4463806854,8.19827328343
0.00511,54.1728881114,5.39415176581,7.38329666458,8.19827328343
0.00512,54.1313326016,5.41124156,7.32203655203,8.19827328343
0.00513,54.1499393852,5.39792967351,7.26272964503,8.19827328343
0.00514,54.124632315,5.40625421952,7.20517997587,8.19827328343
0.00515,54.1297940342,5.39902391918,7.14942724502,7.79368749631
0.00516,54.1122638938,5.40281914277,7.09534582689,7.79368749631
0.00517,54.1100355899,5.39864309141,7.04293126173,7.79368749631
0.00518,54.0959554284,5.40007266433,6.99209540876,7.79368749631
0.00519,54.089430127,5.39740455803,6.94281275871,7.79368749631
0.0052,54.0765899984,5.39757367471,6.89501577791,7.4463806854
0.00521,54.0673477879,5.39562370342,6.84866962047,7.4463806854
0.00522,54.0546191046,5.39509690442,6.80371864994,7.4463806854
0.00523,54.0434673061,5.393461667,6.76012458046,7.4463806854
0.00524,54.0302738445,5.39252733621,6.71783914047,7.4463806854
0.00525,54.0176250806,5.39100080604,6.67682353513,7.14942724502
0.00526,54.0036727775,5.38980627235,6.63703446431,7.14942724502
0.00527,53.9897380847,5.3882832411,6.5984340453,7.14942724502
0.00528,53.9748770215,5.38690378641,6.56098265321,7.14942724502
0.00529,53.9597644895,5.38533054443,6.52464397202,7.14942724502
0.0053,53.943918395,5.3838046521,6.48938132085,6.89501577791
